<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20050207,900.00,900,900,900.00,1000
20050302,990.00,990,990,990.00,90000
20050305,1089.00,1089,1089,1089.00,5000
20050306,1197.00,1197,1197,1197.00,85000
20050405,2000.00,2000,2000,2000.00,55
20051221,912.00,951,912,927.00,49385
20051224,1019.00,1019,1019,1019.00,1000
20051225,1120.00,1120,1120,1120.00,123690
20051226,1099.00,1101,1099,1100.00,14508
20051228,990.00,990,990,990.00,1000
20051231,1089.00,1089,1080,1088.00,34147
20060101,1088.00,1088,1088,1088.00,332
20060102,1090.00,1090,1000,1086.00,21268
20060104,1000.00,1000,1000,1000.00,9065
20060108,1000.00,1000,1000,1000.00,8675
20060109,900.00,900,900,900.00,2737
20060117,812.00,812,812,812.00,97
20060118,893.00,893,893,893.00,97
20060122,893.00,893,893,893.00,2975
20060123,821.00,821,820,820.00,8750
20060125,821.00,899,740,758.00,3681
20060129,833.00,833,800,816.00,36635
20060130,800.00,800,800,800.00,2489
20060201,720.00,720,720,720.00,70275
20060206,648.00,648,648,648.00,31000
20060207,643.00,648,643,646.00,115066
20060212,582.00,582,582,582.00,70000
20060213,524.00,524,524,524.00,25000
20060214,504.00,504,504,504.00,20000
20060215,484.00,484,484,484.00,72430
20060218,470.00,484,470,480.00,17264
20060219,489.00,489,481,486.00,22998
20060220,495.00,495,495,495.00,2625
20060221,514.00,514,500,513.00,44564
20060222,533.00,533,496,527.00,20182
20060225,506.00,506,506,506.00,127325
20060226,486.00,489,486,487.00,21880
20060227,506.00,506,506,506.00,187745
20060228,506.00,506,486,486.00,156909
20060430,450.00,450,320,355.00,5140484
20150310,1388.00,1490,1330,1433.00,1511015
20150329,1778.00,1920,1778,1904.00,513223
20150330,2055.00,2055,1810,1927.00,968928
20150331,1978.00,2030,1775,1878.00,876321
20150404,2028.00,2028,2028,2028.00,6955
20150405,2190.00,2190,2040,2124.00,1452326
20150406,1975.00,2008,1955,1962.00,540757
20150407,1810.00,1980,1806,1847.00,1066231
20150408,1751.00,1900,1711,1751.00,649417
20150411,1635.00,1720,1613,1664.00,262394
20150412,1556.00,1674,1531,1537.00,541639
20150413,1658.00,1658,1415,1454.00,297083
20150414,1452.00,1570,1452,1563.00,344071
20150415,1633.00,1688,1570,1666.00,443472
20150418,1656.00,1720,1555,1611.00,239509
20150419,1675.00,1675,1513,1581.00,419650
20150420,1512.00,1512,1461,1482.00,414624
20150421,1500.00,1500,1423,1461.00,137340
20150422,1500.00,1500,1360,1406.00,494150
20150425,1315.00,1350,1300,1316.00,98217
20150426,1257.00,1421,1257,1383.00,451846
20150427,1285.00,1321,1273,1292.00,624232
20150428,1359.00,1296,1200,1227.00,410342
20150429,1191.00,1199,1129,1149.00,782617
20150630,1300.00,1300,1300,1300.00,2933553
20160430,1012.00,1113,1012,1060.00,603910
20160501,1166.00,1166,1070,1143.00,2124241
20160502,1230.00,1230,1062,1115.00,1023297
20160503,1120.00,1149,1041,1100.00,714550
20160504,1129.00,1139,1050,1083.00,395372
20160507,1001.00,1051,980,1009.00,853127
20160508,983.00,983,931,948.00,265317
20160509,911.00,970,890,909.00,386814
20160510,857.00,999,857,985.00,910252
20160511,900.00,1080,888,980.00,900864
20160514,990.00,1020,935,1001.00,385668
20160515,960.00,960,925,940.00,506605
20160516,920.00,920,850,891.00,434492
20160517,917.00,973,917,952.00,604819
20160518,940.00,1010,940,955.00,255218
20160521,920.00,977,920,945.00,127293
20160523,901.00,977,900,936.00,434551
20160524,948.00,948,872,885.00,134491
20160525,865.00,900,865,881.00,303049
20160528,877.00,877,847,868.00,186150
20160529,854.00,870,835,842.00,105999
20160530,839.00,850,778,794.00,401290
20160531,839.00,843,800,817.00,322944
20160601,817.00,818,735,765.00,257561
20160605,720.00,721,700,710.00,255113
20160606,710.00,735,700,715.00,147684
20160607,730.00,730,671,690.00,217424
20160608,667.00,667,638,660.00,204875
20160611,648.00,648,594,621.00,325035
20160612,638.00,638,601,621.00,20766
20160613,605.00,630,596,602.00,159675
20160614,544.00,555,541,544.00,226689
20160615,492.00,598,492,574.00,236931
20160618,567.00,631,567,616.00,339763
20160619,568.00,620,568,592.00,58923
20160620,556.00,570,555,559.00,172536
20160621,518.00,575,503,530.00,382722
20160622,509.00,583,509,580.00,1252833
20160625,551.00,609,532,569.00,2004596
20160903,510.00,510,459,468.00,520000
20160904,500.00,500,421,438.00,5773499
20160905,480.00,480,480,480.00,765933
