<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20131211,672.65,673,673,672.65,5000,1,Abgineh-a
20140101,847.15,847,780,844.22,42051,4,Abgineh-a
20140104,779.88,780,780,779.88,9500,1,Abgineh-a
20140107,833.50,873,833,833.50,68017,3,Abgineh-a
20140111,965.10,965,946,955.35,31068,3,Abgineh-a
20140122,926.11,1004,877,948.53,487168,31,Abgineh-a
20140128,984.60,986,829,863.72,353071,15,Abgineh-a
20140201,809.13,819,809,815.95,30000,2,Abgineh-a
20140202,779.88,809,780,781.83,390000,8,Abgineh-a
20140205,799.38,799,799,799.38,2001,1,Abgineh-a
20140217,779.88,780,741,742.84,60000,3,Abgineh-a
20140222,779.88,780,780,779.88,499,1,Abgineh-a
20140223,731.14,746,673,692.14,138000,6,Abgineh-a
20140226,584.91,585,487,506.92,248243,4,Abgineh-a
20140304,721.39,829,721,817.90,5101,3,Abgineh-a
20140413,538.12,538,487,497.17,380986,13,Abgineh-a
20140414,487.43,487,487,487.43,100000,1,Abgineh-a
20140415,507.90,536,508,533.24,50000,2,Abgineh-a
20140426,506.92,507,503,505.95,5859,2,Abgineh-a
20140427,584.91,585,572,578.09,9001,2,Abgineh-a
20140429,575.16,575,507,551.77,302000,5,Abgineh-a
20140430,508.87,509,509,508.87,21692,2,Abgineh-a
20140504,519.60,523,520,520.57,49490,2,Abgineh-a
20140505,524.47,524,524,524.47,4695,1,Abgineh-a
20140507,520.57,526,487,508.87,676504,19,Abgineh-a
20140510,500.10,500,500,500.10,49100,2,Abgineh-a
20140512,487.43,500,467,467.93,592385,27,Abgineh-a
20140517,438.68,439,439,438.68,100000,1,Abgineh-a
20140524,487.43,487,487,487.43,39000,1,Abgineh-a
20140528,487.43,487,475,474.75,162000,3,Abgineh-a
20140531,476.70,487,476,476.70,26438,4,Abgineh-a
20140602,487.43,487,487,487.43,10000,1,Abgineh-a
20140603,487.43,489,475,482.55,224150,7,Abgineh-a
20140607,511.80,516,512,513.75,110000,2,Abgineh-a
20140608,526.42,529,523,526.42,340000,6,Abgineh-a
20140611,534.22,534,500,517.65,193700,3,Abgineh-a
20140614,497.17,532,468,481.58,448300,11,Abgineh-a
20140615,467.93,468,448,448.43,1510,2,Abgineh-a
20140616,499.12,499,499,499.12,22869,2,Abgineh-a
20140623,458.18,497,458,471.83,90000,4,Abgineh-a
