<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20170214,961.85,962,962,961.85,10
20180521,1973.03,1973,1973,1973.03,1362699
20180523,1973.03,1973,1924,1969.09,422047
20180526,1968.10,1968,1579,1939.49,41560
20180528,1864.51,1865,1865,1902.99,120754
20180530,1577.44,1577,1577,1883.26,14867
20180602,1504.44,1504,1504,1833.93,32740
20180611,1775.73,1973,1776,1893.12,335702
20180613,1893.12,1973,1893,1964.15,280301
20180618,2022.36,2022,1973,1987.83,374978
20180623,1973.03,1973,1973,1973.03,250726
20180625,1864.51,1865,1865,1964.15,20000
20180627,1775.73,1776,1776,1963.17,1671
20180630,1716.54,1717,1717,1947.38,15794
20180702,1746.13,1973,1746,1952.31,549019
20180707,1952.31,1952,1952,1952.31,7000
20180711,1830.97,1831,1831,1940.48,24786
20180714,1940.48,1940,1833,1870.43,2900
20180718,1829.00,1829,1829,1829.00,3693
20180813,1960.00,1960,1960,1832.00,5552
20180818,2000.00,2000,2000,2000.00,200000
20180820,1999.00,1999,1999,1999.00,5796
20180825,1999.00,1999,1999,1999.00,3800
20180901,2000.00,2000,2000,2000.00,37943
20180908,1866.00,1900,1866,1887.00,309421
20180910,1887.00,2010,1887,1972.00,181090
20180912,2087.00,2087,2087,2087.00,16082
20180917,2102.00,2102,2102,2102.00,2450900
20180922,2411.00,2729,2411,2702.00,395157
20180924,2710.00,3071,2710,3055.00,373247
20180926,3370.00,4200,3370,3551.00,5142048
20180929,4800.00,4800,3701,4747.00,3261344
20181001,4380.00,4380,4380,4380.00,95663
20181003,3990.00,3990,3250,3556.00,485517
20181006,3050.00,3050,2770,3037.00,4364419
20181008,2899.00,3100,2899,2916.00,1750759
20181010,3100.00,3100,3100,3100.00,470423
20181013,3600.00,3600,3450,3572.00,1845795
20181015,3203.00,3203,3203,3203.00,14226
20181017,3198.00,3198,3001,3104.00,521232
20181020,3104.00,3130,3104,3126.00,486158
20181022,3203.00,3260,3203,3250.00,1087536
20181024,3276.00,3276,3275,3276.00,2426016
20181027,3500.00,3550,3500,3512.00,724963
20181029,3799.00,3799,3450,3733.00,2173669
20181105,3798.00,3798,3450,3779.00,994856
20181110,3101.00,3101,3101,3101.00,3386811
20181112,3101.00,3101,3097,3101.00,49013
20181114,3097.00,3097,3005,3011.00,223396
20181117,3179.00,3179,3000,3091.00,106153
20181119,3000.00,3000,3000,3000.00,10444
20181121,2999.00,2999,2999,2999.00,92304
20181124,2998.00,2998,2998,2998.00,754502
20181126,3080.00,3080,2700,3063.00,370232
20181128,2900.00,2900,2900,2900.00,52718
20181203,2880.00,2880,2701,2766.00,145913
20181205,2630.00,2630,2630,2630.00,138369
20181208,2630.00,2630,2630,2630.00,85364
20181212,2630.00,2630,2630,2630.00,125024
20181217,2630.00,2630,2500,2626.00,178674
20181219,2450.00,2450,2450,2450.00,8919
20181224,2450.00,2450,2450,2450.00,21753
