<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20180805,1000000.00,1000000,1000000,1000000.00,1050000
20190126,1000000.00,1000000,1000000,1000000.00,1933
20190128,1000000.00,1000000,1000000,1000000.00,1930
20190130,1000000.00,1000000,1000000,1000000.00,7250
20190204,1000000.00,1000000,1000000,1000000.00,137
20190205,1000000.00,1000000,1000000,1000000.00,215
20190206,1000000.00,1000000,1000000,1000000.00,811
20190212,1000000.00,1000000,1000000,1000000.00,2339
20190216,1000000.00,1000000,1000000,1000000.00,796
20190218,1000000.00,1000000,1000000,1000000.00,9936
20190223,1000000.00,1000000,1000000,1000000.00,65
20190310,1000000.00,1000000,1000000,1000000.00,6009
20190311,1000000.00,1000000,1000000,1000000.00,3
20190312,1000000.00,1000000,1000000,1000000.00,4923
20190316,1000000.00,1000000,1000000,1000000.00,196
20190319,1000000.00,1000000,1000000,1000000.00,49093
20190414,1000000.00,1000000,1000000,1000000.00,84
20190430,1000000.00,1000000,1000000,1000000.00,967
20190504,1000000.00,1000000,1000000,1000000.00,839
20190505,1000000.00,1000000,1000000,1000000.00,2
20190512,995000.00,1000000,995000,997500.00,4
20190513,995000.00,995000,995000,995000.00,2
20190707,995000.00,995000,995000,995000.00,552
20190713,1000000.00,1000000,1000000,1000000.00,3
20190720,1000000.00,1000000,1000000,1000000.00,4923
20190721,995000.00,995000,995000,995000.00,77
20190810,1000000.00,1000000,1000000,1000000.00,31
