<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20050515,4288.96,4289,4289,4288.96,490400,1223,Alomrad-a
20050516,4503.41,4503,4503,4503.41,129600,109,Alomrad-a
20050607,5045.84,6560,4728,5591.80,228752,483,Alomrad-a
20050608,5871.34,5871,5871,5871.34,15000,40,Alomrad-a
20050611,6164.50,6164,6164,6164.50,15051,20,Alomrad-a
20050612,6472.30,6472,6472,6472.30,22720,33,Alomrad-a
20050613,6509.13,6796,6209,6702.39,362263,542,Alomrad-a
20050614,7037.43,7037,7037,7036.92,147669,126,Alomrad-a
20050615,7388.62,7389,7221,7374.49,41310,98,Alomrad-a
20050618,7742.84,7743,7569,7719.63,47373,101,Alomrad-a
20050619,7417.38,7417,7334,7334.63,13784,23,Alomrad-a
20050620,6968.30,7701,6968,7288.71,232919,185,Alomrad-a
20050621,7653.02,7653,7653,7653.02,84945,65,Alomrad-a
20050622,8035.50,8035,8008,8031.96,34554,49,Alomrad-a
20050705,7630.82,7631,7631,7630.82,8000,1,Alomrad-a
20050706,7249.35,7249,7249,7249.35,10000,8,Alomrad-a
20050709,6887.06,6901,6887,6887.57,214347,173,Alomrad-a
20050711,6726.10,6731,6543,6581.29,54662,60,Alomrad-a
20050712,6811.88,6910,6308,6724.59,49173,68,Alomrad-a
20050713,6837.11,7060,6560,6734.68,15245,44,Alomrad-a
20050716,6634.27,6804,6459,6674.13,15504,28,Alomrad-a
20050717,6610.05,6787,6459,6658.49,21066,26,Alomrad-a
20050718,6535.37,6787,6521,6651.42,57170,39,Alomrad-a
20050719,6726.10,6786,6460,6625.69,31458,29,Alomrad-a
20050720,6761.42,6952,6663,6728.12,10410,18,Alomrad-a
20050723,6728.12,6761,6615,6724.08,2520,11,Alomrad-a
20050724,6811.88,6812,6401,6757.89,10528,24,Alomrad-a
20050725,6760.92,7063,6562,6788.67,23665,42,Alomrad-a
20050726,6791.70,6888,6615,6779.59,3249,9,Alomrad-a
20050727,6849.72,6963,6847,6898.67,20977,21,Alomrad-a
