<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20160709,204.62,409,205,376.90,3224050
20160710,204.62,237,205,207.07,344010
20160711,211.98,216,212,213.21,206990
20160712,214.85,224,215,216.48,20295
20160713,212.80,221,206,207.07,187000
20160716,207.07,216,205,207.07,115500
20160717,205.43,205,205,204.62,125335
20160718,204.62,205,191,200.11,52500
20160719,192.75,194,193,193.16,22000
20160723,190.70,193,190,191.11,255270
20160724,192.75,193,193,192.75,7900
20160726,198.48,216,198,202.57,13300
20160727,215.26,227,215,224.26,311738
20160801,212.80,213,203,207.89,360100
20160802,212.80,213,205,211.16,60010
20160803,237.36,235,235,235.31,3000
20160806,209.12,209,206,206.66,65000
20160813,235.72,236,231,232.44,15000
20160816,220.58,228,213,222.62,2817200
20160817,213.62,214,214,213.62,50000
20160821,220.99,221,221,220.99,100000
20160822,220.99,221,221,220.99,113500
20160823,220.58,221,214,215.67,3300
20160824,220.99,221,221,220.99,28000
20160827,220.58,221,221,220.58,3050
20160828,220.58,221,221,220.58,1845
20160829,213.62,214,214,213.62,11000
20160831,220.58,221,221,220.58,8000
20160903,220.58,221,214,214.03,87000
20160904,214.03,221,214,213.62,46002
20160905,213.62,214,214,213.62,36000
20160907,213.62,214,214,213.62,30000
20160917,220.58,221,221,220.58,3556
20160918,213.62,214,211,212.39,48010
20160919,220.58,221,221,220.58,5400
20160921,220.58,221,220,220.58,21000
20160924,220.58,221,216,219.35,22200
20160925,216.07,216,216,216.07,10300
20160926,216.07,216,216,216.07,8966
20160928,216.07,216,216,216.07,20000
20161001,220.58,221,221,220.58,3847
20161002,220.99,221,214,215.26,11800
20161003,220.99,221,221,220.99,60000
20161004,212.80,225,212,213.21,134900
20161008,213.21,213,213,213.21,107990
20161016,214.85,215,212,212.80,60000
20161019,224.26,224,224,224.26,19000
20161026,213.21,213,213,213.21,6910
20161029,211.98,212,212,211.98,50000
20161031,211.98,212,212,211.98,72000
20161107,204.62,207,205,205.03,65000
20161114,204.62,205,205,204.62,50000
20161119,224.26,224,224,224.26,102000
20161127,208.71,209,209,208.71,10000
20161129,209.12,209,205,207.48,353887
20161203,200.52,201,201,200.52,55113
20161211,201.34,201,201,201.34,120000
20161218,200.93,201,201,200.93,84000
20161221,199.71,200,200,199.71,10000
20161225,199.71,200,200,199.71,30000
20170102,199.71,200,200,199.71,887
20170109,187.48,188,187,187.48,104387
20170123,199.30,199,199,199.30,15000
20170124,191.56,192,183,187.48,21000
20170125,183.41,183,183,183.41,39585
20170128,183.41,183,183,183.41,2323
20170131,185.85,186,180,180.55,51000
20170204,183.00,183,183,183.41,272211
20170213,185.89,186,186,186.31,190881
20170219,165.60,166,166,165.60,47108
20170306,165.60,166,166,165.60,82000
20170307,169.74,173,170,169.74,133522
20170314,186.72,187,187,186.72,54494
20170315,168.92,169,168,168.50,17621
20170318,184.65,185,169,182.16,130884
20170325,216.63,217,217,216.63,306000
20170326,283.16,283,283,283.16,25000
20170327,407.00,407,407,407.00,179000
20170328,643.00,643,643,643.00,276735
20170329,707.00,707,707,707.00,418719
20170403,693.00,729,651,670.00,327761
20170404,735.00,737,717,728.00,22924
20170405,747.00,747,733,740.00,26559
20170408,733.00,733,666,672.00,56165
20170409,605.00,653,605,609.00,181381
20170410,669.00,669,660,668.00,537042
20170412,734.00,734,720,732.00,283616
20170415,779.00,805,779,794.00,259704
20170416,873.00,873,873,873.00,251435
20170417,960.00,960,873,946.00,1521238
20170418,852.00,900,852,853.00,657710
20170419,899.00,938,899,934.00,542737
20170422,1027.00,1027,1027,1027.00,197000
20170423,1129.00,1129,1100,1129.00,2014884
20170424,1241.00,1241,1241,1241.00,216500
20170426,1365.00,1365,1365,1365.00,171902
20170429,1501.00,1501,1453,1499.00,3599164
20170430,1411.00,1435,1350,1362.00,776490
20170501,1226.00,1320,1226,1227.00,313099
20170502,1105.00,1300,1105,1196.00,1627984
20170503,1250.00,1299,1175,1244.00,412269
20170506,1250.00,1270,1177,1224.00,623341
20170507,1234.00,1278,1102,1169.00,783178
20170508,1053.00,1053,1053,1053.00,44202
20170509,973.00,980,948,961.00,1985567
20170510,865.00,950,865,888.00,6250556
20170513,960.00,976,914,962.00,1448588
20170514,1058.00,1058,1058,1058.00,17000
20170515,1163.00,1163,1055,1157.00,6282427
20170516,1163.00,1199,1065,1101.00,1162226
20170517,1035.00,1128,1022,1054.00,959199
20170520,1060.00,1151,1060,1128.00,966815
20170521,1158.00,1209,1108,1150.00,685938
20170522,1072.00,1176,1072,1116.00,2079786
20170704,1137.00,1170,1137,1154.00,307517
