<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20140526,363.95,364,364,363.95,29,4,Aras Invest.-a
20140531,423.58,424,424,423.58,10000,1,Aras Invest.-a
20140601,441.61,442,441,441.39,63496,4,Aras Invest.-a
20140602,442.59,443,442,442.48,94164,2,Aras Invest.-a
20140607,457.25,462,456,457.68,25280,3,Aras Invest.-a
20140608,462.03,462,462,462.03,3000,1,Aras Invest.-a
20140609,478.97,479,479,478.97,304510,3,Aras Invest.-a
20140610,467.13,489,467,483.21,737300,10,Aras Invest.-a
20140611,470.82,505,471,497.98,215861,9,Aras Invest.-a
20140614,498.52,499,490,494.18,21600,2,Aras Invest.-a
20140615,499.61,500,489,498.09,135593,6,Aras Invest.-a
20140621,490.92,491,491,490.92,14614,1,Aras Invest.-a
20140628,490.92,491,491,490.92,5500,2,Aras Invest.-a
20140629,494.18,500,494,498.52,11925,5,Aras Invest.-a
20140701,498.52,499,491,492.33,5384,2,Aras Invest.-a
20140706,499.61,500,500,499.61,15236,1,Aras Invest.-a
20140708,492.55,493,493,492.55,8769,1,Aras Invest.-a
20140713,488.74,492,483,489.72,36460,5,Aras Invest.-a
20140720,494.18,494,494,494.18,11000,1,Aras Invest.-a
20140727,488.96,494,489,493.96,438683,5,Aras Invest.-a
20140803,489.07,489,489,489.07,20000,2,Aras Invest.-a
20140804,488.74,489,478,483.97,88844,2,Aras Invest.-a
20140806,488.74,489,489,488.74,109767,6,Aras Invest.-a
20140809,488.85,489,478,479.62,95749,4,Aras Invest.-a
20140811,499.61,500,478,481.25,136119,3,Aras Invest.-a
20140825,510.47,510,510,510.47,13159,1,Aras Invest.-a
20140827,505.04,505,505,505.04,7306,1,Aras Invest.-a
20140830,543.05,543,543,543.05,3000,1,Aras Invest.-a
20140831,549.57,550,550,549.57,5000,2,Aras Invest.-a
20140903,548.59,550,548,548.59,76031,19,Aras Invest.-a
20140906,548.70,549,549,548.70,370556,5,Aras Invest.-a
20140907,651.66,652,549,549.89,198099,3,Aras Invest.-a
20140917,585.99,586,550,578.39,1467,2,Aras Invest.-a
20140920,584.53,585,585,584.53,190,1,Aras Invest.-a
20140928,591.83,592,592,591.83,2800,1,Aras Invest.-a
20141004,614.48,614,614,614.48,2034,2,Aras Invest.-a
20141006,646.63,647,647,646.63,2760,1,Aras Invest.-a
20141007,657.59,658,658,657.59,1670,1,Aras Invest.-a
20141011,730.66,731,647,722.62,2212,2,Aras Invest.-a
