<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20010425,1044.05,1044,1044,1044.05,100
20010501,1044.05,1044,1044,1044.05,450
20010505,1044.62,1045,1045,1044.62,500
20010507,1044.62,1045,1045,1044.62,750
20010508,1044.62,1045,1045,1044.62,500
20010526,1086.38,1096,1086,1096.25,1806
20010820,987.90,988,988,987.90,100
20010827,1037.28,1037,1037,1037.28,1100
20010828,1038.69,1039,1039,1038.69,275
20010903,1039.25,1039,1039,1038.97,550
20010910,1072.27,1072,1045,1072.27,6825
20010915,1073.11,1073,1073,1073.11,275
20010916,1073.40,1073,1073,1073.40,275
20010923,1073.40,1074,1073,1073.68,1265
20010924,1074.81,1075,1075,1074.81,275
20010929,1077.35,1077,1077,1077.35,1100
20011008,1078.48,1078,1078,1078.48,275
20011022,1081.86,1082,1082,1081.86,275
20011023,1082.14,1082,1082,1082.14,275
20011029,1089.48,1089,1089,1089.48,150
20011031,1095.12,1097,1095,1097.10,375
20011103,1100.49,1100,1100,1100.49,275
20011113,1155.51,1156,1156,1155.51,550
20011201,1156.07,1156,1156,1156.07,275
20020119,1213.64,1214,1214,1213.64,825
20020130,1274.31,1274,1274,1274.31,550
20020210,1337.80,1338,1338,1337.80,550
20020224,1404.67,1405,1405,1404.67,550
20020310,1474.65,1475,1475,1474.65,550
20020327,1561.28,1645,1561,1642.55,500000
20020330,1647.91,1683,1648,1647.91,514500
20020331,1659.19,1689,1659,1689.10,253000
20020403,1731.15,1731,1731,1731.15,536000
20020406,1731.15,1774,1731,1731.15,130515
20020407,1730.87,1733,1731,1732.28,112340
20020408,1732.56,1734,1732,1732.56,137878
20020409,1732.56,1733,1732,1732.84,163740
20020410,1733.41,1734,1733,1732.84,103440
20020413,1732.84,1733,1733,1733.12,119392
20020414,1734.54,1744,1735,1737.07,64190
20020415,1743.85,1780,1744,1780.25,13630
20020416,1823.99,1825,1806,1824.27,11343
20020417,1824.83,1830,1790,1830.19,89302
20020420,1875.91,1876,1876,1875.91,9490
20020421,1922.75,1923,1923,1922.75,5000
20020422,1970.72,1971,1970,1970.72,155870
20020423,1990.19,1990,1990,1990.19,100000
20020427,2009.94,2010,2010,2009.94,11623
20020428,2029.97,2030,2030,2029.97,2010
20020501,2050.01,2050,2050,2050.01,2500
20020504,2070.32,2070,2050,2050.01,17380
20020505,2029.69,2032,2030,2029.69,17550
20020506,2009.66,2010,2010,2009.66,110741
20020508,1989.62,2011,1990,2010.50,71816
20020512,2028.84,2029,2010,2009.66,6741
20020518,2001.76,2002,2000,2000.35,1580
20020519,1141.40,2000,1141,2000.35,426725
20020521,1950.40,1950,1950,1950.40,5000
20020522,1902.43,1950,1902,1950.40,39360
20020525,1950.40,1950,1950,1950.40,4335
20020526,1949.84,1950,1950,1949.84,100
20020527,1947.01,1975,1947,1975.23,27699
20020528,1979.75,1980,1975,1975.23,3534
20020529,1974.67,1975,1975,1975.23,17132
20020710,1467.88,1468,1468,1467.88,500
20020716,1541.24,1541,1541,1541.24,200
20020720,1618.28,1618,1618,1618.28,1000
20020721,1698.98,1699,1699,1698.98,550
20020722,1783.92,1784,1784,1783.92,825
20020723,1873.08,1873,1873,1873.08,1095
20020727,1966.48,1966,1966,1966.48,521
20020730,2064.68,2065,2065,2064.68,1000
20020731,2167.68,2168,2168,2167.68,140682
20020803,2276.03,2276,2257,2257.41,268650
20020804,2257.41,2257,2174,2174.45,83967
20020805,2257.13,2283,2176,2283.09,1005637
20020806,2397.08,2397,2397,2397.08,1000989
20020807,2516.73,2517,2517,2516.73,500357
20020810,2642.30,2642,2642,2642.30,601002
20020811,2708.32,2708,2708,2708.32,992908
20020813,2708.32,2709,2641,2708.32,1136587
20020814,2680.67,2707,2667,2680.39,251817
20020817,2671.92,2672,2624,2646.81,537284
20020818,2624.52,2665,2625,2665.43,677770
20020819,2666.56,2709,2666,2708.89,338097
20020820,2708.89,2741,1512,2741.06,1220308
20020821,2765.32,2807,2765,2807.37,59935
20020827,2947.61,2948,2810,2823.17,1950
20020828,2947.89,2964,2947,2964.26,21556
20020831,3112.40,3112,3112,3112.40,68111
20020901,3267.88,3268,3114,3267.88,132327
20020902,3431.26,3431,3431,3431.26,32084
20020903,3602.82,3603,3603,3602.82,14148
20020904,3602.82,3783,3602,3603.10,197483
20020907,3619.75,3620,3603,3603.10,74161
20020908,3597.46,3597,3423,3423.08,67110
20020909,3252.08,3273,3252,3252.08,104500
20020910,3414.33,3415,3252,3414.61,78712
20020911,3442.55,3443,3415,3415.18,69252
20020914,3441.98,3443,3442,3442.83,2947
20020915,3412.92,3443,3413,3442.83,42307
20020916,3442.83,3457,3414,3442.55,33112
20020917,3456.09,3469,3428,3456.65,149966
20020918,3442.55,3457,3443,3442.55,11498
20020922,3442.83,3456,3386,3414.33,13908
20020923,3414.05,3414,3385,3386.11,112946
20020924,3384.70,3386,3245,3245.02,27411
20020925,3230.07,3245,3084,3245.02,54210
20021105,2202.10,2286,2202,2285.62,800
20021106,2313.84,2400,2286,2305.09,657732
20021109,2316.95,2420,2314,2364.63,150573
20021110,2384.67,2385,2359,2373.10,198900
20021111,2373.66,2387,2373,2373.10,329031
20021112,2373.10,2373,2258,2257.69,28680
20021113,2145.10,2229,2145,2144.82,15873
20021116,2252.05,2252,2252,2252.05,60229
20021117,2252.05,2252,2229,2228.91,29127
20021118,2228.63,2286,2229,2285.62,28051
20021119,2285.62,2315,2286,2314.41,14227
