<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20091007,237.23,237,218,221.17,24954800,519,Alborz Bimeh-a
20091010,227.78,228,228,227.78,8050000,938,Alborz Bimeh-a
20091011,234.59,235,235,234.59,13023262,1534,Alborz Bimeh-a
20091012,241.62,242,242,241.62,13197534,2677,Alborz Bimeh-a
20091013,248.86,249,249,248.86,13358413,2766,Alborz Bimeh-a
20091017,256.31,256,256,256.31,6917415,1596,Alborz Bimeh-a
20091018,263.97,264,264,263.97,584298,214,Alborz Bimeh-a
20091019,271.88,272,272,270.83,180383,75,Alborz Bimeh-a
20091020,278.95,279,279,277.65,174721,89,Alborz Bimeh-a
20091021,285.98,286,286,285.98,272285,124,Alborz Bimeh-a
20091024,294.55,295,295,294.55,1370640,530,Alborz Bimeh-a
20091025,303.37,303,303,303.37,3316969,930,Alborz Bimeh-a
20091026,312.44,312,306,312.40,24787091,8229,Alborz Bimeh-a
20091027,316.31,322,314,321.23,4696609,1883,Alborz Bimeh-a
20091028,328.61,331,313,321.30,9859803,3782,Alborz Bimeh-a
20091031,318.45,326,317,319.54,4719922,1750,Alborz Bimeh-a
20091101,319.82,329,320,327.83,3482570,1082,Alborz Bimeh-a
20091102,337.39,338,320,332.61,8015003,2263,Alborz Bimeh-a
20091103,323.02,325,323,323.05,423392,128,Alborz Bimeh-a
20091104,316.41,321,313,314.79,5667787,1210,Alborz Bimeh-a
20091107,319.82,325,307,314.79,2112391,590,Alborz Bimeh-a
20091108,311.07,315,304,304.78,4824366,927,Alborz Bimeh-a
20091109,304.00,313,304,308.08,1395249,404,Alborz Bimeh-a
20091110,305.76,306,297,298.45,2668401,545,Alborz Bimeh-a
20091111,299.79,309,300,307.34,1391196,380,Alborz Bimeh-a
20091114,313.85,315,308,310.26,1495718,345,Alborz Bimeh-a
20091115,304.04,307,299,300.42,1771118,398,Alborz Bimeh-a
20091116,300.49,301,291,293.15,2482582,518,Alborz Bimeh-a
20091117,291.35,292,283,285.20,3819777,662,Alborz Bimeh-a
20091118,288.19,295,285,292.51,2245630,460,Alborz Bimeh-a
20091121,295.57,296,284,288.61,2122686,442,Alborz Bimeh-a
20091122,284.68,291,282,286.78,1491261,304,Alborz Bimeh-a
20091123,288.19,297,288,295.82,1511433,325,Alborz Bimeh-a
20091124,302.07,306,300,306.08,14396875,544,Alborz Bimeh-a
20091125,312.72,317,306,315.22,3170287,719,Alborz Bimeh-a
20091129,304.22,304,304,304.32,205859,19,Alborz Bimeh-a
20091130,293.67,294,294,293.67,258500,19,Alborz Bimeh-a
20091201,284.01,291,284,286.57,1903658,464,Alborz Bimeh-a
20091202,291.56,296,288,293.07,10446142,312,Alborz Bimeh-a
20091205,296.55,302,297,300.53,594081,169,Alborz Bimeh-a
20091207,303.06,309,302,304.99,504200,180,Alborz Bimeh-a
20091208,304.00,304,294,295.82,725769,170,Alborz Bimeh-a
20091209,290.65,291,286,287.03,826075,234,Alborz Bimeh-a
20091212,286.99,287,277,278.74,1335075,255,Alborz Bimeh-a
20091213,271.00,280,269,270.62,2308546,521,Alborz Bimeh-a
20091214,268.90,279,267,273.78,1176980,312,Alborz Bimeh-a
20091215,274.48,275,264,265.91,1650433,298,Alborz Bimeh-a
20091216,257.96,266,257,257.44,969466,192,Alborz Bimeh-a
20091219,248.44,257,248,249.53,2884631,457,Alborz Bimeh-a
20091220,258.25,258,258,252.59,72958,13,Alborz Bimeh-a
20091221,261.41,261,261,256.42,90590,11,Alborz Bimeh-a
20091222,265.38,265,259,264.15,2439067,386,Alborz Bimeh-a
20091223,268.72,270,260,266.96,1311934,196,Alborz Bimeh-a
20091228,257.86,264,258,258.81,183854,48,Alborz Bimeh-a
20091229,251.32,257,250,251.53,963275,247,Alborz Bimeh-a
20091230,256.56,260,254,255.50,358571,119,Alborz Bimeh-a
20100102,262.18,264,262,263.80,197041,38,Alborz Bimeh-a
20100103,273.01,273,264,272.06,1194262,157,Alborz Bimeh-a
20100104,263.97,265,263,262.71,219659,43,Alborz Bimeh-a
20100105,256.91,272,257,267.24,356605,124,Alborz Bimeh-a
20100106,267.10,277,267,275.12,1589941,301,Alborz Bimeh-a
20100109,281.16,285,281,284.29,907880,182,Alborz Bimeh-a
20100110,285.06,291,274,278.67,2255967,365,Alborz Bimeh-a
20100111,272.37,285,269,276.80,1621177,332,Alborz Bimeh-a
20100112,270.69,273,267,267.95,959459,246,Alborz Bimeh-a
20100113,267.77,277,265,272.30,1087471,229,Alborz Bimeh-a
20100116,280.88,282,276,280.39,2204108,395,Alborz Bimeh-a
20100117,284.22,287,278,281.79,742461,223,Alborz Bimeh-a
20100118,276.94,279,272,272.94,499623,124,Alborz Bimeh-a
20100119,274.48,282,274,281.51,450524,123,Alborz Bimeh-a
20100120,289.91,291,285,288.82,1646941,457,Alborz Bimeh-a
20100123,288.15,295,288,291.70,971399,284,Alborz Bimeh-a
20100124,293.50,297,288,291.25,1338588,322,Alborz Bimeh-a
20100125,291.67,294,286,288.89,798304,192,Alborz Bimeh-a
20100126,288.19,290,286,287.10,263910,116,Alborz Bimeh-a
20100127,286.47,290,286,289.49,559630,133,Alborz Bimeh-a
20100130,291.00,291,279,282.53,897601,274,Alborz Bimeh-a
20100131,279.40,282,276,280.88,2234391,413,Alborz Bimeh-a
20100201,281.20,291,281,290.23,11159799,1457,Alborz Bimeh-a
20100315,320.32,342,320,334.65,2716144,592,Alborz Bimeh-a
20100316,338.59,346,337,344.07,1267031,223,Alborz Bimeh-a
20100317,356.06,356,356,356.06,1012254,154,Alborz Bimeh-a
20100327,368.51,369,369,361.09,129436,11,Alborz Bimeh-a
20100328,373.71,374,374,365.25,105860,13,Alborz Bimeh-a
20100329,377.99,378,378,377.99,320000,28,Alborz Bimeh-a
20100330,391.18,391,384,390.83,4885254,778,Alborz Bimeh-a
20100331,399.68,404,400,403.45,2970671,513,Alborz Bimeh-a
20100403,404.48,418,404,417.21,2838029,319,Alborz Bimeh-a
20100404,431.43,431,406,419.50,1640121,511,Alborz Bimeh-a
20100405,411.10,422,405,406.65,1913473,361,Alborz Bimeh-a
20100406,405.97,417,403,407.68,1546865,461,Alborz Bimeh-a
20100407,406.25,413,393,397.12,2710091,578,Alborz Bimeh-a
20100410,406.94,407,383,389.01,1917931,440,Alborz Bimeh-a
