<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20110828,767.40,798,767,776.09,111736334,2950,وانصار-ت
20110829,775.51,776,745,748.58,15498140,1300,وانصار-ت
20110830,727.15,733,719,720.49,14920825,1072,وانصار-ت
20110903,726.86,744,705,728.88,4511469,458,وانصار-ت
20110904,744.23,758,731,753.79,3089177,202,وانصار-ت
20110905,781.88,784,759,778.98,22157168,965,وانصار-ت
20110906,790.57,810,784,805.34,11283090,875,وانصار-ت
20110907,802.15,802,775,784.49,3476271,362,وانصار-ت
20110910,781.88,782,767,771.74,1913450,199,وانصار-ت
20110911,767.40,781,762,772.03,3294584,244,وانصار-ت
20110912,776.09,780,767,773.77,1510083,172,وانصار-ت
20110913,778.69,782,767,774.06,2131044,207,وانصار-ت
20110914,767.69,782,768,774.35,1364203,148,وانصار-ت
20110917,767.40,776,767,770.87,713763,98,وانصار-ت
20110918,770.30,791,770,783.04,3391024,280,وانصار-ت
20110919,781.30,787,770,780.43,982321,159,وانصار-ت
20110920,781.88,811,769,804.18,7040848,549,وانصار-ت
20110921,810.84,836,811,834.58,7537872,521,وانصار-ت
20110925,839.22,843,816,831.69,4363733,414,وانصار-ت
20110926,839.80,840,820,827.05,2726029,265,وانصار-ت
20110927,827.34,854,827,846.17,4480065,325,وانصار-ت
20110928,839.80,846,836,842.40,2167034,222,وانصار-ت
20111001,836.61,854,837,847.90,4290169,327,وانصار-ت
20111002,847.90,854,846,851.38,2822816,254,وانصار-ت
20111003,845.59,877,840,862.67,2593913,334,وانصار-ت
20111004,869.33,881,869,874.84,2338161,290,وانصار-ت
20111005,871.94,880,860,871.07,2604388,266,وانصار-ت
20111008,864.12,870,855,858.91,1657747,208,وانصار-ت
20111009,851.38,854,836,845.59,2545687,244,وانصار-ت
20111010,842.69,868,843,855.43,1949870,178,وانصار-ت
20111011,857.46,869,849,864.12,1800939,224,وانصار-ت
20111012,860.07,875,855,867.89,3954278,281,وانصار-ت
20111015,868.75,872,849,859.78,1460881,145,وانصار-ت
20111016,848.48,848,826,832.56,2177542,263,وانصار-ت
20111017,834.00,839,825,831.98,891354,117,وانصار-ت
20111018,811.42,842,811,837.19,1323089,152,وانصار-ت
20111019,854.28,854,838,844.72,1952288,169,وانصار-ت
20111022,825.32,837,825,835.74,603278,81,وانصار-ت
20111023,825.32,831,819,824.16,1006974,145,وانصار-ت
20111024,820.10,825,802,814.02,1334784,153,وانصار-ت
20111025,819.24,833,808,822.71,1779471,212,وانصار-ت
20111026,810.84,822,804,815.47,562548,138,وانصار-ت
20111029,802.15,825,798,805.62,1021929,124,وانصار-ت
20111030,805.05,812,788,805.62,2091399,176,وانصار-ت
20111031,799.54,811,797,802.44,665596,93,وانصار-ت
20111101,796.36,834,791,832.27,22780090,195,وانصار-ت
20111102,839.80,865,835,862.67,32863798,335,وانصار-ت
20111105,844.14,854,828,830.53,2024939,170,وانصار-ت
20111106,832.85,833,803,813.73,1157961,156,وانصار-ت
20111108,810.26,810,786,795.78,868388,127,وانصار-ت
20111109,810.84,811,795,803.60,40274680,149,وانصار-ت
20111112,798.96,811,791,810.55,40936905,180,وانصار-ت
20111113,791.15,812,791,810.26,43594378,231,وانصار-ت
20111114,796.36,825,796,816.34,43432780,303,وانصار-ت
20111116,825.03,849,825,847.61,48552015,441,وانصار-ت
20111119,839.80,860,831,854.85,11955261,442,وانصار-ت
20111120,839.80,869,834,860.07,13691436,674,وانصار-ت
20111121,845.59,859,841,852.54,2536998,177,وانصار-ت
20111122,838.35,853,819,839.22,2453223,182,وانصار-ت
20111123,845.01,845,807,829.37,4278663,242,وانصار-ت
20111126,825.32,838,811,825.61,2760097,171,وانصار-ت
20111127,803.89,822,797,808.81,3050622,181,وانصار-ت
20111128,799.25,818,797,805.62,986013,112,وانصار-ت
20111129,805.34,828,805,811.13,439405,72,وانصار-ت
20111130,796.65,824,788,810.84,1015676,111,وانصار-ت
20111203,810.84,840,811,827.63,1491917,110,وانصار-ت
20111204,815.76,854,816,844.72,1859146,164,وانصار-ت
20111207,844.14,850,837,844.14,1626905,90,وانصار-ت
20111210,840.09,851,831,844.14,2444032,177,وانصار-ت
20111211,836.90,845,831,840.66,1002656,104,وانصار-ت
20111212,825.61,847,826,841.53,1120401,110,وانصار-ت
20111213,827.05,848,825,839.80,762818,122,وانصار-ت
20111214,839.80,846,831,840.38,547187,76,وانصار-ت
20111217,822.71,857,823,851.09,5289023,737,وانصار-ت
20111218,831.11,848,831,845.01,573141,83,وانصار-ت
20111219,834.00,851,829,842.40,646521,94,وانصار-ت
20111220,828.50,854,829,845.01,2309995,572,وانصار-ت
20111221,842.69,879,843,868.46,38941965,867,وانصار-ت
20111224,851.09,851,841,859.20,361869,70,وانصار-ت
20111225,840.38,848,840,849.35,519988,82,وانصار-ت
20111226,839.80,840,825,844.43,266439,64,وانصار-ت
20111227,822.42,828,822,838.93,253489,67,وانصار-ت
20111228,814.31,840,814,831.40,540019,94,وانصار-ت
20111231,816.63,851,817,832.27,588849,87,وانصار-ت
20120101,826.76,848,827,832.56,538769,67,وانصار-ت
20120102,827.63,843,817,830.53,748382,88,وانصار-ت
20120103,820.39,846,820,834.00,400164,57,وانصار-ت
20120104,828.21,867,826,858.04,13026266,460,وانصار-ت
20120107,840.09,892,840,879.76,3852369,293,وانصار-ت
20120108,871.36,898,869,896.55,10283094,125,وانصار-ت
20120109,873.39,900,870,890.18,1490234,169,وانصار-ت
20120110,880.34,898,869,884.68,760125,111,وانصار-ت
20120111,920.01,920,920,920.01,6870733,288,وانصار-ت
20120115,922.62,923,901,912.48,536374,130,وانصار-ت
20120116,883.23,896,877,891.34,756926,104,وانصار-ت
20120117,874.55,875,856,860.94,923801,132,وانصار-ت
20120118,854.56,883,855,862.38,433494,73,وانصار-ت
20120213,862.96,897,840,878.60,7982591,358,وانصار-ت
20120214,857.46,883,845,865.28,1179565,129,وانصار-ت
20120215,839.80,866,836,854.85,709069,91,وانصار-ت
20120218,830.82,846,822,837.48,1272668,110,وانصار-ت
20120219,806.49,840,806,824.74,961610,140,وانصار-ت
20120220,810.84,817,797,816.92,483224,76,وانصار-ت
20120221,793.75,834,794,814.60,429358,122,وانصار-ت
20120222,810.84,825,791,808.81,364287,89,وانصار-ت
20120225,781.88,811,777,793.75,855309,98,وانصار-ت
20120226,781.88,802,779,790.28,281926,64,وانصار-ت
20120227,776.67,781,768,786.22,219235,68,وانصار-ت
20120310,783.62,793,767,783.91,1533646,96,وانصار-ت
20120311,757.26,796,757,783.04,583215,91,وانصار-ت
20120312,781.88,814,756,794.33,1452743,155,وانصار-ت
20120313,778.69,811,771,793.17,231997,45,وانصار-ت
20120314,796.07,825,796,801.86,436068,55,وانصار-ت
20120317,783.91,804,773,796.94,302417,47,وانصار-ت
20120318,796.07,829,788,813.44,699451,104,وانصار-ت
20120324,810.84,846,811,815.47,76095,14,وانصار-ت
20120325,818.95,840,819,816.92,93258,27,وانصار-ت
20120326,816.05,848,802,821.26,232000,25,وانصار-ت
20120327,839.80,854,826,829.66,338612,57,وانصار-ت
20120328,830.24,854,820,833.43,262697,32,وانصار-ت
20120402,820.68,850,818,843.56,1013501,70,وانصار-ت
20120403,822.42,824,810,839.22,152639,52,وانصار-ت
20120404,822.42,848,811,836.32,274050,49,وانصار-ت
20120407,810.84,840,803,830.53,503626,66,وانصار-ت
20120408,816.63,825,805,819.24,766378,64,وانصار-ت
20120409,810.26,828,796,810.26,872821,87,وانصار-ت
20120410,796.07,831,787,811.42,556209,89,وانصار-ت
20120411,796.36,840,789,819.81,549964,102,وانصار-ت
20120414,807.94,840,801,824.74,522903,114,وانصار-ت
20120415,818.37,840,818,825.32,281488,65,وانصار-ت
20120416,812.29,840,809,823.87,215696,53,وانصار-ت
20120417,811.42,836,806,820.97,436192,79,وانصار-ت
20120418,811.13,834,802,817.79,389957,71,وانصار-ت
20120421,797.23,825,797,816.34,327700,58,وانصار-ت
20120422,798.67,824,798,814.60,375859,76,وانصار-ت
20120423,800.70,824,790,807.36,605200,103,وانصار-ت
20120424,803.89,822,791,808.81,477693,89,وانصار-ت
20120428,796.94,824,795,809.10,348502,84,وانصار-ت
20120429,798.10,811,791,805.62,320495,86,وانصار-ت
20120430,799.25,820,788,806.20,681443,107,وانصار-ت
20120501,797.23,808,797,805.05,213245,60,وانصار-ت
20120502,796.36,808,791,805.05,117362939,83,وانصار-ت
20120505,792.01,810,792,805.05,114176989,83,وانصار-ت
20120506,793.46,808,791,805.05,44217424,62,وانصار-ت
20120507,790.86,791,782,802.15,150357,62,وانصار-ت
20120508,782.17,802,779,802.15,117706858,96,وانصار-ت
20120509,784.77,805,782,802.15,117479197,119,وانصار-ت
20120512,785.35,796,785,799.83,170076,39,وانصار-ت
20120513,787.67,793,782,797.81,144141,38,وانصار-ت
20120514,785.35,796,780,794.62,243041,69,وانصار-ت
20120515,781.88,782,763,790.86,147902,57,وانصار-ت
20120516,761.61,766,759,781.88,300616,91,وانصار-ت
20120519,754.37,766,754,778.40,134972,40,وانصار-ت
20120520,752.92,757,747,748.00,1826295,189,وانصار-ت
20120521,747.13,772,747,756.97,681916,114,وانصار-ت
20120522,767.11,770,755,757.84,284736,59,وانصار-ت
20120523,763.06,773,759,759.87,223369,91,وانصار-ت
20120526,752.63,753,730,758.13,149022,51,وانصار-ت
20120527,757.55,758,734,755.53,220299,67,وانصار-ت
20120528,743.94,744,732,753.50,149205,42,وانصار-ت
20120529,727.15,742,727,752.34,96787,37,وانصار-ت
20120530,726.86,739,724,751.18,85878,42,وانصار-ت
20120602,739.31,739,721,749.74,83765,40,وانصار-ت
20120605,722.51,723,720,747.42,120471,59,وانصار-ت
20120606,717.59,718,718,747.13,11850,10,وانصار-ت
20120609,717.30,717,717,745.97,61709,16,وانصار-ت
20120610,716.14,744,716,731.78,870649,90,وانصار-ت
20120611,734.97,744,721,731.49,193220,49,وانصار-ت
20120612,723.96,724,718,730.91,113901,38,وانصار-ت
20120613,709.19,715,702,727.73,194322,61,وانصار-ت
20120616,714.98,715,699,725.70,124685,44,وانصار-ت
20120617,696.74,697,697,725.41,23917,18,وانصار-ت
20120619,696.45,696,696,724.83,25663,14,وانصار-ت
20120620,695.87,696,696,723.09,88047,18,وانصار-ت
20120623,694.42,694,694,723.09,110,2,وانصار-ت
20120624,694.42,694,694,722.80,15000,2,وانصار-ت
20120625,694.13,694,694,722.80,3108,4,وانصار-ت
20120626,694.13,694,694,709.77,730207,103,وانصار-ت
20120627,681.39,692,681,706.59,187335,43,وانصار-ت
20120630,678.79,694,678,703.40,288393,56,وانصار-ت
20120701,675.31,731,675,708.90,793692,113,وانصار-ت
20120702,736.99,737,737,712.38,192828,26,وانصار-ت
20120703,740.76,741,738,740.76,1605653,80,وانصار-ت
20120704,747.13,770,726,766.24,2069221,166,وانصار-ت
20120711,767.47,767,767,767.47,67692,3,وانصار-ت
20120714,767.47,798,767,780.36,807019,87,وانصار-ت
20120715,781.90,810,782,783.43,383921,62,وانصار-ت
20120716,767.47,809,767,785.27,298320,41,وانصار-ت
20120717,785.27,801,774,785.89,322559,51,وانصار-ت
20120718,776.68,783,755,772.07,4024941,238,وانصار-ت
20120721,742.30,743,741,741.38,1626512,111,وانصار-ت
20120722,715.90,737,712,712.52,16092711,592,وانصار-ت
20120723,715.59,727,715,717.74,921642,103,وانصار-ت
20120724,724.49,737,722,724.49,688998,67,وانصار-ت
20120725,729.71,736,723,729.40,997916,79,وانصار-ت
20120728,730.63,731,706,726.64,3478291,184,وانصار-ت
20120729,721.42,724,700,719.58,8076936,383,وانصار-ت
20120730,706.38,721,694,710.68,2388109,213,وانصار-ت
20120731,691.34,700,682,689.80,2316544,235,وانصار-ت
20120801,677.52,717,669,715.28,22307268,271,وانصار-ت
20120804,695.33,734,695,719.58,4289303,293,وانصار-ت
20120805,706.07,721,703,715.59,3934179,227,وانصار-ت
20120806,691.34,721,691,710.68,2012997,179,وانصار-ت
20120807,696.86,715,697,706.07,1290745,135,وانصار-ت
20120808,696.86,699,678,689.80,1708013,147,وانصار-ت
20120811,678.14,690,665,681.51,1265419,158,وانصار-ت
20120812,669.23,705,657,678.14,2543727,232,وانصار-ت
20120813,675.07,703,674,690.42,2107795,144,وانصار-ت
20120814,684.58,706,682,697.17,1625161,156,وانصار-ت
20120815,690.72,712,686,699.63,1384227,151,وانصار-ت
20120818,689.80,721,690,707.61,1412189,124,وانصار-ت
20120821,693.79,724,694,712.83,1484776,125,وانصار-ت
20120822,706.99,730,707,721.11,1727458,151,وانصار-ت
20120825,712.21,735,711,720.50,1478340,129,وانصار-ت
20120826,712.21,726,702,714.36,1934392,195,وانصار-ت
20120827,701.47,720,694,710.37,1863847,141,وانصار-ت
20120902,697.17,718,695,708.53,1149070,122,وانصار-ت
20120903,698.09,699,688,700.24,1017844,204,وانصار-ت
20120904,680.90,693,681,687.96,1350683,217,وانصار-ت
20120905,683.35,693,670,682.74,1296947,200,وانصار-ت
20120908,675.37,675,660,672.92,1290371,201,وانصار-ت
20120909,656.65,657,646,664.01,622435,105,وانصار-ت
20120910,637.61,638,638,660.33,221929,31,وانصار-ت
20120911,633.93,634,634,660.33,4101,5,وانصار-ت
20120915,633.93,634,634,643.14,1040927,52,وانصار-ت
20120916,617.66,618,618,642.22,64520,9,وانصار-ت
20120918,616.74,617,617,641.60,35844,8,وانصار-ت
20120919,616.12,616,616,641.30,12351,4,وانصار-ت
20120922,615.82,642,616,617.97,6476904,574,وانصار-ت
20120923,617.66,643,604,626.26,2264180,288,وانصار-ت
20120924,644.06,645,626,641.91,3597745,334,وانصار-ت
20120925,643.75,645,626,638.84,1939296,269,وانصار-ت
20120926,634.85,664,635,660.94,3257428,244,وانصار-ت
20120929,687.35,687,687,683.05,1335878,89,وانصار-ت
20120930,710.37,710,710,710.37,1627291,140,وانصار-ت
20121001,738.31,738,682,704.84,3132048,340,وانصار-ت
20121002,676.91,688,677,692.26,735080,83,وانصار-ت
20121003,664.63,706,665,682.13,3757681,361,وانصار-ت
20121006,660.33,696,660,677.52,1509804,169,وانصار-ت
20121007,696.86,702,661,692.56,2081911,285,وانصار-ت
20121008,675.37,691,674,685.20,1177950,132,وانصار-ت
20121009,687.65,697,669,683.05,2399680,232,وانصار-ت
20121010,670.15,694,670,683.97,3074806,259,وانصار-ت
20121013,675.37,685,668,676.91,1031161,125,وانصار-ت
20121014,656.95,684,657,674.76,1555005,163,وانصار-ت
20121015,675.07,691,671,680.90,1570850,189,وانصار-ت
20121016,675.99,696,675,686.42,1386069,137,وانصار-ت
20121017,675.68,694,676,691.03,1773193,155,وانصار-ت
20121020,675.68,703,676,692.87,3142932,182,وانصار-ت
20121021,683.05,686,665,682.74,907003,136,وانصار-ت
20121022,664.01,681,656,668.62,1526082,186,وانصار-ت
20121023,655.42,675,648,667.08,1623896,147,وانصار-ت
20121024,660.94,681,661,667.08,79140071,113,وانصار-ت
20121027,660.64,681,660,667.70,79162862,147,وانصار-ت
20121028,660.02,675,645,664.01,2723105,296,وانصار-ت
