<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20160905,1523.00,1590,1523,1531.00,115450,49,وخاورح-ت
20160906,1551.00,1580,1551,1564.00,46811,34,وخاورح-ت
20160907,1556.00,1630,1555,1574.00,46572,32,وخاورح-ت
20160910,1558.00,1600,1550,1569.00,376440,60,وخاورح-ت
20160911,1582.00,1602,1582,1592.00,406110,26,وخاورح-ت
20160913,1590.00,1602,1590,1600.00,629946,72,وخاورح-ت
20160914,1600.00,1650,1600,1600.00,1267042,80,وخاورح-ت
20160917,1600.00,1605,1590,1592.00,2250215,125,وخاورح-ت
20160918,1604.00,1604,1604,1604.00,3259,4,وخاورح-ت
20160919,1605.00,1610,1605,1607.00,113772,26,وخاورح-ت
20160921,1740.00,1756,1606,1740.00,17342,20,وخاورح-ت
20160924,1700.00,1700,1620,1660.00,704975,21,وخاورح-ت
20160925,1650.00,1655,1631,1650.00,39969,9,وخاورح-ت
20160926,1650.00,1650,1650,1650.00,15556,5,وخاورح-ت
20160927,1611.00,1614,1611,1612.00,2550,2,وخاورح-ت
20160928,1614.00,1661,1614,1625.00,25933,13,وخاورح-ت
20161001,1631.00,1670,1560,1591.00,3198138,369,وخاورح-ت
20161002,1482.00,1640,1480,1542.00,10875,7,وخاورح-ت
20161003,1410.00,1416,1402,1411.00,129352,30,وخاورح-ت
20161004,1423.00,1423,1422,1422.00,6253,4,وخاورح-ت
20161005,1435.00,1460,1430,1433.00,65586,14,وخاورح-ت
20161008,1463.00,1483,1463,1467.00,4200,3,وخاورح-ت
20161009,1470.00,1475,1470,1470.00,121775,21,وخاورح-ت
20161010,1470.00,1590,1470,1560.00,408265,35,وخاورح-ت
20161015,1470.00,1470,1470,1470.00,25000,1,وخاورح-ت
20161016,1510.00,1550,1510,1520.00,22095,12,وخاورح-ت
20161017,1500.00,1600,1500,1563.00,9940,9,وخاورح-ت
20161018,1487.00,1559,1487,1536.00,27192,5,وخاورح-ت
20161019,1566.00,1580,1538,1559.00,31303,11,وخاورح-ت
20161022,1501.00,1599,1500,1500.00,24569285,796,وخاورح-ت
20161023,1501.00,1515,1500,1500.00,9426850,139,وخاورح-ت
20161024,1431.00,1528,1431,1500.00,16841076,852,وخاورح-ت
20161025,1500.00,1501,1500,1500.00,362354,25,وخاورح-ت
20161026,1500.00,1620,1500,1542.00,373321,36,وخاورح-ت
20161030,1502.00,1596,1500,1504.00,31477,9,وخاورح-ت
20161031,1500.00,1501,1500,1500.00,116650,25,وخاورح-ت
20161101,1423.00,1648,1421,1475.00,109729,32,وخاورح-ت
20170404,1420.00,1420,1420,1420.00,3583792,53,وخاورح-ت
