<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20150826,916.59,917,917,916.59,70007232,1301,Kosar Ins.-a
20150829,956.89,962,948,960.04,21236115,725,Kosar Ins.-a
20150830,968.41,968,949,957.94,5966139,368,Kosar Ins.-a
20150831,953.23,963,951,957.42,4639475,265,Kosar Ins.-a
20150901,961.08,981,953,971.55,4882476,230,Kosar Ins.-a
20150902,981.50,1013,981,996.15,8358376,425,Kosar Ins.-a
20150905,1010.29,1031,1010,1019.19,6373261,281,Kosar Ins.-a
20150906,1012.38,1023,1008,1015.00,4466982,180,Kosar Ins.-a
20150907,1007.67,1020,995,1010.29,1929842,113,Kosar Ins.-a
20150908,1020.76,1021,1000,1012.91,1424414,118,Kosar Ins.-a
20150909,1010.81,1036,1011,1020.76,2368626,154,Kosar Ins.-a
20150912,1046.41,1046,1021,1030.18,5012929,211,Kosar Ins.-a
20150913,1030.18,1031,1026,1030.18,4424592,198,Kosar Ins.-a
20150914,1031.23,1045,1023,1038.03,667864,59,Kosar Ins.-a
20150915,1042.74,1044,1023,1032.27,983803,71,Kosar Ins.-a
20150916,1022.85,1042,1023,1030.18,890364,103,Kosar Ins.-a
20150919,1041.70,1072,1042,1051.64,6794104,246,Kosar Ins.-a
20150920,1078.34,1078,1047,1049.02,1811943,136,Kosar Ins.-a
20150921,1048.50,1077,1048,1066.30,1545207,105,Kosar Ins.-a
20150922,1076.77,1097,1076,1080.96,2093539,99,Kosar Ins.-a
20150923,1099.28,1099,1075,1090.38,438000,38,Kosar Ins.-a
20150926,1089.33,1094,1079,1084.62,1315143,107,Kosar Ins.-a
20150927,1074.67,1098,1075,1092.47,338728,35,Kosar Ins.-a
20150928,1084.62,1098,1085,1094.04,840287,43,Kosar Ins.-a
20150929,1086.19,1098,1084,1093.52,1529770,87,Kosar Ins.-a
20150930,1078.86,1094,1079,1093.00,1350365,100,Kosar Ins.-a
20151003,1088.81,1103,1078,1089.85,1910857,103,Kosar Ins.-a
20151004,1078.86,1099,1079,1090.38,2895231,114,Kosar Ins.-a
20151005,1099.28,1114,1094,1095.61,1314790,62,Kosar Ins.-a
20151006,1102.42,1103,1079,1093.52,840977,50,Kosar Ins.-a
20151007,1067.35,1094,1047,1054.78,6724998,239,Kosar Ins.-a
20151010,1088.28,1091,1081,1086.19,194981,18,Kosar Ins.-a
20151011,1086.19,1098,1086,1091.42,63944,15,Kosar Ins.-a
20151012,1097.71,1103,1090,1098.75,165496,16,Kosar Ins.-a
20151013,1094.04,1113,1094,1110.79,1603440,72,Kosar Ins.-a
20151014,1109.75,1140,1110,1118.65,647474,50,Kosar Ins.-a
