<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20150310,1323.11,1323,1323,1323.11,10948000
20150311,1389.12,1389,1389,1389.12,55750
20150314,1458.48,1458,1458,1458.48,24773
20150315,1531.18,1531,1531,1531.18,1139977
20150316,1607.50,1608,1608,1607.50,1329937
20150317,1643.44,1688,1630,1675.47,9124093
20150318,1707.50,1755,1648,1698.03,3823088
20150325,1631.46,1691,1631,1649.57,930291
20150328,1609.73,1663,1567,1602.49,2000950
20150329,1631.46,1657,1586,1618.65,1206294
20150330,1560.43,1588,1538,1545.95,1102112
20150331,1522.55,1574,1479,1531.46,512526
20150404,1607.78,1608,1608,1607.78,61306
20150405,1685.22,1685,1602,1631.74,3120688
20150406,1565.44,1588,1550,1554.02,1077631
20150407,1504.16,1532,1491,1506.11,1105360
20150408,1493.02,1546,1493,1505.28,691167
20150411,1487.45,1487,1449,1460.43,736204
20150412,1448.73,1449,1419,1434.53,524651
20150413,1448.45,1506,1437,1476.03,989676
20150414,1545.67,1550,1516,1544.83,627456
20150415,1559.87,1601,1532,1560.99,421149
20150418,1507.23,1535,1487,1515.86,316943
20150419,1504.16,1540,1504,1515.58,206465
20150420,1520.88,1543,1479,1518.65,436787
20150421,1501.38,1540,1501,1527.00,285338
20150422,1534.80,1546,1507,1521.15,283824
20150425,1509.73,1571,1510,1547.90,453822
20150426,1565.44,1616,1563,1601.66,916514
20150427,1560.15,1598,1529,1549.29,314619
20150428,1523.66,1547,1507,1519.20,366177
20150429,1559.87,1560,1515,1532.58,86171
20150503,1533.41,1542,1479,1500.82,201115
20150504,1477.70,1493,1452,1464.05,223885
20150505,1490.24,1490,1451,1461.27,69629
20150506,1476.31,1476,1449,1457.37,152399
20150509,1489.96,1490,1421,1450.12,298357
20150510,1456.81,1457,1396,1406.11,240722
20150511,1396.64,1448,1397,1422.83,165934
20150512,1398.59,1448,1372,1407.23,552721
20150519,1489.31,1539,1423,1492.28,411158
20150520,1473.42,1516,1461,1467.13,79891
20150523,1472.76,1499,1440,1451.58,131568
20150524,1434.04,1450,1433,1435.03,102077
