<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20100329,545.85,578,527,568.94,397986,32,Day Bime - R-a
20100331,577.34,577,541,541.65,700500,43,Day Bime - R-a
20100403,535.35,535,515,525.90,152000,14,Day Bime - R-a
20100404,515.41,515,500,500.71,309150,30,Day Bime - R-a
20100405,476.57,477,477,476.57,130010,15,Day Bime - R-a
20100406,453.47,472,453,458.72,416998,55,Day Bime - R-a
20100407,480.77,481,481,480.77,3500,1,Day Bime - R-a
20100410,493.36,504,458,491.26,493449,32,Day Bime - R-a
20100411,514.36,515,490,493.36,100291,13,Day Bime - R-a
20100412,493.36,493,469,477.62,102936,12,Day Bime - R-a
20100413,454.52,455,455,454.52,100000,7,Day Bime - R-a
20100414,432.48,432,432,432.48,1000,1,Day Bime - R-a
20100417,430.38,431,417,424.08,182764,23,Day Bime - R-a
20100418,430.38,445,420,437.73,546055,35,Day Bime - R-a
20100419,417.78,459,418,454.52,281542,18,Day Bime - R-a
20100420,476.57,477,472,476.57,1826509,104,Day Bime - R-a
20100421,453.47,479,453,471.32,144200,15,Day Bime - R-a
20100424,453.47,494,453,475.52,276745,17,Day Bime - R-a
20100425,462.92,499,460,482.87,400356,20,Day Bime - R-a
20100426,505.96,507,506,507.01,740907,38,Day Bime - R-a
20100427,532.20,532,532,532.20,601532,41,Day Bime - R-a
20100428,558.45,558,558,558.45,833511,38,Day Bime - R-a
20100501,585.74,586,586,585.74,3518000,167,Day Bime - R-a
20100502,614.08,614,614,614.08,13000,4,Day Bime - R-a
20100503,644.52,645,614,643.47,15450134,698,Day Bime - R-a
20100504,614.08,630,612,616.18,682567,53,Day Bime - R-a
20100505,586.79,587,586,585.74,8294495,1380,Day Bime - R-a
20100508,585.74,613,567,590.99,880944,63,Day Bime - R-a
20100509,577.34,620,577,618.28,4311042,206,Day Bime - R-a
20100510,648.72,649,648,648.72,13125234,432,Day Bime - R-a
20100511,651.87,652,630,636.12,1740315,113,Day Bime - R-a
20100512,629.83,668,630,666.57,13673095,983,Day Bime - R-a
20100809,1889.48,1889,1889,1889.48,100000,2,Day Bime - R-a
20100810,1836.99,1837,1795,1799.20,385000,19,Day Bime - R-a
20100811,1711.03,1711,1711,1711.03,542500,21,Day Bime - R-a
20100814,1626.00,1626,1626,1626.00,20000,2,Day Bime - R-a
20100821,1707.00,1707,1707,1707.00,8620896,270,Day Bime - R-a
20100822,1707.00,1707,1707,1707.00,4379104,137,Day Bime - R-a
20141216,300.00,339,279,299.00,28275057,2847,Day Bime - R-a
20141217,311.00,313,301,311.00,4139459,398,Day Bime - R-a
20141220,326.00,326,326,326.00,162301,27,Day Bime - R-a
20141222,342.00,342,342,342.00,125457,13,Day Bime - R-a
20141224,359.00,359,351,359.00,37368996,1754,Day Bime - R-a
20141227,367.00,376,363,373.00,28532832,2447,Day Bime - R-a
20141228,391.00,391,391,391.00,1176640,58,Day Bime - R-a
20141229,410.00,410,410,410.00,149101,19,Day Bime - R-a
20141230,430.00,430,430,430.00,61342,9,Day Bime - R-a
20141231,451.00,451,451,451.00,2756197,157,Day Bime - R-a
20150103,473.00,473,473,473.00,1075506,45,Day Bime - R-a
20150104,496.00,496,496,496.00,94412,11,Day Bime - R-a
20150105,520.00,520,500,519.00,61941149,2962,Day Bime - R-a
20150106,530.00,544,494,508.00,51821785,3831,Day Bime - R-a
20150107,530.00,533,502,524.00,42848277,4878,Day Bime - R-a
20150110,508.00,514,498,504.00,4543406,694,Day Bime - R-a
20150111,479.00,480,479,479.00,34591026,2057,Day Bime - R-a
20150112,464.00,500,460,485.00,47156764,4073,Day Bime - R-a
20150113,489.00,491,461,465.00,19125736,1489,Day Bime - R-a
20150114,450.00,453,442,444.00,14861920,1327,Day Bime - R-a
20150117,422.00,438,422,423.00,22252573,2325,Day Bime - R-a
20150118,410.00,415,402,405.00,4027856,244,Day Bime - R-a
20150119,385.00,385,385,385.00,39162,4,Day Bime - R-a
20150120,366.00,366,366,366.00,178295,12,Day Bime - R-a
20150121,348.00,348,348,348.00,16438,3,Day Bime - R-a
20150124,331.00,331,331,331.00,6860,2,Day Bime - R-a
20150125,315.00,315,315,315.00,3919468,171,Day Bime - R-a
20150126,300.00,300,300,300.00,79253,9,Day Bime - R-a
20150127,285.00,293,285,286.00,30288317,3412,Day Bime - R-a
20150128,293.00,300,290,298.00,13696783,715,Day Bime - R-a
20150131,312.00,312,312,312.00,7286593,242,Day Bime - R-a
20150302,341.00,341,318,328.00,18142679,1281,Day Bime - R-a
20150303,320.00,327,312,316.00,2894686,138,Day Bime - R-a
20150304,301.00,316,301,303.00,41226382,2923,Day Bime - R-a
20150307,307.00,307,288,290.00,21501776,1199,Day Bime - R-a
20150308,287.00,304,278,293.00,17066235,1433,Day Bime - R-a
20150309,291.00,298,279,287.00,17722826,1371,Day Bime - R-a
20150310,273.00,273,273,273.00,757898,33,Day Bime - R-a
20150311,260.00,260,260,260.00,626000,32,Day Bime - R-a
20150314,247.00,247,247,247.00,48035194,2039,Day Bime - R-a
20150928,50.00,50,50,50.00,8700000,174,Day Bime - R-a
20150929,52.00,52,52,52.00,20000,1,Day Bime - R-a
20150930,52.00,52,52,52.00,582790652,60,Day Bime - R-a
