<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20030902,829.05,829,829,829.05,272
20030903,829.05,829,829,829.05,635
20030908,829.05,1233,829,829.05,546827
20030913,829.05,829,829,829.05,1361
20030914,829.05,829,829,829.05,272
20030915,829.05,829,829,829.05,272
20030922,829.05,829,829,829.05,363
20030930,829.05,829,829,829.05,363
20031001,829.05,829,829,829.05,272
20031008,829.05,829,829,829.05,272
20060802,1365.49,1385,1024,1336.71,4273
20060805,1363.44,1363,1342,1341.98,326
20060807,1368.80,1369,1344,1344.32,373
20060809,1371.14,1371,1347,1346.66,373
20060812,1373.58,1374,1349,1349.10,373
20060815,1376.02,1376,1356,1356.42,1098
20060819,1383.53,1384,1360,1360.02,546
20060826,1387.14,1387,1364,1363.63,546
20060827,1390.85,1391,1366,1366.07,381
20061111,1463.02,1951,1463,1677.21,9496
20061114,1677.21,1677,1677,1677.21,5451
20061115,1643.75,1677,1644,1658.48,2377
20061118,1658.58,1659,1658,1658.48,110
20061120,1625.32,1648,1625,1647.56,1326
20061121,1614.69,1633,1615,1633.12,1777
20061122,1633.12,1633,1633,1633.12,2020
20061125,1633.12,1633,1633,1633.12,474
20061126,1632.73,1633,1633,1633.02,1597
20061127,1633.02,1633,1633,1633.02,907
20061206,1632.93,1633,1633,1633.02,101
20061210,1632.93,1633,1633,1633.02,51
20061219,1631.66,1633,1632,1632.54,1370
20061223,1630.78,1632,1631,1632.24,690
20061225,1599.67,1600,1600,1599.67,14453
20061226,1567.68,1587,1568,1586.99,1591
20061227,1586.99,1587,1587,1586.99,170526
20061230,1586.99,1600,1555,1561.04,25505
20070101,1531.30,1531,1531,1531.30,30680
20070102,1500.67,1501,1501,1500.67,30000
20070103,1500.67,1501,1501,1500.67,10000
20070106,1492.28,1492,1492,1492.28,7000
20070107,1488.38,1488,1488,1488.38,8500
20070110,1518.13,1518,1495,1495.11,917
20070206,1524.96,1525,1503,1502.62,1010
20070214,1609.32,1609,1609,1609.32,8000
20070218,1641.90,1642,1609,1609.32,257898
20070220,1609.32,1609,1609,1609.32,950
20070224,1609.52,1610,1609,1609.42,1110
20070225,1609.23,1609,1609,1609.32,1110
20070226,1609.32,1609,1609,1609.32,1317
20070227,1609.23,1609,1609,1609.32,1060
20070228,1609.42,1609,1609,1609.32,1110
20070303,1609.42,1609,853,1609.32,46619
20070304,1609.32,1609,1609,1609.32,1814
20070305,1609.32,1609,1609,1609.32,907
20070306,1609.32,1609,1609,1609.32,907
20070307,1609.32,1609,1609,1609.32,907
20070311,1609.32,1609,1609,1609.32,907
20070313,1609.32,1609,1609,1609.32,1000
20070314,1609.32,1609,1609,1609.32,1630
20070319,1609.32,1609,1609,1609.32,1000
20070326,1609.23,1609,1609,1609.32,1000
20070327,1609.32,1609,1609,1609.32,1100
20070328,1609.32,1609,1609,1609.32,1050
20070331,1609.32,1609,1609,1609.32,900
20070403,1609.32,1609,1609,1609.32,1030
20070404,1609.32,1609,1609,1609.32,985
20070407,1609.32,1609,1609,1609.32,1071
20070408,1609.32,1609,1609,1609.32,465
20070409,1609.32,1609,1609,1609.32,983
20070410,1609.32,1609,1609,1609.32,1065
20070411,1609.32,1609,1609,1609.32,9001
20070417,1609.32,1609,1609,1609.32,7027
20070429,1609.32,1609,1609,1609.32,680
20070515,1609.32,1609,1609,1609.32,1500
20070528,1609.13,1609,1609,1609.32,1000
20070529,1609.32,1609,1609,1609.32,175
20070530,1609.23,1609,1609,1609.32,677
20070606,1609.23,1609,1609,1609.32,198
20070610,1609.32,1609,1609,1609.32,12
20070613,1609.32,1609,1609,1609.32,1500
20070701,1609.32,1609,1609,1609.32,907
20070702,1609.32,1609,853,853.43,4031
20070707,1609.32,1609,1609,1609.32,593
20070714,1609.23,1609,1609,1609.32,103
20070730,1608.64,1609,1609,1609.13,872
20071009,244.23,244,244,244.23,10000
20071010,249.10,249,244,244.32,110
20071030,249.20,249,245,245.20,690
20071104,853.43,853,245,245.20,320
20071114,250.08,250,250,250.08,100
20071120,255.05,255,255,255.05,100
20071121,260.13,260,260,260.13,100
20071124,265.29,265,265,265.29,100
20071125,270.56,271,265,265.39,110
20071203,270.66,271,271,270.66,100
20071209,276.02,276,276,276.02,100
20071210,281.49,281,276,276.12,110
20071212,281.58,282,279,279.34,2395
20071216,273.78,285,274,281.29,2855
20071217,286.85,287,283,283.05,10010
20071218,288.70,289,286,285.87,16010
20071219,291.53,292,289,288.80,16562
20071222,294.55,295,292,291.73,16010
20071223,297.48,297,292,291.73,62
20071226,297.48,297,294,294.46,15010
20071231,300.31,300,297,297.48,16460
