<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20050821,1450.00,1600,1210,1471.00,1277571
20050822,1617.00,1618,1610,1617.00,303810
20050823,1778.00,1778,1681,1722.00,659092
20050824,1700.00,1706,1650,1674.00,798061
20050827,1711.00,1711,1633,1684.00,684702
20050828,1689.00,1689,1595,1623.00,1104738
20050829,1619.00,1640,1505,1600.00,1447387
20050830,1580.00,1581,1480,1532.00,1308174
20050831,1495.00,1528,1480,1504.00,1999839
20050903,1500.00,1500,1400,1445.00,1038313
20050904,1400.00,1426,1378,1397.00,1510040
20050905,1399.00,1400,1304,1352.00,1523534
20050906,1346.00,1348,1250,1273.00,2225194
20050907,1299.00,1350,1253,1298.00,1563437
20050910,1318.00,1350,1300,1315.00,978957
20050911,1315.00,1378,1310,1330.00,1116925
20050912,1310.00,1314,1270,1292.00,1568239
20050913,1270.00,1310,1249,1262.00,1522887
20050914,1250.00,1259,1202,1243.00,2285962
20050917,1243.00,1298,1230,1252.00,6109110
20050918,1243.00,1298,1190,1226.00,5577102
20050919,1214.00,1229,1132,1156.00,2726204
20050921,1156.00,1156,1050,1102.00,2162238
20050924,1150.00,1150,1070,1102.00,2821817
20050925,1051.00,1070,992,1000.00,860926
20050926,900.00,900,900,900.00,5432117
20050927,810.00,890,810,811.00,20390911
20050928,811.00,867,810,839.00,29343599
20051001,839.00,922,839,910.00,2427984
20051002,1001.00,1001,960,1000.00,18318107
20051030,1011.00,1011,1010,1010.00,155321575
20080216,544.00,550,502,542.00,109352
20080217,539.00,542,521,522.00,166746
20080218,503.00,520,502,504.00,222777
20080219,524.00,524,500,520.00,254124
20080220,507.00,540,500,517.00,390484
20080223,517.00,537,517,535.00,972413
20080224,519.00,524,515,516.00,226594
20080225,504.00,536,503,531.00,302092
20080226,540.00,552,535,550.00,469690
20080227,534.00,572,534,570.00,406488
20080301,580.00,592,551,590.00,156471
20080302,613.00,613,613,613.00,171201
20080303,637.00,637,591,636.00,1057200
20080304,650.00,661,641,658.00,390706
20080305,684.00,684,641,683.00,613751
20080309,710.00,710,710,710.00,121383
20080310,738.00,738,721,737.00,910558
20080311,750.00,766,730,763.00,841180
20080312,761.00,793,759,785.00,533084
20080315,815.00,815,754,788.00,341052
20080316,759.00,775,757,757.00,1204654
20080317,775.00,787,730,784.00,322129
20080402,758.00,800,723,777.00,708357
20080405,777.00,799,776,790.00,907439
20080406,784.00,800,780,789.00,583910
20080407,763.00,784,763,773.00,373155
20080408,773.00,803,760,787.00,739371
20080518,750.00,750,700,702.00,525010
20080519,730.00,730,730,730.00,3012545
20080520,759.00,759,759,759.00,1000000
20080521,789.00,789,789,789.00,33154210
20080824,1310.00,1362,1302,1346.00,369882
20080825,1300.00,1369,1293,1303.00,526859
20080826,1261.00,1280,1251,1254.00,130404
20080827,1300.00,1304,1300,1303.00,2032351
20080830,1355.00,1355,1333,1354.00,714182
20080831,1354.00,1387,1333,1352.00,333495
20080901,1353.00,1372,1351,1361.00,278772
