<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20131217,488.70,489,489,488.70,46000,3,وشهر-ت
20140114,679.65,777,680,688.71,301540,8,وشهر-ت
20140115,679.65,680,680,679.65,8000,1,وشهر-ت
20140120,680.30,680,680,680.30,66666,1,وشهر-ت
20140121,680.94,681,681,680.94,16818,1,وشهر-ت
20140125,776.74,777,777,776.74,450,1,وشهر-ت
20140127,679.65,681,680,680.30,33333,2,وشهر-ت
20140129,682.56,683,683,682.56,26666,1,وشهر-ت
20140203,682.56,683,683,682.56,45857,2,وشهر-ت
20140204,712.01,744,682,734.67,86915,6,وشهر-ت
20140208,776.74,777,696,759.59,209401,10,وشهر-ت
20140210,728.52,777,729,751.50,251330,7,وشهر-ت
20140216,809.10,809,777,785.80,1398,2,وشهر-ت
20140217,776.74,777,777,776.74,119997,1,وشهر-ت
20140219,744.38,744,744,744.38,18500,3,وشهر-ت
20140222,776.74,777,745,776.74,124718,6,وشهر-ت
20140225,776.74,777,777,776.74,138662,3,وشهر-ت
20140226,744.70,777,745,759.59,161253,10,وشهر-ت
20140302,744.38,777,744,767.68,56867,4,وشهر-ت
20140304,776.74,777,744,771.89,129290,2,وشهر-ت
20140305,776.74,809,777,777.06,212976,8,وشهر-ت
20140309,776.74,777,777,776.74,636590,10,وشهر-ت
20140310,809.10,809,809,809.10,500,1,وشهر-ت
20140311,809.10,809,777,777.06,189832,4,وشهر-ت
20140312,776.74,777,777,776.74,78936,2,وشهر-ت
20140315,776.74,777,776,776.74,183416,6,وشهر-ت
20140317,809.10,809,776,776.74,153867,11,وشهر-ت
20140318,776.74,777,777,776.74,26716,2,وشهر-ت
20140319,776.74,777,777,776.74,174685,6,وشهر-ت
20140405,776.74,777,777,776.74,103432,2,وشهر-ت
20140406,776.74,777,777,776.74,40048,1,وشهر-ت
20140407,792.92,793,777,776.74,100040,4,وشهر-ت
20140409,776.74,777,776,776.74,405955,15,وشهر-ت
20140412,776.74,777,777,776.74,88738,1,وشهر-ت
20140414,776.74,777,777,776.74,353964,11,وشهر-ت
20140415,776.74,777,777,776.74,306375,8,وشهر-ت
20140416,776.74,777,777,776.74,166666,1,وشهر-ت
20140421,776.74,777,761,776.74,333585,20,وشهر-ت
20140422,776.74,777,777,776.74,1000,1,وشهر-ت
20140423,776.74,777,777,776.74,2100,2,وشهر-ت
20140427,776.42,777,696,726.25,53532,6,وشهر-ت
20140428,695.83,696,696,695.83,36000,6,وشهر-ت
20140429,680.62,776,681,713.31,53068,8,وشهر-ت
20140430,695.83,696,680,685.47,56666,3,وشهر-ت
20140503,679.65,696,647,672.53,46079,7,وشهر-ت
20140504,679.65,680,615,641.46,50827,8,وشهر-ت
20140505,680.30,680,615,615.24,40100,4,وشهر-ت
20140506,647.28,647,566,568.32,20500,2,وشهر-ت
20140507,640.81,696,641,649.87,600,2,وشهر-ت
20140510,566.37,599,566,583.20,175703,9,وشهر-ت
20140511,576.41,599,576,586.76,43066,3,وشهر-ت
20140512,599.06,599,599,599.06,145464,7,وشهر-ت
20140514,598.74,647,599,603.92,89899,6,وشهر-ت
20140517,599.06,647,599,608.77,58428,5,وشهر-ت
20140518,598.74,599,583,582.88,9438,3,وشهر-ت
20140519,595.50,596,596,595.50,1750,4,وشهر-ت
20140520,582.56,599,550,556.34,56444,6,وشهر-ت
20140521,550.19,583,550,555.69,126662,8,وشهر-ت
20140524,550.84,551,551,550.84,44998,3,وشهر-ت
20140526,582.56,583,534,546.63,43778,6,وشهر-ت
20140528,582.56,583,583,582.56,5000,1,وشهر-ت
20140531,582.56,583,535,548.25,50250,8,وشهر-ت
20140601,550.84,551,551,550.84,30000,1,وشهر-ت
20140602,566.37,566,551,553.75,25038,4,وشهر-ت
20140603,566.37,566,550,552.46,7666,2,وشهر-ت
20140607,550.19,572,535,549.22,94786,8,وشهر-ت
20140608,550.19,550,535,540.16,422210,18,وشهر-ت
20140609,535.30,535,535,535.30,22666,2,وشهر-ت
20140614,535.30,550,535,536.27,90328,9,وشهر-ت
20140615,550.19,550,536,539.19,13000,2,وشهر-ت
20140616,535.95,536,536,535.95,25000,1,وشهر-ت
20140617,550.19,566,534,545.34,85388,10,وشهر-ت
20140618,534.01,534,534,534.01,20000,1,وشهر-ت
20140621,502.94,545,503,512.97,56664,2,وشهر-ت
20140622,511.35,550,511,523.98,164396,19,وشهر-ت
20140623,534.01,550,521,532.71,87030,6,وشهر-ت
20140624,512.00,534,511,522.68,31664,6,وشهر-ت
20140628,508.12,532,507,513.94,264993,20,وشهر-ت
20140629,532.39,532,528,529.48,68399,9,وشهر-ت
20140630,527.54,528,528,527.54,268,1,وشهر-ت
20140806,676.66,730,633,686.96,165777,9,وشهر-ت
20140809,635.01,694,605,654.27,679366,42,وشهر-ت
20140810,676.66,677,634,640.84,65654,6,وشهر-ت
20140811,738.91,739,582,669.94,807779,46,وشهر-ت
20140812,671.29,708,627,673.97,540407,12,وشهر-ت
20140813,658.30,694,627,660.54,360781,24,وشهر-ت
20140816,738.91,739,618,667.26,222812,14,وشهر-ت
20140817,653.82,673,649,670.84,203098,17,وشهر-ت
20140818,673.97,674,672,673.53,227573,11,وشهر-ت
20140819,673.97,675,673,673.97,249988,12,وشهر-ت
20140820,672.63,757,673,677.56,480420,13,وشهر-ت
20140824,756.82,757,681,699.95,163672,16,وشهر-ت
20140825,680.69,681,681,680.69,105000,2,وشهر-ت
20140826,689.65,739,685,710.25,567059,26,وشهر-ت
20140827,716.52,756,687,713.38,254195,19,وشهر-ت
20140830,716.97,717,672,695.02,272281,21,وشهر-ت
20140831,688.31,716,672,687.86,68700,10,وشهر-ت
20140902,671.74,717,672,680.24,107263,18,وشهر-ت
20140903,671.74,717,672,688.75,1660371,95,وشهر-ت
20140906,680.69,717,671,695.47,727646,42,وشهر-ت
20140907,714.28,717,672,695.92,227680,16,وشهر-ت
20140908,671.74,694,663,687.86,1197544,80,وشهر-ت
20140909,662.78,672,663,669.50,90246,3,وشهر-ت
20140910,633.67,672,634,658.30,60136,10,وشهر-ت
20140913,671.74,672,634,659.20,86578,9,وشهر-ت
20140914,635.91,640,618,632.77,193394,28,وشهر-ت
20140916,618.00,649,618,637.25,110910,11,وشهر-ت
20140917,635.91,672,618,637.70,1597550,110,وشهر-ت
20140920,635.91,672,605,623.37,493811,22,وشهر-ت
20140921,635.91,636,542,595.61,120188,6,وشهر-ت
20140923,618.00,618,546,604.56,736754,49,وشهر-ت
20140924,604.56,627,582,605.01,1147523,79,وشهر-ت
20140927,582.17,627,582,605.01,75958,4,وشهر-ت
20140928,604.56,609,582,601.43,153232,19,وشهر-ت
20140929,584.41,584,581,582.17,119995,5,وشهر-ت
20141001,582.17,582,551,559.78,993617,69,وشهر-ت
20141004,559.78,609,547,560.68,822479,68,وشهر-ت
20141006,559.78,582,551,560.23,516770,38,وشهر-ت
20141008,559.78,666,547,578.14,189682,19,وشهر-ت
20141012,551.27,582,547,561.57,232103,21,وشهر-ت
20141014,559.78,582,546,558.44,2196407,170,وشهر-ت
20141015,550.82,560,542,553.06,194728,20,وشهر-ت
20141018,547.69,548,548,547.69,13332,1,وشهر-ت
20141019,546.34,560,542,546.34,193555,19,وشهر-ت
20141020,548.58,560,515,549.03,89992,8,وشهر-ت
20141021,541.87,582,540,553.51,1683245,142,وشهر-ت
20141022,564.71,596,542,568.74,233477,26,وشهر-ت
20141025,565.60,569,565,568.74,1566386,111,وشهر-ت
20141026,565.15,614,564,583.51,230312,21,وشهر-ت
20141027,577.24,577,569,572.32,66662,4,وشهر-ت
20141028,575.90,591,569,575.01,134058,9,وشهر-ت
20141029,575.90,582,560,566.50,378719,15,وشهر-ت
20141101,582.17,582,560,568.74,156682,12,وشهر-ت
20141102,604.11,605,560,596.50,169149,32,وشهر-ت
20141105,613.52,614,582,588.44,81740,12,وشهر-ت
20141108,582.17,614,582,592.02,162365,15,وشهر-ت
20141109,622.47,649,589,616.65,184085,18,وشهر-ت
20141110,618.00,649,582,613.97,219751,26,وشهر-ت
20141112,626.95,663,591,623.82,338913,28,وشهر-ت
20141115,618.00,627,597,611.73,95614,7,وشهر-ت
20141116,618.00,670,600,624.71,382732,29,وشهر-ت
20141117,586.65,654,587,611.73,495610,51,وشهر-ت
20141118,626.95,663,605,627.85,467637,46,وشهر-ت
20141119,649.34,658,609,635.01,381179,27,وشهر-ت
20141122,703.08,716,591,622.03,3748509,281,وشهر-ت
20141123,626.95,717,627,670.39,988914,72,وشهر-ت
20141124,676.21,890,618,712.49,595306,79,وشهر-ت
20141125,895.65,896,671,804.74,1096021,97,وشهر-ت
20141126,761.30,806,752,768.02,522999,66,وشهر-ت
20141129,806.08,828,717,764.88,1127665,100,وشهر-ت
20141130,770.26,806,722,759.96,392600,34,وشهر-ت
20141201,716.52,764,717,722.34,263671,20,وشهر-ت
20141202,682.93,757,683,696.81,948744,62,وشهر-ت
20141203,685.17,717,672,701.29,365063,26,وشهر-ت
20141206,695.02,717,672,700.84,303524,12,وشهر-ت
20141207,704.43,725,671,703.98,1277034,82,وشهر-ت
20141215,703.08,806,703,703.53,110186,6,وشهر-ت
20141216,694.13,694,694,694.13,1000,1,وشهر-ت
20141217,591.13,699,565,625.61,556942,50,وشهر-ت
20141220,604.56,649,605,624.71,279876,13,وشهر-ت
20141224,626.95,649,586,605.46,559107,58,وشهر-ت
20141227,623.82,627,618,621.13,197828,11,وشهر-ت
20141228,613.52,649,537,613.52,707917,56,وشهر-ت
20141229,604.56,627,605,614.41,201797,20,وشهر-ت
20141230,609.04,627,607,614.86,241746,17,وشهر-ت
20141231,604.56,627,605,622.47,168856,16,وشهر-ت
20150103,622.92,637,605,616.65,351599,25,وشهر-ت
20150104,609.04,628,586,608.14,135834,28,وشهر-ت
20150105,592.02,627,537,602.77,587795,48,وشهر-ت
20150106,604.56,627,600,611.28,450386,46,وشهر-ت
20150107,591.13,622,587,599.64,226638,28,وشهر-ت
20150110,591.13,624,578,591.13,252486,30,وشهر-ت
20150111,591.13,605,542,571.42,386183,88,وشهر-ت
20150112,537.84,581,537,555.75,532636,39,وشهر-ت
20150113,573.21,582,524,566.50,208958,17,وشهر-ت
20150114,568.74,569,564,567.84,192074,6,وشهر-ت
20150117,568.29,578,547,569.63,482182,33,وشهر-ت
20150118,577.24,581,547,568.29,208668,21,وشهر-ت
20150119,577.24,581,546,568.29,359468,27,وشهر-ت
20150120,544.11,574,539,555.75,311332,37,وشهر-ت
20150121,544.11,564,544,548.58,364542,28,وشهر-ت
20150124,559.33,559,537,541.87,284189,13,وشهر-ت
20150125,532.91,546,524,534.25,270836,23,وشهر-ت
20150126,559.78,560,515,532.46,462530,37,وشهر-ت
20150127,501.56,536,457,502.01,174478,21,وشهر-ت
20150128,470.66,542,471,510.52,245032,20,وشهر-ت
20150131,532.91,546,506,537.39,222776,31,وشهر-ت
20150201,559.78,591,524,551.72,689666,61,وشهر-ت
20150202,591.13,591,537,564.26,453102,38,وشهر-ت
20150203,582.17,587,569,583.07,99968,16,وشهر-ت
20150204,604.56,605,564,587.54,254186,35,وشهر-ت
20150207,604.56,622,574,592.47,605044,81,وشهر-ت
20150208,579.93,622,580,597.40,108685,13,وشهر-ت
20150209,573.21,604,569,588.89,117931,21,وشهر-ت
20150210,546.34,574,537,543.66,349090,18,وشهر-ت
20150214,599.64,618,538,593.81,869963,48,وشهر-ت
20150215,569.63,616,568,594.71,795525,39,وشهر-ت
20150216,568.74,569,561,568.29,2100,2,وشهر-ت
20150217,582.17,605,561,591.58,365051,20,وشهر-ت
20150218,604.56,605,587,589.78,26818,3,وشهر-ت
20150221,582.17,609,564,589.78,591790,37,وشهر-ت
20150222,601.88,605,566,597.84,232250,18,وشهر-ت
20150223,591.13,605,570,592.92,110812,10,وشهر-ت
20150224,602.32,609,564,591.58,356217,28,وشهر-ت
20150225,586.65,605,564,596.95,297190,16,وشهر-ت
20150228,603.22,609,564,595.61,233830,21,وشهر-ت
20150301,575.45,605,565,589.34,362135,23,وشهر-ت
20150302,591.13,605,566,596.95,3705270,29,وشهر-ت
20150303,591.13,609,538,579.48,891600,58,وشهر-ت
20150304,604.56,618,566,591.13,481562,33,وشهر-ت
20150307,571.42,605,538,588.89,473838,28,وشهر-ت
20150308,571.42,605,565,583.96,550142,40,وشهر-ت
20150309,604.56,605,565,589.78,231994,17,وشهر-ت
20150310,604.56,627,564,623.82,15427685,84,وشهر-ت
20150311,626.95,627,566,591.13,211177,21,وشهر-ت
20150314,573.21,622,569,584.41,322667,35,وشهر-ت
20150315,666.36,667,569,609.94,838008,52,وشهر-ت
20150316,626.95,667,591,622.92,645815,32,وشهر-ت
20150317,604.56,667,596,619.34,353053,28,وشهر-ت
20150318,570.08,627,569,591.13,872146,59,وشهر-ت
20150328,648.90,649,591,624.27,195019,19,وشهر-ت
20150329,648.45,665,593,644.42,84047,7,وشهر-ت
20150330,597.40,665,597,611.28,75832,7,وشهر-ت
20150331,664.57,665,574,595.16,775235,45,وشهر-ت
20150404,738.91,779,575,686.07,2277954,71,وشهر-ت
20150405,765.78,806,703,759.06,1014979,60,وشهر-ت
20150406,828.47,828,712,737.12,4510694,50,وشهر-ت
20150407,743.39,797,632,724.58,891981,43,وشهر-ت
20150408,694.13,743,684,719.65,275237,18,وشهر-ت
20150411,747.87,748,717,735.77,289355,24,وشهر-ت
20150412,760.40,761,694,723.24,740635,38,وشهر-ت
20150413,649.79,723,633,698.16,1799074,46,وشهر-ت
20150414,671.74,755,650,706.67,915790,35,وشهر-ت
20150415,752.34,752,672,708.01,583830,22,وشهر-ت
20150418,649.34,751,636,703.08,676813,36,وشهر-ت
20150419,680.69,746,667,713.38,504569,17,وشهر-ت
20150420,649.34,717,636,694.57,835036,41,وشهر-ت
20150421,649.34,734,649,703.53,823098,19,وشهر-ت
20150422,707.11,717,637,693.68,7331110,533,وشهر-ت
20150425,700.84,707,672,694.13,7503908,551,وشهر-ت
20150426,649.34,694,636,655.17,629623,56,وشهر-ت
20150427,644.87,694,632,645.31,586822,38,وشهر-ت
20150428,631.88,671,616,640.84,330511,23,وشهر-ت
20150429,680.69,681,632,664.57,705947,15,وشهر-ت
20150503,640.39,672,636,645.31,376359,12,وشهر-ت
20150504,631.43,658,631,635.46,511034,21,وشهر-ت
20150505,644.87,658,616,643.07,4730187,202,وشهر-ت
20150506,640.39,694,616,641.28,830341,44,وشهر-ت
20150509,649.34,666,616,639.94,805431,33,وشهر-ت
20150510,649.34,666,617,644.42,7526051,265,وشهر-ت
20150511,671.29,671,616,636.36,1026417,56,وشهر-ت
20150512,616.21,667,616,644.42,6233485,85,وشهر-ت
20150513,671.74,672,618,645.31,1289250,26,وشهر-ت
20150517,622.92,663,618,630.54,1325049,50,وشهر-ت
20150518,622.92,627,618,622.03,483129,53,وشهر-ت
20150519,622.92,663,622,630.98,4675246,271,وشهر-ت
20150520,631.43,663,618,639.49,1989133,59,وشهر-ت
20150523,622.92,645,617,638.15,1542476,83,وشهر-ت
20150524,649.34,663,614,636.36,1499625,66,وشهر-ت
20150525,612.18,645,601,609.94,441726,24,وشهر-ت
20150526,591.13,615,582,601.43,737856,34,وشهر-ت
20150527,575.45,618,575,588.89,2277071,69,وشهر-ت
20150530,600.08,645,582,624.27,1574888,43,وشهر-ت
20150531,639.49,644,584,612.62,306277,18,وشهر-ت
20150601,638.15,645,583,631.88,2852220,117,وشهر-ت
20150602,631.43,645,596,635.01,463332,16,وشهر-ت
20150606,592.47,645,587,609.94,372643,43,وشهر-ت
20150607,618.44,619,592,605.46,42192,6,وشهر-ت
20150608,591.58,605,583,590.23,357123,16,وشهر-ت
20150609,591.58,605,582,592.92,223581,13,وشهر-ت
20150610,582.17,605,582,585.75,194178,19,وشهر-ت
20150613,644.87,645,583,619.79,469681,25,وشهر-ت
20150614,604.56,618,583,594.71,271179,33,وشهر-ت
20150615,589.34,605,587,591.13,219539,11,وشهر-ت
20150616,586.65,605,587,588.89,214609,14,وشهر-ت
20150617,613.07,645,587,610.38,987821,47,وشهر-ت
20150620,629.19,645,587,614.41,915774,41,وشهر-ت
20150621,635.46,645,585,595.16,382823,27,وشهر-ت
20150622,595.61,618,585,592.02,339456,6,وشهر-ت
20150623,596.95,627,582,597.84,878869,67,وشهر-ت
20150624,644.87,645,596,631.88,1521321,40,وشهر-ت
20150627,613.52,620,600,614.41,50779,6,وشهر-ت
20150628,582.17,618,582,595.61,1340320,115,وشهر-ت
20150629,604.56,614,583,596.95,520246,44,وشهر-ت
20150630,604.56,618,583,604.56,811672,39,وشهر-ت
20150701,588.89,618,582,592.02,1576540,58,وشهر-ت
20150704,626.51,631,582,590.68,3210186,87,وشهر-ت
20150705,644.42,644,609,622.47,260789,16,وشهر-ت
20150706,626.95,636,618,619.34,299591,19,وشهر-ت
20150707,649.34,658,605,633.22,1549362,113,وشهر-ت
20150711,671.74,672,605,639.04,2136269,101,وشهر-ت
20150712,605.46,662,605,626.95,908698,44,وشهر-ت
20150713,662.78,672,582,597.40,9591774,399,وشهر-ت
20150714,582.17,708,582,641.73,1516532,62,وشهر-ت
20150715,649.34,717,636,669.50,6041301,229,وشهر-ت
20150720,747.42,784,703,737.57,9964315,283,وشهر-ت
20151116,750.20,778,750,757.00,403029,13,وشهر-ت
20151117,777.41,807,777,787.13,2195621,84,وشهر-ت
20151118,784.21,826,777,791.98,431276,25,وشهر-ت
20151121,806.56,807,782,798.79,708293,21,وشهر-ت
20151122,781.29,807,781,791.98,383865,20,وشهر-ت
20151123,781.29,799,778,786.15,1335532,36,وشهر-ت
20151124,781.29,807,778,791.98,662508,299,وشهر-ت
20151125,778.38,807,778,786.15,1566649,47,وشهر-ت
20151128,782.27,825,777,795.87,1534027,33,وشهر-ت
20151129,792.96,823,777,790.04,1028457,34,وشهر-ت
20151130,787.13,787,787,787.13,319351,5,وشهر-ت
20151201,779.35,807,778,784.21,1400706,30,وشهر-ت
20151205,826.00,826,778,807.53,883760,28,وشهر-ت
20151206,821.14,826,778,797.81,1218388,34,وشهر-ت
20151207,823.08,826,778,803.65,3374476,52,وشهر-ت
20151208,821.14,822,778,798.79,1363690,30,وشهر-ت
20151209,781.29,820,778,787.13,614675,23,وشهر-ت
20151213,780.32,818,778,785.18,680105,19,وشهر-ت
20151214,816.28,816,777,801.70,651996,20,وشهر-ت
20151215,816.28,817,778,787.13,996039,26,وشهر-ت
20151216,816.28,816,778,793.93,726593,19,وشهر-ت
20151219,815.31,815,778,802.67,1370734,14,وشهر-ت
20151220,801.70,807,778,795.87,2015879,34,وشهر-ت
20151221,814.33,816,778,796.84,976878,22,وشهر-ت
20151222,815.31,816,778,795.87,817786,21,وشهر-ت
20151223,787.13,816,778,801.70,850654,21,وشهر-ت
20151226,816.28,821,778,796.84,1426416,41,وشهر-ت
20151227,821.14,825,778,802.67,2045879,33,وشهر-ت
20151228,821.14,821,782,799.76,515927,19,وشهر-ت
20151230,779.35,816,779,798.79,1160581,24,وشهر-ت
20160102,782.27,816,778,801.70,1221929,40,وشهر-ت
20160103,826.00,826,778,803.65,2883124,54,وشهر-ت
20160104,787.13,835,787,805.59,2088547,42,وشهر-ت
20160105,826.00,826,797,811.42,1608220,43,وشهر-ت
20160106,816.28,870,811,823.08,2849480,59,وشهر-ت
20160109,874.58,875,816,834.74,1395124,40,وشهر-ت
20160110,818.22,855,816,834.74,1944459,39,وشهر-ت
20160111,864.87,871,816,846.40,2257728,33,وشهر-ت
20160112,826.00,872,826,854.18,2860790,45,وشهر-ت
20160113,870.70,871,826,845.43,2160532,45,وشهر-ت
20160116,861.95,884,827,857.09,2047409,47,وشهر-ت
20160117,863.89,923,837,857.09,2718193,79,وشهر-ت
20160118,845.43,884,836,863.89,1575686,44,وشهر-ت
20160119,835.71,875,834,859.04,2311789,46,وشهر-ت
20160120,845.43,875,839,860.98,1576796,35,وشهر-ت
20160123,884.30,884,846,866.81,1617688,28,وشهر-ت
20160124,855.15,891,855,872.64,2850821,54,وشهر-ت
20160125,884.30,894,855,872.64,6477203,90,وشهر-ت
20160126,884.30,894,875,877.50,3292563,68,وشهر-ت
20160127,874.58,884,875,880.41,894378,13,وشهر-ت
20160130,874.58,898,865,875.56,5613701,95,وشهر-ت
20160131,884.30,884,855,875.56,3734273,29,وشهر-ت
20160201,845.43,883,845,872.64,1258852,23,وشهر-ت
20160202,855.15,873,845,854.18,466561,20,وشهر-ت
20160203,845.43,855,836,843.49,443436,17,وشهر-ت
20160206,830.85,845,825,831.83,1032482,36,وشهر-ت
20160207,830.85,836,816,829.88,3081233,65,وشهر-ت
20160208,834.74,836,816,827.94,1279478,37,وشهر-ت
20160209,826.00,875,816,842.52,3627235,86,وشهر-ت
20160210,817.25,874,817,835.71,2461778,73,وشهر-ت
20160213,818.22,838,797,808.50,3882408,109,وشهر-ت
20160214,835.71,836,797,800.73,2630550,57,وشهر-ت
20160215,804.62,825,797,813.36,997038,40,وشهر-ت
20160216,826.00,844,807,824.05,2505954,64,وشهر-ت
20160217,825.02,844,807,822.11,3066553,49,وشهر-ت
20160220,825.02,836,797,818.22,2525350,57,وشهر-ت
20160221,806.56,821,779,804.62,1715282,42,وشهر-ت
20160222,796.84,822,787,801.70,2829608,76,وشهر-ت
20160223,796.84,802,784,796.84,3483432,71,وشهر-ت
20160224,779.35,816,777,789.07,2390071,54,وشهر-ت
20160227,796.84,826,777,804.62,14834388,125,وشهر-ت
20160228,779.35,816,777,784.21,3447666,90,وشهر-ت
20160229,777.41,802,777,783.24,2590299,49,وشهر-ت
20160301,777.41,787,777,780.32,2465772,50,وشهر-ت
20160302,781.29,782,766,777.41,2324505,49,وشهر-ت
20160305,758.94,779,759,775.46,1057591,19,وشهر-ت
20160306,755.06,778,748,771.58,3386170,71,وشهر-ت
20160307,761.86,779,760,775.46,3120733,48,وشهر-ت
20160308,769.63,777,768,775.46,1924070,42,وشهر-ت
20160309,769.63,779,768,774.49,2507993,42,وشهر-ت
20160312,767.69,777,768,773.52,1640570,34,وشهر-ت
20160314,777.41,777,749,769.63,1741255,46,وشهر-ت
20160315,767.69,779,768,776.44,1178218,25,وشهر-ت
20160316,777.41,795,752,776.44,810894,27,وشهر-ت
20160326,776.44,816,776,806.56,1356781,21,وشهر-ت
20160327,806.56,808,777,791.01,520150,24,وشهر-ت
20160328,777.41,806,768,781.29,598842,21,وشهر-ت
