<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20050118,5797.18,5797,5785,5784.65,5390400
20050119,6073.88,6074,6074,6073.88,800000
20050122,6377.58,6378,6378,6377.58,2000000
20050123,6695.73,6696,6696,6695.73,1000000
20050124,7030.28,7030,6758,7026.42,6968093
20050125,6845.17,6990,6725,6830.71,1317353
20050126,6700.55,6971,6491,6840.35,2182370
20050130,6770.93,6942,6558,6853.85,591507
20050131,6511.59,6922,6512,6864.45,1101663
20050201,6835.53,6892,6749,6873.13,559953
20050202,6560.76,6903,6561,6882.77,740956
20050205,6882.77,6894,6826,6882.77,375454
20050206,6844.20,6893,6755,6882.77,876111
20050207,6864.45,6893,6652,6884.70,1062945
20050208,6849.99,6894,6845,6887.59,372975
20050209,6894.34,6894,6889,6888.55,185702
20050212,6903.02,6905,6888,6899.16,663185
20050213,6899.16,7243,6893,7068.84,527775
20050214,6923.26,7231,6923,7080.41,117932
20050215,7080.41,7135,6750,7080.41,230953
20050216,7124.76,7144,7056,7085.23,107810
20050221,6915.55,7081,6731,7081.38,8542
20050222,6727.55,7075,6728,7074.63,13940
20050223,6721.76,7013,6722,7012.92,138358
20050226,6664.88,7002,6665,7002.32,31764
20050227,6978.22,6996,6752,6995.57,22824
20050228,6863.49,6991,6729,6990.75,14427
20050301,6738.15,6974,6643,6974.36,43114
20050302,6742.97,7038,6654,6965.68,52546
20050305,6915.55,6965,6652,6964.72,1499
20050306,6652.35,6944,6617,6943.51,47340
20050307,6596.43,6938,6596,6937.72,13899
20050309,6591.61,6935,6592,6934.83,6430
20050312,6588.72,6933,6589,6932.90,3055
20050313,6586.79,6933,6587,6932.90,184
20050314,6586.79,6933,6587,6932.90,445
20050315,6586.79,6923,6587,6923.26,20238
20050316,6577.15,6891,6577,6891.45,89167
20050326,6845.17,6890,6845,6890.48,1405
20050327,6845.17,6890,6845,6889.52,990
20050328,6562.69,6887,6546,6886.63,5938
20050329,6742.97,6882,6633,6881.81,13533
20050330,6788.29,6880,6691,6879.88,8530
20050403,6681.27,6869,6605,6869.27,34373
20050404,6651.38,6860,6598,6859.63,26261
20050405,6748.76,6851,6614,6850.95,37468
20050406,6675.49,6842,6556,6842.28,25595
20050410,6627.28,6831,6557,6830.71,37034
20050411,6632.10,6942,6557,6823.96,121245
20050412,6962.79,7164,6881,6880.84,157535
20050413,7223.10,7224,6902,6902.05,64052
20050416,6903.02,6903,6747,6896.27,85399
20050417,6760.33,6889,6749,6888.55,45488
20050418,6768.04,6885,6652,6884.70,14542
20050419,6727.55,6880,6559,6879.88,10033
20050420,6572.33,6854,6537,6853.85,61882
20050423,6604.14,6850,6557,6849.99,11774
20050424,6604.14,6831,6556,6830.71,53265
20050425,6555.94,6811,6490,6811.43,51001
20050427,6527.01,6800,6492,6799.86,33108
20050430,6570.40,6787,6514,6787.32,36598
20050501,6497.13,6763,6448,6763.22,59136
20050502,6473.99,6756,6427,6755.51,16962
20050503,6469.17,6740,6469,6740.08,49805
20050504,6514.48,6739,6514,6734.30,288503
20050507,6513.52,6730,6460,6730.44,11040
20050508,6461.45,6719,6460,6718.87,33687
20050509,6440.24,6704,6440,6704.41,42434
20050510,6507.73,6702,6508,6701.52,11126
20050511,6688.98,6749,6604,6700.55,61036
20050514,6414.21,6693,6413,6692.84,35710
20050515,6554.97,6692,6431,6691.88,2470
20050516,6500.98,6666,6363,6665.84,80249
20050517,6483.63,6843,6411,6642.71,236276
20050518,6607.03,6652,6315,6622.46,101129
20050521,6517.37,6615,6421,6614.75,38668
20050522,6505.80,6614,6496,6613.78,4590
20050523,6360.22,6605,6360,6605.11,58373
20050524,6355.40,6587,6275,6586.79,68374
20050525,6458.56,6586,6459,6585.82,5010
20050528,6266.70,6574,6258,6574.25,29980
20050529,6273.45,6541,6246,6541.47,80389
20050530,6266.70,6520,6215,6520.26,50544
20050531,6194.40,6493,6194,6493.27,64310
20050601,6169.33,6433,6169,6433.49,146494
20050606,6112.45,6399,6112,6398.79,85010
20050607,6079.67,6394,6080,6393.97,10187
20050608,6074.85,6361,6075,6361.19,81623
20050612,6044.00,6362,6044,6345.76,41425
20050613,6028.57,6326,6029,6325.51,50795
20050614,6009.29,6320,6009,6319.73,13629
20050615,6004.47,6279,6004,6279.24,100817
20050618,5965.90,6274,5966,6274.42,9966
20050619,6003.50,6246,5961,6246.46,69837
20050620,5935.05,6225,5303,6225.25,250052381
20050621,5914.80,6211,5915,6210.79,36555
20050622,5900.34,6183,5900,6182.83,71624
20050625,5874.31,6179,5874,6178.97,10010
20050626,5871.42,6167,5870,6167.40,28557
20050627,5859.85,6157,5860,6156.80,26526
20050628,5849.25,6130,5849,6129.80,68370
20050629,5824.18,6111,5824,6111.48,46205
20050702,5806.82,6092,5807,6092.20,49587
20050703,5788.51,6076,5789,6075.81,41478
20050704,5772.12,6069,5772,6069.06,15969
20050705,5766.33,6058,5766,6058.46,27830
20050706,5755.73,6052,5756,6051.71,17638
20050711,5749.94,6048,5750,6047.85,10010
20050712,5746.09,6047,5746,6046.89,2410
20050716,5745.12,6039,5745,6039.17,20010
20050717,5737.41,6014,5737,6014.11,64329
20050718,5714.27,6005,5714,6005.43,21511
20050719,5705.59,5998,5346,5997.72,250020010
20050720,5697.88,5993,5698,5992.90,11503
20050723,5705.59,5989,5706,5989.04,8853
20050724,5690.17,5985,5690,5985.18,8404
20050727,5686.31,5980,5686,5980.36,10484
20050730,5681.49,5977,5681,5977.47,7030
20050801,5678.60,5976,5679,5975.54,2854
20050809,5677.63,5976,5678,5975.54,180
20050810,5677.63,5976,5678,5975.54,180
20050813,5677.63,5976,5678,5975.54,178
20050814,5677.63,5968,5678,5967.83,19168
20050820,5669.92,5968,5670,5967.83,20
20050905,5591.83,5592,5303,5591.83,209106943
20050907,5312.24,5590,5312,5589.90,4513
20050910,5456.85,5589,5457,5588.94,610
20050911,5310.31,5587,5310,5587.01,5507
20050912,5308.38,5586,5308,5586.04,810
20050913,5307.42,5570,5307,5569.65,45987
20050914,5291.99,5551,5292,5551.34,52180
20050919,5274.64,5545,5275,5544.59,209018240
20051009,5267.89,5545,5268,5544.59,392
20051012,5267.89,5542,5268,5541.69,7290
20051029,5265.00,5818,5265,5730.66,700132
