<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20130820,10000.00,10000,10000,10000.00,17120000
20130821,10000.00,10000,10000,10000.00,6524070
20130824,10000.00,10000,10000,10000.00,1838560
20130928,10370.00,10500,10300,10417.00,726270
20130929,10450.00,10450,10300,10390.00,701140
20130930,10420.00,10420,10311,10366.00,1368840
20131001,10400.00,10400,10340,10373.00,554640
20131002,10350.00,10400,10200,10324.00,426170
20131005,10400.00,10449,10310,10396.00,564490
20131006,10400.00,10500,10370,10425.00,414330
20131007,10400.00,10498,10312,10321.00,433860
20131008,10430.00,10430,10300,10380.00,89800
20131009,10425.00,10600,10425,10514.00,280050
20131012,10600.00,10660,10450,10592.00,252660
20131013,10700.00,10750,10500,10637.00,111960
20131014,10680.00,10850,10500,10712.00,339220
20131015,10844.00,11500,10844,11016.00,88300
20131019,11400.00,11851,11064,11250.00,424420
20131020,11199.00,11199,10895,10948.00,145130
20131021,11030.00,11200,11020,11120.00,45690
20131022,11081.00,11081,10945,10998.00,36850
20131023,10921.00,11045,10921,11002.00,65250
20131026,11050.00,11103,10951,11010.00,105830
20131027,10900.00,10900,10550,10852.00,48680
20131028,10830.00,10950,10830,10852.00,52970
20131029,10850.00,10930,10850,10891.00,51710
20131030,10890.00,10978,10870,10922.00,92360
20131102,10990.00,10990,10892,10922.00,390960
20131103,10980.00,11033,10852,10955.00,81850
20131104,10931.00,11000,10870,10938.00,81410
20131105,10960.00,11010,10810,10970.00,71380
20131106,11090.00,11143,10300,11035.00,162050
20131109,11140.00,11222,11140,11189.00,50790
20131110,11150.00,11399,11150,11298.00,99500
20131111,11500.00,11500,11311,11406.00,20250
20131112,11300.00,11300,11154,11235.00,98000
20131116,11280.00,11403,11280,11388.00,86310
20131117,11384.00,11400,11151,11242.00,57920
20131118,11300.00,11300,11050,11199.00,69440
20131119,11200.00,11350,11200,11268.00,59740
20131120,11350.00,11400,11310,11349.00,14820
20131123,11395.00,11540,11395,11420.00,157220
20131124,11562.00,11700,11561,11674.00,127670
20131125,11771.00,11771,11666,11687.00,49890
20131126,11621.00,11700,11600,11641.00,63090
20131127,11644.00,11775,11640,11702.00,24590
20131130,11800.00,11880,11740,11816.00,111660
20131201,11870.00,11930,11765,11851.00,110020
20131202,11720.00,11810,11681,11741.00,79450
20131203,11681.00,11800,11600,11658.00,83300
20131204,11542.00,11800,11542,11689.00,98970
20131207,11799.00,11800,11689,11719.00,283990
20131208,11750.00,11880,11740,11832.00,237710
20131209,11840.00,11850,11750,11828.00,110580
20131210,11832.00,12000,11832,11911.00,181410
20131211,12000.00,12128,11965,11986.00,29750
20131214,11900.00,11901,11770,11806.00,141200
20131215,11810.00,11948,11200,11854.00,686310
20131216,11890.00,11999,11800,11899.00,60700
20131217,11950.00,11950,11881,11923.00,45090
20131218,11900.00,11980,11890,11895.00,170800
20131221,11830.00,11880,11830,11849.00,262990
20131222,11850.00,11899,11850,11887.00,243060
20131224,11890.00,12080,11890,11944.00,43020
20131225,12020.00,12100,11980,12002.00,85560
20131228,11985.00,11985,11870,11902.00,110030
20131229,11950.00,11950,11860,11907.00,42300
20131230,11950.00,11980,11830,11899.00,38850
20140101,11901.00,11980,10911,11904.00,56500
20140104,11920.00,11950,11700,11881.00,347300
20140105,11920.00,11945,11751,11918.00,81810
20140106,11948.00,11948,11850,11893.00,135480
20140107,11850.00,11850,11810,11841.00,88640
20140108,11840.00,11850,11790,11809.00,128000
20140111,11800.00,11840,11690,11761.00,83520
20140112,11790.00,11790,11600,11713.00,23810
20140113,11829.00,11830,11710,11759.00,46100
20140114,11720.00,11800,11700,11728.00,40430
20140115,11640.00,11720,11600,11632.00,22970
20140118,11650.00,11690,11590,11603.00,350910
20140120,11650.00,11650,11400,11497.00,127770
20140121,11500.00,11650,11490,11523.00,115970
20140122,11490.00,11495,11440,11471.00,57260
20140125,11490.00,11600,11490,11540.00,25770
20140126,11420.00,11420,11395,11409.00,15640
20140127,11340.00,11435,11300,11331.00,46150
20140128,11529.00,11529,11460,11477.00,24500
20140129,11610.00,11610,11500,11536.00,102600
20140201,11690.00,11710,11690,11709.00,18500
20140202,11660.00,11660,11600,11649.00,9150
20140203,11899.00,11899,11570,11602.00,13490
20140204,11580.00,11580,11580,11580.00,1360
20140208,11340.00,11340,11290,11306.00,25050
20140209,11400.00,11400,11280,11309.00,16450
20140210,11300.00,11650,11300,11400.00,11000
20140212,11152.00,11152,11120,11140.00,30490
20140215,11200.00,11350,11100,11160.00,16250
20140216,11200.00,11400,11200,11220.00,11750
20140217,11769.00,11769,11380,11603.00,6000
20140218,11240.00,11250,11220,11232.00,25060
20140219,11205.00,11405,11205,11372.00,1200
20140222,11469.00,11550,11469,11515.00,2100
20140223,11750.00,11750,11500,11612.00,3780
20140224,11400.00,11400,11400,11400.00,500
20140225,11330.00,11330,11250,11277.00,3000
20140226,11190.00,11308,11190,11263.00,9100
20140301,11190.00,11699,11190,11428.00,2550
20140302,11599.00,11599,11400,11418.00,1100
20140303,11250.00,11343,11150,11208.00,65900
20140304,11110.00,11251,11110,11221.00,19600
20140305,11350.00,11450,11350,11439.00,11900
20140308,11350.00,11350,11050,11123.00,28420
20140309,11031.00,11166,11030,11091.00,900
20140310,11200.00,11289,11150,11198.00,24440
20140311,11100.00,11100,10920,10948.00,6600
20140312,10920.00,11200,10890,11166.00,185900
20140315,11300.00,11300,11295,11300.00,6410
20140316,11310.00,11310,11195,11297.00,2530
20140317,11280.00,11280,11280,11280.00,50
20140318,11350.00,11350,11264,11279.00,7380
20140319,11390.00,11450,11270,11356.00,1600
20140325,11400.00,11400,11400,11400.00,100
20140329,11310.00,11310,11310,11310.00,7400
20140330,11245.00,11400,11245,11348.00,3000
20140331,11410.00,11410,11410,11410.00,1000
20140405,11450.00,11450,11450,11450.00,1400
20140406,11350.00,11350,11210,11286.00,4500
20140407,11250.00,11389,11210,11232.00,4420
20140408,11300.00,11400,11250,11252.00,1640
20140409,11170.00,11350,11170,11173.00,5210
20140412,11205.00,11360,11115,11177.00,2730
20140413,11021.00,11199,11000,11008.00,61310
20140414,10950.00,10950,10840,10888.00,30330
20140415,10900.00,11249,10900,10925.00,7830
20140416,11000.00,11249,10900,10948.00,160230
20140420,11000.00,11190,10900,10962.00,57160
20140422,11101.00,11190,11000,11015.00,227710
20140423,11100.00,11149,11000,11055.00,93030
20140426,11200.00,11400,11200,11200.00,85120
20140427,11400.00,11400,11210,11233.00,97710
20140428,11240.00,11394,11230,11245.00,66770
20140429,11400.00,11400,11200,11210.00,210
20140430,11250.00,11400,11210,11389.00,1828040
20140503,11350.00,11350,11181,11235.00,310
20140504,11399.00,11399,11090,11323.00,4440
20140505,11467.00,11467,11317,11396.00,360
20140506,11160.00,11369,11160,11163.00,810
20140507,11199.00,11320,11140,11161.00,11200
20140510,11370.00,11370,11200,11203.00,1020
20140511,11170.00,11399,11150,11158.00,50040
20140512,11199.00,11300,11140,11161.00,43870
20140514,11110.00,11200,11100,11148.00,4750
20140517,11000.00,11190,10990,11002.00,104010
20140518,11050.00,11177,11020,11041.00,6510
20140519,11100.00,11100,10980,11097.00,10310
20140520,10990.00,11100,10990,11017.00,104250
20140521,11101.00,11101,11100,11100.00,2000
20140524,11100.00,11100,11060,11099.00,48910
20140525,11200.00,11200,10980,11008.00,1270
20140526,10970.00,11100,10970,10970.00,3660
20140528,11050.00,11199,10970,11058.00,13410
20140531,11050.00,11170,11050,11050.00,4110
20140602,11050.00,11099,10900,10977.00,1690
20140603,10935.00,11079,10920,10930.00,3020
20140607,10950.00,11000,10950,10950.00,10380
20140608,10980.00,10980,10880,10905.00,202310
20140609,10930.00,10995,10900,10905.00,6270
20140610,10870.00,10990,10870,10875.00,9190
20140611,10890.00,10895,10800,10826.00,200420
20140614,10820.00,10945,10720,10778.00,16630
20140615,10955.00,10955,10955,10955.00,100
20140616,10800.00,10950,10800,10918.00,7750
20140617,10710.00,10950,10710,10824.00,2300
20140618,10800.00,10966,10800,10817.00,200
20140621,10850.00,10966,10850,10945.00,1200
20140624,10740.00,10900,10730,10750.00,11400
20140625,10800.00,10943,10680,10776.00,4800
20140628,10690.00,10850,10630,10794.00,2300
20140629,10550.00,10700,10550,10566.00,10520
20140630,10500.00,10880,10500,10535.00,110
20140701,10839.00,10840,10839,10839.00,710
20140702,10800.00,10902,10680,10780.00,3080
20140705,10770.00,11010,10770,10997.00,16510
20140706,10770.00,11000,10680,10705.00,200490
20140707,10770.00,10900,10770,10779.00,1460
20140708,10870.00,11100,10870,10870.00,100940
20140709,10860.00,11089,10860,10974.00,200
20140712,10870.00,11100,10850,10870.00,203220
20140714,10850.00,11100,10850,10975.00,1000
20140715,11100.00,11100,11100,11100.00,100
20140716,11100.00,11100,10970,11059.00,3200
20140720,11099.00,11100,10960,11062.00,3710
20140721,11150.00,11150,11150,11150.00,100
20140723,11100.00,11200,11090,11103.00,4250
20140726,11100.00,11100,11020,11046.00,14930
20140727,11022.00,11100,11022,11087.00,120
20140728,11099.00,11099,11099,11099.00,2960
20140802,11060.00,11200,10980,11010.00,30110
20140803,11000.00,11100,11000,11009.00,1090
20140804,11200.00,11200,11140,11142.00,10300
20140805,11130.00,11170,11130,11131.00,4500
20140806,11095.00,11185,11095,11125.00,6000
20140809,11040.00,11150,11040,11061.00,5120
20140810,11160.00,11160,11160,11160.00,100
20140811,11160.00,11160,11160,11160.00,100
20140812,11050.00,11150,11050,11100.00,91200
20140818,11012.00,11012,10991,10999.00,28530
20140819,11000.00,11000,10982,10997.00,9710
20140820,10986.00,11000,10975,10978.00,8500
20140823,11100.00,11100,11099,11099.00,12000
20140826,11000.00,11000,10920,10956.00,720
20140903,10831.00,10990,10812,10831.00,28770
20140906,10990.00,10995,10800,10934.00,1600
20140909,10800.00,10890,10800,10826.00,7000
20140910,10800.00,10899,10800,10849.00,1000
20140914,10746.00,10746,10723,10739.00,7200
20140915,10800.00,10800,10759,10784.00,9150
20140920,10800.00,10800,10800,10800.00,5000
20140922,10830.00,10860,10830,10858.00,3430
20140923,10835.00,10835,10835,10835.00,2000
20140924,10840.00,10840,10831,10835.00,8420
20140927,10840.00,10840,10829,10832.00,10000
20140928,10840.00,10840,10840,10840.00,78000
20140930,10835.00,10880,10835,10850.00,8990
20141001,10864.00,10864,10864,10864.00,100
20141004,10894.00,10894,10894,10894.00,220
20141006,10930.00,10930,10850,10896.00,120000
20141007,10896.00,10896,10750,10820.00,125000
20141008,10842.00,10842,10700,10756.00,156220
20141012,10900.00,10900,10900,10900.00,500
20141015,10997.00,10997,10900,10930.00,1300
20141018,10886.00,10886,10840,10856.00,30000
20141019,10900.00,10950,10900,10924.00,2100
20141020,11000.00,11000,11000,11000.00,10000
20141021,11000.00,11070,11000,11023.00,7020
20141022,11041.00,11100,11041,11079.00,2300
20141025,11100.00,11135,11100,11131.00,1250
20141026,11135.00,11220,11100,11219.00,1009290
20141027,11500.00,11500,11500,11500.00,30
20141029,11486.00,11486,11200,11200.00,200090
20141101,11479.00,11479,11470,11475.00,900
