<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20131130,583.78,584,584,583.78,57985,2,سباقر-ت
20131211,583.78,584,584,583.78,18351,2,سباقر-ت
20131222,568.41,584,568,569.34,19254,3,سباقر-ت
20140104,568.41,568,568,568.41,21784,4,سباقر-ت
20140107,568.41,584,568,568.41,8431,3,سباقر-ت
20140113,553.05,553,553,553.05,15475,1,سباقر-ت
20140121,430.15,430,430,430.15,5000,2,سباقر-ت
20140201,324.46,324,307,307.56,5475,2,سباقر-ت
20140202,322.61,323,323,322.61,8156,1,سباقر-ت
20140203,337.98,338,338,337.98,211905,5,سباقر-ت
20140205,414.79,415,415,414.79,2124,1,سباقر-ت
20140208,368.70,455,369,385.29,5143,2,سباقر-ت
20140210,368.70,369,369,368.70,235000,2,سباقر-ت
20140217,368.70,384,346,357.64,138749,8,سباقر-ت
20140218,399.43,399,338,347.81,138779,10,سباقر-ت
20140219,430.15,430,338,348.73,99683,7,سباقر-ت
20140223,326.30,326,323,325.38,12965,9,سباقر-ت
20140224,368.70,369,338,355.49,35390,4,سباقر-ت
20140226,319.54,320,320,319.54,18665,2,سباقر-ت
20140302,319.54,320,320,319.54,15000,1,سباقر-ت
20140304,337.98,338,338,337.98,58565,3,سباقر-ت
20140309,337.98,341,323,337.98,10016264,259,سباقر-ت
20140310,337.98,338,313,337.98,1006782,51,سباقر-ت
20140311,337.98,338,313,337.05,90100,5,سباقر-ت
20140312,313.40,313,313,313.40,9803,1,سباقر-ت
20140316,336.44,338,336,336.75,15000,2,سباقر-ت
20140318,337.98,338,338,337.98,3249,1,سباقر-ت
20140319,337.98,338,313,325.69,20000,3,سباقر-ت
20140325,337.98,338,338,337.98,99303,6,سباقر-ت
20140330,316.47,316,316,316.47,2640,1,سباقر-ت
20140331,334.90,338,335,337.36,12500,3,سباقر-ت
20140408,337.98,338,338,337.98,510571,8,سباقر-ت
20140409,337.98,338,338,337.98,60000,4,سباقر-ت
20140413,319.54,320,314,317.39,90770,9,سباقر-ت
20140414,314.32,314,314,314.32,17014,2,سباقر-ت
20140415,314.01,314,310,310.94,80725,3,سباقر-ت
20140416,310.32,313,307,310.02,225229,9,سباقر-ت
20140419,325.69,326,311,311.55,110700,8,سباقر-ت
20140420,310.63,311,311,310.63,960,1,سباقر-ت
20140421,310.63,311,304,305.71,6385,2,سباقر-ت
20140423,310.63,311,311,310.63,92540,7,سباقر-ت
20140426,307.25,307,305,306.33,32273,3,سباقر-ت
20140427,310.32,326,307,312.47,207096,15,سباقر-ت
20140428,311.86,312,310,311.25,19574,2,سباقر-ت
20140429,307.25,323,307,307.25,30100,3,سباقر-ت
20140430,322.61,323,323,322.61,5000,1,سباقر-ت
20140503,319.54,320,307,309.71,54093,5,سباقر-ت
20140504,307.25,323,307,321.69,39905,2,سباقر-ت
20140505,310.32,310,310,310.32,10000,1,سباقر-ت
20140506,307.25,310,307,308.48,56345,3,سباقر-ت
20140510,299.57,300,300,299.57,8496,1,سباقر-ت
20140512,299.57,307,300,302.03,41484,4,سباقر-ت
20140514,299.57,306,277,289.43,178340,13,سباقر-ت
20140517,270.38,277,270,271.92,38660,2,سباقر-ت
20140518,276.53,277,277,276.53,9870,1,سباقر-ت
20140519,282.67,283,283,282.67,6117,1,سباقر-ت
20140520,282.67,284,277,280.52,78277,9,سباقر-ت
20140521,291.58,292,292,291.58,2540,1,سباقر-ت
20140524,304.49,307,304,304.79,129794,8,سباقر-ت
20140525,304.18,304,292,303.26,136990,7,سباقر-ت
20140528,307.25,307,307,307.25,47800,3,سباقر-ت
20140531,307.25,307,307,307.25,3000,1,سباقر-ت
20140601,307.25,307,307,307.25,4600,1,سباقر-ت
20140602,294.96,307,287,294.04,224469,10,سباقر-ت
20140603,301.11,301,301,301.11,62020,1,سباقر-ت
20140608,307.25,307,307,307.25,106409,3,سباقر-ت
20140609,313.40,316,303,310.02,160251,15,سباقر-ت
20140610,291.89,292,292,291.89,40780,2,سباقر-ت
20140611,293.42,293,293,293.42,2039,1,سباقر-ت
20140614,304.18,304,293,293.73,43641,4,سباقر-ت
20140615,291.89,293,292,293.12,58060,2,سباقر-ت
20140616,304.18,304,304,304.18,5566,2,سباقر-ت
20140617,293.42,293,293,293.42,5310,2,سباقر-ت
20140618,301.11,307,301,306.64,97731,8,سباقر-ت
20140621,313.40,313,313,313.40,10000,2,سباقر-ت
20140628,307.25,307,307,307.25,6343,2,سباقر-ت
20140629,301.11,301,293,293.42,29558,6,سباقر-ت
20140630,292.50,293,292,292.20,34918,2,سباقر-ت
20140702,291.89,293,292,291.89,36112,2,سباقر-ت
20140705,307.25,307,307,307.25,31418,4,سباقر-ت
20140706,289.12,289,289,289.12,14980,2,سباقر-ت
20140707,280.21,281,280,280.52,9263,2,سباقر-ت
20140712,293.42,293,293,293.42,50000,1,سباقر-ت
20140714,291.89,292,292,291.89,1200,1,سباقر-ت
20140715,279.60,280,280,279.60,82039,7,سباقر-ت
20140716,279.60,292,270,278.68,101000,7,سباقر-ت
20140720,276.53,277,270,271.00,12760,4,سباقر-ت
20140802,264.24,271,264,265.16,23070,2,سباقر-ت
20140810,267.31,273,265,271.92,66000,5,سباقر-ت
20140812,273.45,273,273,273.45,5000,1,سباقر-ت
20140917,294.65,307,261,287.59,21200,4,سباقر-ت
20140920,276.53,277,277,276.53,1190,1,سباقر-ت
20140921,287.89,288,261,277.14,6323,4,سباقر-ت
20140922,262.09,262,261,262.09,35585,5,سباقر-ت
20140923,261.16,261,261,261.16,7816,1,سباقر-ت
20140928,261.16,261,261,261.16,7434,2,سباقر-ت
20140929,261.16,261,261,261.16,12741,1,سباقر-ت
20141001,261.16,261,261,261.16,709876,50,سباقر-ت
20141004,261.16,261,246,249.79,6259,3,سباقر-ت
20141006,246.11,246,246,246.11,5000,1,سباقر-ت
20141012,245.80,246,246,246.11,17000,2,سباقر-ت
20141014,246.11,246,246,246.11,258,1,سباقر-ت
20141015,201.86,273,202,257.78,87978,7,سباقر-ت
20141018,261.16,273,261,265.46,155289,5,سباقر-ت
20141019,273.15,273,261,272.84,167022,6,سباقر-ت
20141020,273.15,277,273,275.60,198509,5,سباقر-ت
20141021,276.53,277,277,276.53,104400,5,سباقر-ت
20141022,276.53,290,277,280.83,139540,7,سباقر-ت
20141026,291.89,292,283,287.89,73361,5,سباقر-ت
20141027,291.89,292,283,290.66,28722,5,سباقر-ت
20141028,262.39,262,262,262.39,5000,1,سباقر-ت
20141029,291.58,292,292,291.58,1000,1,سباقر-ت
20141102,263.01,263,263,263.01,10000,1,سباقر-ت
20141105,261.16,261,261,261.16,10195,1,سباقر-ت
20141112,263.62,264,261,261.16,1071803,18,سباقر-ت
20141115,276.53,277,246,255.33,267435,5,سباقر-ت
20141116,245.80,246,246,245.80,100000,1,سباقر-ت
20141118,261.78,262,261,261.47,32184,3,سباقر-ت
20141124,261.47,261,253,261.16,61001,7,سباقر-ت
20141125,245.80,258,246,254.10,44487,3,سباقر-ت
20141130,230.75,234,231,231.97,314888,5,سباقر-ت
20141202,234.13,234,234,233.51,12934,2,سباقر-ت
20141207,233.51,234,216,226.75,90534,9,سباقر-ت
20141209,222.76,224,223,223.06,33192,2,سباقر-ت
20141214,218.15,218,218,218.15,28325,1,سباقر-ت
20141215,218.15,218,217,217.23,247060,4,سباقر-ت
20141216,218.15,218,217,217.53,27411,2,سباقر-ت
20141217,221.22,221,221,221.22,5310,1,سباقر-ت
20141222,224.29,224,221,221.84,25000,2,سباقر-ت
20141224,217.23,218,217,217.84,78495,3,سباقر-ت
20141228,224.29,243,218,227.06,78742,6,سباقر-ت
20141230,218.15,218,218,218.15,18702,3,سباقر-ت
