<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20130508,836.18,836,836,836.18,29616269
20130511,877.99,878,878,877.99,15072
20130512,921.79,922,922,921.79,182828
20130513,955.63,956,876,903.47,14449311
20130514,871.62,890,858,862.86,4620654
20130515,879.98,896,849,863.65,1847820
20130518,852.51,856,821,834.99,2215106
20130519,836.58,875,837,858.48,1375045
20130520,871.62,872,836,846.13,1874721
20130521,836.98,844,820,832.60,1007732
20130522,812.29,836,812,824.63,835688
20130525,833.79,866,825,857.68,1812915
20130526,868.03,884,856,868.03,2052031
20130527,862.06,868,845,856.09,1644215
20130528,859.67,899,842,888.34,3726672
20130529,915.82,933,908,930.95,7550375
20130601,955.63,973,897,932.14,3140167
20130602,915.82,944,888,906.66,1422344
20130603,878.79,908,876,888.34,2012010
20130608,903.07,903,864,875.60,856711
20130609,875.60,876,849,860.47,640030
20130610,852.51,888,852,868.83,492563
20130611,857.68,900,858,886.35,1319474
20130612,895.91,899,872,893.52,3356173
20130615,907.85,938,908,937.32,3544593
20130616,975.54,976,902,936.12,2148947
20130617,904.27,919,892,903.87,1045710
20130618,903.87,932,897,916.61,1861432
20130619,915.82,936,900,914.62,962892
20130622,915.82,960,916,955.24,2859050
20130623,1000.23,1003,980,1001.43,3524543
20130625,1051.20,1051,1004,1044.83,7357514
20130626,1019.34,1075,1011,1046.42,3701815
20130629,1035.27,1066,1019,1042.04,2852661
20130630,1035.27,1091,1011,1059.16,4026873
20130701,1091.02,1112,1075,1110.53,4823001
20130702,1149.95,1150,1056,1105.75,3206866
20130703,1074.69,1147,1075,1119.69,2254260
20130706,1175.43,1175,1166,1175.43,1206124
20130707,1233.96,1234,1117,1184.99,2777444
20130708,1138.80,1155,1126,1129.24,1617087
20130709,1083.85,1127,1079,1102.17,1276531
20130710,1076.28,1155,1076,1132.03,1654604
20130713,1166.67,1167,1079,1116.10,1809156
20130714,1106.94,1107,1060,1070.71,1458942
20130715,1079.47,1123,1079,1111.32,1403853
20130716,1122.87,1127,1087,1102.96,874835
20130717,1102.96,1154,1099,1132.83,1714373
20130720,1154.73,1189,1155,1170.65,1176929
20130721,1182.60,1183,1128,1145.17,662071
20130722,1149.95,1150,1103,1116.90,881567
20130723,1095.00,1159,1095,1140.39,797784
20130724,1154.73,1155,1108,1124.86,1200973
20130727,1126.85,1142,1076,1090.62,1648997
20130728,1076.28,1145,1059,1137.60,4139426
20130729,1161.89,1185,1126,1159.50,1984643
20130731,1133.22,1133,1102,1112.52,1387191
20130803,1119.29,1148,1099,1120.48,814337
20130804,1134.82,1135,1099,1112.52,786149
20130805,1108.93,1134,1100,1112.52,670428
20130806,1130.44,1130,1102,1110.53,1217722
20130807,1106.94,1138,1107,1121.28,1084579
20130811,1114.91,1132,1102,1119.29,777499
20130812,1124.86,1125,1103,1107.74,618504
20130813,1095.00,1111,1072,1083.45,803419
20130814,1081.46,1105,1070,1086.64,1097395
20130817,1095.40,1108,1059,1075.09,1471238
20130818,1075.09,1087,1039,1059.96,1514182
20130819,1094.60,1113,1085,1110.93,2634043
20130820,1166.27,1166,1166,1166.27,6783530
20130821,1224.41,1224,1224,1224.41,2263755
20130824,1285.33,1285,1239,1282.94,15047657
20130825,1310.02,1347,1242,1299.27,9405307
20130826,1341.87,1364,1315,1357.80,1500996
20130827,1421.11,1421,1290,1335.50,6183661
20130828,1269.00,1274,1269,1269.00,2619863
20130831,1250.69,1269,1206,1221.62,1541544
20130901,1230.38,1283,1230,1276.17,1767487
20130903,1278.16,1306,1212,1230.78,1206945
20130904,1169.86,1170,1169,1169.46,165337
20130907,1112.52,1155,1111,1114.91,1633725
20130908,1154.33,1171,1127,1161.10,705534
20130909,1194.54,1219,1195,1217.64,1177508
20130910,1254.27,1278,1235,1275.77,1761451
20130911,1294.09,1314,1212,1252.68,738757
20130914,1234.36,1234,1197,1206.09,868663
20130915,1194.54,1262,1195,1244.32,825764
20130916,1253.87,1254,1183,1197.73,880653
20130917,1214.45,1234,1171,1197.73,1013641
20130918,1207.68,1246,1187,1212.46,831417
20130921,1197.73,1273,1198,1252.68,1276438
20130922,1228.79,1246,1206,1221.22,491016
20130923,1234.36,1274,1223,1255.07,1299183
20130924,1266.22,1266,1220,1233.57,757368
20130925,1238.34,1265,1223,1235.95,489966
20130928,1238.74,1246,1213,1221.22,1150925
20130929,1249.49,1249,1203,1212.86,425627
20130930,1234.36,1234,1199,1208.88,587108
20131001,1206.49,1242,1206,1229.19,919817
20131002,1229.19,1252,1210,1219.63,865861
20131005,1234.36,1281,1234,1276.17,1204342
20131006,1302.85,1303,1258,1272.59,801513
20131007,1266.22,1298,1235,1269.80,494780
20131008,1273.78,1274,1243,1252.68,403994
20131009,1270.20,1270,1234,1243.12,442708
20131012,1261.04,1274,1230,1249.89,800562
20131013,1253.87,1270,1228,1241.53,650347
20131014,1257.46,1257,1195,1210.07,1186579
20131015,1245.11,1245,1190,1196.93,881338
20131019,1195.34,1232,1191,1196.14,1768647
20131020,1206.49,1206,1166,1174.63,1286191
20131021,1194.54,1195,1161,1167.07,633069
20131022,1174.63,1175,1137,1151.54,639273
20131023,1162.69,1209,1131,1187.77,677568
20131026,1194.54,1195,1155,1171.05,429059
20131027,1159.11,1208,1143,1163.09,318460
20131028,1194.54,1195,1145,1159.50,231873
20131029,1186.58,1217,1150,1196.14,910772
20131030,1218.43,1254,1203,1233.96,1693423
20131102,1229.19,1230,1195,1212.06,733539
20131103,1197.73,1226,1195,1210.87,926920
20131104,1226.00,1232,1190,1207.68,1270082
20131105,1226.00,1226,1191,1196.93,289241
20131106,1218.04,1218,1185,1195.74,2316908
20131109,1227.19,1230,1207,1217.24,449003
20131110,1222.42,1267,1216,1249.09,1441175
20131111,1278.16,1311,1278,1307.23,3828054
20131112,1333.91,1338,1279,1308.03,1358629
20131116,1312.01,1362,1298,1324.35,1833959
20131117,1314.79,1362,1314,1333.11,2354266
20131118,1333.91,1394,1314,1364.17,3400702
20131119,1393.63,1402,1334,1368.55,1767953
20131120,1334.70,1374,1302,1326.74,1604132
20131123,1314.40,1380,1314,1346.25,2726885
20131124,1373.72,1374,1301,1336.30,2970554
20131125,1337.89,1347,1306,1325.94,2291304
20131126,1333.91,1340,1294,1313.60,1222271
20131127,1337.89,1374,1338,1357.00,2728348
20131130,1377.31,1425,1354,1411.55,4614950
20131201,1477.25,1482,1394,1464.51,3962442
20131202,1421.51,1477,1400,1442.61,2018561
20131203,1477.25,1515,1457,1512.29,7680610
20131204,1533.00,1588,1513,1560.47,4510227
20131207,1536.98,1537,1483,1486.01,2812223
20131208,1515.88,1560,1516,1546.93,3239876
20131209,1552.91,1572,1493,1539.37,2913239
