<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20010530,192.52,217,193,216.58,2140
20010602,216.46,217,216,216.58,83753
20010603,216.58,217,217,216.58,1033
20010612,216.58,217,214,216.58,120429
20010613,216.58,217,217,216.58,200
20010616,214.41,217,214,216.58,23224
20010708,180.48,180,180,180.48,2000
20010709,180.48,180,180,180.48,665
20010711,180.48,180,180,180.48,11240
20010714,180.48,180,180,180.48,1433
20010715,180.48,180,180,180.48,11750
20010716,180.48,180,180,180.48,11711
20010718,180.36,180,180,180.48,320
20010722,180.60,181,180,180.48,13340
20010814,180.48,180,180,180.48,120
20010815,182.29,182,182,182.29,1000
20010818,184.09,184,184,184.09,4092
20010822,184.09,184,184,184.09,21296
20010826,185.90,186,186,185.90,240
20010828,187.70,188,188,187.70,500
20010829,189.51,190,190,189.51,3226
20010902,190.11,190,190,190.11,1000
20010903,191.31,191,191,191.31,1000
20010904,191.31,193,191,193.12,1100
20010905,193.12,195,193,195.04,10330
20010909,196.97,197,197,196.97,1000
20010916,196.97,199,197,198.89,1000
20010923,200.82,201,201,200.82,1000
20010925,200.82,201,201,200.82,280
20010929,202.74,203,203,202.74,1000
20010930,204.67,205,205,204.67,500
20011003,204.67,205,205,204.67,203
20011007,206.71,207,207,206.71,280
20011008,208.76,209,209,208.76,2000
20011009,210.80,211,211,210.80,13185
20011010,212.85,213,213,212.85,2000
20011013,212.85,215,213,214.90,1000
20011127,192.52,194,193,193.72,2500
20011128,203.34,203,203,203.34,5000
20011201,213.45,213,213,213.45,1310
20011202,224.04,224,224,224.04,2000
20011203,235.23,235,235,235.23,101305
20011204,246.90,247,247,246.90,15560
20011205,259.17,259,259,259.17,19999
20011208,272.05,272,272,272.05,10999
20011209,285.64,286,286,285.64,31002
20011210,299.84,300,300,299.84,73240
20011211,314.76,315,315,314.76,74800
20011212,330.40,330,330,330.40,65070
20011215,346.89,347,347,346.89,34141
20020120,421.13,451,370,434.00,171983
20020121,446.03,456,437,455.66,36164
20020122,466.85,478,439,456.74,148157
20020123,457.22,457,456,457.22,2129
20020126,439.18,439,439,439.18,3448
20020127,438.93,439,417,417.28,31065
20020128,433.04,438,403,426.18,202339
20020129,427.26,428,426,427.99,56093
20020130,428.47,433,428,433.28,19965
20020202,427.38,427,426,426.42,15286
20020203,425.10,425,424,424.38,632
20020205,418.96,421,419,421.13,17734
20020206,400.07,415,400,400.07,49670
20020209,395.26,397,385,397.06,10824
20020210,379.13,397,379,391.05,67681
20020212,401.88,402,381,401.88,34160
20020213,400.43,400,399,398.99,1000
20020216,385.27,397,385,396.82,14136
20020217,390.93,391,391,391.05,14400
20020218,390.81,397,385,397.06,8222
20020219,385.15,397,385,396.94,1904
20020220,396.94,399,397,398.87,9944
20020224,399.47,399,399,399.47,1004
20020225,399.47,402,399,401.88,14000
20020226,401.03,401,401,401.03,2000
20020227,385.39,400,385,400.43,6504
20020304,398.63,399,397,396.82,450
20020305,396.46,397,396,396.94,23400
20020306,391.05,391,391,391.05,7000
20020309,390.93,391,391,391.05,30000
20020311,388.40,391,388,391.05,21420
20020312,391.05,411,391,410.30,5600
20020313,408.97,409,409,408.97,16621
20020317,408.49,429,408,429.31,71428
20020318,439.18,439,439,439.18,6000
20020319,439.18,450,439,449.64,2000
20020326,449.40,449,449,449.40,1000
20020407,443.87,444,444,443.87,1312
20020410,421.73,422,422,421.73,1000
20020413,418.24,418,401,400.67,20500
20020414,400.67,401,401,400.67,100
20020415,400.07,401,400,400.67,28000
20020416,392.25,392,392,392.25,62115
20020417,392.25,392,392,392.25,990
20020420,392.25,392,385,385.03,11139
20020421,385.03,385,385,385.03,27308
20020422,383.59,384,381,380.70,9570
20020423,379.01,385,379,385.03,35100
20020424,385.03,385,385,384.91,28100
20020427,385.03,385,385,384.91,2270
20020428,379.01,379,379,379.01,11800
20020429,378.89,379,361,360.97,12688
20020430,360.97,378,361,377.81,8797
20020501,377.81,396,378,395.74,9266
20020504,395.74,397,396,397.06,13598
20020505,396.46,396,390,390.20,77283
20020506,389.48,389,384,384.31,64017
20020508,365.18,367,365,365.18,39117
20020512,365.18,365,365,365.18,1000
20020514,365.06,365,365,365.06,10000
20020515,360.97,361,347,348.93,41091
20020519,360.73,361,361,360.73,52824
20020521,360.73,361,361,360.61,1560
20020522,359.88,360,360,359.88,112
20020526,358.56,359,358,358.20,1700
20020527,356.75,357,357,356.51,667
20020601,339.31,339,339,339.31,2210
20020729,336.66,339,337,336.78,24914
20020806,320.06,320,320,320.06,1000
20020813,304.05,304,304,304.05,1392
20020818,288.89,289,289,288.89,1000
20020819,274.45,274,274,274.45,1000
20020821,260.74,261,261,260.74,4000
20020824,247.74,248,248,247.74,10250
20020825,247.74,248,248,247.74,25000
20020826,247.74,248,248,247.74,774
20020827,252.68,260,253,260.02,1715
20020828,260.02,260,260,260.02,8248
20020831,259.90,260,253,252.68,13247
20020901,252.68,253,253,252.68,5118
20020902,252.68,253,253,252.68,2710
20020903,250.15,250,250,250.15,3000
20020904,248.95,249,249,248.83,5208
20020907,246.66,247,246,245.82,8880
20020908,240.64,246,241,240.64,8493
20020910,239.32,240,239,239.68,15710
20020911,239.56,251,240,240.76,44616
20020915,241.13,241,241,241.25,3867
20020916,237.03,241,237,240.64,6256
20020928,240.04,241,240,240.64,49025
20020929,240.64,241,241,240.64,51
20021001,252.68,253,253,252.68,31200
20021002,252.68,253,253,252.68,1960
20021006,252.68,253,253,252.68,4256
20021007,252.80,253,253,252.68,10329
20021008,252.68,253,253,252.68,2020
20021009,252.68,265,253,265.31,49400
20021012,264.95,265,265,264.95,3872
20021013,252.80,264,253,264.11,51952
