<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20021223,320.00,330,320,330.00,20000,5,Iran Combine-R-a
20021225,412.00,412,412,412.00,3000,1,Iran Combine-R-a
20021228,515.00,515,515,515.00,30000,7,Iran Combine-R-a
20021229,643.00,643,643,643.00,21000,6,Iran Combine-R-a
20021231,803.00,803,803,803.00,15000,2,Iran Combine-R-a
20030101,1003.00,1003,1003,1003.00,2850,1,Iran Combine-R-a
20030104,1253.00,1253,1253,1253.00,5000,5,Iran Combine-R-a
20030105,1566.00,1566,1566,1566.00,7000,3,Iran Combine-R-a
20030106,1957.00,1957,1957,1957.00,2000,2,Iran Combine-R-a
20030107,2446.00,2446,2446,2446.00,2000,2,Iran Combine-R-a
20030111,3057.00,3057,3057,3057.00,12000,8,Iran Combine-R-a
20030527,2000.00,2000,2000,2000.00,511,2,Iran Combine-R-a
20051119,800.00,800,800,800.00,10000,1,Iran Combine-R-a
20051120,800.00,800,800,800.00,4298,2,Iran Combine-R-a
20051121,800.00,800,780,790.00,18567,15,Iran Combine-R-a
20051122,782.00,782,782,782.00,4194,1,Iran Combine-R-a
20051123,800.00,800,800,800.00,1658,2,Iran Combine-R-a
20051127,880.00,880,880,880.00,611,1,Iran Combine-R-a
20051129,924.00,924,924,924.00,10000,2,Iran Combine-R-a
20051130,1016.00,1016,1014,1015.00,40552,8,Iran Combine-R-a
20051203,1116.00,1116,1116,1116.00,542,1,Iran Combine-R-a
20051204,1220.00,1227,1220,1225.00,26027,7,Iran Combine-R-a
20051205,1226.00,1340,1226,1289.00,44919,14,Iran Combine-R-a
20051206,1300.00,1300,1161,1174.00,83564,16,Iran Combine-R-a
20051211,1198.00,1200,1198,1199.00,2680,4,Iran Combine-R-a
20051219,1080.00,1080,1080,1080.00,9000,5,Iran Combine-R-a
20051221,1073.00,1073,972,1035.00,970,3,Iran Combine-R-a
20051224,1074.00,1078,1074,1076.00,25643,11,Iran Combine-R-a
20051226,1076.00,1100,1076,1098.00,18798,6,Iran Combine-R-a
20051227,1021.00,1090,1021,1026.00,2011,5,Iran Combine-R-a
20051228,1102.00,1102,1003,1089.00,27725,25,Iran Combine-R-a
