<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20021215,12498.00,12498,12498,12498.00,735,1,Iran Carbon-R-a
20030310,12800.00,12800,12800,12800.00,16476,3,Iran Carbon-R-a
20040816,7401.00,8998,7401,7521.00,12439,9,Iran Carbon-R-a
20040817,8273.00,8273,8270,8272.00,450097,75,Iran Carbon-R-a
20040818,9099.00,9099,8926,9090.00,556792,152,Iran Carbon-R-a
20040821,9091.00,9093,8181,8397.00,435608,152,Iran Carbon-R-a
20040822,7950.00,7950,7558,7597.00,257688,78,Iran Carbon-R-a
20040823,6838.00,6851,6838,6839.00,1720070,143,Iran Carbon-R-a
20040824,6837.00,6838,6779,6826.00,211665,88,Iran Carbon-R-a
20040825,6819.00,7508,6819,7314.00,548468,160,Iran Carbon-R-a
20040828,7860.00,8045,7860,8001.00,232366,71,Iran Carbon-R-a
20040829,8800.00,8800,8200,8709.00,187422,99,Iran Carbon-R-a
20040901,8045.00,8500,8000,8409.00,356041,111,Iran Carbon-R-a
20040904,8999.00,9100,8490,8922.00,473493,214,Iran Carbon-R-a
20040905,9000.00,9003,8500,8937.00,575480,225,Iran Carbon-R-a
20040906,8501.00,8700,8200,8520.00,305668,156,Iran Carbon-R-a
20040907,8290.00,8300,7900,8001.00,137363,63,Iran Carbon-R-a
20040908,7993.00,8495,7990,8194.00,353214,115,Iran Carbon-R-a
20040911,8284.00,8291,8170,8251.00,398422,124,Iran Carbon-R-a
20040912,8270.00,8700,8205,8508.00,335898,109,Iran Carbon-R-a
20040914,8601.00,9150,8492,8903.00,550444,140,Iran Carbon-R-a
20040915,9000.00,9186,9000,9095.00,330031,151,Iran Carbon-R-a
20040918,8902.00,8902,8186,8349.00,222965,91,Iran Carbon-R-a
20040919,8500.00,8500,7991,8129.00,162534,77,Iran Carbon-R-a
20040920,8000.00,8000,7351,7519.00,231999,80,Iran Carbon-R-a
20040921,7448.00,8001,7201,7749.00,218716,74,Iran Carbon-R-a
20040922,7600.00,8240,7600,8020.00,311813,98,Iran Carbon-R-a
20040925,8069.00,8150,7800,8106.00,202648,92,Iran Carbon-R-a
20040926,7870.00,7900,7820,7856.00,305982,152,Iran Carbon-R-a
20040927,7840.00,7840,7155,7434.00,352354,145,Iran Carbon-R-a
20040928,7200.00,7500,7112,7299.00,448651,137,Iran Carbon-R-a
20040929,7196.00,7269,7115,7186.00,422043,187,Iran Carbon-R-a
20041002,7169.00,7249,6691,7108.00,319410,117,Iran Carbon-R-a
20041003,6980.00,6990,6750,6871.00,289237,136,Iran Carbon-R-a
20041004,6761.00,6834,6610,6728.00,239070,117,Iran Carbon-R-a
20041005,6604.00,6625,6499,6554.00,523046,157,Iran Carbon-R-a
20041006,6861.00,7209,6718,7051.00,325775,133,Iran Carbon-R-a
20041009,7214.00,7214,7212,7212.00,16700,9,Iran Carbon-R-a
20041011,7438.00,7500,7100,7183.00,339407,139,Iran Carbon-R-a
20041012,7100.00,7149,6470,6736.00,7703401,267,Iran Carbon-R-a
20041013,6601.00,6964,6510,6700.00,1348376,422,Iran Carbon-R-a
20050112,5300.00,5300,5200,5205.00,1020010,26,Iran Carbon-R-a
20050115,5000.00,5000,5000,5000.00,1751198,37,Iran Carbon-R-a
