<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20140105,10000.00,10000,10000,10000.00,15272135
20140106,10000.00,10000,10000,10000.00,21306788
20140107,10000.00,10000,10000,10000.00,16716043
20140108,10000.00,10000,10000,10000.00,19362573
20140202,12000.00,12000,10000,10044.00,39973
20140203,10000.00,10011,10000,10000.00,82867
20140204,10065.00,10069,10000,10017.00,380134
20140205,10050.00,10117,10000,10038.00,398124
20140208,10050.00,10100,10050,10053.00,46941
20140209,10050.00,10062,10000,10044.00,119795
20140210,10070.00,10071,10050,10063.00,40874
20140212,10064.00,10130,10064,10064.00,323670
20140215,10070.00,10070,10065,10067.00,30537
20140216,10068.00,10090,10068,10068.00,193551
20140217,10069.00,10100,10069,10077.00,75520
20140218,10078.00,10200,10050,10077.00,740938
20140219,10180.00,10200,10180,10190.00,417772
20140222,10191.00,10250,10191,10192.00,56120
20140223,10194.00,10196,10193,10193.00,49575
20140224,10196.00,10220,10196,10198.00,20499
20140225,10199.00,10200,10199,10199.00,29903
20140226,10199.00,10250,10199,10203.00,68658
20140301,10205.00,10250,10205,10230.00,9270
20140302,10231.00,10231,10231,10231.00,58790
20140303,10232.00,10232,10232,10232.00,20669
20140304,10233.00,10233,10233,10233.00,8340
20140305,10234.00,10300,10234,10270.00,50019
20140308,10300.00,10300,10300,10300.00,750
20140309,10232.00,10232,10221,10223.00,29100
20140310,10200.00,10300,10200,10217.00,8350
20140311,10218.00,10218,10218,10218.00,23876
20140312,10219.00,10300,10200,10212.00,514086
20140315,10230.00,10260,10215,10244.00,130038
20140316,10300.00,10300,10245,10268.00,143546
20140317,10300.00,10399,10300,10335.00,6506
20140318,10336.00,10370,10336,10350.00,132023
20140319,10360.00,10400,10360,10374.00,11975
20140325,10420.00,10500,10420,10431.00,5000
20140326,11350.00,11350,10343,10570.00,54818
20140329,10439.00,10439,10439,10439.00,371
20140331,10440.00,10441,10439,10440.00,11009
20140405,10445.00,10450,10440,10443.00,11810
20140406,10445.00,10445,10400,10431.00,9462
20140407,10400.00,10435,10400,10405.00,24544
20140408,10440.00,10500,10420,10430.00,22400
20140409,10450.00,10460,10420,10428.00,102625
20140412,10440.00,10441,10429,10431.00,230300
20140413,10410.00,10460,10390,10400.00,384085
20140414,10420.00,10920,10400,10532.00,35135
20140415,10420.00,10460,10400,10424.00,28370
20140416,10441.00,10450,10441,10443.00,1197
20140419,10450.00,10451,10415,10430.00,16612
20140420,10501.00,10501,10430,10445.00,18400
20140421,10460.00,10501,10450,10452.00,228055
20140422,10481.00,10481,10476,10478.00,31255
20140423,10500.00,10530,10490,10498.00,147150
20140426,10530.00,10590,10510,10571.00,682387
20140427,10590.00,10700,10571,10586.00,70567
20140428,10600.00,10620,10550,10570.00,212000
