<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20010325,478.70,482,479,482.43,1243
20010327,486.17,486,486,486.17,2000
20010328,510.48,510,510,510.48,1000
20010408,523.57,524,524,523.57,2051
20010409,523.57,524,524,523.57,3693
20010410,523.57,524,524,523.57,112
20010416,523.50,524,523,523.57,6601
20010417,523.54,524,523,523.54,1076
20010418,523.50,524,523,523.57,5474
20010422,527.31,527,524,523.57,9881
20010428,523.57,524,524,523.57,270
20010429,523.65,524,524,523.65,1000
20010430,523.68,524,524,523.65,11077
20010501,523.76,527,524,527.35,7644
20010502,527.31,527,527,527.31,500
20010505,527.31,527,527,527.31,1200
20010506,527.31,527,527,527.35,2628
20010507,523.68,524,524,523.68,1500
20010508,523.57,524,524,523.57,800
20010512,523.61,524,524,523.61,1300
20010513,549.75,550,550,549.75,2148
20010520,577.24,577,577,577.24,950
20010523,606.07,606,606,606.07,1000
20010527,636.37,636,636,636.37,1639
20010528,668.15,668,668,668.15,3000
20010530,668.34,668,668,668.34,290
20010602,668.45,669,668,668.53,1250
20010616,658.17,658,658,658.21,4796
20010617,632.03,658,625,658.21,26081
20010716,392.68,393,393,392.68,1000
20010718,412.31,412,412,412.31,1000
20010828,432.92,433,433,432.92,1100
20010829,454.54,455,455,454.54,3349
20010903,477.24,477,477,477.24,1300
20010911,489.17,489,489,489.17,500
20010912,501.40,501,501,501.13,2775
20010915,501.13,501,489,489.91,202893
20010916,491.78,494,490,493.65,1631
20010917,489.91,490,490,489.91,500
20010918,486.17,486,486,486.17,500
20010919,489.84,497,486,497.39,2526
20010922,497.39,497,497,497.39,2000
20010924,509.81,510,510,509.81,1124
20010929,514.90,515,515,514.90,2400
20010930,520.02,520,520,520.02,600
20011002,525.22,525,525,525.22,853
20011006,530.45,530,530,530.45,603
20011007,535.73,536,536,535.73,1500
20011008,541.07,541,541,541.07,1915
20011009,546.46,546,546,546.01,1800
20011010,545.97,546,532,546.01,9896
20011013,546.09,546,546,546.09,2500
20011016,546.31,546,546,546.31,520
20011017,546.54,547,547,546.54,700
20011020,546.50,546,546,546.46,350
20011021,546.46,546,546,546.46,859
20011104,547.32,547,547,547.32,870
20011106,560.97,561,561,560.97,600
20011107,566.58,567,567,566.58,859
20011110,572.23,572,572,572.23,1774
20011120,577.95,578,578,577.95,657
20011121,583.71,584,584,583.71,1200
20011202,586.70,590,587,589.54,2228
20020105,595.41,595,595,595.41,1893
20020106,601.36,601,601,601.36,14687
20020107,601.40,601,601,601.40,1399
20020108,601.36,601,601,601.36,2836
20020115,601.32,601,601,601.32,1500
20020116,600.24,601,600,601.32,1900
20020119,601.32,601,601,601.32,400
20020121,601.32,601,601,601.36,3360
20020122,601.36,601,601,601.40,1080
20020126,601.40,601,595,595.41,4098
20020127,595.41,595,595,595.41,500
20020129,595.38,595,595,595.41,2850
20020130,595.41,595,595,595.41,635
20020202,595.41,595,595,595.41,1306
20020203,595.41,595,595,595.41,940
20020204,595.41,595,595,595.41,893
20020205,595.41,595,595,595.41,550
20020210,598.18,598,596,597.99,3320
20020212,602.11,602,602,602.11,1000
20020216,608.09,608,608,608.13,1339
20020218,614.19,614,614,614.19,1000
20020219,614.19,614,614,614.19,1500
20020427,373.98,389,374,388.94,6900
20020501,392.83,393,393,392.83,1000
20020505,396.76,397,397,396.76,1000
20020506,400.72,401,401,400.72,1000
20020507,404.72,405,405,404.72,1000
20020512,408.76,409,409,408.76,1000
20020519,412.84,413,413,412.84,1000
20020522,416.95,417,417,416.95,1000
20020526,421.10,421,421,421.10,1000
20020527,425.29,425,425,425.29,4100
20020528,425.33,430,425,429.52,6500
20020529,429.52,430,430,429.52,4800
20020602,430.08,434,430,433.78,3500
20020608,438.08,438,438,438.08,1000
20020609,442.46,442,442,442.46,2678
20020612,446.87,447,447,446.87,2000
20020615,451.32,451,451,451.32,1000
20020716,448.78,449,449,448.78,2626
20020717,460.00,460,460,460.00,1950
20020720,460.03,460,460,460.03,600
20020721,460.07,472,460,471.51,3385
20020722,483.29,483,483,483.29,3070
20020723,495.37,495,495,495.37,5250
20020724,495.45,508,495,507.75,1275
20020728,520.43,520,520,520.43,5240
20020729,533.41,533,533,533.37,1200
20020730,533.41,547,533,546.68,7800
20020803,546.80,547,547,546.76,1000
20020804,546.76,547,547,546.76,1295
20020805,546.76,547,547,546.76,445
20020806,546.72,547,547,546.76,1205
20020807,546.76,547,547,546.76,1750
20020810,546.76,547,547,546.76,250
20020811,549.75,550,547,546.80,4179
20020813,546.76,547,547,546.76,3965
20020817,546.76,547,547,546.76,240
20020818,546.76,547,547,546.76,11670
20020819,546.76,547,547,546.76,20280
20020820,546.76,547,547,546.76,710
20020828,546.76,547,547,546.76,2249
20020901,546.80,547,547,546.76,2427
20020904,547.51,548,548,547.51,49400
20020907,547.88,548,548,547.96,3780
20020908,546.76,547,547,546.76,7424
20020909,546.76,547,547,546.76,270
20020910,546.57,547,547,546.57,500
20020915,519.42,519,519,519.42,4970
20020917,519.42,519,519,519.42,10000
20020928,519.23,519,519,519.08,550
20020930,512.35,515,512,514.93,1731
20021001,514.52,515,514,514.60,6100
20021002,519.46,519,519,519.46,2600
20021007,519.46,519,519,519.46,2350
20021008,519.46,519,519,519.46,720
20021009,519.38,519,519,519.38,175
20021016,514.22,519,514,518.71,710
20021019,518.71,519,519,519.46,5889
20021020,519.50,519,519,519.50,200
20021021,519.83,520,520,519.83,200
20021023,520.58,524,521,523.57,35200
20021029,532.92,533,533,532.92,2000
20021030,532.92,535,533,534.79,2596
20021102,536.66,537,537,536.66,1671
20021104,538.53,539,539,538.53,2000
20021105,538.91,539,539,538.91,450
20021106,542.27,542,542,542.27,5000
20021109,544.14,544,544,544.14,1000
20021110,546.01,546,546,546.01,1204
20021111,546.35,546,539,538.94,2583
20021112,538.94,539,539,538.94,462
20021113,560.97,561,561,560.97,300000
20021123,557.23,557,557,557.23,1000
20021126,557.23,557,557,557.23,4279
20021202,553.49,553,553,553.49,313
20021204,551.58,553,550,549.75,2212
20021209,553.49,553,553,553.49,1000
20021215,553.49,553,553,553.49,2950
20021222,559.06,559,559,558.73,4945
20021224,559.10,559,559,559.47,7975
20030104,560.78,561,561,560.78,1678
20030105,583.41,583,583,583.41,1000
20030107,598.37,598,598,598.37,3713
20030111,583.52,584,584,583.52,500
20030125,584.57,585,585,584.57,200
20030203,590.44,590,590,590.48,10026
20030204,590.63,593,591,592.53,3378
20030209,592.53,593,593,592.53,6260
20030210,592.91,596,593,596.27,10500
20030222,626.08,626,626,626.08,2499
20030223,637.64,638,638,637.64,6000
20030225,637.64,638,626,637.64,5040
20030303,637.45,637,637,637.45,210
20030305,605.59,637,606,637.37,5023
20030308,637.37,637,637,637.37,95
20030310,637.23,637,637,637.26,1105
20030312,635.77,637,636,637.19,2378
20030315,637.26,637,637,637.26,495
20030319,637.19,637,637,637.26,6780
20030406,637.26,637,637,637.26,5000
20030407,637.26,637,637,637.26,1000
20030412,639.51,640,640,639.51,200
20030416,639.58,640,640,639.58,1266
20030427,639.88,640,640,639.88,828
20030504,642.05,644,642,643.62,40000
20030517,650.05,650,650,650.05,1900
20030520,650.09,650,650,650.05,102
20030525,650.13,650,650,650.13,1658
20030527,650.13,650,650,650.13,200
20030528,650.17,683,650,673.16,3087
20030531,673.16,673,673,673.16,8
20030601,673.20,673,673,673.20,500
20030602,673.16,673,673,673.16,92
20030811,673.16,673,673,673.16,10000
20030812,673.09,673,673,673.16,1378
20030825,671.86,673,672,673.16,100
20030915,639.51,673,640,673.16,712
20030930,639.51,671,640,670.88,620
20031029,637.37,637,637,637.37,15267
20031102,637.34,637,637,637.34,5824
20031110,635.02,637,635,637.08,1912
20031112,637.08,640,637,638.42,63270
20031115,638.42,638,638,638.42,1766
20031123,638.76,639,638,638.46,1950
20031124,638.46,638,638,638.46,2176
20031202,638.50,638,638,638.46,2010
20031203,638.50,638,638,638.46,168
20031209,638.46,638,638,638.46,1000
20031210,639.51,640,638,638.46,740010
20031213,638.46,654,638,640.03,1260
20031214,640.03,640,640,640.03,200
20031215,641.56,642,640,640.22,1202
20031217,641.97,642,640,640.22,50
20031221,641.97,642,640,640.37,888
20031222,642.01,642,641,640.52,1010
20031224,642.05,642,641,640.59,450
20031227,642.09,642,641,640.63,344
20031229,642.50,642,641,641.15,3060
20040103,642.12,643,642,643.17,749810
20040105,643.36,643,643,643.17,110
20040110,645.12,645,643,643.17,100010
20040111,643.99,644,643,643.17,210
20040112,643.92,644,643,643.21,610
20040117,668.68,669,643,643.47,110110
20040118,644.41,644,644,643.55,888
20040120,644.52,645,644,643.62,910
20040121,644.52,645,644,643.77,1814
20040125,669.43,669,644,644.03,300110
20040126,654.54,655,645,644.89,749
20040127,658.21,658,653,653.49,5850
20040128,658.99,659,654,653.61,210
20040131,659.07,659,654,653.72,210
20040203,659.14,659,655,655.44,2908
20040204,659.22,659,656,656.45,2504
20040207,659.18,659,657,657.42,3269
20040209,657.42,657,657,657.42,100
20040215,657.42,657,657,657.42,200
20040218,657.42,657,657,657.42,400
20040229,657.42,657,657,657.42,1560
20040306,657.38,657,657,657.38,350
20040308,654.43,657,654,657.31,215
20040405,654.35,656,654,655.92,5545
20040418,655.92,656,656,655.92,121
20040426,635.77,656,636,655.59,210
20040428,635.77,653,636,653.08,1510
20040502,652.60,653,653,653.04,735510
20040503,652.97,686,653,653.12,735891
20040504,685.77,686,657,656.86,736388
20040505,689.62,690,690,689.62,557745
20040511,689.62,690,690,689.62,105
20040516,689.62,690,690,689.62,2817
20040519,689.62,690,690,689.62,90
20040524,689.51,690,690,689.58,135
20040529,689.51,690,690,689.55,550
20040602,689.55,690,690,689.55,95
