<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20010403,500.84,501,501,500.84,1000,1,DPI-a
20010407,501.17,501,501,501.17,2200,1,DPI-a
20010410,502.69,503,503,502.58,2181,2,DPI-a
20010411,502.58,503,502,502.69,8233,9,DPI-a
20010415,499.97,500,500,499.97,7897,3,DPI-a
20010417,499.86,500,500,499.86,2150,1,DPI-a
20010418,499.75,500,500,499.75,46300,8,DPI-a
20010421,497.80,498,498,497.80,2160,2,DPI-a
20010422,502.14,502,489,489.10,27000,7,DPI-a
20010423,488.78,489,489,489.10,34363,10,DPI-a
20010424,489.10,489,489,489.21,7825,4,DPI-a
20010425,489.54,490,489,489.43,6500,5,DPI-a
20010428,491.38,491,491,491.28,9200,7,DPI-a
20010429,491.28,495,491,494.54,66120,20,DPI-a
20010430,494.54,498,493,494.54,25683,17,DPI-a
20010501,494.97,499,495,497.80,20430,9,DPI-a
20010502,497.80,499,498,497.80,44462,22,DPI-a
20010505,499.97,500,500,499.75,21645,11,DPI-a
20010506,499.75,504,500,504.32,17110,7,DPI-a
20010507,504.32,510,504,509.86,70027,19,DPI-a
20010508,509.86,511,510,511.17,5530,5,DPI-a
20010509,512.36,513,512,513.01,8240,7,DPI-a
20010512,521.71,522,522,521.71,3540,4,DPI-a
20010513,521.82,522,522,521.71,7542,7,DPI-a
20010515,521.71,522,522,521.71,620,1,DPI-a
20010516,521.49,522,521,521.60,32280,14,DPI-a
20010519,521.71,533,522,532.58,29000,10,DPI-a
20010520,532.69,533,533,532.69,43073,7,DPI-a
20010521,533.01,533,533,533.01,54122,16,DPI-a
20010527,543.45,543,538,538.01,28580,16,DPI-a
20010528,547.79,548,548,547.79,3195,6,DPI-a
20010529,547.69,548,548,547.69,209532,7,DPI-a
20010530,547.69,548,548,547.69,2834,1,DPI-a
20010602,547.69,548,547,547.14,5780,5,DPI-a
20010603,547.25,547,547,547.25,85400,21,DPI-a
20010606,547.25,547,547,547.25,3688,2,DPI-a
20010609,544.53,545,543,543.45,29000,7,DPI-a
20010611,543.45,543,543,543.45,4000,3,DPI-a
20010612,543.45,543,543,543.45,3000,3,DPI-a
20010613,538.01,539,538,538.01,11493,7,DPI-a
20010617,537.47,537,537,537.36,70399,27,DPI-a
20010618,537.14,537,537,537.14,2500,1,DPI-a
20010619,535.84,536,536,535.62,41616,8,DPI-a
20010620,535.51,536,531,531.38,20757,7,DPI-a
20010623,531.38,531,531,531.16,22216,9,DPI-a
20010624,529.75,530,522,521.71,5583,3,DPI-a
20010625,513.01,521,500,500.08,35025,14,DPI-a
20010626,499.97,500,490,490.19,18375,4,DPI-a
20010627,490.19,495,489,489.10,36506,10,DPI-a
20010630,489.10,489,489,489.10,6032,4,DPI-a
20010701,489.10,490,489,489.54,7654,8,DPI-a
20010702,489.65,495,487,494.54,43855,16,DPI-a
20010703,489.21,489,489,489.21,3000,2,DPI-a
20010704,499.97,500,500,499.97,10000,2,DPI-a
20010707,499.97,500,500,499.97,15762,15,DPI-a
20010708,490.19,490,490,490.19,11000,5,DPI-a
20010709,490.19,490,490,490.19,11615,6,DPI-a
20010711,488.12,490,488,490.19,7250,6,DPI-a
20010714,490.19,490,490,490.08,465,3,DPI-a
20010715,488.99,490,489,489.97,56973,23,DPI-a
20010805,467.36,467,467,467.36,5000,3,DPI-a
20010821,444.00,444,444,444.00,2000,2,DPI-a
20010828,421.82,422,422,421.82,1000,1,DPI-a
20010908,400.74,401,401,400.74,5600,1,DPI-a
20010909,380.74,381,381,380.74,3737,2,DPI-a
20010910,380.74,381,381,380.63,4563,4,DPI-a
20010911,379.33,379,378,378.24,17361,9,DPI-a
20010919,373.57,374,374,373.57,7000,2,DPI-a
20010925,373.02,373,373,373.02,570,1,DPI-a
20011006,372.37,372,372,372.37,2600,1,DPI-a
20011009,371.07,371,371,371.07,5000,1,DPI-a
20011014,370.20,370,370,370.20,2331,1,DPI-a
20011016,370.09,370,370,370.09,2915,2,DPI-a
20011017,369.65,370,370,369.65,2000,1,DPI-a
20011023,369.11,369,369,369.11,4010,1,DPI-a
20011027,366.28,366,366,366.28,1465,1,DPI-a
20011103,348.02,348,348,348.02,2000,2,DPI-a
20011106,331.50,332,332,331.72,19534,17,DPI-a
20011111,334.98,348,335,347.81,7789,3,DPI-a
20011117,348.46,348,348,348.46,570,1,DPI-a
20011119,358.67,365,359,365.30,6834,4,DPI-a
20011125,365.96,366,366,365.74,11240,7,DPI-a
20011127,371.50,371,371,371.39,3700,3,DPI-a
20011128,380.41,384,380,383.56,2780,2,DPI-a
20011202,384.43,384,384,384.33,3000,4,DPI-a
20011215,403.45,403,403,403.45,6000,4,DPI-a
20011217,421.82,422,422,421.82,3196,2,DPI-a
20011218,421.82,422,422,421.82,2174,2,DPI-a
20011219,423.89,424,424,424.11,5405,2,DPI-a
20011222,424.43,424,424,424.43,590,1,DPI-a
20011225,425.63,426,426,425.63,5000,2,DPI-a
20011230,427.15,427,427,427.37,4636,3,DPI-a
20020101,428.02,428,427,427.37,8540,11,DPI-a
20020102,423.89,424,424,423.89,1280,1,DPI-a
20020116,413.02,413,413,413.02,2000,3,DPI-a
20020119,412.91,413,413,412.91,1000,2,DPI-a
20020120,412.69,413,413,413.02,14589,8,DPI-a
20020121,413.24,413,413,413.13,17994,9,DPI-a
20020122,421.17,424,421,424.00,21320,11,DPI-a
20020126,425.84,426,426,425.84,1000,1,DPI-a
20020127,427.15,427,427,427.15,1180,1,DPI-a
20020128,429.21,429,429,429.21,1000,1,DPI-a
20020130,450.63,451,451,450.63,1500,1,DPI-a
20020202,450.63,451,451,450.63,1145,2,DPI-a
20020203,449.76,450,450,449.97,7474,7,DPI-a
20020204,449.97,450,450,449.97,1500,1,DPI-a
20020209,449.97,467,450,466.60,15506,8,DPI-a
20020210,467.36,467,467,467.36,57102,27,DPI-a
20020212,451.06,451,444,444.00,3196,3,DPI-a
20020213,456.49,465,455,465.19,28780,7,DPI-a
20020216,465.19,467,465,467.36,38000,8,DPI-a
20020217,467.36,473,467,472.80,30085,7,DPI-a
20020218,472.80,473,473,472.80,500,1,DPI-a
20020219,472.80,478,473,478.23,31993,10,DPI-a
20020220,478.23,478,478,478.23,11200,3,DPI-a
20020224,478.23,481,478,481.38,28035,5,DPI-a
20020225,478.23,481,478,481.28,43346,26,DPI-a
20020302,480.08,480,480,480.08,7080,2,DPI-a
20020304,480.08,480,478,478.23,11540,5,DPI-a
20020305,478.23,478,478,478.23,615,2,DPI-a
20020306,477.91,478,475,474.86,9262,2,DPI-a
20020309,474.75,475,462,461.93,30700,4,DPI-a
20020310,459.76,460,449,448.89,45500,13,DPI-a
20020311,448.78,449,429,429.32,34358,16,DPI-a
20020312,434.76,435,435,434.76,12600,7,DPI-a
20020313,434.76,435,435,434.76,6280,4,DPI-a
20020316,435.52,456,435,456.49,18200,10,DPI-a
20020317,456.49,456,456,456.49,2000,1,DPI-a
20020318,456.49,457,456,456.60,2000,2,DPI-a
20020319,456.60,475,457,474.86,4198,2,DPI-a
20020331,474.75,475,475,474.75,807,1,DPI-a
20020406,456.60,457,457,456.60,1400,1,DPI-a
20020407,456.71,457,457,456.60,1100,2,DPI-a
20020410,454.32,456,454,456.06,3165,3,DPI-a
20020428,445.63,446,446,445.63,807,1,DPI-a
20020429,445.63,446,446,445.63,15512,8,DPI-a
20020430,445.73,446,446,445.63,9518,5,DPI-a
20020504,445.63,446,446,445.63,602,1,DPI-a
20020505,445.52,446,446,445.63,10000,2,DPI-a
20020506,445.08,445,445,445.41,5000,3,DPI-a
20020708,411.28,411,411,411.28,1000,1,DPI-a
20020709,390.74,391,391,390.74,500,1,DPI-a
20020713,371.28,371,371,371.28,500,1,DPI-a
20020714,370.30,370,369,369.33,1154,2,DPI-a
