<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20010328,1166.37,1166,1166,1166.37,1000
20010331,1166.37,1166,1166,1166.37,600
20010407,1166.37,1166,1166,1166.37,732
20010408,1167.43,1170,1167,1169.90,2275
20010409,1170.25,1172,1168,1168.49,12030
20010410,1168.49,1168,1168,1168.49,2290
20010414,1173.08,1173,1173,1173.44,1100
20010415,1174.85,1182,1175,1182.27,2585
20010416,1185.10,1195,1185,1194.64,1842
20010417,1237.06,1254,1237,1254.37,5236
20010418,1276.29,1290,1276,1290.07,3712
20010421,1319.76,1322,1318,1318.35,20345
20010422,1318.35,1320,1318,1318.35,6093
20010423,1317.99,1318,1316,1316.23,869
20010424,1314.46,1315,1314,1314.81,9200
20010425,1290.43,1311,1290,1290.07,3586
20010428,1286.54,1287,1258,1258.26,12250
20010429,1257.55,1315,1254,1314.81,175631
20010430,1314.81,1316,1308,1316.23,20461
20010501,1316.23,1325,1315,1315.87,20498
20010502,1315.87,1325,1316,1325.42,13756
20010505,1343.09,1343,1343,1343.09,6223
20010506,1360.76,1361,1343,1343.09,20245
20010507,1343.09,1343,1343,1343.09,10032
20010508,1343.44,1343,1343,1343.09,10248
20010509,1343.09,1354,1343,1353.69,4461
20010512,1360.76,1361,1361,1361.47,10122
20010513,1371.36,1371,1371,1371.36,1277
20010515,1403.53,1404,1383,1403.53,2800
20010516,1438.52,1439,1439,1438.52,11112
20010519,1442.41,1451,1441,1449.12,27359
20010520,1452.66,1464,1453,1463.61,6187
20010521,1478.10,1478,1478,1478.10,7614
20010523,1492.60,1493,1493,1492.60,2762
20010526,1507.44,1507,1507,1507.44,1762
20010527,1522.28,1522,1522,1522.28,10405
20010528,1537.48,1537,1537,1537.48,16132
20010529,1522.28,1553,1522,1522.28,27557
20010530,1522.28,1522,1507,1522.28,12928
20010602,1515.92,1522,1516,1521.22,11750
20010603,1521.58,1522,1522,1521.58,9020
20010606,1521.58,1522,1522,1521.58,6930
20010609,1521.58,1522,1521,1520.52,3334
