<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20171225,4210.00,4600,4210,4362.00,35765,48,دجابرح-ت
20171226,4213.00,4411,4213,4274.00,11354,15,دجابرح-ت
20171227,4399.00,4439,4399,4428.00,5290,4,دجابرح-ت
20171230,4330.00,4330,4278,4295.00,46706,20,دجابرح-ت
20171231,4280.00,4348,4150,4200.00,139919,44,دجابرح-ت
20180101,4190.00,4320,4190,4239.00,246314,15,دجابرح-ت
20180102,4184.00,4184,4184,4184.00,100,1,دجابرح-ت
20180103,4220.00,4220,4200,4206.00,34495,11,دجابرح-ت
20180106,4200.00,4202,4200,4200.00,30867,6,دجابرح-ت
20180107,4216.00,4217,4216,4217.00,1492,5,دجابرح-ت
20180108,4235.00,4250,4235,4249.00,21000,2,دجابرح-ت
20180109,4205.00,4270,4205,4210.00,4685,8,دجابرح-ت
20180110,4216.00,4320,4202,4226.00,3488,6,دجابرح-ت
20180113,4201.00,4220,4200,4201.00,96200,11,دجابرح-ت
20180114,4202.00,4229,4202,4228.00,2064,4,دجابرح-ت
20180115,4201.00,4250,4201,4228.00,5315,9,دجابرح-ت
20180116,4298.00,4299,4215,4276.00,2850,5,دجابرح-ت
20180117,4299.00,4320,4230,4296.00,27635,11,دجابرح-ت
20180120,4250.00,4320,4250,4318.00,20250,6,دجابرح-ت
20180121,4310.00,4749,4310,4583.00,43832,20,دجابرح-ت
20180122,4300.00,4350,4300,4317.00,3051,9,دجابرح-ت
20180123,4401.00,4401,4400,4400.00,18300,8,دجابرح-ت
20180124,4303.00,4399,4192,4296.00,75495,29,دجابرح-ت
20180409,4000.00,4000,4000,4000.00,10000,1,دجابرح-ت
20180410,3900.00,3900,3900,3900.00,5000,1,دجابرح-ت
20180411,3800.00,3800,3800,3800.00,5000,1,دجابرح-ت
20180415,3700.00,3700,3700,3700.00,10484,2,دجابرح-ت
20180416,3610.00,3610,3610,3610.00,56095,3,دجابرح-ت
20180417,3610.00,3610,3600,3600.00,156231,14,دجابرح-ت
20180418,3590.00,3590,3580,3580.00,153106,7,دجابرح-ت
20190304,3100.00,3100,2790,2840.00,544111,158,دجابرح-ت
20190305,2570.00,2772,2556,2571.00,375762,174,دجابرح-ت
20190306,2316.00,2470,2314,2349.00,98928,79,دجابرح-ت
20190309,2300.00,2330,2129,2255.00,56298,47,دجابرح-ت
20190310,2152.00,2298,2152,2253.00,16232,18,دجابرح-ت
20190311,2236.00,2275,2175,2241.00,102114,62,دجابرح-ت
20190312,2176.00,2240,2176,2236.00,84467,39,دجابرح-ت
20190313,2201.00,2201,2101,2157.00,93876,49,دجابرح-ت
20190316,2055.00,2250,2055,2148.00,29301,32,دجابرح-ت
20190317,2100.00,2250,2100,2208.00,50314,29,دجابرح-ت
20190318,2260.00,2428,2257,2334.00,233810,49,دجابرح-ت
20190319,2390.00,2499,2346,2423.00,152921,33,دجابرح-ت
20190325,2650.00,2650,2400,2527.00,16262,24,دجابرح-ت
20190326,2550.00,2659,2510,2593.00,145759,72,دجابرح-ت
20190327,2406.00,2650,2406,2603.00,29368,20,دجابرح-ت
20190330,2640.00,2759,2630,2692.00,109383,75,دجابرح-ت
20190331,2802.00,2961,2800,2877.00,528319,105,دجابرح-ت
20190406,3164.00,3164,3001,3143.00,794195,150,دجابرح-ت
20190407,3440.00,3440,3100,3369.00,350182,93,دجابرح-ت
20190408,3420.00,3420,3033,3323.00,225998,87,دجابرح-ت
20190409,3052.00,3390,3052,3252.00,62452,41,دجابرح-ت
20190410,3575.00,3575,3177,3372.00,302215,73,دجابرح-ت
20190413,3479.00,3709,3478,3615.00,252574,113,دجابرح-ت
20190414,3976.00,3976,3712,3942.00,401840,92,دجابرح-ت
20190415,4336.00,4336,3950,4330.00,382164,92,دجابرح-ت
20190416,4763.00,4763,4000,4561.00,467886,116,دجابرح-ت
20190417,4105.00,4128,4105,4108.00,49598,32,دجابرح-ت
20190420,3698.00,4085,3698,3950.00,254967,117,دجابرح-ت
20190422,4140.00,4140,3667,3769.00,213081,62,دجابرح-ت
20190423,4090.00,4090,3412,3672.00,171592,62,دجابرح-ت
20190724,5300.00,5300,5300,5300.00,1744488,71,دجابرح-ت
20190727,5300.00,5300,5300,5300.00,301758,24,دجابرح-ت
