<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20010328,1365.00,1365,1365,1365.00,4164
20010417,1420.00,1420,1420,1420.00,2000
20010422,1455.00,1455,1455,1455.00,307
20010428,1491.00,1491,1491,1491.00,450
20010507,1528.00,1528,1528,1528.00,225
20010509,1543.00,1543,1543,1543.00,225
20010512,1543.00,1558,1543,1543.00,6975
20010515,1558.00,1558,1558,1558.00,55000
20010516,1558.00,1558,1558,1558.00,225
20010519,1573.00,1573,1573,1573.00,1200
20010520,1588.00,1588,1588,1588.00,9237
20010523,1603.00,1603,1603,1603.00,5527
20010526,1619.00,1619,1619,1619.00,2450
20010527,1635.00,1635,1635,1635.00,500
20010528,1651.00,1651,1651,1651.00,500
20010529,1651.00,1651,1651,1651.00,619
20010602,1651.00,1651,1651,1651.00,225
20010603,1667.00,1667,1651,1651.00,2450
20010612,1637.00,1637,1637,1637.00,5000
20010613,1621.00,1621,1621,1621.00,300
20011024,1350.00,1350,1350,1350.00,1000
20011027,1350.00,1350,1350,1350.00,800
20011028,1351.00,1351,1350,1350.00,225
20011029,1350.00,1350,1350,1350.00,3750
20011030,1360.00,1361,1360,1360.00,1522
20011031,1360.00,1361,1360,1360.00,4897
20011105,1361.00,1361,1361,1361.00,2000
20011106,1360.00,1361,1360,1361.00,1097
20011107,1362.00,1362,1361,1361.00,2056
20011110,1360.00,1361,1360,1361.00,3275
20011111,1293.00,1293,1293,1293.00,1000
20011112,1299.00,1299,1299,1299.00,225
20011114,1299.00,1299,1299,1299.00,225
20011118,1304.00,1306,1304,1306.00,475
20011120,1330.00,1350,1330,1350.00,42225
20011121,1350.00,1360,1350,1360.00,2225
20011125,1360.00,1360,1360,1360.00,7600
20011126,1360.00,1360,1360,1360.00,50
20011128,1315.00,1315,1315,1315.00,1000
20011201,1315.00,1315,1315,1315.00,225
20011204,1360.00,1360,1360,1360.00,4950
20011210,1359.00,1359,1359,1359.00,6225
20011211,1360.00,1360,1360,1360.00,10000
20011212,1317.00,1360,1317,1360.00,2000
20011215,1360.00,1375,1360,1375.00,9000
20011217,1385.00,1385,1385,1385.00,1000
20011218,1371.00,1371,1371,1371.00,600
20011219,1373.00,1373,1373,1373.00,901400
20011225,1363.00,1363,1363,1363.00,600
20011226,1366.00,1366,1366,1366.00,450
20011229,1367.00,1367,1366,1366.00,450
20011231,1367.00,1367,1367,1367.00,1575
20020102,1366.00,1366,1366,1366.00,4000
20020105,1367.00,1367,1367,1367.00,225
20020116,1200.00,1200,1200,1200.00,501
20020119,1201.00,1201,1201,1201.00,275
20020122,1227.00,1227,1227,1227.00,225
20020123,1257.00,1257,1257,1257.00,1000
20020126,1288.00,1288,1288,1288.00,1150
20020128,1320.00,1320,1320,1320.00,1000
20020129,1320.00,1353,1289,1289.00,58500
20020130,1320.00,1320,1320,1320.00,3225
20020202,1320.00,1321,1320,1321.00,6601
20020203,1321.00,1330,1321,1330.00,26500
20020204,1340.00,1350,1340,1341.00,5500
20020205,1342.00,1342,1341,1341.00,11000
20020206,1341.00,1341,1341,1341.00,225
20020209,1341.00,1341,1341,1341.00,2000
20020210,1341.00,1342,1340,1340.00,3000
20020212,1340.00,1340,1340,1340.00,1150
20020213,1340.00,1340,1340,1340.00,2807
20020216,1340.00,1340,1340,1340.00,2225
20020217,1340.00,1340,1340,1340.00,1500
20020219,1337.00,1339,1337,1339.00,6375
20020220,1340.00,1340,1340,1340.00,1000
20020224,1340.00,1340,1320,1320.00,2225
20020225,1320.00,1320,1320,1320.00,4045
20020226,1320.00,1320,1320,1320.00,6000
20020304,1324.00,1324,1324,1324.00,405
20020306,1324.00,1324,1324,1324.00,3000
20020309,1340.00,1340,1324,1324.00,12327
20020310,1324.00,1324,1324,1324.00,1225
20020312,1324.00,1340,1324,1340.00,50025
20020317,1340.00,1340,1340,1340.00,5000
20020318,1340.00,1340,1340,1340.00,1985
20020326,1340.00,1340,1340,1340.00,225
20020403,1340.00,1340,1340,1340.00,262
20020408,1342.00,1342,1340,1340.00,2500
20020409,1340.00,1340,1340,1340.00,225
20020410,1342.00,1342,1341,1341.00,6775
20020413,1341.00,1341,1341,1341.00,225
20020414,1351.00,1351,1351,1351.00,38110
20020421,1384.00,1384,1384,1384.00,150
20020501,1418.00,1418,1418,1418.00,3600
20020505,1453.00,1453,1453,1453.00,1951
20020615,1370.00,1370,1370,1370.00,1000
20020703,1356.00,1356,1356,1356.00,1000
20020707,1423.00,1423,1423,1423.00,1000
20020708,1494.00,1494,1494,1494.00,1147
20020710,1568.00,1568,1568,1568.00,3000
20020713,1646.00,1646,1620,1620.00,1085000
20020714,1701.00,1701,1701,1701.00,150
20020716,1786.00,1786,1786,1786.00,300
20020721,1875.00,1875,1875,1875.00,2000
20020724,1968.00,1968,1968,1968.00,3500
20020727,2066.00,2066,2066,2066.00,2305
20020728,2169.00,2169,2169,2169.00,3500
20020730,2277.00,2277,2277,2277.00,2000
20020731,2390.00,2390,2390,2390.00,352375
20020803,2449.00,2449,2449,2449.00,50450
20020804,2510.00,2510,2510,2510.00,10000
20020805,2572.00,2572,2572,2572.00,150
20020806,2636.00,2636,2636,2636.00,1150
20020807,2701.00,2701,2701,2701.00,2725
20020810,2768.00,2768,2768,2768.00,644
20020811,2837.00,2837,2837,2837.00,5184
20020813,2800.00,2907,2800,2907.00,82912
20020814,2979.00,2979,2979,2979.00,500
20020817,3053.00,3053,3053,3053.00,6360
20020818,3129.00,3129,3129,3129.00,2000
20020819,3134.00,3207,3129,3207.00,107682
20020820,3207.00,3207,3200,3207.00,56225
20020821,3208.00,3218,3207,3218.00,20225
20020824,3250.00,3250,3250,3250.00,1355
20020825,3282.00,3282,3282,3282.00,10450
20020826,3314.00,3314,3314,3314.00,3000
20020827,3347.00,3347,3347,3347.00,426
20020828,3380.00,3380,3380,3380.00,235
20020831,3413.00,3413,3413,3413.00,2575
20020901,3447.00,3447,3447,3447.00,48850
20020902,3481.00,3481,3479,3480.00,118285
20020903,3480.00,3480,3464,3480.00,36000
20020904,3470.00,3480,3460,3460.00,26322
20020907,3440.00,3440,3426,3426.00,35579
20020908,3392.00,3392,3392,3392.00,50000
20020909,3359.00,3359,3359,3359.00,1000
20020910,3326.00,3326,3326,3326.00,110500
20020911,3293.00,3293,3293,3293.00,51956
20020914,3293.00,3325,3293,3323.00,115011
20020915,3310.00,3310,3310,3310.00,9951
20020917,3310.00,3310,3310,3310.00,4988
20020918,3300.00,3307,3300,3300.00,4792
20020922,3267.00,3267,3267,3267.00,500
20020923,3235.00,3235,3235,3235.00,500
20020925,3203.00,3203,3203,3203.00,500
20020928,3171.00,3171,3171,3171.00,500
20021002,3092.00,3092,3092,3092.00,500
20021014,3015.00,3015,3015,3015.00,270
20021029,2865.00,3015,2865,3015.00,3570
20021112,2969.00,2980,2969,2980.00,4000
20021125,2969.00,2969,2969,2969.00,225
20021204,2821.00,2821,2821,2821.00,2000
20021207,2700.00,2700,2700,2700.00,1100
20021208,2680.00,2680,2680,2680.00,2000
20021214,2600.00,2620,2600,2620.00,4500
20021215,2546.00,2546,2545,2546.00,5008
20021217,2545.00,2550,2545,2546.00,7225
20021218,2620.00,2630,2620,2630.00,758
20021221,2750.00,2750,2631,2750.00,2375
20021222,2887.00,2887,2646,2646.00,2255
20021223,2646.00,2646,2646,2646.00,1425
20021228,2600.00,2600,2600,2600.00,3816
20021229,2540.00,2619,2540,2619.00,17469
20030101,2610.00,2640,2550,2640.00,7300
20030108,2640.00,2640,2640,2640.00,10450
20030111,2640.00,2644,2640,2643.00,8393
20030112,2646.00,2646,2646,2646.00,3935
20030114,2640.00,2646,2640,2644.00,24266
20030120,2551.00,2551,2551,2551.00,1000
20030121,2554.00,2554,2540,2540.00,7409
20030122,2500.00,2500,2500,2500.00,3872
20030126,2450.00,2450,2450,2450.00,892
20030128,2400.00,2400,2400,2400.00,1000
20030129,2329.00,2350,2328,2328.00,3000
20030202,2444.00,2444,2444,2444.00,1000
20030203,2560.00,2566,2560,2566.00,5800
20030204,2568.00,2568,2568,2568.00,225
20030205,2616.00,2616,2616,2616.00,450
20030224,2549.00,2550,2549,2550.00,1605
20030301,2500.00,2500,2500,2500.00,1000
20030309,2472.00,2473,2400,2400.00,1968
20030310,2400.00,2400,2399,2400.00,1000
20030311,2400.00,2400,2400,2400.00,3533
20030312,2400.00,2400,2400,2400.00,3266
20030316,2400.00,2400,2400,2400.00,8000
20030405,2400.00,2400,2400,2400.00,300
20030406,2356.00,2356,2356,2356.00,225
20030428,2420.00,2420,2415,2415.00,225
20030504,2535.00,2535,2535,2535.00,60000
20030505,2536.00,2536,2535,2535.00,30450
20030506,2535.00,2535,2535,2535.00,450
20030507,2535.00,2535,2535,2535.00,225
20030511,2535.00,2535,2535,2535.00,225
20030513,2423.00,2423,2423,2423.00,397
20030521,2544.00,2544,2544,2544.00,450
20030528,2551.00,2620,2550,2620.00,1050
