<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20010325,1210.14,1210,1210,1210.14,313,1,Osvah Pharm.-a
20010326,1208.15,1208,1208,1208.15,30,3,Osvah Pharm.-a
20010327,1147.91,1148,1148,1147.91,400,1,Osvah Pharm.-a
20010328,1148.35,1148,1148,1148.35,66,1,Osvah Pharm.-a
20010331,1147.91,1148,1148,1147.91,1982,3,Osvah Pharm.-a
20010407,1091.87,1092,1092,1091.87,400,1,Osvah Pharm.-a
20010409,1091.87,1092,1092,1091.87,4264,8,Osvah Pharm.-a
20010410,1092.09,1092,1092,1092.09,3089,7,Osvah Pharm.-a
20010411,1098.52,1108,1099,1107.60,11680,11,Osvah Pharm.-a
20010414,1107.60,1130,1108,1129.52,913,4,Osvah Pharm.-a
20010415,1129.97,1141,1130,1140.60,3132,8,Osvah Pharm.-a
20010416,1145.03,1145,1141,1140.60,1566,5,Osvah Pharm.-a
20010417,1140.82,1152,1141,1151.67,8582,14,Osvah Pharm.-a
20010418,1151.67,1152,1152,1151.67,3398,11,Osvah Pharm.-a
20010421,1151.67,1152,1130,1129.52,5625,16,Osvah Pharm.-a
20010422,1129.52,1130,1130,1129.52,6026,17,Osvah Pharm.-a
20010423,1129.75,1132,1130,1131.74,2234,4,Osvah Pharm.-a
20010424,1132.40,1134,1132,1133.51,2910,3,Osvah Pharm.-a
20010425,1136.61,1149,1137,1149.46,4595,12,Osvah Pharm.-a
20010428,1149.46,1149,1149,1149.46,319,3,Osvah Pharm.-a
20010429,1149.68,1154,1150,1153.66,4330,8,Osvah Pharm.-a
20010430,1154.77,1156,689,1156.32,15156,78,Osvah Pharm.-a
20010501,1156.54,1157,1157,1156.54,1301,3,Osvah Pharm.-a
20010502,1156.99,1161,1157,1159.64,9210,16,Osvah Pharm.-a
20010505,1158.54,1167,1158,1167.17,2803,11,Osvah Pharm.-a
20010506,1173.82,1174,1174,1174.04,4316,5,Osvah Pharm.-a
20010507,1207.04,1207,1174,1195.97,2452,5,Osvah Pharm.-a
20010508,1198.62,1205,1199,1204.83,529,4,Osvah Pharm.-a
20010509,1208.15,1213,1208,1213.02,2146,4,Osvah Pharm.-a
20010512,1218.56,1219,1219,1219.00,268,4,Osvah Pharm.-a
20010515,1225.87,1230,1226,1230.30,538,6,Osvah Pharm.-a
20010516,1269.05,1292,1240,1291.64,1198,4,Osvah Pharm.-a
20010521,1323.76,1324,1324,1323.76,1104,5,Osvah Pharm.-a
20010523,1356.76,1357,1357,1356.76,1020,2,Osvah Pharm.-a
20010526,1374.48,1391,1374,1390.64,24417,26,Osvah Pharm.-a
20010613,1390.64,1419,1391,1418.99,10838,33,Osvah Pharm.-a
20010616,1428.74,1454,1422,1439.59,10516,36,Osvah Pharm.-a
20010617,1440.03,1462,1440,1461.74,9111,34,Osvah Pharm.-a
20010618,1461.74,1462,1440,1461.74,12213,33,Osvah Pharm.-a
20010619,1450.66,1451,1426,1426.30,1965,6,Osvah Pharm.-a
20010620,1424.09,1429,1424,1428.52,4665,26,Osvah Pharm.-a
20010623,1428.52,1430,1429,1429.62,4421,11,Osvah Pharm.-a
20010624,1430.07,1451,1430,1446.68,6070,17,Osvah Pharm.-a
20010625,1450.66,1457,1446,1455.09,3310,9,Osvah Pharm.-a
20010626,1439.59,1441,1440,1440.03,5918,27,Osvah Pharm.-a
20010627,1440.03,1440,1440,1439.81,4475,16,Osvah Pharm.-a
20010630,1439.81,1446,1440,1446.46,10156,21,Osvah Pharm.-a
20010701,1446.90,1470,1447,1469.71,4354,18,Osvah Pharm.-a
20010702,1494.96,1506,1474,1506.25,15673,17,Osvah Pharm.-a
20010703,1543.90,1544,1544,1543.90,4429,12,Osvah Pharm.-a
20010704,1559.19,1559,1529,1528.62,9646,28,Osvah Pharm.-a
20010707,1527.07,1527,1513,1513.34,1287,4,Osvah Pharm.-a
20010708,1528.62,1529,1513,1528.62,7098,34,Osvah Pharm.-a
20010709,1529.07,1535,1510,1510.46,6177,17,Osvah Pharm.-a
20010812,1849.32,1912,1510,1882.54,4647,18,Osvah Pharm.-a
20010813,1907.35,1915,1903,1914.65,14710,27,Osvah Pharm.-a
20010814,1914.65,1939,1900,1939.02,18150,19,Osvah Pharm.-a
20010815,1905.13,1963,1905,1963.38,19310,20,Osvah Pharm.-a
20010818,1967.37,2012,1967,2012.32,17917,20,Osvah Pharm.-a
20010819,2062.60,2063,2063,2062.60,13230,11,Osvah Pharm.-a
20010820,2062.60,2114,2063,2113.98,7901,12,Osvah Pharm.-a
20010821,2135.02,2135,2135,2135.02,21053,23,Osvah Pharm.-a
20010822,2113.98,2126,2114,2113.76,3514,11,Osvah Pharm.-a
20010825,2092.72,2093,2093,2092.72,19400,13,Osvah Pharm.-a
20010826,2040.45,2040,2040,2040.45,19661,3,Osvah Pharm.-a
20010827,1989.51,1990,1990,1989.51,1000,2,Osvah Pharm.-a
20010828,1939.90,1940,1940,1939.90,3000,8,Osvah Pharm.-a
20010829,1891.62,1892,1892,1891.62,2000,2,Osvah Pharm.-a
20010901,1844.45,1891,1844,1885.20,24225,77,Osvah Pharm.-a
20010902,1885.20,1885,1885,1885.20,3200,11,Osvah Pharm.-a
20010904,1880.33,1880,1855,1855.30,3200,6,Osvah Pharm.-a
20010905,1838.25,1860,1837,1860.39,12830,44,Osvah Pharm.-a
20010908,1846.88,1861,1847,1860.17,6247,17,Osvah Pharm.-a
20010909,1859.06,1860,1859,1860.39,11583,20,Osvah Pharm.-a
20010910,1860.39,1861,1860,1861.50,2429,10,Osvah Pharm.-a
20010911,1864.82,1865,1865,1865.26,662,4,Osvah Pharm.-a
20010912,1865.04,1865,1865,1865.04,1317,6,Osvah Pharm.-a
20010915,1865.04,1865,1865,1865.04,1098,6,Osvah Pharm.-a
20010916,1865.04,1865,1860,1860.39,1242,4,Osvah Pharm.-a
20010922,1841.79,1842,1842,1841.79,31000,47,Osvah Pharm.-a
20010923,1841.79,1842,1842,1842.01,1885,9,Osvah Pharm.-a
20010924,1841.79,1842,1842,1841.57,100,2,Osvah Pharm.-a
20010925,1827.17,1827,1827,1827.17,1000,3,Osvah Pharm.-a
20010926,1809.01,1809,1809,1809.01,1000,1,Osvah Pharm.-a
20010929,1791.07,1791,1791,1791.07,11000,17,Osvah Pharm.-a
20010930,1773.35,1773,1773,1773.35,9373,14,Osvah Pharm.-a
20011002,1773.13,1791,1773,1791.07,1491,5,Osvah Pharm.-a
20011006,1789.30,1791,1789,1791.07,4154,10,Osvah Pharm.-a
20011007,1791.07,1794,1791,1793.95,10013,23,Osvah Pharm.-a
20011008,1793.95,1794,1790,1789.52,5177,10,Osvah Pharm.-a
20011009,1789.52,1790,1790,1789.52,661,2,Osvah Pharm.-a
20011014,1771.80,1772,1745,1745.89,6692,12,Osvah Pharm.-a
20011016,1745.89,1772,1746,1771.80,9668,21,Osvah Pharm.-a
20011017,1771.80,1772,1772,1771.58,1142,4,Osvah Pharm.-a
20011020,1770.92,1771,1771,1770.92,266,1,Osvah Pharm.-a
20011021,1769.59,1772,1770,1771.80,7690,23,Osvah Pharm.-a
20011022,1771.80,1772,1772,1771.80,830,6,Osvah Pharm.-a
20011023,1771.80,1772,1751,1771.58,1158,7,Osvah Pharm.-a
20011024,1771.80,1776,1772,1776.23,5313,16,Osvah Pharm.-a
20011027,1776.23,1780,1776,1780.00,8316,8,Osvah Pharm.-a
20011028,1785.09,1785,1783,1782.88,6013,5,Osvah Pharm.-a
20011029,1771.80,1783,1772,1782.88,933,8,Osvah Pharm.-a
20011030,1782.88,1783,1783,1782.88,187,1,Osvah Pharm.-a
20011031,1783.98,1784,1784,1784.43,660,2,Osvah Pharm.-a
20011103,1787.75,1805,1788,1805.02,9847,20,Osvah Pharm.-a
20011104,1816.10,1816,1816,1816.10,2000,3,Osvah Pharm.-a
20011105,1819.20,1822,1819,1821.86,2550,5,Osvah Pharm.-a
20011106,1825.84,1826,1826,1825.84,100,1,Osvah Pharm.-a
20011107,1838.25,1838,1838,1838.25,497,2,Osvah Pharm.-a
20011110,1849.98,1854,1850,1854.19,2990,9,Osvah Pharm.-a
20011111,1862.61,1863,1855,1860.61,1156,4,Osvah Pharm.-a
20011112,1868.59,1883,1869,1882.98,2638,7,Osvah Pharm.-a
20011113,1885.86,1894,1886,1893.61,2541,10,Osvah Pharm.-a
20011114,1904.69,1905,1898,1898.26,931,4,Osvah Pharm.-a
20011117,1904.69,1905,1905,1904.69,980,3,Osvah Pharm.-a
20011118,1905.13,1906,1905,1905.35,1202,8,Osvah Pharm.-a
20011119,1905.57,1906,1905,1905.57,681,7,Osvah Pharm.-a
20011120,1905.57,1906,1906,1905.57,705,3,Osvah Pharm.-a
20011121,1905.57,1906,1905,1905.57,964,5,Osvah Pharm.-a
20011124,1905.79,1910,1906,1909.56,555,4,Osvah Pharm.-a
20011125,1911.55,1913,1912,1913.10,1692,5,Osvah Pharm.-a
20011126,1913.10,1913,1913,1913.10,509,4,Osvah Pharm.-a
20011127,1913.10,1916,1913,1915.76,2373,10,Osvah Pharm.-a
20011128,1915.76,1918,1916,1917.53,6082,15,Osvah Pharm.-a
20011201,1921.52,1923,1921,1922.41,2532,8,Osvah Pharm.-a
20011202,1923.07,1926,1923,1925.51,894,4,Osvah Pharm.-a
20011203,1939.24,1941,1938,1940.57,1140,4,Osvah Pharm.-a
20011204,1943.22,1950,1943,1949.87,583,4,Osvah Pharm.-a
20011205,1953.41,1954,1952,1953.41,6245,17,Osvah Pharm.-a
20011211,1933.92,1934,1934,1933.92,700,4,Osvah Pharm.-a
20011212,1914.65,1915,1914,1913.77,6800,21,Osvah Pharm.-a
20011215,1911.33,1913,1894,1893.61,4568,19,Osvah Pharm.-a
20011217,1891.40,1914,1891,1914.43,11146,16,Osvah Pharm.-a
20011218,1914.43,1914,1914,1914.43,5145,7,Osvah Pharm.-a
20011219,1914.43,1915,1914,1914.43,162884,17,Osvah Pharm.-a
20011222,1913.99,1916,1914,1915.76,2843,6,Osvah Pharm.-a
20011223,1915.76,1916,1916,1915.76,2842,6,Osvah Pharm.-a
20011224,1916.20,1920,1916,1917.75,6822,9,Osvah Pharm.-a
20011225,1918.64,1924,1918,1924.40,2664,5,Osvah Pharm.-a
20011230,1920.19,1920,1918,1920.19,532,3,Osvah Pharm.-a
20020101,1882.76,1901,1883,1901.37,4538,4,Osvah Pharm.-a
20020102,1882.54,1883,1872,1873.68,18865,20,Osvah Pharm.-a
20020105,1870.14,1870,1859,1859.29,5605,16,Osvah Pharm.-a
20020106,1858.18,1858,1827,1855.74,28671,22,Osvah Pharm.-a
20020107,1853.08,1853,1852,1853.08,5031,7,Osvah Pharm.-a
20020108,1827.17,1827,1827,1827.17,8360,18,Osvah Pharm.-a
20020112,1824.51,1827,1821,1827.17,4792,9,Osvah Pharm.-a
20020113,1828.06,1859,1827,1859.29,8122,16,Osvah Pharm.-a
20020114,1858.18,1858,1858,1858.18,1070,3,Osvah Pharm.-a
20020115,1858.18,1858,1853,1858.18,17354,22,Osvah Pharm.-a
20020116,1858.40,1860,1858,1859.95,1515,3,Osvah Pharm.-a
20020119,1862.39,1863,1860,1863.49,6127,10,Osvah Pharm.-a
20020120,1858.18,1858,1858,1857.73,1551,6,Osvah Pharm.-a
20020121,1857.29,1858,1857,1858.18,4125,8,Osvah Pharm.-a
20020122,1840.46,1840,1838,1840.46,1976,10,Osvah Pharm.-a
20020123,1840.46,1886,1840,1886.31,3332,9,Osvah Pharm.-a
20020126,1886.31,1886,1886,1885.86,646,3,Osvah Pharm.-a
20020127,1885.20,1894,1885,1893.61,8236,20,Osvah Pharm.-a
20020128,1893.61,1894,1894,1893.84,3361,13,Osvah Pharm.-a
20020129,1895.83,1896,1894,1894.28,2344,4,Osvah Pharm.-a
20020130,1894.50,1895,1894,1894.94,134,3,Osvah Pharm.-a
20020202,1894.72,1895,1894,1893.84,10175,11,Osvah Pharm.-a
20020203,1846.66,1847,1847,1846.66,813,2,Osvah Pharm.-a
20020204,1844.89,1845,1845,1844.89,2000,2,Osvah Pharm.-a
20020205,1841.79,1845,1840,1844.67,9834,14,Osvah Pharm.-a
20020206,1844.45,1845,1844,1844.67,6230,7,Osvah Pharm.-a
20020209,1827.17,1827,1816,1816.32,621,3,Osvah Pharm.-a
20020210,1816.32,1817,1815,1816.32,17209,16,Osvah Pharm.-a
20020212,1813.66,1816,1814,1815.65,216,4,Osvah Pharm.-a
20020213,1811.67,1812,1801,1800.59,928,7,Osvah Pharm.-a
20020216,1800.59,1817,1800,1816.54,6150,19,Osvah Pharm.-a
20020217,1816.10,1838,1816,1838.25,1897,5,Osvah Pharm.-a
20020218,1838.25,1838,1838,1838.25,5695,11,Osvah Pharm.-a
20020219,1838.25,1880,1838,1880.33,1265,3,Osvah Pharm.-a
20020220,1880.33,1883,1880,1882.54,44626,12,Osvah Pharm.-a
20020224,1882.54,1883,1883,1882.54,1375,3,Osvah Pharm.-a
20020225,1892.73,1893,1892,1892.73,5456,9,Osvah Pharm.-a
20020226,1894.06,1894,1891,1894.28,2666,8,Osvah Pharm.-a
20020304,1891.18,1894,1889,1893.61,6897,28,Osvah Pharm.-a
20020305,1893.61,1894,1894,1894.06,1632,6,Osvah Pharm.-a
20020306,1894.06,1894,1894,1894.06,3282,7,Osvah Pharm.-a
20020309,1894.06,1894,1893,1893.39,2008,4,Osvah Pharm.-a
20020310,1892.95,1893,1893,1892.95,500,2,Osvah Pharm.-a
20020311,1882.32,1882,1882,1882.32,164,2,Osvah Pharm.-a
20020312,1873.02,1883,1873,1882.54,10000,12,Osvah Pharm.-a
20020316,1882.10,1882,1882,1882.32,200,2,Osvah Pharm.-a
20020319,1877.45,1877,1877,1877.45,187,1,Osvah Pharm.-a
20020326,1876.56,1877,1877,1876.56,66,1,Osvah Pharm.-a
20020409,1831.60,1833,1832,1831.60,2417,8,Osvah Pharm.-a
