<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20140223,13113.00,14500,13113,13650.00,26770
20140224,14332.00,14332,13800,14116.00,377034
20140225,13800.00,13800,13411,13431.00,153134
20140226,12801.00,13799,12760,12946.00,154248
20140301,13560.00,13560,12452,12961.00,76863
20140302,12350.00,12453,12313,12328.00,97429
20140303,11712.00,11712,11712,11712.00,16690
20140304,11127.00,11699,11127,11165.00,148640
20140305,11119.00,11719,11115,11502.00,151586
20140308,11200.00,11599,10927,11070.00,70216
20140309,11200.00,11200,10517,10532.00,74235
20140310,10517.00,10787,10161,10367.00,11784
20140311,10200.00,10700,9853,9969.00,60031
20140312,9990.00,10400,9500,9866.00,51276
20140315,10359.00,10359,10359,10359.00,39570
20140316,10876.00,10876,10700,10875.00,91681
20140317,11399.00,11399,10876,11240.00,65477
20140318,11240.00,11240,10680,10896.00,39461
20140319,10704.00,10970,10401,10773.00,39549
20140325,11311.00,11311,10300,10630.00,77391
20140326,10105.00,10450,10099,10128.00,43894
20140329,10620.00,10634,10075,10446.00,106408
20140330,10799.00,10968,10751,10830.00,55978
20140331,11350.00,11370,11000,11137.00,49373
20140405,10610.00,11085,10610,10850.00,75341
20140406,10703.00,10703,10360,10481.00,59880
20140407,10450.00,10600,10109,10415.00,68130
20140408,10650.00,10880,10201,10389.00,97541
20140409,10545.00,10700,10055,10250.00,22689
20140412,10449.00,10449,9749,9788.00,48558
20140413,9300.00,9959,9299,9300.00,59114
20140414,8835.00,9298,8835,8838.00,185848
20140415,9200.00,9200,8911,9063.00,37221
20140416,9130.00,9391,9002,9142.00,43999
20140419,9300.00,9300,8685,8724.00,42287
20140420,8800.00,9160,8800,9110.00,184382
20140421,9003.00,9174,8890,8992.00,105951
20140422,9144.00,9144,8860,8963.00,63217
20140423,8700.00,9044,8700,8972.00,56262
20140426,9000.00,9420,9000,9379.00,204135
20140427,9268.00,9670,9010,9175.00,73470
20140428,9200.00,9200,8900,9018.00,58366
20140429,8815.00,8850,8815,8817.00,27724
20140430,8820.00,9000,8702,8863.00,17299
20140503,8750.00,9000,8601,8856.00,13089
20140504,8507.00,8840,8505,8713.00,20476
20140505,8970.00,8970,8510,8568.00,23714
20140506,8514.00,8600,8399,8467.00,18566
20140507,8300.00,8300,8060,8188.00,73364
20140510,8180.00,8180,7850,7960.00,285904
20140511,8150.00,8150,7603,7726.00,109033
20140512,7501.00,7700,7371,7461.00,328022
20140909,11000.00,11000,11000,11000.00,553778
20140910,11000.00,11200,11000,11000.00,389304
20151026,4500.00,4500,4500,4500.00,4123
20151027,4401.00,4468,4280,4355.00,224576
20151028,4300.00,4330,4215,4270.00,153540
20151031,4222.00,4300,4153,4250.00,71543
20151101,4250.00,4348,4182,4274.00,80723
20151102,4227.00,4360,4227,4339.00,132308
20151103,4340.00,4390,4301,4364.00,58186
20151104,4400.00,4522,4400,4487.00,102117
20151107,4336.00,4529,4336,4436.00,24741
20151108,4500.00,4500,4431,4447.00,21623
20151109,4470.00,4470,4452,4465.00,7247
20151110,4500.00,4550,4456,4521.00,27842
20151111,4500.00,4600,4500,4541.00,33318
20151114,4445.00,4470,4444,4446.00,74587
20151115,4600.00,4600,4420,4485.00,90406
20151116,4444.00,4580,4407,4525.00,20919
20151117,4471.00,4580,4471,4495.00,3879
20151118,4500.00,4719,4500,4669.00,211370
20151121,4709.00,4709,4580,4647.00,33991
20151122,4750.00,4879,4700,4868.00,118013
20151123,4750.00,4885,4750,4855.00,48363
20151124,4708.00,5020,4708,4979.00,72842
20151125,5000.00,5080,5000,5075.00,127353
20151128,4825.00,4826,4822,4825.00,21548
20151129,4652.00,4800,4650,4652.00,456641
20151130,4600.00,4800,4600,4795.00,51796
20151201,4750.00,4900,4750,4899.00,161634
20151205,4940.00,4940,4781,4871.00,123845
20151206,4850.00,4910,4777,4905.00,111660
20151207,4758.00,4850,4758,4814.00,9937
20151208,4664.00,4744,4664,4740.00,10795
20151209,4669.00,4690,4586,4595.00,60536
20151213,4698.00,4710,4600,4639.00,212059
20151214,4600.00,4700,4600,4639.00,67720
20151215,4631.00,4750,4631,4704.00,367852
20151216,4704.00,4800,4704,4735.00,71428
20151219,4620.00,4800,4612,4691.00,176949
20160808,4544.00,4545,4544,4544.00,44474
20160809,4699.00,4771,4699,4761.00,88605
20160810,4773.00,4999,4773,4975.00,238415
20160813,4902.00,4902,4770,4816.00,32072
20160814,4900.00,4909,4776,4878.00,12641
20160815,4804.00,4920,4804,4889.00,52186
20160816,4890.00,4897,4840,4853.00,151379
20160817,4783.00,4816,4783,4803.00,58553
20160820,4800.00,4850,4770,4800.00,266866
20160821,4880.00,4900,4820,4838.00,82587
20160822,4792.00,4880,4790,4807.00,55991
20160823,4850.00,4889,4830,4842.00,5270
20160824,4882.00,4889,4853,4888.00,8333
20160827,4800.00,4850,4800,4803.00,9247
20160828,4771.00,4899,4770,4796.00,39080
20160829,4780.00,4801,4780,4794.00,6760
20160830,4800.00,4802,4717,4784.00,38421
20160831,4731.00,4800,4730,4779.00,56425
20160903,4800.00,4800,4663,4722.00,103111
20160904,4667.00,4750,4667,4707.00,9092
20160905,4700.00,4800,4700,4724.00,232779
20160906,4830.00,4960,4801,4950.00,142070
20160907,4960.00,4960,4800,4814.00,50495
20160910,4783.00,4815,4777,4789.00,34271
20160911,4800.00,4800,4780,4800.00,131353
20160913,4800.00,4805,4792,4800.00,30712
20160914,4800.00,4800,4800,4800.00,419
20160917,4801.00,4950,4801,4898.00,2791
20160918,4852.00,4960,4852,4929.00,4400
20160919,4867.00,4955,4867,4910.00,4813
20160921,4869.00,4985,4850,4906.00,23855
20160924,4997.00,5029,4957,5003.00,6040
20160925,4931.00,5049,4931,5030.00,21352
20160926,5004.00,5099,5004,5054.00,7261
20160927,5031.00,5047,5016,5040.00,37856
20160928,5030.00,5148,5030,5077.00,11043
20161001,5000.00,5174,5000,5152.00,8009
20161002,5050.00,5118,5016,5026.00,26015
20161003,5005.00,5150,5001,5026.00,10893
20161004,5013.00,5191,5010,5091.00,38028
20170813,3600.00,3600,3600,3600.00,100000
20170814,3420.00,3658,3420,3631.00,1818339
20170815,3450.00,3450,3450,3450.00,41084
20170816,3280.00,3385,3278,3323.00,37958
20170819,3379.00,3379,3256,3302.00,67922
20170820,3250.00,3280,3211,3255.00,23091
20170821,3211.00,3289,3211,3232.00,7460
20170822,3211.00,3300,3164,3245.00,6781
20170823,3131.00,3151,3105,3120.00,10438
20170826,3200.00,3250,3155,3209.00,32257
20170827,3250.00,3369,3200,3333.00,30273
20170828,3400.00,3467,3397,3455.00,1935
20170829,3398.00,3400,3300,3324.00,31821
20170830,3226.00,3240,3226,3238.00,1212
20170902,3250.00,3250,3126,3214.00,60862
20170903,3200.00,3200,3200,3200.00,7204
20170905,3200.00,3300,3200,3273.00,7052
20170906,3273.00,3436,3251,3386.00,52227
20170910,3539.00,3539,3253,3513.00,15731
20170911,3659.00,3688,3560,3640.00,39283
20170912,3800.00,3800,3461,3792.00,37166
20170913,3980.00,3980,3603,3973.00,10637
20170916,4100.00,4100,3775,3933.00,28662
20170917,4070.00,4070,3771,4068.00,50412
20170918,3865.00,3999,3865,3901.00,45286
20170919,3999.00,4000,3710,3982.00,36666
20170923,3783.00,3783,3783,3783.00,101203
20170924,3800.00,3800,3594,3693.00,6823
20170925,3817.00,3877,3817,3824.00,20000
20170927,3885.00,4000,3633,3789.00,8994
20171002,3890.00,3890,3660,3791.00,5205
20171003,3980.00,3980,3602,3657.00,31575
20171004,3838.00,3838,3516,3690.00,15720
20171007,3527.00,3650,3506,3545.00,66355
20190724,2254.00,2366,2150,2244.00,3956179
20190727,2287.00,2300,2151,2206.00,6543184
20190728,2239.00,2239,2138,2185.00,3604671
20190729,2215.00,2215,2131,2176.00,2645836
20190730,2160.00,2160,2101,2115.00,2291354
20190731,2102.00,2120,2060,2088.00,1672316
20190803,2032.00,2095,2020,2044.00,2079958
20190804,2053.00,2146,2035,2131.00,1960941
20190805,2237.00,2237,2173,2231.00,3477128
20190806,2275.00,2340,2173,2238.00,3460157
20190807,2200.00,2251,2130,2203.00,3710435
20190810,2200.00,2313,2163,2296.00,5375558
20190811,2349.00,2410,2310,2402.00,4985462
20190813,2485.00,2485.00,2287.00,2365.00,846823
