<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20130922,1516.45,1516,1516,1516.45,9973000,4884,Tolid Daroo-a
20130923,1592.20,1592,1592,1592.20,43533,48,Tolid Daroo-a
20130924,1671.74,1672,1672,1671.74,52000,149,Tolid Daroo-a
20130925,1755.23,1755,1755,1755.23,669117,961,Tolid Daroo-a
20130928,1842.97,1843,1794,1835.22,4255741,6641,Tolid Daroo-a
20130929,1842.81,1852,1797,1816.25,1931211,2876,Tolid Daroo-a
20130930,1822.93,1823,1730,1760.54,713059,1108,Tolid Daroo-a
20131001,1750.37,1814,1750,1784.52,579346,831,Tolid Daroo-a
20131002,1806.38,1874,1773,1857.84,869397,990,Tolid Daroo-a
20131005,1920.23,1951,1893,1939.81,738556,1245,Tolid Daroo-a
20131006,2015.86,2037,1943,2014.80,2548324,2228,Tolid Daroo-a
20131007,1935.41,1973,1914,1923.27,1565886,1345,Tolid Daroo-a
20131008,1924.78,1940,1875,1905.96,633057,654,Tolid Daroo-a
20131009,1927.82,1950,1920,1931.77,500910,631,Tolid Daroo-a
20131012,1968.81,1969,1838,1872.11,614600,647,Tolid Daroo-a
20131013,1889.72,1890,1791,1827.63,1384871,1127,Tolid Daroo-a
20131014,1839.32,1897,1839,1878.79,607253,656,Tolid Daroo-a
20131015,1880.76,1887,1823,1842.36,449757,520,Tolid Daroo-a
20131019,1835.22,1878,1835,1862.55,621487,489,Tolid Daroo-a
20131020,1950.89,1951,1853,1923.57,641820,624,Tolid Daroo-a
20131021,1923.27,1926,1867,1889.72,567729,466,Tolid Daroo-a
20131029,2018.90,2019,1898,1966.38,537356,512,Tolid Daroo-a
20131030,1950.59,2065,1951,2020.87,1554205,1289,Tolid Daroo-a
20131102,2081.59,2122,2072,2116.35,1725071,1197,Tolid Daroo-a
20131103,2094.80,2116,2020,2060.04,1144651,929,Tolid Daroo-a
20131104,2081.14,2081,2019,2046.22,343435,363,Tolid Daroo-a
20131105,2005.69,2049,1981,2017.53,270821,287,Tolid Daroo-a
20131106,2006.76,2118,2007,2101.17,920938,796,Tolid Daroo-a
20131109,2140.34,2206,2102,2176.16,998473,705,Tolid Daroo-a
20131110,2094.80,2171,2073,2140.18,539530,429,Tolid Daroo-a
20131111,2191.95,2221,2156,2194.98,430882,396,Tolid Daroo-a
20131112,2216.23,2305,2216,2302.30,1945696,1204,Tolid Daroo-a
20131116,2417.37,2417,2417,2417.37,1128256,512,Tolid Daroo-a
20131117,2538.20,2538,2430,2513.61,2907600,2601,Tolid Daroo-a
20131118,2457.59,2458,2388,2396.27,850002,720,Tolid Daroo-a
20131119,2337.67,2516,2334,2506.17,1777839,1612,Tolid Daroo-a
20131120,2595.73,2631,2505,2624.57,1691135,1345,Tolid Daroo-a
20131123,2732.34,2756,2672,2754.66,1385587,1016,Tolid Daroo-a
20131124,2892.34,2892,2839,2892.03,978631,781,Tolid Daroo-a
20131125,3036.55,3037,2884,2978.10,2078340,2437,Tolid Daroo-a
20131126,2839.36,2988,2829,2852.11,1290383,1218,Tolid Daroo-a
20131127,2740.69,2899,2741,2826.46,1223137,1209,Tolid Daroo-a
20131130,2868.96,2968,2854,2955.03,897400,683,Tolid Daroo-a
20131201,3096.51,3103,2854,3021.06,1343503,1539,Tolid Daroo-a
20131202,2887.18,2930,2870,2879.59,893086,878,Tolid Daroo-a
20131203,2868.96,2884,2736,2755.11,886247,943,Tolid Daroo-a
20131204,2747.52,2892,2748,2855.30,434353,659,Tolid Daroo-a
20131207,2929.68,2975,2854,2944.40,385954,554,Tolid Daroo-a
20131208,2952.45,3034,2885,2940.46,537311,687,Tolid Daroo-a
20131209,2981.29,2984,2884,2921.64,564333,638,Tolid Daroo-a
20131210,2922.09,2922,2803,2835.72,512478,673,Tolid Daroo-a
20131211,2868.81,2977,2854,2962.92,1088312,1019,Tolid Daroo-a
20131214,2960.04,3104,2815,3026.98,1029431,1158,Tolid Daroo-a
20131215,3043.38,3178,3036,3162.84,1531043,1549,Tolid Daroo-a
20131216,3293.99,3321,3264,3319.80,1454142,2601,Tolid Daroo-a
20131217,3395.70,3396,3188,3316.61,780714,1112,Tolid Daroo-a
