<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20140120,2642.74,2643,2262,2277.43,287214500,12177,Tamin Daroo-a
20140121,2368.29,2368,2368,2368.29,1467052,146,Tamin Daroo-a
20140122,2462.92,2463,2413,2462.16,123413034,20049,Tamin Daroo-a
20140125,2476.86,2522,2454,2486.67,42923651,12688,Tamin Daroo-a
20140126,2465.55,2487,2390,2415.79,28650867,7230,Tamin Daroo-a
20140127,2368.29,2449,2339,2383.37,17072351,4517,Tamin Daroo-a
20140128,2473.09,2478,2439,2474.23,17813799,3263,Tamin Daroo-a
20140129,2517.58,2573,2489,2545.48,19793516,4046,Tamin Daroo-a
20140201,2608.44,2647,2564,2628.79,12199213,2485,Tamin Daroo-a
20140202,2650.28,2650,2526,2577.90,15095815,3433,Tamin Daroo-a
20140203,2523.99,2560,2492,2517.58,8022409,1756,Tamin Daroo-a
20140204,2540.95,2573,2508,2547.74,6520118,1719,Tamin Daroo-a
20140205,2506.65,2515,2446,2457.64,6654173,1763,Tamin Daroo-a
20140208,2379.22,2420,2360,2370.55,10081684,2257,Tamin Daroo-a
20140209,2412.78,2465,2379,2462.16,36655129,1731,Tamin Daroo-a
20140210,2488.17,2499,2391,2453.49,36449519,1584,Tamin Daroo-a
20140212,2382.62,2413,2356,2369.04,6237070,1545,Tamin Daroo-a
20140215,2393.93,2464,2383,2444.82,3765679,1243,Tamin Daroo-a
20140216,2488.17,2542,2454,2535.68,7061726,1583,Tamin Daroo-a
20140217,2608.81,2637,2454,2612.21,11800649,3286,Tamin Daroo-a
20140218,2538.32,2582,2508,2529.27,7520930,1966,Tamin Daroo-a
20140219,2563.20,2627,2533,2606.93,7125436,2295,Tamin Daroo-a
20140222,2676.67,2711,2676,2707.59,8574827,1191,Tamin Daroo-a
20140223,2815.41,2816,2719,2795.80,15481683,4021,Tamin Daroo-a
20140224,2748.30,2752,2696,2724.17,6001701,2158,Tamin Daroo-a
20140225,2665.74,2684,2615,2632.56,7789585,2414,Tamin Daroo-a
20140226,2565.46,2677,2547,2630.68,4531407,2136,Tamin Daroo-a
20140301,2676.67,2733,2658,2706.46,4504476,1450,Tamin Daroo-a
20140302,2706.46,2726,2620,2654.05,2723239,1111,Tamin Daroo-a
20140303,2623.14,2623,2548,2556.79,3916482,1267,Tamin Daroo-a
20140304,2518.33,2620,2489,2567.34,3330663,1080,Tamin Daroo-a
20140305,2637.84,2670,2605,2661.97,5058916,1316,Tamin Daroo-a
20140308,2695.52,2696,2582,2625.02,2741155,1084,Tamin Daroo-a
20140309,2563.57,2601,2526,2563.95,2695168,940,Tamin Daroo-a
20140310,2563.57,2620,2553,2579.03,2757438,884,Tamin Daroo-a
20140311,2545.48,2575,2493,2519.47,2353718,770,Tamin Daroo-a
20140312,2507.02,2620,2469,2566.97,3622268,1347,Tamin Daroo-a
20140315,2603.16,2670,2601,2655.94,5678602,1645,Tamin Daroo-a
20140316,2669.13,2692,2618,2668.00,5451005,1505,Tamin Daroo-a
20140317,2712.86,2752,2685,2714.37,4553245,1340,Tamin Daroo-a
20140318,2714.00,2733,2663,2698.54,5513785,1565,Tamin Daroo-a
20140319,2698.54,2711,2658,2669.89,3069527,1820,Tamin Daroo-a
20140325,2706.46,2706,2592,2634.07,1328426,594,Tamin Daroo-a
20140326,2634.07,2634,2564,2593.73,1157016,544,Tamin Daroo-a
20140329,2563.57,2578,2541,2565.46,1304938,626,Tamin Daroo-a
20140330,2582.42,2639,2582,2603.54,1074534,558,Tamin Daroo-a
20140331,2638.60,2684,2601,2641.61,1674091,725,Tamin Daroo-a
20140405,2643.12,2647,2602,2632.94,2326510,698,Tamin Daroo-a
20140406,2582.42,2585,2548,2558.30,2261641,966,Tamin Daroo-a
20140407,2561.69,2660,2537,2630.68,6798191,1765,Tamin Daroo-a
20140408,2638.97,2646,2571,2613.71,1471648,659,Tamin Daroo-a
20140409,2574.88,2575,2545,2556.79,2080475,760,Tamin Daroo-a
20140412,2597.13,2597,2455,2487.42,4557438,1438,Tamin Daroo-a
20140413,2454.62,2487,2388,2413.53,5532000,1617,Tamin Daroo-a
20140414,2409.01,2447,2397,2412.78,2741672,1101,Tamin Daroo-a
20140415,2413.91,2499,2414,2474.60,2060218,742,Tamin Daroo-a
20140416,2556.03,2556,2471,2504.01,1340080,603,Tamin Daroo-a
20140419,2476.86,2488,2414,2454.62,977826,352,Tamin Daroo-a
20140420,2488.17,2522,2447,2486.67,1536691,580,Tamin Daroo-a
20140421,2507.02,2533,2492,2514.94,1731722,658,Tamin Daroo-a
20140422,2563.20,2563,2436,2471.21,1873969,705,Tamin Daroo-a
20140423,2465.55,2518,2424,2468.95,1788754,530,Tamin Daroo-a
20140426,2458.01,2545,2458,2517.58,5395165,1434,Tamin Daroo-a
20140427,2544.72,2545,2450,2483.65,3275795,986,Tamin Daroo-a
20140428,2469.32,2469,2401,2419.18,7903071,1422,Tamin Daroo-a
20140429,2418.81,2450,2394,2404.10,3660186,930,Tamin Daroo-a
20140430,2412.78,2420,2389,2401.47,2257839,790,Tamin Daroo-a
20140503,2405.24,2409,2375,2389.78,1493951,638,Tamin Daroo-a
20140504,2394.30,2412,2371,2377.34,1971979,692,Tamin Daroo-a
20140505,2378.85,2409,2378,2382.62,1644180,614,Tamin Daroo-a
20140506,2403.35,2403,2375,2377.34,2098012,570,Tamin Daroo-a
20140507,2374.70,2380,2360,2370.17,2539538,684,Tamin Daroo-a
20140510,2375.08,2401,2360,2387.89,1776924,584,Tamin Daroo-a
20140511,2393.93,2398,2364,2377.71,1957833,526,Tamin Daroo-a
20140512,2387.14,2450,2383,2416.55,3101522,801,Tamin Daroo-a
20140514,2426.35,2439,2385,2413.53,1069925,453,Tamin Daroo-a
20140517,2367.54,2375,2361,2366.40,1753222,472,Tamin Daroo-a
20140518,2362.26,2386,2362,2372.06,1221842,390,Tamin Daroo-a
20140519,2393.93,2394,2360,2385.25,31311800,481,Tamin Daroo-a
20140520,2375.08,2450,2375,2421.82,1989728,608,Tamin Daroo-a
20140521,2420.32,2469,2395,2437.28,14126155,901,Tamin Daroo-a
20140524,2450.48,2465,2383,2420.32,1149420,405,Tamin Daroo-a
20140525,2382.62,2391,2364,2373.94,1380409,557,Tamin Daroo-a
20140526,2367.16,2368,2356,2361.50,1373488,832,Tamin Daroo-a
20140528,2356.23,2363,2350,2358.86,2580146,1017,Tamin Daroo-a
20140531,2360.37,2392,2357,2364.90,2401635,513,Tamin Daroo-a
20140601,2356.23,2356,2300,2314.76,2435747,559,Tamin Daroo-a
20140602,2337.38,2348,2304,2318.53,752620,345,Tamin Daroo-a
20140603,2312.87,2337,2312,2321.92,761940,270,Tamin Daroo-a
20140607,2337.38,2375,2312,2350.95,3099932,711,Tamin Daroo-a
20140608,2348.69,2371,2319,2350.95,919347,442,Tamin Daroo-a
20140609,2371.31,2371,2323,2345.67,775044,313,Tamin Daroo-a
20140610,2337.38,2337,2309,2335.49,513533,206,Tamin Daroo-a
20140611,2299.68,2315,2299,2306.84,1264013,265,Tamin Daroo-a
20140614,2305.33,2305,2224,2261.60,2961336,657,Tamin Daroo-a
20140615,2228.80,2266,2228,2258.96,2448186,418,Tamin Daroo-a
20140616,2273.66,2300,2233,2261.60,364068,176,Tamin Daroo-a
20140617,2261.98,2276,2258,2261.98,1011604,320,Tamin Daroo-a
20140618,2262.35,2306,2262,2264.62,648751,267,Tamin Daroo-a
20140621,2287.99,2299,2244,2267.63,1000079,176,Tamin Daroo-a
20140622,2248.41,2266,2248,2262.35,1285859,405,Tamin Daroo-a
20140623,2261.98,2266,2253,2262.35,701467,324,Tamin Daroo-a
20140624,2261.98,2266,2251,2261.98,923186,311,Tamin Daroo-a
20140625,2263.48,2263,2254,2261.60,1152320,343,Tamin Daroo-a
20140628,2254.44,2254,2236,2247.65,1739675,461,Tamin Daroo-a
20140629,2224.28,2225,2158,2192.23,2434140,502,Tamin Daroo-a
20140630,2107.79,2167,2106,2150.39,1242751,325,Tamin Daroo-a
20140701,2077.25,2236,2077,2179.41,682370,192,Tamin Daroo-a
20140702,2236.72,2259,2237,2200.90,419625,123,Tamin Daroo-a
20140705,2203.92,2289,2204,2214.10,240700,92,Tamin Daroo-a
20140706,2302.32,2302,2188,2230.31,747670,215,Tamin Daroo-a
20140707,2186.58,2262,2187,2229.93,134636,54,Tamin Daroo-a
20140708,2209.57,2319,2210,2267.63,828276,284,Tamin Daroo-a
20140709,2318.53,2319,2263,2271.02,415927,213,Tamin Daroo-a
20140712,2271.02,2271,2229,2256.70,985889,173,Tamin Daroo-a
20140713,2229.18,2250,2205,2231.44,994370,115,Tamin Daroo-a
20140714,2224.28,2258,2210,2231.06,432059,99,Tamin Daroo-a
20140715,2243.13,2262,2202,2231.06,331403,123,Tamin Daroo-a
20140716,2224.28,2273,2224,2235.96,437610,152,Tamin Daroo-a
20140720,2224.28,2247,2207,2235.96,485760,221,Tamin Daroo-a
20140721,2209.57,2300,2210,2258.96,2317037,231,Tamin Daroo-a
20140722,2278.56,2349,2279,2348.31,7062311,486,Tamin Daroo-a
20140723,2352.46,2352,2311,2341.90,544120,260,Tamin Daroo-a
20140726,2300.05,2314,2262,2323.43,521114,174,Tamin Daroo-a
20140727,2275.17,2296,2266,2306.84,595000,116,Tamin Daroo-a
20140728,2318.90,2319,2271,2304.58,328803,154,Tamin Daroo-a
20140802,2280.83,2300,2276,2300.81,434266,284,Tamin Daroo-a
20140803,2277.06,2300,2266,2297.41,350988,212,Tamin Daroo-a
20140804,2281.20,2304,2280,2295.53,651549,222,Tamin Daroo-a
20140805,2262.35,2299,2262,2293.27,363895,118,Tamin Daroo-a
20140806,2263.11,2303,2263,2292.89,336844,237,Tamin Daroo-a
20140809,2269.14,2297,2269,2289.12,572392,271,Tamin Daroo-a
20140810,2262.73,2291,2251,2262.73,1400950,149,Tamin Daroo-a
20140811,2248.03,2288,2232,2268.01,725365,202,Tamin Daroo-a
20140812,2291.76,2296,2276,2274.04,605420,126,Tamin Daroo-a
20140813,2273.29,2319,2273,2296.66,5492932,263,Tamin Daroo-a
20140816,2318.53,2319,2266,2293.64,353188,134,Tamin Daroo-a
20140817,2261.98,2262,2221,2248.03,1125340,357,Tamin Daroo-a
20140818,2246.90,2262,2226,2260.47,2948249,152,Tamin Daroo-a
20140819,2231.82,2270,2232,2261.60,1095425,692,Tamin Daroo-a
20140820,2272.53,2273,2254,2261.22,716292,523,Tamin Daroo-a
20140823,2270.65,2271,2236,2260.85,553642,258,Tamin Daroo-a
20140824,2243.50,2296,2232,2263.86,1009979,558,Tamin Daroo-a
20140825,2239.73,2258,2221,2258.96,231485,84,Tamin Daroo-a
20140826,2261.22,2281,2240,2259.71,790628,689,Tamin Daroo-a
20140827,2243.13,2258,2214,2250.29,1025824,263,Tamin Daroo-a
20140830,2220.13,2258,2220,2248.41,617146,293,Tamin Daroo-a
20140831,2224.65,2247,2205,2242.00,501190,79,Tamin Daroo-a
20140901,2230.69,2243,2187,2237.47,156596,150,Tamin Daroo-a
20140902,2220.13,2243,2205,2236.34,218063,136,Tamin Daroo-a
20140903,2238.60,2243,2207,2234.83,164887,82,Tamin Daroo-a
20140906,2209.57,2243,2190,2232.19,196474,93,Tamin Daroo-a
20140907,2241.24,2241,2170,2223.15,309834,113,Tamin Daroo-a
20140908,2176.02,2190,2176,2212.59,377422,106,Tamin Daroo-a
20140909,2186.58,2301,2187,2288.37,2972852,693,Tamin Daroo-a
20140910,2318.53,2319,2224,2284.60,20303387,724,Tamin Daroo-a
20140913,2235.59,2307,2221,2288.37,13326186,605,Tamin Daroo-a
20140914,2261.60,2292,2210,2284.97,15710564,265,Tamin Daroo-a
20140915,2259.34,2273,2222,2272.91,601055,285,Tamin Daroo-a
20140916,2261.98,2262,2198,2256.70,511061,195,Tamin Daroo-a
20140917,2254.06,2260,2200,2252.18,3308309,237,Tamin Daroo-a
20140920,2233.70,2277,2224,2264.99,20810634,587,Tamin Daroo-a
20140923,2377.85,2378,2312,2342.96,1503302,460,Tamin Daroo-a
20140924,2326.16,2326,2299,2330.04,606648,302,Tamin Daroo-a
20140927,2321.85,2322,2278,2314.10,599067,145,Tamin Daroo-a
20140928,2321.42,2321,2262,2298.59,682847,168,Tamin Daroo-a
