<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20190213,7702.92,7703,7703,7702.92,60000000,347064,زفكا-ت
20190216,8088.07,8088,8088,8088.07,123605,852,زفكا-ت
20190217,8491.77,8492,8492,8491.77,199274,1249,زفكا-ت
20190218,8915.90,8916,8769,8914.04,17856824,99268,زفكا-ت
20190219,8965.09,9049,8469,8734.93,17475298,75307,زفكا-ت
20190220,8540.03,8612,8308,8448.16,9947243,42039,زفكا-ت
20190223,8445.37,8529,8177,8288.53,7615206,26594,زفكا-ت
20190224,8299.66,8591,8168,8445.37,7018654,18472,زفكا-ت
20190225,8463.93,8631,8399,8488.06,3642179,12725,زفكا-ت
20190226,8408.25,8408,8074,8240.27,4426012,7692,زفكا-ت
20190227,8232.84,8396,8214,8283.89,2026750,5635,زفكا-ت
20190302,8174.38,8232,8131,8163.24,2492663,6181,زفكا-ت
20190303,8167.88,8500,8140,8356.28,4000066,6935,زفكا-ت
20190304,8473.21,8566,8364,8429.59,2116572,4713,زفكا-ت
20190305,8373.91,8851,8306,8773.91,11193957,9334,زفكا-ت
20190306,8955.81,9212,8548,9121.00,10747352,8960,زفكا-ت
20190309,8726.57,9111,8678,8896.41,5359655,4976,زفكا-ت
20190310,8752.56,8896,8612,8730.29,2958771,3412,زفكا-ت
20190311,8675.53,8956,8557,8762.77,3620137,4967,زفكا-ت
20190312,8658.83,8937,8640,8751.63,3342374,6059,زفكا-ت
20190313,8691.31,8833,8568,8625.42,3930256,9679,زفكا-ت
20190316,8538.18,8691,8507,8576.23,2268193,5295,زفكا-ت
20190317,8556.74,8761,8530,8647.69,1478897,2856,زفكا-ت
20190318,8678.31,8817,8650,8708.94,1934179,2343,زفكا-ت
20190319,8702.44,8984,8659,8857.43,3521530,2539,زفكا-ت
20190325,8868.57,9300,8869,9243.50,3288805,2325,زفكا-ت
20190326,9705.68,9706,9421,9686.19,5457016,2722,زفكا-ت
20190327,9929.34,10111,9281,9640.72,5175595,3361,زفكا-ت
20190330,9430.97,9898,9379,9751.16,3997049,2355,زفكا-ت
20190331,9882.01,10238,9754,10176.21,7687903,3307,زفكا-ت
20190406,10578.99,10685,10395,10607.76,1466263,822,زفكا-ت
20190407,11137.68,11138,10580,11083.85,9123628,3606,زفكا-ت
20190408,10950.21,11043,10530,10678.29,4761532,3079,زفكا-ت
20190409,10442.56,11044,10348,10810.07,3639966,2175,زفكا-ت
20190410,11043.95,11350,10951,11313.08,4204459,2100,زفكا-ت
20190413,11786.40,11851,10960,11394.75,5397701,2927,زفكا-ت
20190414,11136.75,11137,10826,10835.13,2340387,1042,زفكا-ت
20190415,10836.99,11137,10377,10757.18,4839992,3347,زفكا-ت
20190416,10398.01,10766,10220,10264.37,4887652,2748,زفكا-ت
20190417,9791.06,10274,9754,9998.02,3855354,1808,زفكا-ت
20190420,10477.83,10497,10219,10462.98,2413759,1065,زفكا-ت
20190422,10904.74,10944,10172,10426.78,3578790,2063,زفكا-ت
20190423,10208.69,10487,10023,10335.83,1228967,1222,زفكا-ت
20190424,10437.92,10524,10121,10345.12,1659598,1432,زفكا-ت
20190427,10394.30,10862,10320,10764.60,4418872,2582,زفكا-ت
20190428,11015.18,11122,10859,10973.41,2163200,1783,زفكا-ت
20190429,10858.33,11318,10777,11110.77,2804192,3012,زفكا-ت
20190430,11165.52,11462,10679,11088.49,3024417,1819,زفكا-ت
20190501,11136.75,11137,10905,11012.39,1810698,1547,زفكا-ت
20190504,11320.51,11563,11137,11457.86,4076019,2083,زفكا-ت
20190505,11867.14,12030,11462,11887.56,5173013,1986,زفكا-ت
20190506,11888.48,11926,11294,11474.57,4310554,1605,زفكا-ت
20190507,11600.78,11786,10901,11022.60,4607680,1465,زفكا-ت
20190508,11015.18,11573,10691,11366.91,2152675,1125,زفكا-ت
20190511,11602.64,11935,11594,11871.78,5848877,1660,زفكا-ت
20190512,12048.11,12465,11796,12164.12,5703872,2203,زفكا-ت
20190513,12751.58,12772,12622,12768.29,7324697,1288,زفكا-ت
20190514,13405.87,13406,13370,13405.87,1923055,446,زفكا-ت
20190515,13920.94,13921,12736,13171.07,5954189,2477,زفكا-ت
20190518,12788.70,13132,12789,12901.00,5581937,2688,زفكا-ت
20190525,13000.00,13400,12900,13205.00,1664379,883,زفكا-ت
20190526,13599.00,13865,13378,13810.00,727167,499,زفكا-ت
20190528,13999.00,14250,13698,13877.00,2980757,1584,زفكا-ت
20190529,13877.00,13877,13360,13514.00,2538964,1066,زفكا-ت
20190601,13400.00,13999,13000,13667.00,2113245,1164,زفكا-ت
20190602,13785.00,14350,13785,14320.00,3139229,875,زفكا-ت
20190603,14990.00,15036,14500,14977.00,2186183,745,زفكا-ت
20190608,15700.00,15711,14862,15391.00,2633036,1366,زفكا-ت
20190609,14900.00,15990,14800,15432.00,3523290,1633,زفكا-ت
20190610,16050.00,16203,15789,16159.00,673138,361,زفكا-ت
20190611,16640.00,16698,15702,16343.00,2464901,1021,زفكا-ت
20190612,16502.00,16899,15752,16096.00,1914611,968,زفكا-ت
20190615,15530.00,16200,15530,15940.00,1590395,801,زفكا-ت
20190616,16200.00,16800,15390,15521.00,1140690,481,زفكا-ت
20190617,14987.00,15521,14745,14820.00,2726770,1682,زفكا-ت
20190618,14990.00,15263,14800,14976.00,1325345,840,زفكا-ت
20190619,15000.00,15100,14421,14752.00,1325584,829,زفكا-ت
20190622,14018.00,14900,14018,14340.00,815315,693,زفكا-ت
20190623,14310.00,15030,14300,14933.00,1028368,967,زفكا-ت
20190624,15679.00,15679,14250,15063.00,1198123,889,زفكا-ت
20190625,15000.00,15063,14440,14854.00,1574253,747,زفكا-ت
20190626,15099.00,15335,14780,14994.00,1043769,727,زفكا-ت
20190630,15498.00,15498,14700,14962.00,1384626,624,زفكا-ت
20190701,14990.00,14990,14500,14648.00,954452,753,زفكا-ت
20190702,14630.00,15380,14600,15221.00,1982154,767,زفكا-ت
20190703,15900.00,15982,15601,15974.00,2563313,932,زفكا-ت
20190706,16270.00,16400,15500,15927.00,1542448,809,زفكا-ت
20190707,16000.00,16400,15724,16004.00,1482865,741,زفكا-ت
20190708,15901.00,16480,15860,16137.00,1489941,669,زفكا-ت
20190709,16113.00,16113,15460,15695.00,1835733,944,زفكا-ت
20190710,15553.00,16479,15553,16333.00,1956185,917,زفكا-ت
20190713,17140.00,17149,16891,17127.00,2257082,1115,زفكا-ت
20190714,17700.00,17700,16942,17245.00,2482770,1158,زفكا-ت
20190715,17498.00,17498,16500,16893.00,1471684,775,زفكا-ت
20190716,16700.00,16700,16049,16128.00,1310307,336,زفكا-ت
20190717,15500.00,16275,15322,15720.00,1410458,991,زفكا-ت
20190720,15380.00,15750,15006,15487.00,800079,725,زفكا-ت
20190721,15300.00,16260,15300,16064.00,963843,739,زفكا-ت
20190722,16650.00,16650,15812,16108.00,1052849,674,زفكا-ت
20190723,16243.00,16243,15303,15380.00,1434139,634,زفكا-ت
20190724,15303.00,15781,14812,15351.00,1243609,684,زفكا-ت
20190727,15350.00,16000,15100,15542.00,597443,559,زفكا-ت
20190728,15500.00,15790,15338,15444.00,705125,410,زفكا-ت
20190729,15400.00,15400,14825,15000.00,987363,758,زفكا-ت
20190730,15233.00,15233,14850,15009.00,728180,571,زفكا-ت
20190731,14949.00,15350,14861,15074.00,676295,601,زفكا-ت
20190803,15500.00,15500,15140,15327.00,457723,396,زفكا-ت
20190804,15450.00,15450,15135,15246.00,606778,517,زفكا-ت
20190805,15300.00,15600,15059,15402.00,1074092,903,زفكا-ت
20190806,15799.00,15799,15151,15270.00,653169,561,زفكا-ت
20190807,15300.00,15347,15050,15103.00,1093275,783,زفكا-ت
20190810,15499.00,15858,15299,15823.00,1855391,1053,زفكا-ت
20190811,16000.00,16500,16000,16219.00,1770722,970,زفكا-ت
20190813,16100.00,17029,15522,16693.00,4320386,1478,زفكا-ت
20190814,17480.00,17527.00,17105.00,17472.00,2757502,1017,زفكا-ت
