<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20040816,1085.52,1086,1033,1064.06,1653000
20040818,1116.91,1117,1117,1116.91,417000
20040821,1172.53,1173,1173,1172.53,1700000
20040822,1230.94,1231,1192,1230.54,7944792
20040823,1230.54,1291,1220,1232.13,1954319
20040824,1192.00,1287,1192,1232.93,723029
20040825,1223.79,1224,1171,1187.23,496745
20040828,1187.23,1226,1128,1147.90,353745
20040829,1128.03,1152,1091,1117.70,284228
20040831,1094.66,1145,1062,1095.45,299049
20040901,1134.39,1150,1127,1127.24,78706
20040904,1183.26,1183,1151,1181.67,472416
20040905,1204.72,1205,1184,1197.17,233094
20040906,1192.00,1192,1138,1170.15,97052
20040907,1111.74,1147,1112,1143.13,56584
20040908,1086.31,1111,1086,1089.49,218801
20040911,1090.68,1132,1091,1110.55,191735
20040912,1116.91,1143,1093,1107.77,187857
20040914,1163.00,1163,1113,1157.04,348559
20040915,1152.27,1157,1099,1137.57,65366
20040918,1131.21,1152,1097,1128.43,215916
20040919,1181.67,1185,1112,1155.45,161024
20040920,1148.69,1155,1099,1147.10,37092
20040921,1112.54,1113,1091,1112.14,109733
20040922,1100.62,1167,1101,1156.64,314765
20040925,1180.08,1214,1180,1211.07,208070
20040926,1271.47,1271,1192,1256.37,917500
20040927,1231.74,1252,1204,1218.23,204072
20040928,1199.95,1232,1192,1199.55,175252
20040929,1208.29,1247,1208,1226.57,149453
20041002,1226.57,1232,1211,1223.79,218033
20041003,1222.60,1223,1163,1203.53,57636
20041004,1162.20,1162,1144,1143.93,220181
20050102,699.71,715,636,677.85,219746
20050103,677.85,678,644,654.41,352742
20050104,670.30,687,654,681.43,181135
20050105,715.20,715,699,713.61,218911
20050108,748.58,749,714,738.64,356422
20050109,727.12,739,707,723.15,376390
20050110,703.28,711,688,700.10,273817
20050111,691.36,691,665,681.43,61153
20050112,647.65,665,648,654.01,96904
20050115,647.65,687,648,669.51,109680
20050116,663.55,691,664,678.25,171048
20050117,675.47,675,656,671.89,54210
20050118,675.47,683,662,671.10,71487
20050119,674.67,675,666,670.30,46152
20050122,663.95,675,656,664.34,57121
20050123,663.55,664,648,658.78,75884
20050124,659.97,663,632,656.00,75716
20050125,660.37,666,648,654.41,397929
20050126,654.41,674,654,655.20,24229
20050130,655.20,655,636,650.04,70734
20050131,635.73,636,627,632.95,94384
20050201,631.36,631,602,627.39,27053
20050202,623.02,631,616,622.62,97293
20050205,634.54,639,627,626.60,41442
20050206,638.91,656,616,635.34,60473
20050207,631.76,632,608,632.16,17516
20050208,607.52,627,601,626.60,22349
20050209,599.58,610,596,609.91,62995
20050212,595.60,603,580,603.15,27858
20050213,573.35,597,573,597.19,21743
20050214,567.39,596,567,596.00,3832
20050215,566.20,593,566,592.82,11632
20050216,563.42,579,563,578.52,806727
20050221,549.91,577,550,576.93,4782
20050222,548.32,568,548,568.19,34836
20050223,539.98,564,540,564.21,14617
20050226,536.00,555,536,555.47,35188
20050227,528.06,546,528,545.54,41010
20050228,518.52,535,519,535.21,43045
20050301,508.59,532,509,531.63,15349
20050302,505.41,558,505,517.73,719946
20050305,543.55,544,529,528.85,51270
20050306,528.85,555,529,539.58,49609
20050307,540.77,556,536,540.77,31370
20050308,552.29,560,514,522.89,92759
20050309,524.48,524,523,522.89,15103
20050312,524.88,536,525,526.87,62672
20050313,536.00,536,528,528.85,38886
20050314,536.40,544,528,532.83,107111
20050315,551.50,552,537,536.80,25630
20050316,551.50,552,537,538.39,22848
20050326,549.51,563,544,543.95,31790
20050327,563.02,571,557,556.67,65624
20050328,584.48,584,570,569.78,55510
20050411,584.48,598,573,586.07,121536
20050412,592.03,615,592,614.68,163703
20050413,644.87,645,615,642.49,149575
20050416,667.52,674,655,655.20,50010
20050417,687.79,688,674,687.39,227354
20050418,721.56,722,653,695.34,118675
20050419,660.77,679,661,679.04,58503
20050420,645.27,675,645,675.47,11744
20050423,641.69,669,642,669.11,20470
20050424,635.73,667,636,667.12,3267
20050425,634.15,665,634,665.14,6064
20050427,632.16,634,632,632.16,180582
20050430,604.35,612,601,612.29,78879
20050501,612.29,636,611,613.09,32736
20050502,635.73,636,587,609.11,20728
20050503,609.11,628,608,611.10,71693
20050504,633.75,640,619,619.05,43093
20050507,619.05,643,619,627.79,176945
20050508,620.64,636,620,623.42,126660
20050509,638.91,640,626,629.77,86731
20050510,627.79,628,612,616.27,112492
20050511,626.60,636,617,629.38,124609
20050514,620.64,639,600,621.83,93956
20050515,596.00,605,596,604.74,77316
20050516,605.14,605,584,599.97,78398
20050517,597.59,598,572,580.51,153857
20050702,723.15,723,443,471.24,98920
20050703,474.81,495,472,481.57,179554
20050704,485.54,505,483,482.76,12150
20050705,506.60,507,484,484.35,11722
20050706,508.19,508,489,489.12,34725
20050709,513.36,513,490,490.31,10392
20050711,514.55,515,499,499.45,66985
20050712,524.08,524,517,516.53,120770
20050713,542.36,542,491,534.81,640172
20050716,508.19,522,508,522.49,79634
20050827,521.30,555,509,536.40,291284
20050828,540.37,541,510,532.43,80163
20050829,505.81,524,506,524.48,49791
20050830,498.26,522,498,521.70,16377
20050831,495.87,520,496,519.71,10717
20050903,493.89,519,494,518.52,5801
20050904,492.69,517,493,516.93,8937
20050905,491.11,515,491,514.55,15060
20050906,489.12,491,489,489.12,1290525
20050907,470.05,488,465,468.46,168744
20050910,450.97,461,445,456.14,119796
20050911,452.17,453,437,452.96,49669
20050912,448.19,449,433,437.07,201853
20050913,458.92,459,433,456.14,328183
20050914,459.32,459,441,455.35,100310
20050917,453.76,457,441,452.56,174340
20050918,441.44,444,430,443.82,82425
20050919,421.97,428,422,427.53,126522
20050921,425.55,427,417,426.74,19887
20050924,422.76,424,408,420.38,165788
20050926,399.72,400,400,399.72,457770
20050927,379.85,398,380,398.13,12410
20050928,404.49,418,378,387.80,125620
20051001,385.41,397,385,387.80,6773
20051002,385.81,407,385,388.20,19473
20051003,407.27,407,385,391.37,70775
20051004,391.37,397,391,394.95,123003
20051005,393.36,397,386,393.76,133033
20051008,389.78,397,385,393.36,54623
20051009,393.36,397,393,393.36,18800
20051010,397.33,397,377,393.76,98768
20051011,393.36,397,374,374.29,511020
20051012,358.00,374,358,373.89,823
20051016,379.85,380,374,373.89,12142
20051017,371.51,373,371,373.49,24010
20051018,373.49,373,364,372.70,64282
20051019,367.14,372,366,370.71,55589
20051022,361.57,370,362,370.32,5810
20051023,388.59,389,376,376.28,60276
20051024,376.28,376,376,376.28,3750
20051026,376.28,377,376,376.28,6298
20051029,376.28,376,376,376.28,3710
20051030,388.59,389,377,377.07,21148
20051031,379.45,379,358,376.28,7005
20051101,375.08,375,358,373.10,26816
20051102,354.82,375,355,370.71,35228
20051105,370.32,389,370,375.08,78665
20051106,375.48,375,375,375.08,74456
20051107,393.76,394,377,391.77,166027
20051108,391.37,392,389,391.37,17960
20051109,372.30,380,372,379.85,210870
20051112,397.33,399,385,397.73,207519
20051113,397.33,399,397,397.73,36266
20051114,398.13,399,391,396.54,52057
20051115,408.86,409,390,395.35,32291
20051116,397.33,397,388,394.16,27253
20051119,394.16,395,394,394.16,2200
20051120,396.54,397,394,394.55,48580
20051121,392.96,395,389,393.76,419410
20051122,394.95,397,394,394.16,62610
20051123,395.35,399,387,393.36,87056
20051126,412.83,413,395,395.35,20789
20051127,414.82,415,409,411.64,146901
20051129,403.69,432,404,418.00,60379
20051130,425.15,425,415,419.59,162578
20051203,436.27,438,420,428.72,118858
20051204,449.78,450,450,449.78,233216
20051205,472.03,472,429,462.10,150869
20051206,476.40,476,439,459.72,34426
20051210,462.50,477,456,460.11,143512
20051211,456.54,458,437,457.73,30890
20051212,455.74,457,456,457.33,11108
20051213,434.68,457,435,456.54,4547
20051214,433.89,456,434,455.74,4658
20051217,433.09,451,433,450.58,38155
20051218,428.33,449,428,448.99,10010
20051219,428.33,439,428,439.45,77972
20051220,417.60,429,418,429.12,78318
20051221,428.33,428,408,423.96,50309
20051224,423.56,424,416,423.56,10957
20051225,403.29,406,403,405.68,146954
20051226,386.21,402,385,385.81,233120
20051227,377.47,385,367,370.71,574171
20051228,377.47,387,358,371.90,177023
20051231,381.84,390,381,383.43,158926
20060101,387.80,402,388,396.94,173990
20060102,416.41,416,405,412.83,276025
20060103,429.92,430,407,414.02,181564
20060104,413.23,417,410,414.02,33325
20060107,406.08,407,393,397.73,450401
20060108,397.33,400,397,397.73,109809
20060304,356.41,416,319,340.91,100638
20060305,334.16,348,334,338.13,260201
20060307,344.89,345,338,338.13,110
20060308,344.89,345,338,338.13,1010
20060311,344.89,345,334,343.30,319294
20060312,345.68,350,346,345.68,86846
20060313,352.44,352,346,346.08,23010
20060314,352.83,353,346,346.08,7545
20060315,352.83,353,349,348.86,103320
20060318,355.61,356,349,348.86,7910
20060319,355.61,356,349,348.86,8020
20060327,355.61,356,349,348.86,1010
20060328,355.61,356,349,348.86,8400
