<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20141007,240.00,240,232,234.00,100000
20141008,501.00,600,501,545.00,178626
20141011,1000.00,1225,850,1008.00,118175
20141012,1199.00,1199,1000,1053.00,73018
20141014,1010.00,1210,1000,1008.00,25235
20141015,940.00,940,930,930.00,40150
20141018,920.00,920,920,920.00,18000
20141019,880.00,920,870,876.00,48300
20141020,750.00,820,690,723.00,80010
20141025,650.00,810,650,657.00,42111
20141026,600.00,655,600,637.00,48773
20141108,690.00,750,690,738.00,6252
20141109,798.00,798,798,798.00,1000
20141110,798.00,799,669,779.00,62145
20141112,808.00,808,800,800.00,38298
20141116,809.00,809,809,809.00,10006
20141118,809.00,810,800,809.00,103257
20141119,809.00,809,809,809.00,4956
20141125,809.00,809,809,809.00,1005
20141130,809.00,809,809,809.00,1354
20141203,605.00,605,604,604.00,51354
20141209,630.00,630,630,630.00,5000
20141214,720.00,800,700,775.00,132750
20141215,620.00,700,620,673.00,44424
20141216,850.00,850,850,850.00,29352
20141224,800.00,800,800,800.00,62648
20141227,800.00,800,800,800.00,5000
20141228,800.00,800,800,800.00,15000
20141230,800.00,800,800,800.00,97641
20150104,800.00,850,800,842.00,30902
20150105,870.00,900,870,886.00,78282
20150106,865.00,900,865,874.00,40000
20150107,800.00,800,800,800.00,3800
20150110,800.00,800,800,800.00,9378
20150111,800.00,800,800,800.00,10000
20150113,975.00,975,975,975.00,50000
20150114,975.00,987,975,980.00,133763
20150117,985.00,985,985,985.00,27000
20150118,1070.00,1080,1070,1078.00,22483
20150120,977.00,1050,977,990.00,34500
20150121,1220.00,1300,1200,1286.00,149777
20150125,1005.00,1005,1005,1005.00,5571
20150126,980.00,980,980,980.00,8000
20150128,1100.00,1100,1100,1100.00,100
20150201,1100.00,1100,1000,1015.00,47573
20150203,1250.00,1250,1250,1250.00,3900
20150207,1120.00,1120,1120,1120.00,45200
20150208,1005.00,1005,1005,1005.00,7800
20150209,1150.00,1150,1150,1150.00,20000
20150221,1150.00,1150,1150,1150.00,15829
20150223,1005.00,1005,1005,1005.00,3900
20150301,1150.00,1150,1150,1150.00,100
20150303,1150.00,1200,1150,1180.00,102759
20150420,760.00,760,760,760.00,737
20150517,750.00,760,750,752.00,10830
20150524,690.00,690,690,690.00,6732
20150525,750.00,750,750,750.00,4005
20150527,800.00,800,800,800.00,100
20150530,810.00,810,810,810.00,8000
20150601,800.00,850,800,836.00,14000
20150602,850.00,850,850,850.00,20100
20150608,850.00,895,850,888.00,25467
20150616,850.00,850,850,850.00,3000
20150622,1050.00,1050,1050,1050.00,15000
20150623,1100.00,1100,1000,1045.00,28900
20150627,1050.00,1050,1050,1050.00,15000
20150628,850.00,850,850,850.00,30000
20150629,850.00,850,850,850.00,36800
20150715,860.00,860,860,860.00,30000
20150725,860.00,860,860,860.00,60000
20150801,860.00,860,860,860.00,13630
20150809,860.00,860,860,860.00,58000
20150816,860.00,860,860,860.00,1400
20150830,860.00,860,860,860.00,19400
20150923,985.00,1000,985,992.00,27630
20150926,1050.00,1050,1050,1050.00,20000
20150927,1000.00,1000,1000,1000.00,3150
20150928,950.00,950,950,950.00,2398
20151006,950.00,950,950,950.00,23199
20151101,910.00,910,910,910.00,979
20151103,910.00,910,910,910.00,44860
20151107,999.00,1000,999,1000.00,86403
20151121,980.00,1000,980,999.00,370700
20151123,1000.00,1000,1000,1000.00,29924
20151205,1000.00,1000,1000,1000.00,17500
20160110,960.00,960,960,960.00,29000
20160111,950.00,960,950,959.00,7953
20160112,960.00,960,960,960.00,5000
20160118,960.00,960,960,960.00,3852
20160119,961.00,961,961,961.00,3852
20160123,960.00,960,960,960.00,7122
20160206,958.00,960,958,960.00,36488
20160209,970.00,970,970,970.00,10000
20160213,970.00,970,970,970.00,90000
20160215,970.00,970,970,970.00,17822
20160216,970.00,970,970,970.00,2178
20160220,1000.00,1000,1000,1000.00,2600
20160221,1000.00,1000,1000,1000.00,5400
20160222,1000.00,1100,1000,1016.00,20000
20160309,1016.00,1016,1016,1016.00,406000
20160404,1016.00,1016,1016,1016.00,10
20160405,1016.00,1016,1016,1016.00,401
20160411,1000.00,1030,1000,1018.00,1005
20160413,1030.00,1030,1030,1030.00,11
20160718,1000.00,1000,1000,1000.00,2893
20160816,1000.00,1000,1000,1000.00,69
20160824,1000.00,1000,1000,1000.00,10
20160905,1000.00,1000,1000,1000.00,12441
20160906,1000.00,1000,1000,1000.00,22500
20160907,1000.00,1000,1000,1000.00,28599
20160910,1000.00,1000,1000,1000.00,178
20161017,1000.00,1000,1000,1000.00,12542
20161023,1000.00,1000,1000,1000.00,21250
20161025,1000.00,1000,1000,1000.00,6970
20161213,1000.00,1000,1000,1000.00,3900
20161225,950.00,950,950,950.00,2950
20170109,1000.00,1000,1000,1000.00,19905
20170114,1020.00,1020,1020,1020.00,5000
20170115,1000.00,1000,1000,1000.00,1095
20170125,1000.00,1000,1000,1000.00,6850
20170206,1000.00,1000,1000,1000.00,13082
20170211,1000.00,1000,1000,1000.00,568
20170304,1000.00,1000,1000,1000.00,8193
20170307,1000.00,1000,1000,1000.00,13073
20170404,1000.00,1000,1000,1000.00,1000
20170405,900.00,900,900,900.00,1254
20170410,900.00,900,900,900.00,900
20180221,1555.00,1555,1555,1207.00,48621
20180303,1225.00,1225,1225,1214.00,41859
20180305,1214.00,1214,1214,1214.00,426
20180307,1400.00,1400,1400,1223.00,5000
20180310,1223.00,1223,1223,1223.00,55859
20181010,1520.00,1520,1520,1520.00,71731
20190216,1600.00,1600,1600,1600.00,15468
20190227,1600.00,1600,1600,1600.00,20289
20190330,1600.00,1600,1600,1600.00,8945
20190408,1622.00,1622,1622,1622.00,7700
