<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20010409,65.20,65,65,65.19,3490,3,Iran Board-a
20010410,65.24,65,65,65.24,2000,1,Iran Board-a
20010417,67.19,68,67,68.49,2020,4,Iran Board-a
20010429,68.49,68,68,68.49,100,1,Iran Board-a
20010430,68.49,68,68,68.49,63242,7,Iran Board-a
20010502,71.91,72,72,71.91,1000,1,Iran Board-a
20010505,75.49,75,75,75.49,1181,2,Iran Board-a
20010507,75.49,75,75,75.49,1400,1,Iran Board-a
20010508,75.49,75,75,75.49,1600,3,Iran Board-a
20010509,75.49,75,75,75.49,1300,1,Iran Board-a
20010512,75.49,75,75,75.49,9460,2,Iran Board-a
20010516,75.49,75,75,75.47,65,2,Iran Board-a
20010519,75.43,75,75,75.47,24361,15,Iran Board-a
20010520,75.43,75,75,75.45,1320,4,Iran Board-a
20010521,75.45,75,75,75.45,5673,2,Iran Board-a
20010523,75.28,75,75,75.28,2000,3,Iran Board-a
20010526,75.47,76,75,76.20,16630,18,Iran Board-a
20010527,76.20,77,76,76.57,6120,6,Iran Board-a
20010528,76.57,77,77,76.57,1500,1,Iran Board-a
20010529,76.57,77,77,76.57,1214,2,Iran Board-a
20010530,76.57,77,77,77.49,8361,10,Iran Board-a
20010602,77.49,78,77,78.04,2127,6,Iran Board-a
20010603,78.04,78,78,78.04,2300,3,Iran Board-a
20010606,78.04,79,78,79.10,10298,6,Iran Board-a
20010609,79.10,79,79,79.10,400,3,Iran Board-a
20010611,79.10,79,79,79.10,281,1,Iran Board-a
20010616,79.20,79,79,79.14,3111,7,Iran Board-a
20010617,79.12,79,79,78.96,2034,9,Iran Board-a
20010618,76.20,78,76,78.02,3000,3,Iran Board-a
20010620,77.86,78,78,77.86,300,1,Iran Board-a
20010623,77.67,78,78,77.65,334,2,Iran Board-a
20010624,77.30,77,77,76.86,2191,10,Iran Board-a
20010625,76.20,76,76,76.20,239,1,Iran Board-a
20010626,73.45,73,73,73.45,1264,3,Iran Board-a
20010627,73.45,73,73,73.45,2992,4,Iran Board-a
20010630,73.41,73,73,73.45,3000,4,Iran Board-a
20010701,73.45,73,73,73.45,2608,1,Iran Board-a
20010702,73.45,73,73,73.45,115,2,Iran Board-a
20010703,73.45,73,73,73.45,1482,7,Iran Board-a
20010704,73.47,73,73,73.47,602,2,Iran Board-a
20010707,73.50,74,74,73.50,27,2,Iran Board-a
20010708,73.50,75,74,75.47,8140,7,Iran Board-a
20010709,75.47,75,75,75.47,3725,6,Iran Board-a
20011003,66.10,66,66,66.10,2727,16,Iran Board-a
20011006,65.99,66,66,65.96,5926,3,Iran Board-a
20011007,62.67,63,63,62.67,2608,4,Iran Board-a
20011017,62.06,62,62,62.23,6126,7,Iran Board-a
20011021,62.23,62,62,62.19,2617,10,Iran Board-a
20011023,62.19,62,62,62.21,5112,7,Iran Board-a
20011024,62.21,62,62,62.21,3589,3,Iran Board-a
20011027,62.21,62,62,62.21,1000,1,Iran Board-a
20011028,62.23,62,62,62.23,6000,2,Iran Board-a
20011029,62.21,62,62,62.21,2000,2,Iran Board-a
20011030,62.19,62,62,62.21,652,2,Iran Board-a
20011031,62.21,62,62,62.21,2260,5,Iran Board-a
20011103,62.21,62,62,62.21,1266,3,Iran Board-a
20011104,62.21,62,62,62.21,1309,2,Iran Board-a
20011105,62.28,62,62,62.28,100,2,Iran Board-a
20011107,65.19,65,65,65.19,4031,6,Iran Board-a
20011110,65.20,65,65,65.20,17500,2,Iran Board-a
20011111,65.20,65,65,65.20,312,1,Iran Board-a
20011112,65.22,65,65,65.19,3458,8,Iran Board-a
20011113,65.19,68,65,68.44,5572,3,Iran Board-a
20011114,68.45,68,68,68.45,200,2,Iran Board-a
20011117,68.51,69,68,68.49,5811,6,Iran Board-a
20011121,67.02,67,67,67.02,3430,1,Iran Board-a
20011124,67.02,67,67,66.97,1663,2,Iran Board-a
20011125,66.95,67,67,67.00,2950,6,Iran Board-a
20011127,66.82,67,67,66.82,481,4,Iran Board-a
20011204,66.10,66,66,66.10,250,1,Iran Board-a
20011205,65.72,66,66,65.74,921,8,Iran Board-a
20011209,65.00,65,65,65.19,4800,6,Iran Board-a
20011211,65.17,65,65,65.19,597,3,Iran Board-a
20011212,65.17,65,65,65.17,61,2,Iran Board-a
20011217,65.15,65,65,65.13,1537,2,Iran Board-a
20011218,65.00,65,65,65.11,5000,2,Iran Board-a
20011226,64.97,65,65,64.97,280,1,Iran Board-a
20020101,64.45,64,64,64.45,3329,1,Iran Board-a
20020108,64.19,64,64,64.19,312,1,Iran Board-a
20020112,61.94,62,62,61.51,1432,7,Iran Board-a
20020113,61.53,62,62,61.53,3636,2,Iran Board-a
20020114,61.57,62,62,61.57,338,2,Iran Board-a
20020115,62.43,62,62,62.43,1889,3,Iran Board-a
20020120,62.45,62,62,62.45,200,1,Iran Board-a
20020122,65.55,66,65,65.57,30603,21,Iran Board-a
20020126,66.10,66,66,66.10,11255,6,Iran Board-a
20020127,66.10,66,66,66.10,5000,6,Iran Board-a
20020129,66.05,66,66,66.03,557,2,Iran Board-a
20020130,66.10,66,66,66.03,34495,30,Iran Board-a
