<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20171225,10000.00,10000,10000,10000.00,23562887
20171226,10000.00,10000,10000,10000.00,6602402
20171227,10000.00,10000,10000,10000.00,12131422
20180113,10107.00,10125,10107,10123.00,34360
20180114,10123.00,10141,10123,10140.00,10040509
20180115,10140.00,10200,10140,10152.00,303471
20180116,10145.00,10145,10119,10134.00,362705
20180117,10125.00,10158,10125,10150.00,284270
20180120,10139.00,10160,10139,10157.00,2475127
20180121,10144.00,10170,10144,10159.00,120692
20180122,10165.00,10170,10162,10162.00,106534
20180123,10177.00,10194,10177,10180.00,1518350
20180124,10200.00,10219,10200,10205.00,1428887
20180127,10222.00,10229,10207,10218.00,132354
20180128,10223.00,10229,10219,10222.00,3895
20180129,10245.00,10245,10217,10238.00,1440722
20180130,10240.00,10248,10225,10240.00,315186
20180131,10226.00,10244,10226,10236.00,3810
20180203,10250.00,10250,10193,10235.00,1999779
20180204,10202.00,10203,10180,10187.00,95519
20180205,10187.00,10229,10180,10208.00,164484
20180206,10191.00,10200,10181,10195.00,2043402
20180207,10200.00,10210,10195,10205.00,62102
20180210,10213.00,10240,10212,10230.00,802200
20180212,10225.00,10235,10221,10222.00,618768
20180213,10222.00,10229,10217,10219.00,293170
20180214,10219.00,10223,10200,10219.00,2250858
20180217,10236.00,10236,10188,10233.00,10800
20180218,10180.00,10200,10180,10200.00,949963
20180219,10220.00,10238,10199,10216.00,2647937
20180221,10239.00,10248,10000,10150.00,865004
20180224,10250.00,10265,10250,10261.00,4192693
20180225,10262.00,10275,10262,10273.00,559659
20180226,10284.00,10284,10268,10273.00,61150
20180227,10270.00,10270,10255,10262.00,365662
20180228,10268.00,10268,10248,10262.00,1522812
20180303,10270.00,10270,10265,10265.00,3713600
20180304,10256.00,10261,10250,10261.00,10025069
20180305,10272.00,10281,10268,10272.00,12333640
20180306,10281.00,10299,10251,10277.00,133547
20180307,10269.00,10277,10252,10272.00,133830
20180310,10267.00,10267,10235,10267.00,234152
20180311,10270.00,10273,10267,10269.00,1324011
20180312,10284.00,10284,10227,10253.00,728832
20180313,10241.00,10243,10241,10243.00,2154
20180314,10247.00,10264,10239,10244.00,555169
20180317,10263.00,10274,10263,10268.00,451185
20180318,10276.00,10310,10002,10259.00,202050
20180319,10300.00,10390,10280,10297.00,976768
20180325,10321.00,10345,10321,10321.00,20100
20180326,10323.00,10330,10320,10328.00,152650
20180327,10331.00,10350,10320,10348.00,1269427
20180403,10365.00,10365,10332,10332.00,211400
20180404,10324.00,10360,10314,10326.00,25063
20180407,10330.00,10365,10290,10314.00,244741
20180408,10305.00,10320,10288,10316.00,131100
20180409,10268.00,10297,10268,10293.00,282632
20180410,10310.00,10317,10269,10314.00,60951
20180411,10354.00,10354,10277,10290.00,1010600
20180415,10258.00,10290,10258,10289.00,2100210
20180416,10254.00,10267,10240,10258.00,14968
