<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20081108,2000.00,2200,2000,2025.00,22610
20081109,2085.00,2087,2031,2075.00,43484
20081110,2069.00,2070,2000,2053.00,79290
20081111,2049.00,2067,2049,2054.00,34687
20081112,2099.00,2177,2099,2170.00,62099
20081115,2200.00,2200,2060,2079.00,65766
20081116,2079.00,2082,2050,2060.00,121604
20081117,2032.00,2032,2032,2032.00,13332
20081118,2032.00,2033,2032,2032.00,7672
20081119,1991.00,1991,1991,1991.00,6240
20081122,1990.00,1991,1990,1990.00,26886
20081123,2000.00,2000,1961,1998.00,24313
20081124,1999.00,2000,1962,1985.00,85535
20081129,1879.00,1879,1866,1866.00,59842
20081130,1755.00,1761,1755,1755.00,124000
20081201,1656.00,1656,1656,1656.00,256221
20081202,1650.00,1650,1559,1631.00,40400
20081203,1630.00,1631,1630,1630.00,21469
20081207,1533.00,1533,1532,1533.00,17000
20081215,1578.00,1578,1578,1578.00,2800
20081216,1625.00,1625,1625,1625.00,1000
20081220,1531.00,1531,1531,1531.00,186
20081221,1622.00,1622,1622,1622.00,612
20081223,1719.00,1719,1718,1719.00,78663
20081224,1710.00,1822,1700,1813.00,231850
20090203,1851.00,1851,1600,1602.00,9668000
20090204,1604.00,1650,1600,1602.00,4860315
20100622,1610.00,1722,1610,1626.00,2333
20100628,1756.00,1756,1756,1756.00,11
20100629,1896.00,1896,1896,1896.00,13872
20100630,2047.00,2047,2047,2047.00,7001
20100703,2210.00,2210,2210,2210.00,48239
20100704,2100.00,2250,2100,2246.00,1030
20100705,2250.00,2250,2153,2229.00,9620
20100706,2200.00,2220,2154,2186.00,34294
20100707,2160.00,2360,2160,2193.00,67755
20100711,2141.00,2351,2141,2332.00,6572
20100712,2160.00,2160,2160,2160.00,3333
20100713,2170.00,2170,2170,2170.00,753
20100717,2175.00,2300,2175,2298.00,60731
20100718,2300.00,2481,2300,2407.00,61079
20100720,2372.00,2376,2372,2375.00,25074
20100721,2400.00,2400,2400,2400.00,22027
20100724,2401.00,2592,2401,2566.00,36257
20100725,2771.00,2771,2520,2738.00,36721
20100726,2600.00,2600,2600,2600.00,333
20100728,2800.00,2800,2800,2800.00,96
20100731,2602.00,2602,2602,2602.00,7652
20100801,2564.00,2564,2502,2559.00,30685
20100802,2749.00,2763,2749,2758.00,101998
20100803,2770.00,2854,2764,2825.00,9450
20100804,2938.00,2938,2930,2931.00,40085
20100807,2938.00,3165,2938,3147.00,181770
20100808,2990.00,3160,2990,3014.00,3728
20100809,3000.00,3255,2990,3222.00,271692
20100811,2966.00,2966,2966,2966.00,1751
20100814,2730.00,2730,2730,2730.00,3333
20100815,2730.00,2948,2730,2928.00,178085
20100816,3000.00,3162,3000,3129.00,405580
20101010,5801.00,6265,5801,5967.00,1010996
20101011,5800.00,6080,5710,5793.00,2120000
20111218,4000.00,4000,3800,3958.00,5059
20111219,3701.00,3800,3701,3766.00,10697
20111220,3750.00,3830,3750,3799.00,1929
20111224,4000.00,4000,3720,3789.00,25991
20111225,3701.00,3701,3701,3701.00,20
20111228,3450.00,3450,3450,3450.00,525
20111231,3450.00,3450,3450,3450.00,444
20120101,3608.00,3608,3430,3563.00,14054
20120103,3649.00,3649,3577,3600.00,6615
20120104,3650.00,3888,3650,3814.00,7531
20120107,4041.00,4041,4041,4041.00,494
20120108,3750.00,3799,3750,3770.00,8153
20120109,4000.00,4070,3815,3848.00,19223
20120110,4000.00,4000,4000,4000.00,4743
20120111,3999.00,4000,3999,4000.00,29266
20120116,4108.00,4300,4108,4222.00,6129
20120117,4000.00,4003,4000,4000.00,9696
20120121,4210.00,4300,4200,4207.00,28824
20120123,4298.00,4400,4220,4302.00,17158
20120125,4271.00,4450,4271,4410.00,122102
20120128,4397.00,4762,4397,4615.00,60000
20120129,4615.00,4615,4615,4615.00,37891
20120130,4615.00,4620,4615,4619.00,42514
20120131,4979.00,4988,4979,4983.00,30275
20120201,4984.00,5381,4984,5130.00,5057
20120204,4982.00,4992,4982,4988.00,5611
20120205,4982.00,5200,4982,5131.00,65246
20120206,4730.00,5000,4730,4884.00,5231
20120207,4951.00,4951,4951,4951.00,1036
20120208,5001.00,5001,4555,4741.00,19951
20120212,4362.00,4410,4362,4367.00,49411
20120416,4600.00,4600,4600,4600.00,80000
20120417,4620.00,4620,4620,4620.00,1115464
20130305,6131.00,6621,6131,6416.00,320556
20130306,6020.00,6488,6020,6406.00,262245
20130309,6400.00,6401,5920,6057.00,80134
20130310,5801.00,6200,5801,6111.00,144277
20130311,6110.00,6110,6000,6073.00,58960
20130312,6000.00,6100,6000,6076.00,26442
20130313,6000.00,6021,5700,6002.00,46635
20130317,5802.00,5802,5787,5794.00,255289
20130318,5339.00,6020,5339,5558.00,67917
20130325,6002.00,6002,6002,6002.00,11243
20130326,6482.00,6482,6380,6461.00,62847
20130327,6085.00,6085,6080,6082.00,16035
20130330,6080.00,6080,5905,6078.00,1480
20130331,5930.00,6000,5910,5969.00,12552
20130403,6000.00,6100,6000,6004.00,58336
20130406,6004.00,6004,5960,5983.00,53228
20130407,6150.00,6200,6000,6172.00,30552
20130408,6100.00,6665,6100,6504.00,533536
20130409,6900.00,7024,6889,6943.00,30006
20130410,6943.00,7020,6811,6993.00,256194
20130413,6700.00,6799,6680,6775.00,37973
20130415,6997.00,6997,6550,6627.00,83622
20130416,6100.00,6799,6100,6512.00,15910
20130417,6512.00,6512,6100,6196.00,44685
20130420,6200.00,6200,6200,6200.00,25604
20130421,6400.00,6450,6250,6262.00,48158
20130422,6250.00,6500,6250,6417.00,116282
20130423,6600.00,6848,6500,6738.00,97664
20130424,6501.00,6698,6497,6511.00,68611
20130427,6680.00,6697,6550,6611.00,67500
20130428,6100.00,6750,6100,6492.00,88176
20130512,6400.00,6912,6400,6624.00,1481921
20140818,6999.00,6999,6856,6996.00,14636
20140819,6437.00,6437,6437,6437.00,100
20140820,5923.00,5923,5923,5923.00,2000
20140823,5450.00,5460,5450,5450.00,17266
20140824,5017.00,5017,5017,5017.00,287
20140825,4617.00,4713,4616,4629.00,1378
20140826,4990.00,4990,4720,4875.00,8338
20140827,4800.00,5264,4682,5225.00,53572
20140830,4870.00,5265,4810,4840.00,43319
20140831,5220.00,5227,5220,5225.00,3989
20140901,5301.00,5307,5301,5301.00,3087
20140902,5299.00,5299,5299,5299.00,4000
20140906,4903.00,4903,4876,4890.00,38450
20140908,4880.00,4880,4600,4705.00,6435
20140910,4600.00,4900,4600,4663.00,981
20140913,4640.00,4700,4640,4647.00,429
20140915,4640.00,4990,4640,4849.00,1618
20140916,4502.00,4502,4502,4502.00,2619
20140917,4353.00,4400,4353,4367.00,1055
20140920,4400.00,4400,4351,4362.00,1774
20140921,4351.00,4450,4351,4444.00,4261
20140922,4710.00,4799,4710,4799.00,97458
20140923,5182.00,5182,5182,5182.00,6962
20140924,4810.00,5596,4810,5157.00,71766
20140927,5568.00,5569,5250,5357.00,3016
20140928,5357.00,5400,5001,5024.00,8261
20140929,5000.00,5000,5000,5000.00,91
20140930,5164.00,5400,5164,5356.00,14227
20141004,5210.00,5356,5210,5273.00,461
20141006,5300.00,5356,5300,5343.00,9893
20141007,5000.00,5100,5000,5025.00,8340
20141008,5000.00,5050,5000,5047.00,9616
20141011,5090.00,5450,5090,5387.00,12672
20141012,5400.00,5700,5103,5221.00,8060
20141222,4000.00,4000,3700,3891.00,468578
20160711,2079.00,2079,2079,2079.00,10000
20160712,1871.00,1929,1871,1882.00,101142
20160713,1700.00,1800,1693,1706.00,149826
20160716,1535.00,1750,1535,1644.00,80346
20160717,1793.00,1795,1650,1758.00,164292
20160718,1583.00,1933,1583,1871.00,727147
20160719,2001.00,2030,1980,2012.00,403521
20160720,1983.00,2070,1943,2024.00,58201
20160723,2051.00,2110,1950,2033.00,635616
20160724,1900.00,2236,1900,2168.00,554937
20160725,2211.00,2221,2159,2192.00,103244
20160726,2230.00,2411,2200,2366.00,204584
20160727,2460.00,2602,2450,2595.00,262772
20160731,2595.00,2854,2595,2847.00,248327
20160801,3130.00,3131,2820,3108.00,134203
20160802,3418.00,3418,3418,3418.00,177368
20160803,3759.00,3759,3420,3676.00,119620
20160806,3415.00,3889,3380,3549.00,159539
20160807,3810.00,3810,3300,3503.00,278043
20160808,3480.00,3480,3152,3180.00,781653
20160809,3195.00,3195,2862,2986.00,109964
20160810,3100.00,3130,2900,2933.00,17784
20160813,2710.00,3067,2710,2993.00,64923
20160814,3068.00,3068,2800,3010.00,93787
20160815,2900.00,3071,2890,2947.00,28934
20160816,3060.00,3060,2882,3005.00,32182
20160817,2750.00,2900,2710,2819.00,30202
20160820,2550.00,3000,2537,2879.00,56591
20160821,2880.00,2880,2680,2764.00,37757
20160822,2580.00,2580,2531,2564.00,27907
20160823,2429.00,2679,2308,2470.00,53114
20170121,3800.00,3800,3800,3800.00,717989
20180603,3510.00,3550,3400,3508.00,33168
20180609,3500.00,3500,3450,3493.00,5347
20180610,3300.00,3390,3201,3313.00,17028
20180611,3100.00,3400,3100,3373.00,11491
20180612,3105.00,3710,3105,3587.00,13744
20180613,3710.00,3945,3710,3927.00,17689
20180617,4010.00,4010,3951,3985.00,2864
20180618,3587.00,3620,3587,3595.00,254
20180619,3800.00,3954,3800,3933.00,18317
20180620,4326.00,4326,4326,4326.00,57042
20180623,4001.00,4001,4001,4001.00,28894
20180624,4401.00,4401,4145,4398.00,18411
20180625,4398.00,4398,4398,4398.00,2175
20180626,4500.00,4667,4073,4450.00,27060
20180630,4252.00,4647,4252,4496.00,364
20180701,4577.00,4577,4577,4577.00,220
20180702,4252.00,4252,4252,4252.00,591
20180704,4252.00,4400,4252,4269.00,23496
20180707,4550.00,4550,4550,4550.00,220
20180708,4487.00,4487,4487,4487.00,350
20180710,4102.00,4399,4102,4159.00,5935
20180711,4377.00,4400,4336,4373.00,16293
20180714,4400.00,4487,4161,4398.00,19958
20180715,4677.00,4677,3959,4026.00,43156
20180716,4000.00,4000,3860,4000.00,22788
20180717,4000.00,4000,4000,4000.00,375
20180722,3811.00,4347,3810,3910.00,10134
20181017,8800.00,8800,8800,8800.00,107383
