<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20070807,114.30,114,114,114.30,96400000
20070808,116.59,117,117,116.59,3600000
20070812,118.91,119,119,118.91,3019890
20070813,121.26,121,121,121.26,3017080
20070814,123.68,124,124,123.68,3644619
20070815,126.14,126,125,124.94,557874
20070818,127.43,127,127,127.43,18370993
20070819,129.96,130,128,127.57,54953
20070820,130.10,130,128,127.74,70223
20070821,130.27,130,129,128.56,348209
20070822,131.12,131,129,128.83,124266
20070825,131.39,131,129,128.97,64644
20070826,131.53,132,130,129.55,251467
20070827,132.11,132,130,130.13,248213
20070828,132.72,133,131,130.61,201839
20070901,133.20,133,131,131.02,171781
20070902,133.61,134,131,131.22,92762
20070903,133.82,134,132,131.87,270864
20070904,134.50,134,132,132.08,81634
20070905,134.67,135,132,132.21,59547
20070908,134.84,135,132,132.38,76638
20070909,135.01,135,132,132.45,34405
20070910,135.08,135,133,132.62,77371
20070911,135.25,135,133,132.72,41225
20070912,135.35,135,74,132.83,98687886
20070915,135.45,135,133,133.30,201619
20070916,135.96,136,134,134.19,370280
20070917,136.85,137,136,136.31,868871
20070918,139.00,139,137,136.54,102800
20070919,139.27,139,137,136.61,29561
20070922,139.34,139,137,136.72,37346
20070923,139.44,139,137,136.95,92181
20070924,139.68,140,137,137.02,23169
20070925,139.75,140,137,137.12,42228
20070926,139.85,140,138,137.81,271312
20070929,140.54,141,138,137.84,18495
20070930,140.57,141,138,137.91,28010
20071001,140.64,141,138,137.98,23985
20071002,140.71,141,138,138.08,43180
20071006,140.81,141,138,138.25,70459
20071007,141.01,141,138,138.46,74877
20071008,141.22,141,139,138.66,78132
20071009,141.42,141,139,138.69,17080
20071010,141.46,141,139,139.00,127972
20071014,141.77,142,139,139.10,45242
20071015,141.87,142,142,141.87,5994
20071016,144.70,145,145,144.70,14905
20071017,147.57,148,148,147.57,2285
20071020,150.50,150,150,150.50,8352
20071021,153.50,154,154,153.50,60999
20071022,156.54,157,154,153.57,27127
20071023,156.64,157,157,156.64,49999
20071024,159.75,160,160,159.75,10000
20071027,162.92,163,163,162.92,7000
20071028,166.16,166,166,166.16,87981
20071029,169.47,169,169,169.47,45500
20071030,172.85,173,170,169.57,36976
20071031,172.95,173,173,172.95,26980
20071111,173.33,180,162,166.81,40336634
20071112,170.12,170,168,167.87,346353
20071113,171.21,171,169,169.30,464480
20071114,170.60,173,166,169.61,8688849
20071117,172.98,173,169,171.86,8224887
20071118,168.45,169,168,168.45,5374449
20071119,165.10,165,165,165.10,6500720
20071120,165.82,168,165,167.83,1518558
20071121,171.18,171,169,168.65,263860
