<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20070311,78.89,80,79,78.89,468077431
20070312,80.47,80,80,80.47,100041000
20070313,82.05,82,80,81.92,126270939
20070314,80.30,82,80,80.30,26705128
20070317,78.73,80,79,78.81,14877283
20070319,77.73,79,77,78.27,12428574
20070325,78.10,80,78,78.64,4151051
20070326,80.01,80,79,78.89,2604320
20070327,79.26,80,79,79.06,1737471
20070328,79.93,80,79,79.14,1466522
20070331,79.06,80,78,79.10,818231
20070403,78.89,79,78,78.89,2705358
20070404,78.35,79,77,78.73,1649990
20070407,78.31,78,77,78.10,5050280
20070408,76.98,79,77,78.02,3002511
20070409,78.43,79,78,78.02,692951
20070410,79.18,80,77,78.19,1315311
20070411,77.89,78,77,78.06,1767488
20070414,77.40,78,77,77.85,1975101
20070415,76.73,78,76,77.52,2879638
20070416,76.32,77,76,77.31,1890750
20070417,76.73,78,76,77.27,1368173
20070418,77.89,79,77,77.52,3024167
20070421,79.02,79,78,78.19,5473667
20070422,79.72,80,78,78.39,1773788
20070423,79.93,80,78,78.43,826566
20070424,78.89,79,39,78.48,3831874711
20070425,78.89,79,77,78.48,1796465
20070428,78.48,78,77,78.23,2176594
20070429,76.69,78,77,77.77,3633565
20070430,77.11,79,77,78.23,5581299
20070501,78.68,79,77,78.23,1387680
20070502,78.43,78,77,78.10,1524106
20070505,76.98,78,77,77.81,2523017
20070506,76.28,77,76,77.35,3807216
20070507,76.19,77,76,77.02,2824699
20070508,75.57,77,75,76.86,3256904
20070509,75.90,77,75,76.69,3031843
20070512,76.28,78,76,76.73,1340525
20070513,77.23,78,77,77.11,3617528
20070514,78.52,79,77,77.15,1521600
20070515,77.65,78,77,77.15,722100
20070516,77.23,78,77,77.19,1270938
20070519,77.11,77,76,77.11,1165541
20070520,76.19,77,76,77.02,1125563
20070521,76.40,77,76,76.98,1015994
20070522,76.73,77,76,76.94,862753
20070523,76.73,77,75,76.90,555716
20070526,76.19,77,75,76.82,995859
20070527,75.94,77,75,76.73,677604
20070528,75.49,77,75,76.61,2681100
20070529,75.98,77,76,76.57,1881316
20070530,76.19,77,76,76.57,814969
20070602,76.57,78,77,76.90,3142342
20070603,78.43,78,77,77.31,3517679
20070606,78.85,79,78,77.52,1686185
20070609,78.64,79,77,77.65,1842850
20070610,79.14,79,78,77.69,394471
20070611,79.22,79,39,77.77,940111218
20070612,79.31,79,78,77.77,113158
20070613,79.31,79,79,79.31,13098182
20070616,80.88,81,81,80.88,15034356
20070617,82.46,82,82,82.46,15656554
20070619,84.08,84,81,83.25,11863183
20070620,82.46,83,82,82.67,5676578
20070623,83.04,84,83,84.21,9940077
20070624,84.29,86,84,85.37,7875528
20070625,85.74,87,86,87.03,10909057
20070626,88.73,89,86,86.90,9614186
20070627,85.95,86,85,85.58,4943752
20070630,87.20,87,87,87.24,10566520
20070701,88.40,89,88,88.94,11482272
20070702,90.48,91,90,90.64,14878790
20070703,92.14,92,60,91.35,571322642
20070704,90.89,93,90,91.35,7638788
20070707,92.97,93,92,92.22,4510681
20070708,93.76,94,93,93.84,6707990
20070709,95.25,96,95,95.62,10145458
20070710,97.16,98,96,97.49,19111410
20070711,99.40,99,99,99.40,13701685
20070714,101.35,101,99,101.11,41484855
20070715,99.11,101,99,100.81,942473
20070716,98.82,100,99,98.82,23338850
20070717,98.86,100,98,98.99,17354847
20070725,96.87,103,94,99.15,30786113
20070729,101.11,101,101,101.11,6362540
20070730,103.10,103,103,103.10,6315564
20070731,105.13,105,105,105.13,8591016
20070801,107.21,107,107,107.21,17097099
20070804,109.33,109,107,109.28,46268455
20070805,110.03,111,110,111.19,19910250
20070806,113.40,113,113,113.31,6049960
20070807,115.55,116,113,113.44,300000
20070808,115.68,116,114,113.52,202814
20070812,115.76,116,114,113.77,754374
20070813,116.01,116,115,114.97,3384008
20070814,117.26,117,115,115.14,435355
20070815,117.42,117,115,115.39,654709
20070818,117.67,118,116,117.55,29760995
20070819,119.87,120,118,118.30,2038628
20070820,120.62,121,119,118.88,1528358
20070821,121.24,121,119,119.33,1203668
20070822,121.70,122,119,119.46,368936
20070825,121.82,122,120,119.67,514133
20070826,122.03,122,121,120.74,2931622
20070827,123.15,123,121,121.12,947604
20070828,123.53,124,122,122.45,3491776
20070901,124.86,125,123,123.24,2124315
20070902,125.69,126,123,123.28,137451
20070903,125.73,126,123,123.44,401387
20070904,125.89,126,124,123.53,163172
20070905,125.98,126,124,123.86,872611
20070908,126.31,126,124,123.90,103594
20070909,126.35,126,124,124.03,296597
20070910,126.47,126,124,124.19,410837
20070911,126.64,127,124,124.23,103571
20070912,126.68,127,124,124.32,172727
20070915,126.77,127,124,124.48,454531
20070916,126.93,127,125,124.69,566981
20070917,127.18,127,127,127.18,14809519
20070918,129.71,130,129,129.22,5078456
20070919,131.79,132,129,129.26,53830
20070922,131.83,132,129,129.34,249538
20070923,131.91,132,130,129.67,800010
20070924,132.25,132,130,129.88,500010
20070930,132.45,132,130,129.88,7765
20071001,132.45,132,130,129.88,13321
20071002,132.45,132,130,129.92,53612
20071006,132.50,132,130,130.13,491039
20071007,132.70,133,130,130.21,226456
20071008,132.79,133,130,130.25,94743
20071009,132.83,133,99,130.29,136089385
