<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20190811,13000.00,13000,13000,13000.00,2742575,292,Iran Fara Bourse-a
20190813,13100.00,13650,12900,13490.00,5827941,1081,Iran Fara Bourse-a
20190814,14164.00,14164,14164,14164.00,1054309,173,Iran Fara Bourse-a
20190817,14872.00,14872,13750,14481.00,17105684,5132,Iran Fara Bourse-a
20190818,13801.00,14433,13757,13846.00,5901683,1609,Iran Fara Bourse-a
20190819,13154.00,14300,13154,13574.00,12324556,3763,Iran Fara Bourse-a
20190821,14252.00,14252,13910,14226.00,3212755,794,Iran Fara Bourse-a
20190824,14700.00,14700,13515,14052.00,9553853,3411,Iran Fara Bourse-a
20190825,13950.00,13950,13350,13499.00,6733844,2367,Iran Fara Bourse-a
20190826,13570.00,14000,13570,13834.00,3260722,1431,Iran Fara Bourse-a
20190827,14100.00,14100,13231,13630.00,3430802,1626,Iran Fara Bourse-a
20190828,13002.00,13450,12949,13099.00,3657570,1695,Iran Fara Bourse-a
20190831,13400.00,13753,13140,13569.00,5247672,1732,Iran Fara Bourse-a
20190901,13540.00,13949,13302,13539.00,2601953,1026,Iran Fara Bourse-a
20190902,13679.00,13679,12863,13025.00,4110182,1484,Iran Fara Bourse-a
20190903,12825.00,13500,12420,12991.00,3539146,1227,Iran Fara Bourse-a
20190904,13640.00,13640,13501,13639.00,4585307,1041,Iran Fara Bourse-a
20190907,14150.00,14250,13766,14029.00,4088471,1882,Iran Fara Bourse-a
20190908,13999.00,13999,13330,13585.00,3818586,2050,Iran Fara Bourse-a
20190911,13599.00,13600,13100,13343.00,2638786,1433,Iran Fara Bourse-a
20190914,13590.00,13590,12900,13105.00,4909933,2174,Iran Fara Bourse-a
20190915,13020.00,13299,12725,12966.00,4550572,1801,Iran Fara Bourse-a
20190916,13150.00,13600,13100,13354.00,3234165,1354,Iran Fara Bourse-a
20190917,13300.00,13399,12687,12898.00,3615714,1754,Iran Fara Bourse-a
20190918,12940.00,12940,12254,12346.00,3929688,1599,Iran Fara Bourse-a
20190921,12000.00,12930,12000,12502.00,3436459,1239,Iran Fara Bourse-a
20190922,12840.00,13643,12690,13173.00,3237824,821,Iran Fara Bourse-a
20190923,13588.00,13831,13500,13771.00,6328914,1805,Iran Fara Bourse-a
20190924,13699.00,13783,13083,13196.00,4992091,1593,Iran Fara Bourse-a
20190925,12854.00,13298.00,12854.00,13042.00,2396400,1214,Iran Fara Bourse-a
