<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20010415,46.93,47,47,46.93,139,1,Iran Ferr.-a
20010422,46.93,47,47,46.93,15859,4,Iran Ferr.-a
20010423,46.93,47,47,46.93,3000,2,Iran Ferr.-a
20010424,46.96,47,47,46.96,4467,1,Iran Ferr.-a
20010428,46.96,47,47,46.96,8000,4,Iran Ferr.-a
20010429,47.09,48,47,47.56,7008,7,Iran Ferr.-a
20010430,46.93,47,47,46.93,7936,4,Iran Ferr.-a
20010501,46.93,47,47,46.99,8500,2,Iran Ferr.-a
20010507,48.49,48,48,48.49,5000,2,Iran Ferr.-a
20010509,50.90,51,51,50.90,2000,1,Iran Ferr.-a
20010512,50.90,51,51,50.90,12500,3,Iran Ferr.-a
20010521,53.47,58,52,57.88,15665,14,Iran Ferr.-a
20010523,57.88,58,58,57.88,18340,11,Iran Ferr.-a
20010526,57.88,58,58,57.88,9860,8,Iran Ferr.-a
20010527,60.76,61,61,60.76,9139,3,Iran Ferr.-a
20010528,63.79,64,64,63.79,21000,10,Iran Ferr.-a
20010529,63.76,64,64,63.79,7840,4,Iran Ferr.-a
20010530,63.86,64,64,64.45,62360,11,Iran Ferr.-a
20010602,63.89,64,64,63.89,19738,11,Iran Ferr.-a
20010603,63.70,64,63,62.57,18784,8,Iran Ferr.-a
20010609,62.23,63,61,61.32,42215,24,Iran Ferr.-a
20010710,50.06,50,50,50.06,500,1,Iran Ferr.-a
20010714,50.09,50,50,50.09,154,1,Iran Ferr.-a
20010716,50.37,50,50,50.37,13818,7,Iran Ferr.-a
20010717,50.37,50,50,50.37,1182,1,Iran Ferr.-a
20010721,52.87,53,53,52.87,1436,2,Iran Ferr.-a
20010722,54.44,56,54,55.50,10000,8,Iran Ferr.-a
20010723,58.26,58,58,58.26,16000,3,Iran Ferr.-a
20010725,58.38,58,58,58.38,6561,2,Iran Ferr.-a
20010728,58.26,59,58,58.38,59050,26,Iran Ferr.-a
20010729,55.47,55,55,55.47,5000,3,Iran Ferr.-a
20010730,55.47,55,55,55.47,10731,2,Iran Ferr.-a
20010801,55.47,55,55,55.44,34835,7,Iran Ferr.-a
20010806,55.47,55,55,55.47,2200,4,Iran Ferr.-a
20010807,55.38,55,55,55.47,4236,4,Iran Ferr.-a
20010811,55.47,55,55,55.47,21000,9,Iran Ferr.-a
20010812,55.38,55,55,55.47,38056,16,Iran Ferr.-a
20010813,55.47,55,55,55.47,30000,13,Iran Ferr.-a
20010814,55.47,55,55,55.47,5000,1,Iran Ferr.-a
20010815,55.47,55,55,55.47,3000,2,Iran Ferr.-a
20010818,55.69,56,56,56.00,10000,3,Iran Ferr.-a
20010819,56.00,56,56,56.00,18316,5,Iran Ferr.-a
20010820,56.00,56,56,56.00,15000,4,Iran Ferr.-a
20010821,56.00,56,56,56.00,16000,4,Iran Ferr.-a
20010822,56.00,56,56,55.97,11316,3,Iran Ferr.-a
20010825,56.00,56,56,56.00,8000,1,Iran Ferr.-a
20010827,55.97,56,55,55.06,17651,5,Iran Ferr.-a
20010829,54.75,55,55,54.75,5000,3,Iran Ferr.-a
20010903,53.19,54,53,54.06,37000,6,Iran Ferr.-a
20010904,53.88,54,54,53.50,15559,4,Iran Ferr.-a
20010905,53.19,53,53,53.19,5000,4,Iran Ferr.-a
20010908,52.56,53,53,52.56,1000,1,Iran Ferr.-a
20010909,52.53,53,53,52.56,47961,11,Iran Ferr.-a
20010911,52.53,53,53,53.47,27368,11,Iran Ferr.-a
20010915,51.94,52,52,51.94,7000,1,Iran Ferr.-a
