<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20140916,909.78,910,910,909.78,484
20141101,1499.87,1500,1500,1499.87,484
20141209,2356.93,2357,2357,2356.93,1164
20141210,2399.79,2400,2400,2399.79,1164
20141216,2579.77,2580,2580,2579.77,180
20150104,3642.54,3643,3643,3642.54,1500
20150107,3856.80,4007,3707,3833.23,3328
20150110,3856.80,3857,3857,3856.80,3496
20150111,3856.80,3857,3857,3856.80,10
20150112,2841.61,3428,2841,3258.14,338
20150128,2365.93,2366,2366,2365.93,10
20150201,3423.98,3424,3424,3423.98,20
20150208,3423.98,3424,3424,3423.98,373
20150224,2785.47,2785,2571,2623.91,4070
20150302,2999.74,3000,3000,2999.74,426
20150316,2571.20,2571,2571,2571.20,342
20150428,2365.93,2379,2366,2376.22,1692
20150526,2383.08,2383,2383,2383.08,1020
20150622,2384.79,2385,2385,2384.79,2724
20151107,2311.45,2311,2311,2311.45,4098
20151109,2311.45,2311,2311,2311.45,500
20151121,2333.67,2334,2334,2333.67,3828
20151124,2339.01,2339,2339,2339.01,484
20160213,2444.80,2445,2445,2444.80,500
20160306,2453.69,2454,2454,2453.69,500
20160626,2489.25,2489,2489,2489.25,14720
20160809,2489.25,2489,2489,2489.25,484
20160926,2489.25,2489,2489,2489.25,484
20161009,2493.73,2498,2494,2495.98,968
20161212,2498.67,2499,2499,2498.67,484
20161219,2500.91,2501,2501,2500.91,1000
20170108,2509.89,2510,2510,2509.89,968
20170212,2603.71,2604,2559,2588.00,4597
20170218,2854.45,2854,2854,2854.45,656
20170222,2854.45,2854,2854,2854.45,484
20170318,3139.90,3140,3140,3139.90,401
20170423,4597.12,4597,4597,4597.12,512
20170424,4625.94,4627,4626,4625.94,950
20170501,4649.00,4649,4649,4649.00,484
20171014,6973.00,6973,6973,4817.00,348
20171025,7225.00,7225,7225,5060.00,484
20171126,7590.00,7590,7590,5418.00,680
20171220,8127.00,8127,8127,5691.00,484
20180711,10001.00,10001,10001,5744.00,1240
20180716,11501.00,11501,11501,5754.00,179
20180718,12501.00,12501,12501,5811.00,850
20180721,12530.00,12530,12530,5837.00,381
20180723,13000.00,13000,13000,5838.00,20
20180728,14014.00,14014,14014,5954.00,1422
20180730,14555.00,14555,14555,6368.00,4816
20180804,15015.00,15015,15015,6427.00,680
20180815,15560.00,15560,15560,6431.00,49
20180818,20000.00,20000,20000,6438.00,50
20180820,19500.00,19500,19500,6713.00,2103
20180827,26000.00,26000,26000,6806.00,484
20180912,44999.00,44999,44999,6838.00,83
20180917,50000.00,50001,50000,7812.00,2256
20180922,50000.00,50000,50000,7965.00,363
20180926,40000.00,40000,40000,8061.00,300
20181003,54004.00,54004,54004,9718.00,3606
20181006,49998.00,49998,49998,9742.00,59
20181008,12500.00,12500,12500,9772.00,1095
20181010,57898.00,57898,57898,10315.00,1128
20181017,45000.00,45000,45000,11598.00,3700
20181022,54999.00,54999,44850,11692.00,263
20181024,44830.00,44830,44830,11802.00,333
20181027,30200.00,30200,30200,11855.00,289
20181029,30000.00,30000,30000,12006.00,831
20181031,30050.00,35100,30050,12396.00,1970
20181105,34900.00,34900,34900,12403.00,30
20181110,35000.00,35000,35000,12432.00,130
20181112,35100.00,35100,35100,12439.00,30
20181114,35000.00,40000,35000,15010.00,11285
20181119,39000.00,39000,39000,15016.00,25
