<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20010327,1674.59,1675,1675,1674.59,200
20010328,1674.98,1675,1675,1674.98,1400
20010418,1676.34,1676,1676,1676.34,100
20010430,1676.34,1676,1676,1676.34,895
20010506,1676.34,1676,1676,1676.34,1500
20010508,1676.14,1676,1676,1676.14,200
20010513,1675.75,1676,1592,1675.75,2400
20010515,1592.64,1593,1593,1592.64,550
20010516,1592.64,1593,1593,1592.83,750
20010520,1672.45,1672,1672,1672.45,3600
20010521,1675.37,1675,1675,1675.37,400
20010528,1759.07,1759,1759,1759.07,1200
20010529,1802.96,1803,1803,1802.96,5000
20010530,1802.96,1803,1803,1802.96,900
20010602,1795.96,1796,1796,1795.96,300
20010603,1795.96,1796,1796,1795.96,500
20010611,1795.96,1796,1796,1795.96,609
20010709,1796.35,1796,1796,1796.35,110
20010714,1806.06,1806,1806,1806.06,150
20010721,1806.06,1806,1806,1806.06,100
20010722,1806.06,1816,1806,1815.77,3500
20010730,1906.46,1906,1906,1906.46,1780
20010731,1906.46,1906,1906,1906.46,1109
20010801,1906.46,1907,1906,1907.44,26170
20010804,1907.63,1908,1908,1907.63,500
20010808,1907.44,1907,1907,1907.44,600
20010828,1907.44,1907,1907,1907.44,1200
20010902,1907.44,1942,1907,1942.00,4400
20011007,873.90,874,874,873.90,1000
20011022,895.65,896,896,895.65,1000
20011023,917.98,918,918,917.98,2400
20011118,940.90,941,941,940.90,500
20011121,964.40,964,964,964.40,3000
20011124,965.18,965,965,965.18,3000
20011126,989.26,989,989,989.26,1020
20011205,1013.92,1014,1014,1013.92,1380
20011208,1024.02,1024,1024,1024.02,3000
20011218,1034.12,1034,1034,1034.12,400
20011225,1044.41,1044,1044,1044.41,400
20020105,1054.70,1055,1055,1054.70,530
20020112,1065.19,1065,1055,1054.70,530
20020113,1065.19,1065,1065,1065.19,1580
20020312,776.80,777,777,776.80,500
20020610,784.57,785,785,784.57,500
20020624,792.34,792,792,792.34,200
20020626,812.15,812,812,812.15,3460
20020707,832.34,832,832,832.34,400
20020709,853.12,853,853,853.12,400
20020727,975.27,1068,975,1068.30,1400
20020807,1475.92,1476,1476,1475.92,500
20020910,1549.72,1550,1550,1549.72,2000
20020911,1627.20,1627,1627,1627.20,5000
20020914,1627.20,1627,1627,1627.20,1000
20020915,1627.20,1627,1627,1627.20,595
20020917,1625.46,1651,1625,1650.70,8265
20021027,1649.73,1650,1650,1649.73,3000
20021028,1650.31,1650,1650,1650.31,1000
20021029,1650.31,1651,1650,1650.51,6726
20021102,1650.51,1651,1651,1650.70,10300
20021111,1733.24,1733,1733,1733.24,1000
20021112,1819.85,1820,1820,1819.85,1020
20021116,1910.54,1911,1911,1910.54,8000
20021117,1910.74,1911,1911,1910.74,1600
20021211,1815.38,1815,1815,1815.38,530
20030104,1724.69,1725,1725,1724.69,1448
20030106,1724.50,1724,1724,1724.50,2752
20030111,1724.30,1724,1724,1724.50,768
20030112,1728.38,1728,1728,1728.38,1000
20030201,1689.54,1690,1690,1689.54,1000
20030317,1649.93,1650,1650,1649.93,500
20030319,1649.73,1650,1650,1649.93,1130
20030531,1649.93,1650,1650,1649.93,107
20030629,1631.28,1631,1631,1631.28,500
20030824,1262.30,1262,1262,1262.30,1000
20030825,1223.46,1223,1204,1213.75,1000
20030831,1215.69,1216,1214,1213.75,600
20030901,1204.04,1204,1165,1179.77,2000
20030906,1179.77,1180,1180,1179.77,1000
20030915,1238.61,1239,1180,1179.77,110
20030917,1145.78,1168,1122,1168.31,1310
20030921,1116.65,1155,1113,1155.30,1310
20030922,1110.83,1144,1105,1143.65,1310
20031027,1143.65,1144,1144,1143.65,1950
20031112,1107.14,1144,1107,1133.35,2015360
20031118,1091.41,1122,1088,1121.90,1410
20031201,1087.52,1117,1086,1117.43,700
20040127,1117.43,1117,1117,1117.43,441000
20040128,1117.43,1117,1117,1117.43,441500
20040131,1108.50,1116,1108,1116.46,498
20040203,1126.36,1126,1117,1117.23,510
20040208,1127.14,1128,1127,1127.14,16995
20040215,1126.36,1126,1126,1126.36,64463
20040229,1165.20,1165,1165,1165.20,5900
20040428,679.90,680,680,679.90,1000
20040501,699.12,709,687,687.27,2210
20040502,712.72,719,695,695.04,2010
20040509,708.83,709,709,708.83,15626
20040511,708.83,719,709,709.03,129010
20040605,744.37,744,717,717.18,1710
20040821,504.92,505,505,504.92,1000
20040822,479.67,505,480,504.92,400000
20040823,479.67,505,480,504.92,401000
20040824,479.67,480,480,479.67,80000
20040828,503.56,504,480,480.84,20010
20040920,504.73,505,491,490.55,5010
20040922,515.02,515,501,501.43,5410
20040927,526.48,526,526,526.48,66200
20041004,552.69,553,537,537.16,5010
20041005,563.96,564,548,548.23,5010
20041006,575.61,576,559,559.49,5010
20041009,587.46,587,571,570.95,5010
20041010,599.50,599,599,599.50,20998
20050109,417.92,418,418,417.92,1000
20050110,418.31,439,418,418.31,420
20050112,439.09,439,419,418.70,412
20050115,439.48,439,419,419.08,410
20050116,439.86,440,419,419.47,410
20050117,440.45,440,420,419.86,410
20050123,440.83,441,420,420.25,410
20050124,441.22,441,421,420.64,410
20050126,441.61,442,421,421.03,410
20050130,442.00,442,442,442.00,47000
20050131,463.94,464,464,463.94,20000
20050201,487.05,487,484,484.14,14114
20050202,508.22,508,485,484.72,410
20050205,508.80,509,509,508.80,20400
20050216,361.21,482,361,462.20,77718
20050221,462.20,462,462,462.20,7000
20050226,441.03,444,441,443.94,18177
20050227,436.95,444,437,442.19,14310
