<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20150311,212.56,213,213,212.56,54720,6,Folad Kavian-a
20150314,212.56,213,213,212.56,1019232,4,Folad Kavian-a
20150316,212.56,213,213,212.56,68654,2,Folad Kavian-a
20150329,212.56,213,213,212.56,400,1,Folad Kavian-a
20150330,212.56,213,213,212.56,17680,1,Folad Kavian-a
20150406,212.56,213,213,212.56,4000,1,Folad Kavian-a
20150411,212.56,213,213,212.56,3200,1,Folad Kavian-a
20150412,212.56,213,213,212.56,3280,1,Folad Kavian-a
20150414,212.56,213,213,212.56,5480,1,Folad Kavian-a
20150504,212.56,213,213,212.56,14416,6,Folad Kavian-a
20150510,212.56,213,213,212.56,133920,2,Folad Kavian-a
20150511,212.56,213,213,212.56,6400,2,Folad Kavian-a
20150513,212.56,213,213,212.56,30000,1,Folad Kavian-a
20150518,212.56,213,213,212.56,6489,2,Folad Kavian-a
20150610,212.56,213,213,212.56,5000,1,Folad Kavian-a
20150614,212.56,213,213,212.56,3200,1,Folad Kavian-a
20150721,212.56,213,213,212.56,268,5,Folad Kavian-a
20150726,212.56,213,213,212.56,10760,2,Folad Kavian-a
20150727,212.56,213,213,212.56,8000,1,Folad Kavian-a
20150801,212.56,213,213,212.56,26480,3,Folad Kavian-a
20150809,212.56,213,213,212.56,9025,1,Folad Kavian-a
20150819,212.56,213,213,212.56,8000,1,Folad Kavian-a
20150915,212.56,213,213,212.56,8500,1,Folad Kavian-a
20160508,221.70,222,213,218.20,25690,3,Folad Kavian-a
20160509,138.17,138,138,138.17,14282156,2,Folad Kavian-a
20160516,138.27,138,138,138.27,27200,1,Folad Kavian-a
20160524,143.59,144,143,143.59,1244490,2,Folad Kavian-a
20160628,143.59,144,144,143.59,1000,1,Folad Kavian-a
20160702,143.48,143,143,143.48,2949,1,Folad Kavian-a
20160704,145.61,146,146,145.61,2200,1,Folad Kavian-a
20160710,148.79,149,149,148.79,4292,1,Folad Kavian-a
20160711,154.11,154,154,154.11,2050,1,Folad Kavian-a
20160713,154.11,154,154,154.11,18658,1,Folad Kavian-a
20160718,164.84,165,165,164.84,8000,1,Folad Kavian-a
20160808,159.42,159,159,159.42,5001,1,Folad Kavian-a
20160816,159.53,160,160,159.53,195,1,Folad Kavian-a
20160910,164.84,165,165,164.84,4292,1,Folad Kavian-a
20160927,173.60,174,174,173.60,10000,1,Folad Kavian-a
20161226,263.59,264,264,263.59,60000,2,Folad Kavian-a
20170102,293.85,319,294,317.74,210547,3,Folad Kavian-a
20170107,358.36,454,358,453.92,250050,3,Folad Kavian-a
20170109,477.81,478,478,477.81,50000,1,Folad Kavian-a
20170114,501.70,502,502,501.70,22405,1,Folad Kavian-a
20170117,525.59,526,526,525.59,9126,5,Folad Kavian-a
20170122,557.44,557,549,551.87,14684,2,Folad Kavian-a
20170128,613.19,613,577,594.87,20000,2,Folad Kavian-a
20170204,625.13,625,625,625.13,31000,1,Folad Kavian-a
20170205,688.73,711,689,702.12,32000,4,Folad Kavian-a
20170213,732.25,732,732,732.25,11000,2,Folad Kavian-a
20170304,832.84,833,833,832.84,5000,2,Folad Kavian-a
20170315,915.67,916,916,915.67,11436,3,Folad Kavian-a
20170412,1006.69,1007,1007,1006.69,10000,2,Folad Kavian-a
20170416,1106.82,1107,1107,1106.82,11000,2,Folad Kavian-a
20170429,1338.05,1338,1338,1338.05,12197,4,Folad Kavian-a
20170501,1471.15,1471,1471,1471.15,100000,4,Folad Kavian-a
20170502,1618.27,1618,1618,1618.27,151350,8,Folad Kavian-a
20170503,1779.39,1779,1779,1779.39,150000,9,Folad Kavian-a
20170506,1956.53,1957,1801,1939.52,174997,13,Folad Kavian-a
20170507,1746.37,1746,1746,1746.37,16500,9,Folad Kavian-a
20170508,1572.23,1921,1572,1865.46,159854,31,Folad Kavian-a
20170509,1955.53,1957,1821,1929.51,76000,8,Folad Kavian-a
20170513,2121.66,2122,2052,2108.65,160672,17,Folad Kavian-a
20170514,2120.66,2318,2121,2160.69,37275,16,Folad Kavian-a
20170516,2299.80,2302,2299,2300.80,41471,12,Folad Kavian-a
20170517,2301.80,2302,2302,2301.80,20000,3,Folad Kavian-a
20170524,2071.62,2072,2072,2071.62,386700,23,Folad Kavian-a
20170527,2071.62,2279,2062,2128.67,45651,13,Folad Kavian-a
20170528,2251.76,2252,2132,2142.68,28290,9,Folad Kavian-a
20170531,2001.57,2002,1952,1958.53,3500,2,Folad Kavian-a
20170606,1763.38,1763,1763,1763.38,17827,4,Folad Kavian-a
20170610,1591.25,1701,1591,1595.25,42485,10,Folad Kavian-a
20170614,1701.33,1701,1594,1658.30,7526,6,Folad Kavian-a
20170619,1701.33,1823,1502,1665.30,18533,8,Folad Kavian-a
20170620,1794.41,1794,1641,1667.31,3620,3,Folad Kavian-a
20170621,1641.29,1641,1641,1641.29,1500,1,Folad Kavian-a
20170624,1506.18,1641,1477,1546.21,2695,3,Folad Kavian-a
20170701,1638.28,1638,1480,1485.16,21121,6,Folad Kavian-a
20170709,1412.11,1412,1401,1403.10,12000,3,Folad Kavian-a
20170711,1262.99,1264,1263,1262.99,4700,4,Folad Kavian-a
20170716,1351.06,1389,1351,1368.07,50271,18,Folad Kavian-a
20170717,1440.13,1504,1440,1502.18,70447,13,Folad Kavian-a
20170718,1651.29,1651,1501,1582.24,59449,12,Folad Kavian-a
20170722,1431.12,1636,1424,1539.21,58760,23,Folad Kavian-a
20170723,1472.15,1692,1472,1645.29,268562,83,Folad Kavian-a
20170724,1751.37,1809,1751,1799.41,118441,27,Folad Kavian-a
20170725,1978.55,1979,1979,1978.55,24695,17,Folad Kavian-a
20170726,2175.70,2176,2029,2174.70,515622,158,Folad Kavian-a
20170729,2001.57,2192,1958,2001.57,118995,47,Folad Kavian-a
20170730,2190.72,2191,1801,1813.42,122351,38,Folad Kavian-a
20170801,1994.56,1995,1995,1994.56,11084,7,Folad Kavian-a
20170802,2193.72,2194,2194,2193.72,147263,12,Folad Kavian-a
20170806,2412.89,2413,2413,2412.89,44578,8,Folad Kavian-a
20170807,2654.08,2654,2654,2654.08,110133,14,Folad Kavian-a
20170808,2919.29,2919,2662,2869.25,720840,134,Folad Kavian-a
20170809,3152.47,3152,2583,2673.09,75040,40,Folad Kavian-a
20170812,2673.09,2882,2652,2807.20,39387,15,Folad Kavian-a
20170813,2893.27,2893,2527,2598.03,8719,18,Folad Kavian-a
20170815,2855.24,2855,2339,2380.86,52549,21,Folad Kavian-a
20170819,2420.90,2421,2144,2149.68,19486,15,Folad Kavian-a
20170820,2141.68,2142,1936,1995.56,42301,22,Folad Kavian-a
20170821,2193.72,2195,2194,2194.72,11393,8,Folad Kavian-a
20170822,2413.89,2414,2414,2413.89,25006,9,Folad Kavian-a
20170823,2655.08,2655,2581,2634.06,365359,62,Folad Kavian-a
20170826,2721.13,2721,2378,2467.93,29766,17,Folad Kavian-a
20170827,2609.04,2609,2383,2399.88,31270,11,Folad Kavian-a
20170828,2474.94,2639,2462,2594.03,258684,63,Folad Kavian-a
20170829,2853.23,2853,2851,2853.23,221387,35,Folad Kavian-a
20170830,3138.46,3138,2762,2934.30,319771,51,Folad Kavian-a
20170902,2645.07,3112,2644,2673.09,36175,7,Folad Kavian-a
20170903,2854.24,2854,2513,2728.14,128436,12,Folad Kavian-a
20170904,2915.28,2915,2602,2812.20,107224,10,Folad Kavian-a
20170905,2860.24,2860,2646,2745.15,13736,6,Folad Kavian-a
20170906,2801.19,2801,2471,2599.04,137850,22,Folad Kavian-a
20170919,2470.93,2471,2426,2598.03,20113,7,Folad Kavian-a
20170920,3212.52,3213,2426,2598.03,7215,10,Folad Kavian-a
20170923,2602.04,2602,2426,2594.03,63000,8,Folad Kavian-a
20170924,2425.90,2450,2402,2592.03,27591,11,Folad Kavian-a
20170926,2011.58,2528,2012,2587.03,20400,9,Folad Kavian-a
20170927,2112.65,2419,2113,2585.02,11120,5,Folad Kavian-a
20171002,2062.62,2466,2063,2580.02,66690,6,Folad Kavian-a
20171003,2582.02,2602,2552,2580.02,5286,5,Folad Kavian-a
20171004,2101.65,2452,2102,2571.01,48578,15,Folad Kavian-a
20171007,2061.61,2122,2062,2569.01,10080,8,Folad Kavian-a
20171008,1801.41,1801,1373,2568.01,2746,4,Folad Kavian-a
20171009,1801.41,1801,1411,2556.00,25460,10,Folad Kavian-a
20180115,1610.00,1610,1610,2469.00,179220,30,Folad Kavian-a
20180117,1500.00,1500,1500,2458.00,22160,10,Folad Kavian-a
20180122,1500.00,1500,1500,2451.00,14046,7,Folad Kavian-a
20180124,1200.00,1200,1200,2444.00,10755,3,Folad Kavian-a
20180127,1251.00,1251,1251,2442.00,3192,4,Folad Kavian-a
20180129,1494.00,1494,1494,2439.00,7105,7,Folad Kavian-a
20180131,1200.00,1200,1200,2399.00,64975,16,Folad Kavian-a
20180203,1211.00,1250,1211,2398.00,1386,2,Folad Kavian-a
20180205,1200.00,1368,1200,2322.00,134273,18,Folad Kavian-a
20180207,1440.00,1440,1440,2313.00,19500,2,Folad Kavian-a
20180212,1480.00,1480,1350,2305.00,18957,8,Folad Kavian-a
20180214,1201.00,1201,1201,2274.00,55647,5,Folad Kavian-a
20180219,1200.00,1200,1200,2271.00,5574,4,Folad Kavian-a
20180224,1222.00,1222,1222,2257.00,26898,5,Folad Kavian-a
20180226,1300.00,1300,1300,2244.00,26577,2,Folad Kavian-a
20180228,1375.00,1375,1347,2220.00,56132,9,Folad Kavian-a
20180303,1300.00,1300,1300,2210.00,21716,3,Folad Kavian-a
20180305,1122.00,1122,1122,2209.00,2100,1,Folad Kavian-a
20180312,1223.00,1223,1223,2206.00,6210,6,Folad Kavian-a
20180314,1020.00,1020,1020,2205.00,1005,1,Folad Kavian-a
20180326,1200.00,1200,1200,2204.00,1000,1,Folad Kavian-a
20180404,1200.00,1210,1200,2180.00,47135,13,Folad Kavian-a
20180409,1289.00,1289,1289,2176.00,9530,5,Folad Kavian-a
20180421,999.00,1100,999,2171.00,8289,3,Folad Kavian-a
20180430,1011.00,1011,1011,2164.00,12044,3,Folad Kavian-a
20180509,995.00,995,995,2149.00,25000,3,Folad Kavian-a
20180512,996.00,996,996,2144.00,8316,4,Folad Kavian-a
20180514,1079.00,1079,1079,2096.00,89681,17,Folad Kavian-a
20180519,1177.00,1177,1011,2087.00,16620,4,Folad Kavian-a
20180526,950.00,950,950,2015.00,126391,10,Folad Kavian-a
20180528,1000.00,1000,1000,1940.00,147515,8,Folad Kavian-a
20180530,1133.00,1133,1133,1875.00,162091,16,Folad Kavian-a
20180611,1000.00,1000,1000,1875.00,450,1,Folad Kavian-a
20180613,920.00,920,920,1815.00,125382,6,Folad Kavian-a
20180618,951.00,951,951,1807.00,19500,1,Folad Kavian-a
20180620,1110.00,1110,1110,1796.00,31687,10,Folad Kavian-a
20180625,1105.00,1105,1105,1792.00,12900,2,Folad Kavian-a
20180702,912.00,1034,912,1767.00,62906,12,Folad Kavian-a
20180711,912.00,912,912,1727.00,92752,4,Folad Kavian-a
20180716,889.00,889,889,1727.00,1000,1,Folad Kavian-a
20180718,900.00,900,900,1719.00,18700,6,Folad Kavian-a
20180725,791.00,791,791,1719.00,485,1,Folad Kavian-a
20180728,1719.00,1719,1719,1719.00,1000,1,Folad Kavian-a
20180730,1063.00,1063,1063,1718.00,2200,1,Folad Kavian-a
20180806,900.00,900,900,1717.00,3500,2,Folad Kavian-a
20180811,1030.00,1030,1030,1712.00,13822,1,Folad Kavian-a
20180813,790.00,790,790,1690.00,46900,4,Folad Kavian-a
20180815,781.00,781,781,1685.00,10003,3,Folad Kavian-a
20180818,895.00,895,895,1673.00,31000,2,Folad Kavian-a
20180820,896.00,999,896,1601.00,204752,23,Folad Kavian-a
20180827,999.00,999,999,1567.00,114006,8,Folad Kavian-a
20180829,1100.00,1390,1100,1541.00,123917,32,Folad Kavian-a
20180901,1355.00,1355,1071,1274.00,215609,28,Folad Kavian-a
20180903,1274.00,1274,1150,1266.00,27819,11,Folad Kavian-a
20180905,1266.00,1266,1266,1266.00,1794,2,Folad Kavian-a
20180908,1188.00,1390,1188,1215.00,354669,40,Folad Kavian-a
20180912,2000.00,2000,2000,2000.00,1010015,119,Folad Kavian-a
20180915,3010.00,3131,3010,3039.00,623721,97,Folad Kavian-a
20180917,3039.00,3248,3039,3060.00,846325,135,Folad Kavian-a
20181008,3060.00,3060,2889,2891.00,30330,3,Folad Kavian-a
20181010,2887.00,2887,2887,2887.00,91000,12,Folad Kavian-a
20181015,2000.00,2000,2000,2000.00,90166,13,Folad Kavian-a
20181017,2000.00,2000,2000,2000.00,78467,26,Folad Kavian-a
20181020,2000.00,2400,2000,2162.00,65388,17,Folad Kavian-a
20181022,2162.00,2360,2162,2233.00,51007,14,Folad Kavian-a
20181024,2360.00,2500,2360,2383.00,300919,91,Folad Kavian-a
20181027,2500.00,2700,2500,2602.00,129899,38,Folad Kavian-a
20181029,2900.00,3000,2900,2924.00,383849,91,Folad Kavian-a
20181031,3030.00,3145,3030,3099.00,449796,62,Folad Kavian-a
20181103,3099.00,3099,2900,3057.00,101126,36,Folad Kavian-a
20181105,2900.00,2900,2900,2900.00,124696,12,Folad Kavian-a
20181110,2997.00,2997,2997,2997.00,78525,8,Folad Kavian-a
20181112,2950.00,2950,2897,2921.00,54716,22,Folad Kavian-a
20181114,2500.00,2500,2500,2500.00,23044,8,Folad Kavian-a
20181117,2500.00,2500,2499,2500.00,62801,26,Folad Kavian-a
20181119,2500.00,2500,2500,2500.00,56308,18,Folad Kavian-a
20181121,2499.00,2499,2499,2499.00,10500,7,Folad Kavian-a
20181124,2500.00,2500,2500,2500.00,18571,14,Folad Kavian-a
20181128,2496.00,2496,2496,2496.00,219121,29,Folad Kavian-a
20181201,2496.00,2496,2496,2496.00,803,2,Folad Kavian-a
20181203,2496.00,2496,2496,2496.00,164032,19,Folad Kavian-a
20181205,2496.00,2900,2496,2697.00,146760,41,Folad Kavian-a
