<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20151010,1933.00,1933,1855,1895.00,405382,296,قاسمح-ت
20151011,1804.00,1858,1802,1819.00,356975,400,قاسمح-ت
20151012,1827.00,1860,1813,1827.00,151281,160,قاسمح-ت
20151013,1810.00,1900,1807,1858.00,127828,150,قاسمح-ت
20151014,1936.00,1936,1870,1905.00,98011,105,قاسمح-ت
20151017,1918.00,2000,1876,1962.00,225714,150,قاسمح-ت
20151018,1999.00,2000,1880,1952.00,253253,112,قاسمح-ت
20151019,1920.00,1920,1883,1897.00,100985,43,قاسمح-ت
20151020,1940.00,1940,1850,1873.00,226362,110,قاسمح-ت
20151021,1818.00,1898,1816,1829.00,49682,24,قاسمح-ت
20151025,1814.00,1814,1767,1790.00,21960,6,قاسمح-ت
20151213,1500.00,1503,1500,1500.00,1562,9,قاسمح-ت
20151214,1548.00,1548,1436,1464.00,462616,274,قاسمح-ت
20151215,1426.00,1480,1400,1430.00,326089,184,قاسمح-ت
20151216,1429.00,1488,1372,1403.00,376332,142,قاسمح-ت
20151219,1333.00,1355,1333,1334.00,603181,198,قاسمح-ت
20151220,1288.00,1309,1268,1280.00,570983,289,قاسمح-ت
20160426,4070.00,4070,4070,4070.00,500000,11,قاسمح-ت
20160430,4070.00,4070,4070,4070.00,200000,4,قاسمح-ت
20160501,4070.00,4070,4070,4070.00,300000,7,قاسمح-ت
20160502,4070.00,4070,4070,4070.00,500000,10,قاسمح-ت
20160503,4070.00,4100,4070,4071.00,523177,18,قاسمح-ت
20160504,4000.00,4000,4000,4000.00,1863841,51,قاسمح-ت
