<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20190904,7900.00,7900,7900,7900.00,99999379,645144,General Mechanic-a
20190907,8295.00,8295,8295,8295.00,95208,671,General Mechanic-a
20190908,8709.00,8709,8709,8709.00,136736,965,General Mechanic-a
20190911,9144.00,9144,9144,9144.00,183791,1272,General Mechanic-a
20190914,9601.00,9601,9601,9601.00,330061,2259,General Mechanic-a
20190915,10081.00,10081,10081,10081.00,356956,2444,General Mechanic-a
20190916,10585.00,10585,10585,10585.00,341246,2320,General Mechanic-a
20190917,11114.00,11114,11114,11114.00,389958,2664,General Mechanic-a
20190918,11669.00,11669,11669,11669.00,673764,4591,General Mechanic-a
20190921,12252.00,12252,12252,12252.00,131355,865,General Mechanic-a
20190924,12864.00,13507,12864,13374.00,1925403,12887,General Mechanic-a
20190925,14042.00,14042.00,14042.00,14042.00,1897029,13397,General Mechanic-a
