<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20010425,4946.58,4947,4947,4946.58,1000,1,Hegmatan Sugar-a
20010812,5193.91,5194,5194,5193.91,500,2,Hegmatan Sugar-a
20010904,5453.25,5453,5453,5453.25,500,1,Hegmatan Sugar-a
20010905,5453.25,5453,5453,5453.25,250,1,Hegmatan Sugar-a
20010908,5453.25,5453,5453,5453.25,150,1,Hegmatan Sugar-a
20010916,5725.31,5725,5725,5725.31,2000,1,Hegmatan Sugar-a
20011007,5722.48,5725,5722,5725.31,6550,7,Hegmatan Sugar-a
20011008,5725.31,5725,5725,5725.31,65,1,Hegmatan Sugar-a
20011010,6011.51,6012,6012,6011.51,500,1,Hegmatan Sugar-a
20011111,6311.83,6312,6312,6311.83,1000,1,Hegmatan Sugar-a
20011127,6627.00,6627,6627,6627.00,1000,1,Hegmatan Sugar-a
20021124,2861.95,2862,2862,2861.95,1000,1,Hegmatan Sugar-a
20021125,2826.62,2827,2827,2826.62,10000,1,Hegmatan Sugar-a
20021130,2826.62,2827,2827,2826.62,2750,1,Hegmatan Sugar-a
20021201,2826.62,2827,2827,2826.62,5145,3,Hegmatan Sugar-a
20021202,2826.62,2968,2827,2967.95,2200,2,Hegmatan Sugar-a
20021203,3038.61,3039,3039,3038.61,16683,11,Hegmatan Sugar-a
20021207,3109.28,3109,3109,3109.28,4187,3,Hegmatan Sugar-a
20021208,3109.28,3109,3109,3109.28,813,1,Hegmatan Sugar-a
20021209,3073.94,3074,3074,3073.94,2900,1,Hegmatan Sugar-a
20021210,3073.94,3074,3074,3073.94,565,2,Hegmatan Sugar-a
20021216,3073.94,3074,3074,3073.94,200,1,Hegmatan Sugar-a
20021217,3073.94,3074,3074,3073.94,100,1,Hegmatan Sugar-a
20021218,3073.94,3074,3074,3073.94,228,1,Hegmatan Sugar-a
20021221,3073.94,3074,3074,3073.94,250,1,Hegmatan Sugar-a
20021224,3072.53,3074,3073,3073.94,746,3,Hegmatan Sugar-a
20030106,3227.29,3227,3227,3227.29,1000,1,Hegmatan Sugar-a
20030111,3388.41,3388,3388,3388.41,870,1,Hegmatan Sugar-a
20030113,3557.30,3557,3557,3557.30,200,1,Hegmatan Sugar-a
20030203,2826.62,2827,2827,2826.62,1000,1,Hegmatan Sugar-a
20030209,2967.95,2968,2968,2967.95,1000,1,Hegmatan Sugar-a
20030308,3116.34,3116,3116,3116.34,1000,1,Hegmatan Sugar-a
20030309,3271.81,3272,3272,3271.81,813,1,Hegmatan Sugar-a
20030318,3435.04,3435,3435,3435.04,765,1,Hegmatan Sugar-a
20030319,3606.06,3606,3606,3606.06,3000,2,Hegmatan Sugar-a
20030428,3606.76,3607,3607,3606.76,222,2,Hegmatan Sugar-a
20030517,3606.76,3607,3607,3606.76,5425,4,Hegmatan Sugar-a
20030521,3603.94,3604,3604,3603.94,50,1,Hegmatan Sugar-a
20030525,3603.23,3603,3603,3603.23,500,1,Hegmatan Sugar-a
20030608,3598.28,3675,3598,3674.60,9321,6,Hegmatan Sugar-a
20030624,3667.53,3710,3668,3709.93,7190,4,Hegmatan Sugar-a
20030629,3886.60,3887,3887,3886.60,2000,2,Hegmatan Sugar-a
20030903,3884.48,3887,3884,3885.89,13600,6,Hegmatan Sugar-a
20030908,3885.89,3886,3886,3885.89,100,1,Hegmatan Sugar-a
20030921,3885.89,3886,3710,3750.92,7910,5,Hegmatan Sugar-a
20030922,3709.93,3710,3639,3655.52,9010,9,Hegmatan Sugar-a
20031004,3660.47,3660,3656,3655.52,142,2,Hegmatan Sugar-a
20031007,3837.84,3838,3736,3736.08,4010,3,Hegmatan Sugar-a
20031011,3837.84,3838,3741,3741.03,510,2,Hegmatan Sugar-a
20031018,3863.98,3864,3741,3741.03,43,2,Hegmatan Sugar-a
20031025,3861.16,3880,3861,3874.58,10310,9,Hegmatan Sugar-a
20031026,3874.58,3875,3875,3874.58,1600,1,Hegmatan Sugar-a
20031028,3992.59,3993,3873,3908.50,32510,21,Hegmatan Sugar-a
20031209,3955.85,4028,3956,4007.43,12138,7,Hegmatan Sugar-a
20031230,4007.43,4007,4007,4007.43,10000,2,Hegmatan Sugar-a
20031231,4007.43,4007,4007,4007.43,1472,1,Hegmatan Sugar-a
20040106,4007.43,4007,4007,4007.43,7500,3,Hegmatan Sugar-a
20040110,4007.43,4007,4007,4007.43,10000,1,Hegmatan Sugar-a
20040114,4007.43,4007,4007,4007.43,5250,1,Hegmatan Sugar-a
20040128,3109.28,3109,3109,3109.28,1000,1,Hegmatan Sugar-a
20040218,2967.24,3107,2967,3107.16,110,2,Hegmatan Sugar-a
20040307,2952.40,3094,2952,3094.44,720,2,Hegmatan Sugar-a
20040329,2940.39,2940,2940,2940.39,9100,1,Hegmatan Sugar-a
20040410,2793.40,2818,2793,2818.14,10010,3,Hegmatan Sugar-a
20040424,2677.51,2678,2678,2677.51,21530,3,Hegmatan Sugar-a
20040503,2677.51,2678,2678,2677.51,710,1,Hegmatan Sugar-a
20040511,2721.32,2721,2721,2720.62,12540,3,Hegmatan Sugar-a
20040516,2856.30,2856,2796,2796.23,6760,2,Hegmatan Sugar-a
20040705,2796.23,2796,2796,2796.23,1000,1,Hegmatan Sugar-a
20040719,2796.94,2797,2796,2796.23,360,2,Hegmatan Sugar-a
20040725,2796.23,2796,2796,2796.23,500,1,Hegmatan Sugar-a
20040726,2935.44,2935,2911,2911.41,10010,2,Hegmatan Sugar-a
20040731,2911.41,2911,2911,2911.41,11600,2,Hegmatan Sugar-a
20040801,2911.41,2911,2911,2911.41,500,1,Hegmatan Sugar-a
20040803,2911.41,2911,2911,2911.41,500,1,Hegmatan Sugar-a
20040807,2912.12,2912,2911,2911.41,510,2,Hegmatan Sugar-a
20040809,3056.99,3057,2917,2917.07,510,2,Hegmatan Sugar-a
20040811,2918.48,2918,2917,2917.07,260,2,Hegmatan Sugar-a
20040814,2918.48,2918,2917,2917.07,510,2,Hegmatan Sugar-a
20040815,2917.07,2917,2917,2917.07,500,1,Hegmatan Sugar-a
20040821,2917.07,2917,2917,2917.07,500,1,Hegmatan Sugar-a
20040824,2917.07,2917,2917,2917.07,500,1,Hegmatan Sugar-a
20050216,2614.62,2615,2615,2614.62,1000,1,Hegmatan Sugar-a
20050607,2649.95,2650,2617,2617.45,1010,2,Hegmatan Sugar-a
20050608,2617.45,2617,2617,2617.45,1000,1,Hegmatan Sugar-a
20050611,2649.95,2650,2620,2619.57,1010,2,Hegmatan Sugar-a
20050614,2671.15,2671,2624,2623.81,1010,2,Hegmatan Sugar-a
20050615,2657.02,2721,2639,2639.35,3010,4,Hegmatan Sugar-a
20050618,2770.79,2771,2735,2735.46,8860,4,Hegmatan Sugar-a
20050620,2826.62,2827,2743,2742.52,1010,2,Hegmatan Sugar-a
20050706,2826.62,2862,2767,2766.55,3060,4,Hegmatan Sugar-a
20050924,3533.27,3533,3533,3533.27,1000,1,Hegmatan Sugar-a
20051016,3533.27,3710,3533,3562.24,11485010,7,Hegmatan Sugar-a
20051017,3710.64,3711,3568,3567.90,510,3,Hegmatan Sugar-a
20051018,3745.97,3746,3593,3592.63,1710,3,Hegmatan Sugar-a
20051022,3674.60,3675,3593,3592.63,20,2,Hegmatan Sugar-a
20060726,2263.41,2473,2263,2299.45,74015,27,Hegmatan Sugar-a
20060729,2345.38,2345,2345,2345.38,117000,28,Hegmatan Sugar-a
20060730,2392.02,2392,2392,2392.02,465900,100,Hegmatan Sugar-a
20060731,2438.66,2439,2388,2432.30,16417,11,Hegmatan Sugar-a
20060801,2384.25,2384,2384,2384.25,35180,12,Hegmatan Sugar-a
20060802,2336.90,2337,2337,2336.90,26010,14,Hegmatan Sugar-a
20060805,2336.90,2337,2299,2327.01,7500,7,Hegmatan Sugar-a
20060806,2336.90,2373,2335,2334.78,2527,5,Hegmatan Sugar-a
20060807,2381.42,2381,2381,2381.42,24000,10,Hegmatan Sugar-a
20060809,2428.06,2429,2428,2428.06,63353,23,Hegmatan Sugar-a
20060812,2474.70,2475,2474,2474.70,92510,28,Hegmatan Sugar-a
20060813,2524.17,2524,2524,2524.17,79643,23,Hegmatan Sugar-a
20060814,2574.34,2574,2574,2574.34,35000,5,Hegmatan Sugar-a
20060815,2625.22,2625,2625,2625.22,123280,38,Hegmatan Sugar-a
20060816,2677.51,2678,2670,2674.69,73689,31,Hegmatan Sugar-a
20060819,2674.69,2675,2622,2647.13,22690,9,Hegmatan Sugar-a
20060820,2647.13,2647,2644,2646.42,10771,8,Hegmatan Sugar-a
20060821,2646.42,2646,2594,2642.89,15488,8,Hegmatan Sugar-a
20060823,2591.30,2591,2591,2590.59,14000,5,Hegmatan Sugar-a
20060826,2539.71,2540,2539,2539.01,23930,8,Hegmatan Sugar-a
20060827,2488.84,2521,2489,2521.34,4184,6,Hegmatan Sugar-a
20060828,2471.17,2572,2471,2493.78,45069,25,Hegmatan Sugar-a
20060829,2543.25,2543,2499,2531.94,12550,7,Hegmatan Sugar-a
20060830,2581.41,2581,2581,2580.70,24009,12,Hegmatan Sugar-a
20060902,2632.29,2632,2631,2631.58,31000,14,Hegmatan Sugar-a
20060903,2683.87,2684,2632,2657.73,59436,29,Hegmatan Sugar-a
20060904,2706.48,2711,2644,2682.46,33422,14,Hegmatan Sugar-a
20060905,2735.46,2735,2632,2669.74,136629,41,Hegmatan Sugar-a
20060906,2722.74,2723,2710,2718.50,62943,53,Hegmatan Sugar-a
20060910,2772.20,2772,2714,2762.31,105837,46,Hegmatan Sugar-a
20060911,2817.43,2817,2815,2816.72,190537,71,Hegmatan Sugar-a
20060912,2819.55,2873,2764,2844.28,139878,72,Hegmatan Sugar-a
20060913,2861.95,2901,2849,2878.20,105942,57,Hegmatan Sugar-a
20060917,2935.44,2935,2906,2906.47,5966,3,Hegmatan Sugar-a
20060918,2964.41,2964,2935,2951.69,70325,33,Hegmatan Sugar-a
20060919,2893.04,2893,2893,2893.04,51960,23,Hegmatan Sugar-a
20060920,2835.80,2871,2836,2871.14,4584,6,Hegmatan Sugar-a
20060923,2813.90,2868,2814,2868.31,507,2,Hegmatan Sugar-a
20060925,2811.07,2811,2811,2811.07,100247,36,Hegmatan Sugar-a
20060926,2755.24,2755,2755,2755.24,12000,3,Hegmatan Sugar-a
20060927,2700.83,2709,2701,2708.60,20400,10,Hegmatan Sugar-a
20060930,2654.90,2655,2655,2654.90,24000,8,Hegmatan Sugar-a
20061001,2602.61,2608,2602,2603.31,114790,49,Hegmatan Sugar-a
20061002,2599.07,2655,2599,2620.27,45026,18,Hegmatan Sugar-a
20061003,2672.57,2673,2669,2671.15,68420,24,Hegmatan Sugar-a
20061004,2684.58,2721,2633,2678.93,8656,9,Hegmatan Sugar-a
20061007,2678.93,2679,2629,2648.54,21322,15,Hegmatan Sugar-a
20061008,2614.62,2646,2615,2645.71,2010,2,Hegmatan Sugar-a
20061009,2593.42,2598,2593,2597.66,21937,10,Hegmatan Sugar-a
20061010,2551.02,2552,2546,2548.90,34010,12,Hegmatan Sugar-a
20070124,2224.55,2225,1957,2112.19,85510,32,Hegmatan Sugar-a
20070127,2070.50,2070,2070,2070.50,24664,10,Hegmatan Sugar-a
20070128,2029.51,2030,2030,2029.51,24100,4,Hegmatan Sugar-a
20070131,1989.23,1989,1989,1989.23,24100,3,Hegmatan Sugar-a
20070203,1949.66,1950,1950,1949.66,24100,3,Hegmatan Sugar-a
20070204,1910.79,1911,1911,1910.79,24100,3,Hegmatan Sugar-a
20070205,1872.63,1873,1873,1872.63,24101,6,Hegmatan Sugar-a
20070206,1835.18,1910,1835,1857.79,124363,35,Hegmatan Sugar-a
20070207,1894.54,1895,1861,1860.62,2010,2,Hegmatan Sugar-a
20070210,1897.37,1897,1897,1897.37,24052,14,Hegmatan Sugar-a
20070212,1897.37,1897,1897,1897.37,6440,3,Hegmatan Sugar-a
20070214,1894.54,1896,1873,1895.95,1540,3,Hegmatan Sugar-a
20070217,1859.91,1908,1860,1886.77,11240,7,Hegmatan Sugar-a
20070218,1886.77,1887,1887,1886.77,1489,1,Hegmatan Sugar-a
