<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20131021,584.23,584,584,584.23,160000,12,وقوام-ت
20131123,584.23,584,584,584.23,1800000,180,وقوام-ت
20131124,584.23,584,584,584.23,10000,1,وقوام-ت
20131127,584.23,584,584,584.23,10000,1,وقوام-ت
20131203,584.23,584,584,584.23,10000,1,وقوام-ت
20131208,584.23,584,584,584.23,10000,1,وقوام-ت
20140122,623.95,624,624,623.95,10000,1,وقوام-ت
20140127,701.07,701,701,701.07,10000,1,وقوام-ت
20140129,740.02,740,740,740.02,10000,1,وقوام-ت
20140201,701.07,701,701,701.07,4000,1,وقوام-ت
20140203,701.07,701,701,701.07,26000,3,وقوام-ت
20140204,666.41,740,663,697.18,69980,7,وقوام-ت
20140210,701.07,705,701,703.80,14850,2,وقوام-ت
20140216,704.97,705,701,704.19,40000,4,وقوام-ت
20140217,704.97,705,701,703.02,20000,2,وقوام-ت
20140219,706.13,706,706,706.13,10000,1,وقوام-ت
20140222,697.57,708,698,703.02,20000,2,وقوام-ت
20140225,720.54,721,701,708.08,248560,13,وقوام-ت
20140226,709.64,721,710,712.76,14000,2,وقوام-ت
20140304,710.42,710,710,710.42,20000,2,وقوام-ت
20140305,778.97,779,779,778.97,4970,1,وقوام-ت
20140309,778.97,779,712,718.60,11000,2,وقوام-ت
20140310,715.87,716,714,715.09,20000,2,وقوام-ت
20140312,718.99,719,719,718.99,12000,1,وقوام-ت
20140317,740.02,759,701,720.16,50200,6,وقوام-ت
20140318,759.49,759,759,759.10,168360,3,وقوام-ت
20140319,759.88,760,760,759.88,20000,2,وقوام-ت
20140325,761.83,762,762,761.83,10000,1,وقوام-ت
20140405,778.97,779,779,778.97,34030,8,وقوام-ت
20140407,778.97,779,779,778.97,10000,1,وقوام-ت
20140412,778.97,779,779,778.97,10000,1,وقوام-ت
20140414,762.22,762,762,762.22,10000,1,وقوام-ت
20140415,761.44,779,759,763.39,167970,16,وقوام-ت
20140416,778.97,779,759,768.84,1895,3,وقوام-ت
20140421,724.44,724,724,724.44,11000,2,وقوام-ت
20140423,724.44,724,724,724.44,4000,1,وقوام-ت
20140426,724.44,724,724,724.44,10000,1,وقوام-ت
20140427,724.44,724,724,724.44,200,1,وقوام-ت
20140429,724.44,896,724,724.83,32100,6,وقوام-ت
20140430,725.22,725,725,725.22,10000,1,وقوام-ت
