<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20010515,284.15,284,284,284.15,1166,2,Khoy Sugar Co.-a
20010520,284.15,284,284,284.15,14520,3,Khoy Sugar Co.-a
20010925,284.15,284,284,284.15,88,3,Khoy Sugar Co.-a
20011218,279.49,294,279,293.51,669,4,Khoy Sugar Co.-a
20011219,293.51,294,294,293.51,196,1,Khoy Sugar Co.-a
20020319,256.20,256,256,256.20,200,1,Khoy Sugar Co.-a
20020722,269.01,269,269,269.01,288,1,Khoy Sugar Co.-a
20021102,270.18,270,270,270.18,314,3,Khoy Sugar Co.-a
20030108,135.09,135,135,135.09,800,1,Khoy Sugar Co.-a
20030119,135.09,135,135,135.09,59,1,Khoy Sugar Co.-a
20030317,135.13,135,135,135.13,196642,1,Khoy Sugar Co.-a
20030413,135.18,135,135,135.18,50,1,Khoy Sugar Co.-a
20030624,139.75,140,140,139.75,118,1,Khoy Sugar Co.-a
20030702,146.73,147,147,146.73,2350,13,Khoy Sugar Co.-a
20030727,154.05,154,154,154.05,42322,21,Khoy Sugar Co.-a
20030827,161.73,200,162,161.73,244566,9,Khoy Sugar Co.-a
20030902,169.79,170,170,169.79,62364,9,Khoy Sugar Co.-a
20030916,170.02,200,170,169.79,171148,5,Khoy Sugar Co.-a
20030917,169.79,170,170,169.79,100,1,Khoy Sugar Co.-a
20030929,161.31,161,161,161.31,9404,2,Khoy Sugar Co.-a
20031008,161.31,161,161,161.31,4066,1,Khoy Sugar Co.-a
20031014,169.37,169,165,165.18,1760,6,Khoy Sugar Co.-a
20031101,173.42,173,173,173.42,10000,2,Khoy Sugar Co.-a
20031102,173.42,173,173,173.42,21692,3,Khoy Sugar Co.-a
20031103,173.42,173,173,173.42,165000,3,Khoy Sugar Co.-a
20031109,182.09,182,182,182.09,34438,5,Khoy Sugar Co.-a
20031207,182.60,183,183,182.60,542,3,Khoy Sugar Co.-a
20031208,191.73,192,192,191.73,699996,93,Khoy Sugar Co.-a
20031229,201.28,201,198,197.97,2386,2,Khoy Sugar Co.-a
20040106,207.85,208,205,205.15,2650,2,Khoy Sugar Co.-a
20040112,215.40,215,207,206.54,510,2,Khoy Sugar Co.-a
20040121,216.84,217,217,216.84,3011952,392,Khoy Sugar Co.-a
20040317,227.65,228,133,219.82,30513,145,Khoy Sugar Co.-a
20040508,442.53,443,443,442.53,1500,2,Khoy Sugar Co.-a
20040510,464.66,465,447,447.09,1010,2,Khoy Sugar Co.-a
20040511,464.70,465,465,464.70,27140,4,Khoy Sugar Co.-a
20040517,487.90,488,466,465.82,246,3,Khoy Sugar Co.-a
20040519,489.11,489,479,479.14,2774,2,Khoy Sugar Co.-a
20040801,489.16,489,489,489.11,6736,4,Khoy Sugar Co.-a
