<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20040829,95.27,95,95,95.27,1570000,2708,Gol-E-Gohar.-a
20040904,100.03,100,100,100.03,1000000,849,Gol-E-Gohar.-a
20040905,105.04,105,56,105.04,2708823,3887,Gol-E-Gohar.-a
20040907,110.28,110,110,110.28,2980000,996,Gol-E-Gohar.-a
20040908,115.79,116,116,115.79,1392229,409,Gol-E-Gohar.-a
20040912,121.58,122,122,121.58,593500,235,Gol-E-Gohar.-a
20040915,127.66,128,122,122.49,52962,52,Gol-E-Gohar.-a
20040918,116.37,121,116,120.66,105191,99,Gol-E-Gohar.-a
20040919,114.63,121,115,120.57,4935,11,Gol-E-Gohar.-a
20040920,114.55,117,115,117.38,186015,50,Gol-E-Gohar.-a
20040921,111.51,114,112,113.89,209243,61,Gol-E-Gohar.-a
20040922,111.47,112,108,109.34,858755,1002,Gol-E-Gohar.-a
20040925,109.16,109,106,108.90,147584,171,Gol-E-Gohar.-a
20040926,103.62,109,104,106.23,285239,234,Gol-E-Gohar.-a
20040927,107.14,107,105,106.09,188904,161,Gol-E-Gohar.-a
20040928,104.84,106,103,105.46,4999023,136,Gol-E-Gohar.-a
20040929,102.42,106,102,105.22,88103,90,Gol-E-Gohar.-a
20041002,100.03,105,100,104.68,43703,41,Gol-E-Gohar.-a
20041003,99.45,102,99,101.28,268317,194,Gol-E-Gohar.-a
20041004,99.23,100,99,100.41,163128,131,Gol-E-Gohar.-a
20041005,98.68,99,95,99.18,119388,95,Gol-E-Gohar.-a
20041006,95.29,99,95,98.71,59341,41,Gol-E-Gohar.-a
20041009,95.27,98,94,98.01,70234,49,Gol-E-Gohar.-a
20041010,95.18,97,93,97.23,94323,45,Gol-E-Gohar.-a
20041011,94.15,96,92,95.89,148782,72,Gol-E-Gohar.-a
20041012,92.89,96,91,95.53,30987,31,Gol-E-Gohar.-a
20041013,93.68,95,91,94.75,79430,47,Gol-E-Gohar.-a
20041016,90.02,92,90,91.78,227270,87,Gol-E-Gohar.-a
20041017,87.33,91,87,90.74,79625,74,Gol-E-Gohar.-a
20041018,86.20,89,86,89.46,100374,74,Gol-E-Gohar.-a
20041019,84.99,89,85,89.45,510,2,Gol-E-Gohar.-a
20041020,84.98,89,85,89.45,473,2,Gol-E-Gohar.-a
20041023,84.98,88,85,88.44,79560,75,Gol-E-Gohar.-a
20041024,86.51,88,84,87.59,67572,45,Gol-E-Gohar.-a
20041025,86.49,87,83,87.28,41000,37,Gol-E-Gohar.-a
