<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20010331,192.34,192,192,192.34,775
20010403,189.32,189,189,189.32,2188
20010408,189.40,189,189,189.40,7055
20010410,189.32,189,189,189.32,570
20010411,193.11,193,193,193.19,7436
20010414,193.11,193,193,193.11,2606
20010417,192.96,193,193,193.19,4036
20010418,193.50,193,193,193.50,788
20010421,193.57,194,194,193.81,5936
20010422,194.04,194,194,194.04,271
20010423,194.19,194,194,194.19,2000
20010425,195.58,196,196,195.74,1894
20010428,195.81,199,196,198.60,2000
20010430,200.14,200,200,200.14,7944
20010501,200.92,205,201,204.78,3940
20010502,204.78,205,205,204.78,616
20010505,208.64,209,209,208.64,1852
20010507,216.37,216,216,216.37,5000
20010508,216.37,216,216,216.37,7182
20010509,216.37,216,216,216.37,3818
20010512,216.37,216,216,216.37,920
20010515,208.64,209,209,208.64,4000
20010617,200.92,208,201,207.72,6750
20010618,200.92,201,201,200.92,7000
20010619,197.05,201,191,200.92,26241
20010623,200.84,201,201,200.92,10000
20010624,200.76,201,201,200.76,1527
20010627,200.61,201,196,195.51,2162
20010708,192.18,201,192,200.45,20000
20010714,197.75,198,197,196.90,1400
20010819,180.82,181,181,180.82,818
20010821,180.82,181,181,180.82,400
20010829,180.36,180,180,180.36,700
20010902,177.73,178,178,177.73,1000
20010910,176.88,177,177,176.96,519
20010911,176.96,177,177,176.96,922
20011002,172.94,173,172,172.32,272
20011008,170.70,171,171,170.78,648
20011022,167.38,167,167,167.38,1954
20011023,162.28,162,162,162.28,2046
20011028,161.27,161,161,161.27,100
20011030,161.27,161,161,161.27,15
20011209,153.24,153,153,153.24,1500
20011211,145.59,146,146,145.59,7938
20011212,138.32,146,138,145.59,60035
20011219,152.85,153,153,152.85,272
20011222,153.24,159,153,159.42,44022
20011223,160.89,161,161,160.89,878
20011224,161.27,161,161,161.20,372
20011225,169.23,169,169,169.23,1118
20011229,177.66,178,178,177.66,1550
20011230,186.46,186,186,186.46,30537
20011231,186.54,187,186,186.46,13364
20020101,186.46,187,186,186.46,9796
20020102,181.60,182,177,177.35,1422
20020105,168.54,169,169,168.54,1638
