<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20190413,2000.00,2000,1850,1924.00,28178331,3201,خگسترح-ت
20190414,1902.00,2116,1902,2068.00,10306664,1033,خگسترح-ت
20190415,2274.00,2274,2274,2274.00,262715,27,خگسترح-ت
20190417,2500.00,2750,2416,2549.00,32999966,2988,خگسترح-ت
20190420,2699.00,2803,2699,2798.00,9852146,593,خگسترح-ت
20190422,2899.00,2999,2630,2816.00,31866453,2570,خگسترح-ت
20190423,2663.00,2909,2663,2807.00,16543297,1611,خگسترح-ت
20190424,2767.00,2886,2559,2712.00,17058929,1640,خگسترح-ت
20190427,2760.00,2825,2560,2643.00,9681062,1142,خگسترح-ت
20190428,2579.00,2685,2451,2560.00,7757673,1042,خگسترح-ت
20190429,2580.00,2808,2560,2747.00,15428455,1402,خگسترح-ت
20190430,2818.00,2950,2674,2790.00,12524336,1088,خگسترح-ت
20190501,2707.00,2869,2706,2789.00,9828277,851,خگسترح-ت
20190504,2805.00,2990,2783,2918.00,11803678,1185,خگسترح-ت
20190505,2969.00,3099,2755,2907.00,14626671,1230,خگسترح-ت
20190506,2751.00,2927,2617,2692.00,9661407,923,خگسترح-ت
20190507,2650.00,2650,2423,2432.00,10884289,776,خگسترح-ت
20190508,2401.00,2551,2334,2436.00,9790599,930,خگسترح-ت
20190511,2537.00,2585,2222,2415.00,6188204,581,خگسترح-ت
20190512,2399.00,2399,2174,2223.00,7129405,674,خگسترح-ت
20190513,2250.00,2387,2125,2281.00,8973095,993,خگسترح-ت
20190514,2269.00,2509,2269,2475.00,13276228,1261,خگسترح-ت
20190515,2550.00,2661,2333,2514.00,13997940,1280,خگسترح-ت
20190518,2610.00,2636,2500,2584.00,11876142,1059,خگسترح-ت
20190519,2500.00,2600,2410,2479.00,13015042,1112,خگسترح-ت
20190520,2411.00,2411,2260,2305.00,7807506,759,خگسترح-ت
20190521,2380.00,2495,2351,2425.00,5042520,554,خگسترح-ت
20190522,2426.00,2478,2321,2376.00,5091647,554,خگسترح-ت
20190525,2376.00,2376,2171,2264.00,4326669,554,خگسترح-ت
20190526,2226.00,2360,2226,2280.00,7541919,830,خگسترح-ت
20190528,2346.00,2346,2216,2275.00,10094701,1074,خگسترح-ت
20190529,2300.00,2502,2270,2412.00,18244364,1391,خگسترح-ت
20190601,2444.00,2444,2250,2292.00,8932758,848,خگسترح-ت
20190602,2300.00,2397,2275,2324.00,14820362,1243,خگسترح-ت
20190603,2360.00,2487,2350,2426.00,16611046,1378,خگسترح-ت
20190608,2403.00,2668,2350,2614.00,27029196,1918,خگسترح-ت
20190609,2830.00,2875,2763,2858.00,30053890,1562,خگسترح-ت
