<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20190501,1351.00,1351,1351,1351.00,3698952,408,Tourism Bank-a
20190504,1400.00,1440,1280,1357.00,13603095,1303,Tourism Bank-a
20190505,1320.00,1399,1301,1328.00,11205118,849,Tourism Bank-a
20190506,1301.00,1330,1196,1230.00,8910935,708,Tourism Bank-a
20190507,1150.00,1156,1107,1112.00,7406276,554,Tourism Bank-a
20190508,1081.00,1223,1081,1211.00,6125557,537,Tourism Bank-a
20190511,1245.00,1310,1219,1275.00,3035063,323,Tourism Bank-a
20190512,1222.00,1298,1167,1237.00,1292717,202,Tourism Bank-a
20190513,1250.00,1295,1222,1247.00,1496651,194,Tourism Bank-a
20190514,1270.00,1300,1123,1269.00,5334730,509,Tourism Bank-a
20190515,1279.00,1279,1203,1234.00,1162069,157,Tourism Bank-a
20190518,1277.00,1277,1172,1205.00,4623981,491,Tourism Bank-a
20190519,1197.00,1218,1159,1187.00,2281256,232,Tourism Bank-a
20190520,1199.00,1200,1140,1162.00,2297611,263,Tourism Bank-a
20190521,1237.00,1267,1183,1238.00,2765308,252,Tourism Bank-a
20190522,1250.00,1250,1190,1207.00,1746758,183,Tourism Bank-a
20190525,1220.00,1220,1120,1160.00,2295358,201,Tourism Bank-a
20190526,1197.00,1197,1150,1169.00,1559167,173,Tourism Bank-a
20190528,1196.00,1203,1170,1192.00,2185733,236,Tourism Bank-a
20190529,1199.00,1199,1170,1182.00,1343482,171,Tourism Bank-a
20190601,1198.00,1200,1152,1194.00,698312,98,Tourism Bank-a
20190602,1200.00,1210,1165,1187.00,2827385,302,Tourism Bank-a
20190603,1190.00,1220,1170,1196.00,2817068,262,Tourism Bank-a
20190608,1171.00,1220,1171,1195.00,1335551,133,Tourism Bank-a
20190609,1212.00,1249,1203,1231.00,1007244,150,Tourism Bank-a
20190610,1247.00,1247,1180,1198.00,5849286,486,Tourism Bank-a
20190611,1200.00,1307,1180,1265.00,13028399,964,Tourism Bank-a
20190612,1278.00,1346,1240,1298.00,19967456,1045,Tourism Bank-a
20190617,1290.00,1290,1290,1290.00,149105,36,Tourism Bank-a
20190618,1300.00,1330,1240,1282.00,4288172,365,Tourism Bank-a
20190619,1304.00,1304,1221,1254.00,1687742,165,Tourism Bank-a
20190622,1204.00,1249,1200,1214.00,1080433,113,Tourism Bank-a
20190623,1210.00,1270,1210,1235.00,1248361,150,Tourism Bank-a
20190624,1248.00,1266,1221,1240.00,2356266,247,Tourism Bank-a
20190625,1250.00,1364,1240,1311.00,8214900,561,Tourism Bank-a
20190626,1408.00,1442,1370,1427.00,2793108,246,Tourism Bank-a
20190630,1569.00,1569,1569,1569.00,1852109,103,Tourism Bank-a
20190701,1670.00,1725,1600,1672.00,23618879,1478,Tourism Bank-a
20190702,1780.00,1839,1762,1836.00,16744306,787,Tourism Bank-a
20190703,2019.00,2019,1840,1969.00,33103642,2035,Tourism Bank-a
20190706,2090.00,2090,2023,2080.00,488316,37,Tourism Bank-a
20190714,2111.00,2111,2111,2111.00,1218548,55,Tourism Bank-a
20190715,2050.00,2070,1900,1982.00,7698167,723,Tourism Bank-a
20190716,1784.00,1850,1784,1786.00,7305880,360,Tourism Bank-a
20190717,1640.00,1772,1608,1674.00,29046549,2163,Tourism Bank-a
20190720,1701.00,1774,1640,1705.00,8038167,758,Tourism Bank-a
20190807,1875.00,2060,1875,1948.00,4450232,271,Tourism Bank-a
20190810,1890.00,1985,1779,1842.00,11052785,1202,Tourism Bank-a
20190811,1839.00,1850,1720,1762.00,6326043,746,Tourism Bank-a
20190813,1810.00,1920,1732,1855.00,10227336,1087,Tourism Bank-a
20190814,1865.00,1960.00,1765.00,1878.00,20292036,1714,Tourism Bank-a
