<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20120108,207.46,207,168,168.59,17356830,957,Khalij Fars Trans-a
20120109,175.23,175,175,169.42,35200,12,Khalij Fars Trans-a
20120110,176.20,176,176,169.84,17900,9,Khalij Fars Trans-a
20120111,176.62,177,177,170.39,20400,7,Khalij Fars Trans-a
20120115,177.17,177,177,170.81,16300,11,Khalij Fars Trans-a
20120116,177.58,178,178,173.44,107670,9,Khalij Fars Trans-a
20120117,187.27,195,187,194.04,93725,38,Khalij Fars Trans-a
20120118,201.79,202,202,201.79,1863500,103,Khalij Fars Trans-a
20120121,209.81,210,205,209.81,15331300,2896,Khalij Fars Trans-a
20120123,210.22,218,206,214.10,6518967,1099,Khalij Fars Trans-a
20120125,205.66,209,206,205.94,928499,96,Khalij Fars Trans-a
20120201,164.58,171,165,168.46,1386113,225,Khalij Fars Trans-a
20120204,175.10,175,175,173.57,213280,23,Khalij Fars Trans-a
20120205,176.89,177,167,170.67,1824826,243,Khalij Fars Trans-a
20120206,163.89,169,164,164.17,647193,56,Khalij Fars Trans-a
20120207,158.36,163,158,158.08,279317,28,Khalij Fars Trans-a
20120208,151.86,152,152,157.53,23520,6,Khalij Fars Trans-a
20120212,151.31,151,151,157.39,6319,2,Khalij Fars Trans-a
20120213,151.17,151,151,157.39,3001,4,Khalij Fars Trans-a
20120214,151.17,151,151,156.42,41912,2,Khalij Fars Trans-a
20120222,147.30,153,147,151.31,1696730,155,Khalij Fars Trans-a
20120225,157.25,157,157,154.49,149496,10,Khalij Fars Trans-a
20120226,160.57,161,161,156.29,81865,11,Khalij Fars Trans-a
20120227,162.51,163,163,156.42,8300,6,Khalij Fars Trans-a
20120228,162.65,163,163,156.70,11091,7,Khalij Fars Trans-a
20120229,162.92,163,163,156.70,290,2,Khalij Fars Trans-a
20120303,169.15,176,169,175.37,1804252,181,Khalij Fars Trans-a
20120304,179.80,182,180,182.15,1281023,111,Khalij Fars Trans-a
20120305,179.80,180,175,176.20,441651,48,Khalij Fars Trans-a
20120306,169.84,173,169,169.70,1328564,167,Khalij Fars Trans-a
20120307,164.72,173,163,165.55,1087194,156,Khalij Fars Trans-a
20120310,171.50,172,160,168.87,305310,78,Khalij Fars Trans-a
20120311,163.48,166,162,163.20,262200,43,Khalij Fars Trans-a
20120312,156.84,157,157,162.37,38552,11,Khalij Fars Trans-a
20120313,156.01,156,156,159.47,129412,25,Khalij Fars Trans-a
20120314,153.93,165,153,155.73,887315,106,Khalij Fars Trans-a
20120317,154.21,162,154,157.81,173300,35,Khalij Fars Trans-a
20120318,155.04,161,152,155.73,220721,35,Khalij Fars Trans-a
20120324,161.13,162,161,161.82,366850,45,Khalij Fars Trans-a
20120325,163.20,168,158,163.89,782463,101,Khalij Fars Trans-a
20120326,158.08,159,157,159.05,223417,43,Khalij Fars Trans-a
20120327,157.39,157,153,154.63,416276,49,Khalij Fars Trans-a
20120328,157.39,160,156,156.15,93290,34,Khalij Fars Trans-a
20120402,161.96,162,156,161.68,436390,54,Khalij Fars Trans-a
20120403,164.58,168,165,167.77,609130,65,Khalij Fars Trans-a
20120404,173.85,174,162,167.90,505492,84,Khalij Fars Trans-a
20120407,161.40,166,161,161.54,283390,45,Khalij Fars Trans-a
20120408,156.98,160,155,155.73,2009538,187,Khalij Fars Trans-a
20120409,155.87,159,155,156.42,335954,82,Khalij Fars Trans-a
20120410,159.05,159,150,150.62,1596999,155,Khalij Fars Trans-a
20120411,150.75,152,145,148.54,449162,62,Khalij Fars Trans-a
20120414,154.07,154,149,153.80,695173,143,Khalij Fars Trans-a
20120415,156.42,160,152,156.56,1052807,141,Khalij Fars Trans-a
20120416,156.42,156,150,151.72,357619,56,Khalij Fars Trans-a
20120417,152.27,152,149,149.79,305233,62,Khalij Fars Trans-a
20120423,155.73,156,156,150.62,37291,3,Khalij Fars Trans-a
20120424,156.56,157,153,156.15,551540,98,Khalij Fars Trans-a
20120428,161.68,162,156,161.68,886604,90,Khalij Fars Trans-a
20120429,164.58,165,159,161.13,153933,27,Khalij Fars Trans-a
20120430,160.99,161,156,159.33,170897,47,Khalij Fars Trans-a
20120501,160.16,160,158,159.05,173947,34,Khalij Fars Trans-a
20120502,157.67,159,154,157.95,126867,63,Khalij Fars Trans-a
20120505,154.90,158,152,156.01,127547,31,Khalij Fars Trans-a
