<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20120512,1150.00,1150,1058,1068.00,1995160,265,Petr. Tran.-R-a
20120513,983.00,983,983,983.00,18100,3,Petr. Tran.-R-a
20120514,905.00,905,905,905.00,54016,10,Petr. Tran.-R-a
20120515,836.00,970,836,915.00,4269817,454,Petr. Tran.-R-a
20120516,987.00,988,939,981.00,2406533,251,Petr. Tran.-R-a
20120519,1040.00,1059,1035,1053.00,1941443,204,Petr. Tran.-R-a
20120520,1137.00,1137,1130,1137.00,2194434,160,Petr. Tran.-R-a
20120521,1227.00,1227,1073,1189.00,6803908,643,Petr. Tran.-R-a
20120522,1159.00,1220,1125,1167.00,3366327,441,Petr. Tran.-R-a
20120523,1175.00,1250,1175,1217.00,3061900,376,Petr. Tran.-R-a
20120526,1141.00,1170,1120,1130.00,871032,76,Petr. Tran.-R-a
20120527,1146.00,1189,1060,1129.00,3890299,418,Petr. Tran.-R-a
20120528,1158.00,1158,1074,1103.00,2259126,256,Petr. Tran.-R-a
20120529,1100.00,1116,1065,1097.00,1271876,169,Petr. Tran.-R-a
20120530,1117.00,1117,1056,1065.00,1055539,104,Petr. Tran.-R-a
20120602,1040.00,1070,1020,1031.00,601815,77,Petr. Tran.-R-a
20120605,1022.00,1022,966,995.00,201329,41,Petr. Tran.-R-a
20120606,942.00,1050,935,999.00,1125669,205,Petr. Tran.-R-a
20120609,1047.00,1047,920,934.00,1530258,153,Petr. Tran.-R-a
20120610,934.00,960,930,937.00,570689,88,Petr. Tran.-R-a
20120611,988.00,995,960,981.00,1124376,173,Petr. Tran.-R-a
20120612,998.00,1030,968,990.00,927956,116,Petr. Tran.-R-a
20120613,954.00,968,921,951.00,849550,103,Petr. Tran.-R-a
20120616,980.00,980,933,955.00,639625,102,Petr. Tran.-R-a
20120617,930.00,932,891,904.00,1033841,139,Petr. Tran.-R-a
20120619,900.00,900,876,888.00,526248,53,Petr. Tran.-R-a
20120620,875.00,876,830,847.00,691705,106,Petr. Tran.-R-a
20120623,830.00,830,780,781.00,969452,158,Petr. Tran.-R-a
20120624,732.00,737,719,724.00,1111805,97,Petr. Tran.-R-a
20120625,667.00,746,667,684.00,2254302,201,Petr. Tran.-R-a
20120626,690.00,711,630,658.00,4174705,369,Petr. Tran.-R-a
20120627,679.00,679,634,650.00,1097387,115,Petr. Tran.-R-a
20120630,651.00,702,598,659.00,9208017,849,Petr. Tran.-R-a
20121209,500.00,500,500,500.00,8000000,310,Petr. Tran.-R-a
20121210,500.00,530,500,511.00,2640000,63,Petr. Tran.-R-a
20121211,500.00,530,500,525.00,3000000,124,Petr. Tran.-R-a
20121212,530.00,530,530,530.00,8500000,170,Petr. Tran.-R-a
20121215,530.00,530,530,530.00,8500000,184,Petr. Tran.-R-a
20121216,530.00,530,530,530.00,35759684,1419,Petr. Tran.-R-a
