<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20130820,1526.05,1533,1526,1526.09,546520,69,همراه-ت
20130821,1526.38,1581,1526,1531.21,161499,214,همراه-ت
20130824,1573.28,1573,1534,1532.99,110913,168,همراه-ت
20130825,1557.30,1557,1543,1533.79,67490,94,همراه-ت
20130826,1540.62,1544,1527,1533.83,160307,121,همراه-ت
20130827,1526.05,1526,1486,1523.83,303026,183,همراه-ت
20130828,1462.90,1468,1463,1517.47,107648,166,همراه-ت
20130831,1460.65,1472,1457,1513.19,75569,149,همراه-ت
20130901,1453.38,1481,1453,1511.01,55535,121,همراه-ت
20130903,1456.29,1462,1453,1507.45,64712,106,همراه-ت
20130904,1460.65,1461,1447,1496.87,181559,113,همراه-ت
20130907,1437.03,1442,1437,1493.42,59830,103,همراه-ت
20130908,1453.02,1479,1435,1492.51,20697,52,همراه-ت
20130909,1454.22,1486,1454,1491.93,27970,56,همراه-ت
20130910,1489.71,1552,1490,1502.72,193561,128,همراه-ت
20130911,1562.82,1563,1512,1504.76,43630,88,همراه-ت
20130914,1525.58,1544,1463,1504.72,17872,33,همراه-ت
20130915,1522.42,1522,1494,1504.98,57376,79,همراه-ت
20130916,1489.71,1499,1472,1504.32,34257,92,همراه-ت
20130917,1504.29,1517,1472,1503.67,46085,109,همراه-ت
20130918,1476.27,1562,1476,1507.63,125280,140,همراه-ت
20130921,1542.40,1551,1508,1509.55,111044,117,همراه-ت
20130922,1555.12,1555,1519,1518.96,604914,109,همراه-ت
20130923,1529.21,1558,1529,1521.65,95947,135,همراه-ت
20130924,1536.95,1544,1533,1522.27,44376,90,همراه-ت
20130925,1553.26,1553,1526,1523.40,79141,60,همراه-ت
20130928,1526.78,1541,1515,1521.29,396445,182,همراه-ت
20130929,1543.42,1543,1501,1515.98,878804,227,همراه-ت
20130930,1504.25,1523,1504,1515.11,397034,100,همراه-ت
20131001,1512.61,1515,1490,1512.50,270124,157,همراه-ت
20131002,1523.51,1524,1492,1510.53,136150,125,همراه-ت
20131005,1507.88,1515,1493,1509.59,166692,118,همراه-ت
20131006,1507.92,1526,1497,1510.03,79086,86,همراه-ت
20131007,1504.65,1519,1497,1510.90,311489,100,همراه-ت
20131008,1526.09,1562,1484,1509.63,469881,239,همراه-ت
20131009,1500.62,1518,1501,1509.74,265902,135,همراه-ت
20131012,1518.78,1526,1501,1509.95,97897,109,همراه-ت
20131013,1522.38,1522,1508,1511.66,650664,174,همراه-ت
20131014,1518.78,1519,1513,1512.21,163158,117,همراه-ت
20131015,1513.84,1522,1512,1512.46,114540,122,همراه-ت
20131019,1526.05,1533,1522,1514.39,135248,186,همراه-ت
20131020,1526.05,1539,1526,1515.55,81117,160,همراه-ت
20131021,1540.58,1576,1528,1538.88,559914,223,همراه-ت
20131022,1600.43,1600,1600,1593.38,914401,136,همراه-ت
20131023,1613.25,1656,1599,1604.17,317475,254,همراه-ت
20131026,1624.15,1668,1624,1667.65,1156703,202,همراه-ت
20131027,1685.92,1686,1635,1664.01,154187,157,همراه-ت
20131028,1641.59,1675,1617,1662.74,156310,159,همراه-ت
20131029,1638.69,1660,1639,1661.47,109405,84,همراه-ت
20131030,1725.53,1728,1679,1692.28,535934,262,همراه-ت
20131102,1725.89,1726,1690,1698.20,407224,120,همراه-ت
20131103,1700.46,1717,1700,1699.58,140941,107,همراه-ت
