<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20160316,1058.11,1058,1058,1058.11,196000000
20160326,1110.53,1111,1111,1110.53,218622
20160327,1165.87,1166,1166,1165.87,438665
20160328,1224.11,1224,1224,1224.11,1973211
20160329,1243.53,1244,1163,1188.19,103490489
20160330,1164.90,1234,1165,1207.61,42247039
20160402,1218.29,1238,1209,1218.29,25961545
20160403,1210.52,1211,1166,1186.25,12249511
20160404,1194.02,1209,1177,1192.08,7750258
20160405,1193.05,1251,1175,1231.88,19268316
20160406,1293.03,1293,1262,1293.03,29112288
20160409,1293.03,1319,1263,1291.09,28649825
20160410,1281.39,1289,1243,1261.00,17030718
20160411,1240.61,1280,1224,1249.35,7603588
20160412,1241.59,1311,1236,1304.68,45418814
20160413,1310.51,1320,1240,1260.03,11009226
20160416,1268.77,1269,1198,1201.78,15424922
20160417,1182.37,1261,1151,1224.11,9444264
20160418,1247.41,1273,1225,1246.44,6872241
20160419,1232.85,1241,1192,1210.52,5299674
20160420,1203.73,1243,1204,1222.17,3391654
20160423,1234.79,1243,1205,1219.26,2726761
20160424,1213.43,1249,1213,1232.85,6089414
20160425,1234.79,1262,1220,1238.67,6476441
20160426,1242.56,1300,1227,1285.27,24389736
20160427,1322.16,1344,1291,1314.39,10198936
20160430,1310.51,1315,1259,1273.62,4534081
20160501,1281.39,1306,1244,1275.56,4029396
20160502,1273.62,1274,1230,1243.53,6943920
20160503,1259.06,1262,1234,1243.53,2036272
20160504,1247.41,1281,1236,1256.15,4423965
20160507,1247.41,1260,1204,1223.14,3925357
20160508,1203.73,1252,1199,1227.02,5403521
20160509,1233.82,1257,1231,1244.50,5447129
20160510,1232.85,1255,1213,1227.02,3148152
20160511,1215.38,1232,1186,1201.78,4551433
20160514,1230.91,1242,1202,1220.23,3365186
20160515,1231.88,1232,1195,1204.70,5160773
20160516,1212.46,1233,1204,1217.32,3215068
20160517,1224.11,1243,1213,1227.99,3297462
20160518,1218.29,1233,1212,1221.20,3121430
20160521,1237.70,1238,1207,1217.32,5331280
20160523,1213.43,1278,1213,1263.91,5160852
20160524,1295.95,1327,1281,1317.30,38299655
20160525,1349.34,1382,1340,1376.52,23726305
20160528,1417.29,1444,1377,1427.00,41864316
20160529,1391.08,1408,1356,1368.75,11687502
20160530,1378.46,1406,1343,1370.69,4487101
20160531,1376.52,1410,1311,1362.93,8966726
20160601,1302.74,1339,1295,1312.45,5261074
20160605,1320.22,1349,1281,1308.57,3332450
20160606,1275.56,1320,1274,1302.74,5151288
20160607,1308.57,1309,1260,1273.62,3900476
20160608,1285.27,1306,1261,1284.30,3190148
20160611,1260.03,1272,1220,1235.76,4984924
20160612,1234.79,1262,1188,1224.11,3699456
20160613,1251.29,1272,1232,1243.53,2385269
20160614,1260.03,1260,1219,1240.61,3517079
20160615,1219.26,1262,1219,1249.35,1688188
20160618,1263.91,1266,1224,1238.67,929106
20160619,1220.23,1233,1205,1215.38,915761
20160620,1206.64,1242,1195,1220.23,1411106
20160621,1207.61,1280,1208,1262.94,5982044
20160622,1325.07,1326,1284,1321.19,11887941
20160625,1310.51,1334,1255,1262.94,5416467
20160626,1232.85,1290,1233,1267.80,1762010
20160628,1271.68,1306,1262,1280.42,2731290
20160629,1259.06,1291,1259,1269.74,2281040
20160702,1247.41,1270,1247,1256.15,880156
20160703,1244.50,1272,1233,1251.29,1707748
20160704,1243.53,1270,1225,1247.41,1244694
20160705,1261.97,1287,1233,1257.12,2635202
20160709,1268.77,1269,1234,1253.23,753392
20160710,1234.79,1270,1235,1250.32,3041386
20160711,1253.23,1260,1239,1246.44,659288
20160712,1252.26,1275,1213,1237.70,5393503
20160713,1242.56,1243,1217,1233.82,1936911
20160716,1223.14,1252,1223,1234.79,1326194
20160727,1252.54,1294,1226,1248.60,22485814
20160731,1279.17,1311,1263,1303.83,2599305
20160801,1341.31,1366,1269,1310.73,9943012
20160802,1291.99,1300,1261,1276.21,7664152
20160803,1268.32,1299,1268,1280.16,2269565
20160806,1291.99,1328,1249,1277.20,15579562
20160807,1321.58,1340,1312,1336.37,22307136
20160808,1321.58,1375,1310,1338.35,8069587
20160809,1341.31,1346,1311,1324.54,4551434
20160810,1322.57,1391,1323,1379.77,61621025
20160813,1384.70,1401,1314,1332.43,21649462
20160814,1321.58,1366,1289,1319.61,17311675
20160815,1345.25,1385,1333,1367.93,16598669
20160816,1385.69,1415,1351,1384.70,11988322
20160817,1380.76,1381,1341,1356.10,5212616
20160820,1371.88,1372,1324,1341.31,2611395
20160821,1331.44,1408,1328,1396.54,15438171
20160822,1435.99,1466,1420,1460.64,41834129
20160823,1420.21,1435,1388,1397.52,5233522
20160824,1362.02,1403,1341,1368.92,6354473
20160827,1389.63,1400,1356,1378.78,3725545
20160828,1370.89,1382,1338,1351.17,4885449
20160829,1332.43,1366,1332,1345.25,2458787
20160830,1369.91,1371,1340,1350.18,2782037
20160831,1331.44,1366,1331,1342.29,2983609
20160903,1337.36,1350,1288,1307.77,4004205
20160904,1294.95,1361,1295,1326.51,1390790
20160905,1326.51,1359,1319,1325.53,1617653
20160906,1340.32,1357,1307,1320.59,4436662
20160907,1324.54,1332,1312,1316.65,3650173
20160910,1331.44,1331,1297,1306.79,1930447
20160911,1316.65,1339,1302,1318.62,1070789
20160913,1311.72,1334,1297,1302.84,3119254
20160914,1326.51,1327,1295,1301.86,1732490
20160917,1301.86,1310,1282,1291.01,2662821
20160918,1321.58,1336,1312,1322.57,1482114
20160919,1331.44,1341,1304,1321.58,2852837
20160921,1306.79,1368,1307,1352.15,4566189
20160924,1370.89,1419,1362,1408.37,16662235
20160925,1420.21,1447,1371,1432.04,24333656
20160926,1410.34,1410,1361,1369.91,5947539
20160927,1358.07,1380,1342,1359.06,3025318
20160928,1351.17,1376,1324,1341.31,5070696
20161001,1363.99,1369,1331,1342.29,1474799
20161002,1332.43,1353,1323,1334.40,3642879
20161003,1333.42,1366,1322,1337.36,4344621
20161004,1335.39,1347,1320,1327.50,6118105
20161005,1322.57,1376,1302,1323.55,27482310
20161008,1335.39,1365,1335,1343.28,22872399
20161009,1360.04,1360,1325,1333.42,22030794
20161010,1351.17,1372,1344,1352.15,27695417
20161015,1363.00,1370,1334,1350.18,33140857
20161016,1377.80,1417,1372,1412.32,67495872
20161017,1399.49,1417,1381,1393.58,30511875
20161018,1390.62,1450,1391,1422.18,17934768
20161019,1447.82,1460,1412,1433.03,22749274
20161022,1449.79,1473,1401,1432.04,38285487
20161023,1458.67,1469,1422,1450.78,20306568
20161024,1450.78,1523,1425,1455.71,42565901
20161025,1527.71,1528,1399,1474.45,101738410
20161026,1421.19,1429,1401,1406.40,40075087
20161029,1420.21,1450,1372,1413.30,24167547
20161030,1419.22,1419,1383,1391.60,8389606
20161031,1382.73,1401,1351,1369.91,12355493
20161101,1379.77,1416,1370,1388.65,14302666
20161102,1377.80,1410,1364,1383.71,4913120
20161105,1383.71,1391,1351,1365.96,5732391
20161106,1351.17,1365,1338,1350.18,5326898
20161107,1353.14,1395,1353,1376.81,4882894
20161108,1389.63,1399,1369,1380.76,4936434
20161109,1331.44,1341,1312,1320.59,15326871
20161112,1351.17,1386,1336,1365.96,10997965
20161113,1380.76,1400,1347,1360.04,9220080
20161115,1380.76,1399,1356,1381.74,4128606
20161116,1381.74,1402,1351,1372.87,20929418
20161119,1384.70,1385,1354,1359.06,6651660
20161121,1380.76,1381,1350,1357.09,13368883
20161122,1351.17,1376,1342,1354.13,11931328
20161127,1361.03,1376,1348,1357.09,4804320
20161129,1356.10,1376,1347,1357.09,29487242
20161203,1379.77,1380,1323,1337.36,20692709
20161204,1360.04,1403,1351,1397.52,22636790
20161205,1415.27,1436,1362,1399.49,24656308
20161206,1397.52,1400,1351,1372.87,10249321
20161207,1351.17,1399,1351,1370.89,4283408
20161210,1369.91,1406,1361,1383.71,7758183
20161211,1365.96,1389,1366,1376.81,3423646
20161212,1378.78,1393,1368,1375.82,15846591
20161213,1370.89,1387,1367,1373.85,12905987
20161214,1378.78,1381,1356,1369.91,17196445
20161218,1379.77,1396,1368,1378.78,3827479
20161219,1398.51,1424,1375,1394.56,7471331
20161220,1397.52,1398,1359,1378.78,12921487
20161221,1370.89,1391,1366,1377.80,3282345
20161224,1361.03,1383,1358,1372.87,1767393
20161225,1357.09,1386,1342,1372.87,3357250
20161226,1344.26,1381,1341,1358.07,4255196
20161227,1370.89,1371,1341,1351.17,4376076
20161228,1368.92,1381,1345,1375.82,21459753
20161231,1361.03,1405,1361,1384.70,4686825
20170201,1430.07,1430,1393,1416.26,22983950
20170204,1400.48,1400,1346,1365.96,13504966
20170205,1365.96,1366,1298,1312.70,15362458
20170206,1341.31,1363,1322,1349.20,12557720
