<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20040616,4589.38,4589,4589,4589.38,262530,497,حتوكا-ت
20040712,2488.22,2488,2488,2488.22,10300,9,حتوكا-ت
20040713,2612.63,2613,2489,2507.02,30310,24,حتوكا-ت
20040714,2631.98,2632,2632,2631.98,23910,11,حتوكا-ت
20040717,2763.58,2764,2688,2687.83,3510,6,حتوكا-ت
20040718,2822.19,2822,2821,2821.09,8210,5,حتوكا-ت
20040719,2962.09,2962,2962,2962.09,10200,7,حتوكا-ت
20040720,3109.72,3110,3110,3109.72,8500,6,حتوكا-ت
20040724,3265.10,3265,3265,3265.10,9000,1,حتوكا-ت
20040726,3428.21,3428,3428,3428.21,16830,21,حتوكا-ت
20040727,3599.62,3600,3600,3599.62,12680,9,حتوكا-ت
20040728,3779.33,3779,3779,3779.33,10190,26,حتوكا-ت
20040731,3967.88,3968,3968,3967.88,13630,15,حتوكا-ت
20040801,3987.23,3987,3981,3980.60,35186,27,حتوكا-ت
20040802,4179.10,4179,4147,4172.47,19114,27,حتوكا-ت
20040803,4380.92,4381,4381,4380.92,18500,13,حتوكا-ت
20040804,4381.48,4441,4381,4404.70,3949,11,حتوكا-ت
20040807,4440.09,4440,4405,4410.78,11553,17,حتوكا-ت
20040808,4366.55,4393,4367,4378.71,8423,15,حتوكا-ت
20040809,4395.85,4396,4368,4390.32,8408,13,حتوكا-ت
20040810,4367.65,4390,4368,4382.03,3113,8,حتوكا-ت
20040811,4367.65,4372,4367,4372.08,5042,7,حتوكا-ت
20040814,4172.47,4283,4172,4282.50,3690,3,حتوكا-ت
20040815,4172.47,4207,4069,4206.75,2990,7,حتوكا-ت
20040821,3996.63,3997,3997,3996.63,20000,18,حتوكا-ت
20040822,3814.72,3986,3815,3962.90,1773,5,حتوكا-ت
20040824,3979.49,3981,3971,3971.20,4188,6,حتوكا-ت
20040828,3962.90,3970,3960,3970.09,627,3,حتوكا-ت
20040829,3870.01,3871,3867,3869.46,20322,20,حتوكا-ت
20040908,3870.56,3871,3871,3870.56,2000,1,حتوكا-ت
20040911,3971.20,3971,3916,3916.46,3790,3,حتوكا-ت
20040914,3870.56,3895,3871,3895.45,3710,2,حتوكا-ت
20040915,4068.52,4070,4008,4008.24,5405,7,حتوكا-ت
20040918,4147.03,4149,4062,4061.88,3225,7,حتوكا-ت
20040919,4149.24,4202,4114,4114.41,4425,4,حتوكا-ت
20040920,4147.03,4147,4118,4118.28,1010,2,حتوكا-ت
20040921,4118.83,4119,4118,4118.28,510,2,حتوكا-ت
20040922,4319.55,4320,4184,4184.08,2723,8,حتوكا-ت
20040925,4393.09,4393,4393,4393.09,10685,10,حتوكا-ت
20040926,4393.09,4613,4203,4319.55,6858,9,حتوكا-ت
20040927,4342.22,4347,4323,4323.42,2654,7,حتوكا-ت
20040928,4424.61,4539,4350,4349.96,3396,10,حتوكا-ت
20040929,4342.77,4349,4342,4349.41,940,3,حتوكا-ت
