<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20170212,1000000.00,1000000,1000000,1000000.00,2000000
20171125,1070700.00,1070700,1070700,1070700.00,86
20180530,1050000.00,1050000,1050000,1050000.00,70
20180617,1039500.00,1039500,1039500,1039500.00,70
20180626,990611.00,990611,990611,990611.00,500
20180627,994000.00,994000,994000,994000.00,70
20180708,1000000.00,1000000,1000000,1000000.00,500
20180731,991000.00,991000,991000,991000.00,300
20180805,984000.00,984000,984000,984000.00,120
20180806,978000.00,978000,978000,978000.00,80
20180812,976000.00,976000,976000,976000.00,110
20180815,980000.00,980000,980000,980000.00,90
20180819,977000.00,977000,977000,977000.00,105
20180820,974000.00,974000,974000,974000.00,120
20180821,980000.00,980000,980000,980000.00,50
20180828,985000.00,985000,985000,985000.00,20
20180829,985000.00,985000,985000,985000.00,86
20180901,994850.00,994850,994850,994850.00,7
20180903,992000.00,992000,992000,992000.00,50
20180904,991000.00,991000,991000,991000.00,5
20180909,991000.00,1000000,991000,995000.00,18
20180910,990000.00,990000,990000,990000.00,100
20180911,980100.00,980100,980100,980100.00,18
20180912,961000.00,961000,961000,961000.00,12
20180915,975000.00,975000,975000,975000.00,110
20180916,992000.00,992000,992000,992000.00,117
20180917,991000.00,991000,991000,991000.00,5
20180918,993000.00,993000,993000,993000.00,5
20180922,970000.00,970000,970000,970000.00,120
20180925,948000.00,948000,948000,948000.00,7
20180926,941000.00,941000,941000,941000.00,105
20180929,936000.00,936000,936000,936000.00,114
20181001,931000.00,931000,931000,931000.00,33
20181002,940000.00,940000,940000,940000.00,107
20181003,940000.00,950000,940000,949583.00,120
20181006,960000.00,960000,960000,960000.00,145
20181007,980000.00,980000,980000,980000.00,115
20181009,968000.00,968000,968000,968000.00,5
20181013,980000.00,980000,980000,980000.00,3
20181016,963000.00,963000,963000,963000.00,4
20181020,940000.00,940000,940000,940000.00,9
20181021,969600.00,969600,969600,969600.00,7
20181024,958000.00,958000,958000,958000.00,7
20181106,957300.00,957300,957300,957300.00,2
20181110,960000.00,960000,960000,960000.00,8
20181111,974000.00,974000,974000,974000.00,12
20181112,972000.00,972000,972000,972000.00,10
20181113,967800.00,967800,967800,967800.00,9
20181114,972500.00,972500,972500,972500.00,8
20181117,979000.00,979000,979000,979000.00,5
20181119,991200.00,991200,991200,991200.00,18
20181120,989000.00,989000,989000,989000.00,5
20181121,997600.00,997600,997600,997600.00,18
20181124,976200.00,976200,976200,976200.00,26
20181128,983000.00,983000,983000,983000.00,13
20181201,1000000.00,1000000,1000000,1000000.00,21
20181202,990000.00,990000,990000,990000.00,10
20181203,985000.00,985000,985000,985000.00,36
20181205,982500.00,982500,982500,982500.00,16
20181209,987500.00,987500,987500,987500.00,10
20181212,990000.00,990000,990000,990000.00,12
20181216,993499.00,993500,993499,993499.00,15
20181217,999000.00,999000,999000,999000.00,35
20181225,1000000.00,1000000,1000000,1000000.00,12
20190101,999400.00,999400,999400,999400.00,12
20190223,1025000.00,1025000,1025000,1025000.00,12
20190318,1011000.00,1011000,1011000,1011000.00,187
20190319,1008000.00,1008000,1008000,1008000.00,15
20190407,1004000.00,1004000,1004000,1004000.00,70
20190409,1000000.00,1000000,1000000,1000000.00,12
20190415,978000.00,978000,978000,978000.00,12
20190429,970000.00,970000,970000,970000.00,200
20190501,960000.00,960000,960000,960000.00,500
20190504,960000.00,960000,960000,960000.00,700
20190505,981000.00,981000,981000,981000.00,200
20190521,965000.00,965000,965000,965000.00,700
20190601,970000.00,970000,970000,970000.00,200
20190602,970000.00,970000,970000,970000.00,500
20190610,965000.00,965000,965000,965000.00,150
20190612,965000.00,965000,965000,965000.00,700
20190615,959000.00,959000,959000,959000.00,200
20190618,953000.00,953000,953000,953000.00,160
20190619,970000.00,970000,954500,958602.00,59
20190622,959000.00,959000,959000,959000.00,689
20190623,968590.00,968590,960001,964009.00,1500
20190625,960000.00,960000,960000,960000.00,20
20190703,969095.00,972905,969095,971000.00,1000
20190706,972905.00,979000,972905,973033.00,715
20190707,967900.00,967900,967900,967900.00,200
20190708,958000.00,966000,958000,962870.00,1150
20190713,970000.00,970000,970000,970000.00,15
20190715,979000.00,988000,979000,987350.00,9700
20190716,988000.00,988000,988000,988000.00,2
20190717,996000.00,996000,996000,996000.00,300
20190721,992000.00,992000,992000,992000.00,1000
20190722,965500.00,965500,965500,965500.00,300
20190724,954000.00,954000,954000,954000.00,15
20190727,961500.00,961500,961500,961500.00,226
20190728,952000.00,962000,952000,961929.00,283
20190729,971000.00,971000,962000,966455.00,198
20190730,973000.00,973000,973000,973000.00,700
20190731,980000.00,980000,980000,980000.00,35
20190803,977500.00,977500,977500,977500.00,87
20190805,982000.00,982000,982000,982000.00,215
20190806,994900.00,994900,994900,994900.00,50
20190810,995000.00,995000,995000,995000.00,150
20190814,977000.00,977000.00,977000.00,977000.00,20
