<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20091122,2500.00,2508,2500,2501.00,1100000
20091123,2500.00,2510,2500,2500.00,330134
20100809,2718.00,2718,2718,2718.00,2114
20100810,2733.00,2800,2731,2742.00,73543
20100811,2771.00,2940,2770,2814.00,67646
20100814,2761.00,3039,2761,3030.00,12447
20100815,2800.00,2900,2800,2869.00,3354
20100816,2850.00,2850,2850,2850.00,342
20100818,2624.00,3000,2624,2924.00,1220
20100824,3099.00,3346,3099,3300.00,272533
20100825,3564.00,3564,3564,3564.00,22191
20100828,3849.00,3849,3849,3849.00,20277
20100829,4156.00,4156,4156,4156.00,115000
20100830,3825.00,3827,3824,3825.00,91721
20100905,3519.00,3525,3519,3521.00,17527
20100906,3313.00,3340,3313,3326.00,8400
20100908,3592.00,3592,3592,3592.00,24400
20100912,3879.00,3879,3879,3879.00,100
20100913,3900.00,3900,3900,3900.00,13060
20100915,3834.00,3950,3702,3846.00,53271
20100918,3810.00,4000,3810,3915.00,5315
20100919,4039.00,4039,4039,4039.00,3000
20100920,4148.00,4180,4148,4166.00,16361
20100925,3860.00,3860,3851,3856.00,13866
20100926,3701.00,3701,3570,3631.00,13750
20100928,3800.00,3850,3795,3804.00,56719
20100929,3849.00,3850,3849,3849.00,3050
20101002,3603.00,3700,3601,3609.00,82362
20101102,3201.00,3201,3200,3200.00,320241
20110824,2672.00,2729,2635,2678.00,290778
20110827,2875.00,2875,2652,2691.00,175672
20110828,2640.00,2650,2520,2562.00,31282
20110829,2748.00,2748,2413,2455.00,23385
20110830,2450.00,2460,2421,2435.00,20540
20110903,2480.00,2480,2375,2394.00,88218
20110904,2368.00,2585,2368,2539.00,258502
20110905,2647.00,2680,2600,2645.00,80779
20110906,2688.00,2690,2450,2608.00,99257
20110907,2687.00,2688,2461,2602.00,59786
20110910,2513.00,2628,2513,2556.00,36567
20110911,2646.00,2646,2448,2511.00,10435
20110912,2440.00,2453,2437,2450.00,55427
20110913,2440.00,2442,2440,2442.00,20666
20110914,2500.00,2500,2490,2491.00,55194
20110917,2491.00,2690,2491,2663.00,166698
20110918,2876.00,2876,2876,2876.00,200535
20110919,2990.00,3028,2860,2942.00,488570
20110920,2900.00,3074,2850,2939.00,200537
20110921,2939.00,2950,2705,2901.00,226563
20110925,2766.00,2766,2690,2711.00,41008
20110926,2700.00,2700,2602,2628.00,84934
20110927,2602.00,2749,2602,2626.00,8000
20110928,2611.00,2611,2611,2611.00,7619
20111001,2470.00,2660,2470,2575.00,4608
20111002,2729.00,2729,2514,2592.00,2613
20111003,2476.00,2700,2476,2635.00,70668
20111004,2660.00,2710,2567,2642.00,48509
20111005,2603.00,2697,2603,2642.00,4566
20111008,2573.00,2620,2450,2537.00,89955
20111009,2500.00,2620,2500,2554.00,186503
20111010,2600.00,2705,2600,2682.00,302211
20111011,2720.00,2885,2720,2836.00,227775
20111012,2751.00,2851,2694,2825.00,179055
20111015,2621.00,2748,2621,2645.00,18332
20111016,2690.00,2690,2451,2468.00,63169
20111017,2634.00,2634,2430,2483.00,16483
20111018,2530.00,2549,2491,2525.00,60169
20111019,2501.00,2700,2501,2598.00,531718
20111221,2300.00,2300,2116,2208.00,10000
20111224,2035.00,2035,2032,2032.00,1512298
20130202,520.00,520,520,520.00,30000
20130203,479.00,479,479,479.00,29000
20130204,479.00,517,479,515.00,200219
20130205,515.00,530,474,530.00,19116582
20130206,529.00,530,488,530.00,8279917
20130520,1000.00,1000,1000,1000.00,550000
20130521,1000.00,1000,1000,1000.00,600000
20130522,1000.00,1000,1000,1000.00,986351
20150525,1399.00,1538,1399,1460.00,995000
20150526,1317.00,1336,1314,1315.00,453458
20150527,1185.00,1230,1184,1192.00,127632
20150530,1180.00,1220,1090,1114.00,180520
20150531,1050.00,1050,1006,1019.00,135019
20150601,1109.00,1109,1000,1039.00,106078
20150602,1095.00,1142,1062,1128.00,675091
20150606,1110.00,1110,1048,1077.00,75999
20150607,1114.00,1114,1030,1066.00,20776
20150608,1014.00,1069,1014,1023.00,99369
20150609,1119.00,1119,950,985.00,66967
20150610,935.00,935,934,934.00,8145
20150613,1027.00,1027,1000,1027.00,182476
20150614,1081.00,1081,1016,1039.00,82230
20150615,1000.00,1000,962,991.00,32319
20150616,985.00,1048,985,1039.00,26838
20150617,1099.00,1099,1042,1061.00,21009
20150620,1140.00,1140,1000,1002.00,138662
20150621,1000.00,1000,930,965.00,295929
20150622,998.00,998,937,948.00,378394
20150623,968.00,1019,968,990.00,249722
20150624,1000.00,1010,990,997.00,93853
20150627,924.00,998,924,950.00,97818
20150628,951.00,951,934,938.00,100452
20150629,951.00,951,935,938.00,172041
20150630,930.00,1029,930,1009.00,467852
20150701,960.00,1068,954,1036.00,309324
20150704,1001.00,1129,1001,1080.00,419938
20150705,1059.00,1110,1037,1063.00,123070
20150706,1090.00,1169,1090,1153.00,578033
20150707,1268.00,1268,1267,1268.00,882834
20150711,1268.00,1394,1142,1360.00,1138922
20150712,1494.00,1496,1437,1495.00,586062
20150713,1570.00,1644,1570,1624.00,544852
20150714,1786.00,1786,1630,1761.00,1333175
20150715,1900.00,1900,1585,1599.00,437853
20150720,1444.00,1444,1440,1440.00,87500
20150721,1296.00,1296,1296,1296.00,155778
20151124,1056.00,1150,1056,1075.00,3929432
