<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20010408,113.49,113,113,113.49,548,1,Iran Motorcycle-a
20010428,113.49,113,113,113.49,84670,68,Iran Motorcycle-a
20010429,113.49,113,113,113.49,67078,22,Iran Motorcycle-a
20010430,113.49,113,113,113.49,280,1,Iran Motorcycle-a
20010501,113.49,113,113,113.49,5642,2,Iran Motorcycle-a
20010506,113.49,113,113,113.49,1500,1,Iran Motorcycle-a
20010509,113.49,113,113,113.49,5000,2,Iran Motorcycle-a
20010512,113.49,113,113,113.49,24674,8,Iran Motorcycle-a
20010516,113.49,113,113,113.49,20000,12,Iran Motorcycle-a
20010519,113.49,113,113,113.49,2700,2,Iran Motorcycle-a
20010521,113.49,113,113,113.49,12324,7,Iran Motorcycle-a
20010523,114.63,115,115,114.63,26659,9,Iran Motorcycle-a
20010526,114.63,115,115,114.63,162,1,Iran Motorcycle-a
20010528,114.63,115,115,114.63,3120,5,Iran Motorcycle-a
20010529,114.63,115,115,114.63,293,1,Iran Motorcycle-a
20010530,114.63,115,115,114.63,3150,5,Iran Motorcycle-a
20010602,114.63,115,115,114.63,11919,5,Iran Motorcycle-a
20010603,114.63,115,115,114.63,13081,4,Iran Motorcycle-a
20010606,114.63,115,115,114.63,10996,10,Iran Motorcycle-a
20010609,114.63,115,113,114.63,26053,9,Iran Motorcycle-a
20011009,113.49,113,113,113.49,1000,3,Iran Motorcycle-a
20011020,113.49,115,113,114.63,35609,18,Iran Motorcycle-a
20011021,115.76,116,113,113.49,12020,4,Iran Motorcycle-a
20011022,113.49,114,113,113.49,35039,13,Iran Motorcycle-a
20011023,114.63,115,115,114.63,48198,17,Iran Motorcycle-a
20011024,114.74,115,115,114.63,8943086,34,Iran Motorcycle-a
20011027,115.76,116,116,115.76,2140,2,Iran Motorcycle-a
20011028,116.90,117,117,116.90,1140,2,Iran Motorcycle-a
20011030,118.03,118,118,118.03,3326,7,Iran Motorcycle-a
20011031,119.17,119,119,119.17,1000,2,Iran Motorcycle-a
20011103,120.30,120,120,120.30,2114,2,Iran Motorcycle-a
20011104,121.44,121,121,121.44,1000,3,Iran Motorcycle-a
20011105,122.57,123,123,122.57,1000,2,Iran Motorcycle-a
20011106,123.71,124,124,123.71,1000,3,Iran Motorcycle-a
20011110,124.84,125,124,123.71,103224,29,Iran Motorcycle-a
20011111,123.71,124,123,123.71,23364,8,Iran Motorcycle-a
20011112,123.71,124,124,123.71,450,1,Iran Motorcycle-a
20011113,123.94,124,124,123.71,11800,8,Iran Motorcycle-a
20011119,123.71,124,123,123.14,6475,8,Iran Motorcycle-a
20011201,123.14,123,123,123.14,5238,2,Iran Motorcycle-a
20011202,122.57,123,123,123.14,2257,5,Iran Motorcycle-a
20011203,123.03,123,123,123.03,1500,1,Iran Motorcycle-a
20011204,123.14,123,123,123.14,14239,3,Iran Motorcycle-a
20011205,123.14,123,123,123.14,118762,19,Iran Motorcycle-a
20011212,123.14,123,123,122.57,536,2,Iran Motorcycle-a
20011215,122.57,123,123,123.14,56499,13,Iran Motorcycle-a
20011217,123.03,123,123,123.14,400,3,Iran Motorcycle-a
20011218,122.80,123,123,122.80,110,1,Iran Motorcycle-a
20011219,122.57,123,123,122.57,5000,1,Iran Motorcycle-a
20011222,122.46,123,122,122.46,10150,4,Iran Motorcycle-a
20011223,122.12,122,122,122.35,24000,7,Iran Motorcycle-a
20011225,121.78,123,121,123.14,175000,58,Iran Motorcycle-a
20011226,123.14,124,123,124.16,294879,51,Iran Motorcycle-a
20011230,125.30,125,125,125.30,2000,1,Iran Motorcycle-a
20011231,126.55,127,127,126.55,3420,3,Iran Motorcycle-a
20020101,127.79,128,128,127.79,30249,13,Iran Motorcycle-a
20020102,129.04,129,129,129.04,1524,2,Iran Motorcycle-a
20020106,130.29,130,130,130.29,1399,4,Iran Motorcycle-a
20020107,131.54,132,132,131.54,1000,1,Iran Motorcycle-a
20020112,132.79,133,133,132.79,1000,1,Iran Motorcycle-a
20020115,134.04,134,134,134.04,1000,1,Iran Motorcycle-a
20020116,135.29,135,135,135.29,1000,2,Iran Motorcycle-a
20020119,136.53,137,137,136.53,1000,2,Iran Motorcycle-a
20020120,137.90,138,138,137.90,500,2,Iran Motorcycle-a
20020121,139.26,139,139,139.26,1000,2,Iran Motorcycle-a
20020122,140.62,141,141,140.62,1000,2,Iran Motorcycle-a
20020123,141.98,142,142,141.98,44500,15,Iran Motorcycle-a
20020126,143.34,143,143,143.34,1000,1,Iran Motorcycle-a
20020127,144.71,145,145,144.71,5000,8,Iran Motorcycle-a
20020128,146.07,146,146,146.07,40824,12,Iran Motorcycle-a
20020129,147.43,147,147,147.43,24940,7,Iran Motorcycle-a
20020130,148.79,149,149,148.79,1124,2,Iran Motorcycle-a
20020202,150.27,150,150,150.27,1000,1,Iran Motorcycle-a
20020205,151.74,152,152,151.74,100,1,Iran Motorcycle-a
20020206,153.22,153,153,153.22,100,1,Iran Motorcycle-a
20020209,154.69,155,155,154.69,150,1,Iran Motorcycle-a
20020210,156.17,156,156,156.17,5850,3,Iran Motorcycle-a
